Row Label,County,Registered Voters,Steve Rosen,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 36-2508,KI,427,139,153,293,0,1
SEA 46-2352,KI,338,81,97,181,0,3
SEA 46-1955,KI,558,146,141,289,0,2
SEA 11-1600,KI,550,131,124,257,0,2
SEA 46-2228,KI,486,111,120,234,0,3
SEA 46-2221,KI,513,136,162,298,0,0
SEA 43-1280,KI,669,157,177,337,0,3
SEA 43-1784,KI,500,146,159,308,0,3
SEA 36-3267,KI,548,129,88,219,0,2
SEA 37-1886,KI,523,150,143,293,0,0
SEA 37-1884,KI,643,170,213,385,0,2
SEA 37-1885,KI,398,98,123,223,0,2
SEA 37-1882,KI,395,102,90,193,0,1
SEA 37-1883,KI,423,92,110,204,0,2
SEA 37-1880,KI,514,133,138,276,0,5
SEA 37-1881,KI,396,86,102,188,0,0
SEA 43-1780,KI,350,106,102,208,0,0
SEA 43-1781,KI,326,92,70,164,0,2
SEA 46-2292,KI,505,138,150,288,0,0
SEA 36-1386,KI,315,96,117,213,0,0
SEA 36-1387,KI,462,139,150,289,0,0
SEA 36-1384,KI,309,109,115,228,0,4
SEA 36-1385,KI,243,68,105,175,0,2
SEA 36-1382,KI,374,111,121,233,0,1
SEA 36-1388,KI,337,97,123,220,0,0
SEA 36-1389,KI,259,74,88,163,0,1
SEA 43-1274,KI,302,95,120,216,0,1
SEA 43-2006,KI,298,70,99,169,0,0
SEA 43-2007,KI,256,81,83,164,0,0
SEA 43-2000,KI,550,149,145,294,0,0
SEA 43-2001,KI,648,212,219,433,0,2
SEA 43-2002,KI,587,194,196,391,0,1
SEA 46-2293,KI,441,123,167,292,0,2
SEA 46-1957,KI,553,177,177,354,0,0
SEA 37-2861,KI,391,105,136,243,0,2
SEA 43-2009,KI,487,170,157,329,0,2
SEA 37-1635,KI,524,109,87,199,0,3
SEA 37-1589,KI,290,99,117,217,0,1
SEA 37-1588,KI,244,72,86,159,0,1
SEA 46-1314,KI,330,91,119,210,0,0
SEA 37-1634,KI,473,89,99,191,0,3
SEA 37-1583,KI,700,217,160,382,0,5
SEA 37-1582,KI,715,169,120,291,0,2
SEA 37-1580,KI,333,96,61,160,0,3
SEA 37-1587,KI,311,91,104,195,0,0
SEA 37-1586,KI,373,119,129,251,0,3
SEA 36-3566,KI,579,164,142,307,0,1
SEA 36-1299,KI,425,103,153,260,0,4
SEA 43-1347,KI,726,195,237,435,0,3
SEA 43-1344,KI,452,132,160,292,0,0
SEA 37-1636,KI,586,144,69,217,0,4
SEA 43-1342,KI,366,122,114,237,0,1
SEA 43-1343,KI,355,86,128,215,0,1
SEA 43-1341,KI,499,173,178,351,0,0
SEA 46-2290,KI,289,79,116,195,0,0
SEA 46-2272,KI,367,105,141,247,0,1
SEA 43-1348,KI,555,151,165,317,0,1
