Row Label,County,Ross Hunter,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Bill Hirt
RED 48-0937,KI,82,223,14,125,0,0,29
RED 48-0935,KI,205,591,14,291,0,3,69
KIR 48-2925,KI,187,498,11,284,0,1,85
BEL 48-0125,KI,136,405,13,201,0,0,52
BEL 48-0126,KI,140,354,12,198,0,0,46
BEL 48-0127,KI,117,393,10,161,0,0,34
BEL 48-1049,KI,121,344,18,215,0,1,75
KIR 48-2657,KI,127,385,17,202,0,4,54
KIR 48-2921,KI,149,418,14,231,0,3,65
RED 48-3316,KI,110,344,13,154,0,0,31
BEL 48-1023,KI,134,322,10,206,0,0,62
MARYMOOR,KI,0,0,0,0,0,0,0
KIR 48-0615,KI,206,542,26,307,0,1,74
KIR 48-0614,KI,258,751,20,384,0,1,105
BEL 48-2412,KI,111,308,15,168,0,0,42
RED 48-2628,KI,156,472,17,211,0,0,38
KIR 48-2922,KI,152,504,17,242,0,0,73
KIR 48-2788,KI,119,354,16,215,0,0,80
RED 48-2642,KI,84,263,6,117,0,0,27
RED 48-2641,KI,260,645,27,396,0,0,109
RED 48-2640,KI,140,356,19,208,0,1,48
KIR 48-2731,KI,150,483,17,233,1,0,65
BEL 48-0694,KI,183,556,19,279,0,0,77
BEL 48-2778,KI,99,243,10,148,0,0,39
BEL 48-2773,KI,92,287,7,142,0,0,43
BEL 48-2772,KI,125,345,19,205,0,0,61
BEL 48-3166,KI,181,561,23,278,0,0,74
BEL 48-2777,KI,58,229,4,89,0,0,27
BEL 48-2776,KI,170,495,18,274,0,0,86
BEL 48-2775,KI,183,478,12,264,0,0,69
BEL 48-2774,KI,118,434,17,186,0,0,51
BEL 48-0198,KI,238,846,25,375,0,1,111
BEL 48-3498,KI,77,239,15,153,0,0,61
BEL 48-0191,KI,106,300,8,146,0,0,32
BEL 48-0190,KI,118,443,20,192,0,0,54
BEL 48-0193,KI,134,407,12,205,0,1,58
BEL 48-0192,KI,131,364,19,207,0,0,57
BEL 48-0194,KI,111,287,8,159,0,0,40
BEL 48-0196,KI,100,302,6,174,0,0,68
RED 48-2636,KI,182,451,18,256,0,0,56
SILVER SPURS,KI,8,18,0,10,0,0,2
RED 48-2634,KI,160,389,12,231,0,0,59
RED 48-2635,KI,151,387,16,224,0,1,56
RED 48-2632,KI,79,225,12,130,0,0,39
RED 48-2633,KI,254,626,28,375,0,0,93
RED 48-2630,KI,182,394,10,257,0,0,65
RED 48-2467,KI,161,398,12,215,0,0,42
RED 48-2466,KI,299,749,40,460,0,1,120
RED 48-2966,KI,131,526,7,179,0,1,40
RED 48-3147,KI,130,439,10,175,0,0,35
RED 48-2790,KI,215,592,32,323,0,0,76
BEL 48-3675,KI,88,330,8,141,0,0,45
BEL 48-3674,KI,114,436,12,185,0,0,59
RED 48-0940,KI,161,399,11,258,0,2,84
RED 48-3548,KI,96,292,5,145,0,0,44
HPT 48-0533,KI,83,334,8,204,0,0,113
YPT 48-1234,KI,153,411,20,250,0,3,74
BEL 48-0188,KI,151,472,14,244,0,0,79
BEL 48-0189,KI,159,523,20,232,0,1,52
BEL 48-0186,KI,111,277,11,165,0,0,43
YPT 48-1233,KI,132,401,10,226,0,0,84
RED 48-3134,KI,112,351,15,181,0,0,54
RED 48-2789,KI,106,438,12,145,0,0,27
RED 48-3415,KI,108,327,11,160,0,0,41
BEL 48-0171,KI,156,396,16,234,0,0,62
BEL 48-0170,KI,80,225,9,128,0,0,39
BEL 48-0177,KI,163,408,13,236,0,0,60
BEL 48-0223,KI,200,435,14,286,0,0,72
BEL 48-0221,KI,185,617,23,304,0,2,94
BEL 48-0178,KI,93,406,12,134,0,0,29
BEL 48-0227,KI,211,662,28,326,0,1,86
BEL 48-0226,KI,116,315,13,187,0,0,58
BEL 48-0225,KI,163,464,11,264,0,0,90
BEL 48-0224,KI,239,636,22,358,0,0,97
BEL 48-0159,KI,186,533,12,273,0,1,74
KIR 48-2598,KI,228,548,15,327,0,0,84
BEL 48-3292,KI,183,401,9,244,0,0,52
KIR 48-2863,KI,153,417,17,233,0,0,63
RED 48-2967,KI,277,821,27,373,0,1,68
RED 48-0942,KI,165,402,15,258,0,2,76
BEL 48-0160,KI,81,268,10,130,0,1,38
BEL 48-0162,KI,82,252,11,139,0,2,44
BEL 48-0163,KI,129,365,15,198,0,0,54
BEL 48-0164,KI,119,299,8,163,0,1,35
BEL 48-0165,KI,153,384,16,250,0,0,81
BEL 48-0166,KI,125,380,13,212,0,0,74
BEL 48-0167,KI,109,271,8,158,0,0,41
BEL 48-0168,KI,98,255,11,134,0,1,24
BEL 48-0169,KI,125,361,11,195,0,0,59
RED 48-0945,KI,155,453,14,245,0,0,76
MED 48-0750,KI,226,661,19,389,0,0,144
MED 48-0752,KI,189,527,9,311,0,4,109
BEL 48-2430,KI,194,486,15,290,0,0,81
BEL 48-2432,KI,144,403,16,225,0,1,64
BEL 48-2434,KI,163,394,17,259,0,0,79
RED 48-3208,KI,98,415,17,156,0,0,41
KIR 48-2919,KI,136,412,14,207,0,0,57
RED 48-3475,KI,126,356,8,210,0,1,75
BRIDLE TRAILS,KI,0,0,0,0,0,0,0
KIR 48-2913,KI,202,700,20,337,0,1,114
KIR 48-2914,KI,254,723,29,399,0,0,116
KIR 48-2915,KI,157,411,20,240,0,0,63
BEL 48-0154,KI,97,258,3,157,0,1,56
BEL 48-0156,KI,230,659,25,354,0,0,99
BEL 48-0151,KI,156,409,22,232,0,2,52
RED 48-2968,KI,206,817,25,298,0,0,67
BEL 48-0153,KI,113,314,3,160,0,1,43
BEL 48-0207,KI,119,327,15,186,0,0,52
RED 48-2969,KI,159,443,20,253,0,1,73
BEL 48-0201,KI,162,512,17,293,0,1,113
RED 48-2449,KI,202,518,12,290,0,0,76
RED 48-2448,KI,194,544,18,316,0,1,103
KIR 48-3196,KI,147,428,14,233,0,0,72
KIR 48-0642,KI,158,430,20,253,0,0,75
KIR 48-0643,KI,80,314,13,141,0,1,47
KIR 48-0641,KI,142,370,18,221,0,0,61
KIR 48-0646,KI,194,511,16,305,0,1,94
KIR 48-0644,KI,235,716,25,393,0,0,133
KIR 48-0645,KI,81,230,11,127,0,0,35
