Row Label,County,Scott D. Furman,Les V. Stokes
SOURDOUGH,OK,22,49
HIGHWAY,OK,16,10
DAVIS LAKE,OK,70,23
LEECHER MTN,OK,42,31
SOUTH OROVILLE,OK,21,38
BEEMAN,OK,48,29
MYERS CREEK,OK,13,14
BLUE LAKE,OK,32,28
POGUE,OK,48,39
MONSE #3,OK,18,23
TORODA,OK,35,32
MONSE #1,OK,40,27
BOUNDARY,OK,33,24
OMAK #9,OK,60,14
TONASKET #6,OK,15,12
SAN POIL,OK,53,37
LAKE ANDREWS,OK,29,17
ENGH,OK,43,29
OKANOGAN #2,OK,38,16
ANTOINE CREEK,OK,24,16
BRIDGE CREEK,OK,54,12
RIVERSIDE RURAL,OK,53,47
SPRING COULEE,OK,45,26
SPECTACLE LAKE,OK,21,29
AIRPORT,OK,42,29
DULEY LAKE,OK,26,9
OROVILLE #9,OK,23,12
FLATS,OK,28,15
WINTHROP #1,OK,73,28
OROVILLE #5,OK,24,20
OROVILLE #6,OK,15,9
CROSSROADS,OK,19,28
OROVILLE #1,OK,33,15
OROVILLE #2,OK,20,8
OROVILLE #3,OK,16,14
LIBBY CREEK,OK,52,49
OKANOGAN RURAL,OK,29,16
OKANOGAN #4,OK,40,12
WEST RIVER,OK,22,18
BALKY HILL,OK,39,24
COPPLE,OK,47,22
DISAUTEL(*),OK,0,0
MISSION,OK,23,12
NESPELEM RURAL,OK,23,5
PATTERSON LAKE,OK,81,26
MCGINNIS LAKE,OK,8,7
HORSESHOE LAKE,OK,27,20
OKANOGAN #8,OK,31,12
NICHOLS,OK,18,13
CONCONULLY CITY,OK,57,35
ORCHARD,OK,40,5
ELMER CITY,OK,55,23
MCCLURE MTN,OK,60,37
ALTA LAKE,OK,28,28
PEARRYGIN LAKE,OK,34,23
COLEMAN BUTTE,OK,43,11
TWISP #4,OK,21,12
JOHNSON CREEK,OK,42,19
TWISP #3,OK,53,28
TWISP #1,OK,54,37
DUFFYS MTN,OK,20,11
LOOMIS,OK,41,30
RIVERSIDE CITY,OK,47,24
SHORELINE,OK,18,17
SIMILKAMEEN,OK,16,15
PIONEER,OK,26,25
CRUMBACHER,OK,30,35
OMAK #11,OK,51,25
OMAK #12,OK,38,21
LONE PINE,OK,30,4
OMAK #14,OK,25,9
OMAK #15,OK,49,23
OMAK #16,OK,45,5
OMAK #17,OK,55,21
PICKENS MTN,OK,32,13
EDER,OK,30,23
WANNACUT,OK,31,42
CAPE LABELLE,OK,18,19
DIXON,OK,40,22
JANIS,OK,26,12
SIWASH CREEK,OK,25,30
BOSTON,OK,59,25
CHEROKEE,OK,43,27
RANCHES,OK,19,8
WOLF CREEK,OK,46,19
HENDRICK,OK,53,22
ELMERTON,OK,58,33
TONASKET #4,OK,29,14
FRONTAGE,OK,11,7
LEESE,OK,10,16
TONASKET #1,OK,24,8
OKANOGAN #11,OK,45,10
TONASKET #3,OK,12,10
TONASKET #2,OK,31,13
KERMEL,OK,30,26
ANGLIN,OK,30,40
OMAK LAKE,OK,29,11
SAND FLAT,OK,48,24
MALOTT,OK,46,36
BREWSTER #5,OK,15,14
BODIE,OK,11,12
CHILIWIST,OK,31,25
TONASKET #5,OK,22,19
AENEAS,OK,20,25
COULEE DAM #3,OK,24,15
COULEE DAM #2,OK,37,20
COULEE DAM #1,OK,45,28
WESTLAKE,OK,16,18
TONASKET #7,OK,23,29
LEWIS BUTTE,OK,62,30
STARR,OK,7,29
OKANOGAN #10,OK,51,15
BEAVER CREEK,OK,29,13
NORTH MALOTT,OK,47,28
OKANOGAN #12,OK,34,4
WAUCONDA,OK,29,26
WINTHROP RURAL,OK,77,28
DUCK LAKE,OK,22,11
EASTSIDE,OK,64,32
HUDSON,OK,19,10
NIGHTHAWK,OK,10,8
CONCONULLY RURAL,OK,26,20
ANTOINE PEAK,OK,18,12
OROVILLE #10,OK,31,15
OMAK #18,OK,25,7
TWISP #2,OK,42,28
EASTLAKE,OK,21,5
Total,OK,7236,4384
MOCK,OK,41,14
