Row Label,County,Jeffrey J. Jahns
BREMERTON 058,KP,318
UELAND 082,KP,0
WATERMAN 295,KP,196
BREMERTON 054,KP,184
PIONEER 152,KP,379
SILVERDALE 160,KP,340
BREMERTON 051,KP,34
BREMERTON 052,KP,208
BREMERTON 053,KP,402
SEABECK 155,KP,425
POWERLINE 086,KP,3
PARKWOOD 270,KP,387
ISLAND LAKE 427,KP,320
BREMERTON 109,KP,30
BREIDABLIK 410,KP,342
BREMERTON 107,KP,0
WHISPERING PINES 227,KP,344
FRAGARIA 259,KP,261
LOVGREN 332,KP,178
BANDIX 263,KP,320
FORT WARD 318,KP,305
FUSON 175,KP,324
HARPER 240,KP,273
WILLOCK 258,KP,263
LIBERTY 325,KP,276
PORT ORCHARD 203,KP,174
SPRING CREEK 217,KP,239
MULLENIX 260,KP,383
LARSON 153,KP,393
FINCH 314,KP,216
ROLLING BAY 330,KP,288
BREMERTON 029,KP,257
TOTTEN 463,KP,281
WOODRIDGE 222,KP,186
MANZANITA 336,KP,210
OLD FRONTIER 106,KP,365
BREMERTON 022,KP,222
NEBRASKA 223,KP,324
EAGLE HARBOR 317,KP,229
NEW BROOKLYN 322,KP,203
TOLO 333,KP,261
FERNCLIFF 315,KP,452
S&#39;KLALLAM 418,KP,34
KITSAP LAKE 085,KP,24
PORT ORCHARD 202,KP,382
NAVY YARD CITY 095,KP,327
PORT ORCHARD 200,KP,169
SANTA FE 148,KP,298
PORT ORCHARD 206,KP,0
FIRGLADE 137,KP,221
PORT ORCHARD 204,KP,263
PORT ORCHARD 205,KP,673
HUNTER 219,KP,249
CONIFER 271,KP,187
PORT ORCHARD 208,KP,0
PORT ORCHARD 209,KP,0
KEYPORT 425,KP,386
SCANDIA 455,KP,311
PORT MADISON 340,KP,258
ALPINE 111,KP,267
LUNDBERG 250,KP,358
POINT NO POINT 416,KP,458
VINLAND 412,KP,372
LINCOLN 440,KP,251
BREMERTON 032,KP,45
OVERLOOK 267,KP,285
BREMERTON 030,KP,260
BREMERTON 031,KP,143
BREMERTON 037,KP,400
APPLE TREE 422,KP,356
ERLANDS POINT 130,KP,228
RIDGEPOINT 141,KP,245
PERRY 073,KP,190
CRYSTAL SPRINGS 312,KP,398
CRESCENT VALLEY 266,KP,306
SHERMAN HEIGHTS 278,KP,8
SPINNAKER 146,KP,240
SINCLAIR 275,KP,160
PORT ORCHARD 215,KP,0
BLUE HERON 301,KP,455
SYMINGTON 151,KP,169
PORT ORCHARD 210,KP,227
FRONTIER 102,KP,366
RIDGEWAY 084,KP,83
WING POINT 305,KP,242
PEARSON 445,KP,424
BREMERTON 114,KP,0
SEABOLD 335,KP,357
TIBARDIS 139,KP,155
BREMERTON 007,KP,5
BREMERTON 006,KP,189
BREMERTON 005,KP,209
SUQUAMISH 460,KP,258
BREMERTON 003,KP,281
BREMERTON 002,KP,116
BREMERTON 001,KP,168
BUCKLIN 121,KP,369
MADRONA 269,KP,276
DRIVE-IN 283,KP,7
MILLER BAY 458,KP,368
CONVERSE 252,KP,295
LONG LAKE 245,KP,207
BREMERTON 088,KP,53
BREMERTON 159,KP,183
SUTTON 165,KP,226
OLYMPIC VIEW 103,KP,256
Total,KP,53018
