Row Label,County,D. Mark Eide,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
DES 33-0297,KI,76,240,45,121,0,0
JEFFERSON,KI,224,829,176,404,0,4
FED 30-3236,KI,219,746,128,351,0,4
BUR 34-0848,KI,137,421,122,261,0,2
DEVILLE,KI,148,558,114,263,0,1
FED 30-3023,KI,136,412,118,258,0,4
FED 30-3010,KI,116,335,76,197,0,5
DES 33-2626,KI,157,331,112,272,0,3
DES 33-2627,KI,144,347,84,229,0,1
DES 33-2625,KI,127,434,104,231,0,0
GRANDVIEW,KI,4,16,4,8,0,0
DES 33-2623,KI,121,333,104,225,0,0
FED 30-3035,KI,83,265,44,128,0,1
CAMELOT,KI,127,479,83,211,0,1
SET 33-3068,KI,116,464,111,228,0,1
FED 30-3234,KI,102,382,61,163,0,0
CARPENTER,KI,86,434,156,242,0,0
FED 30-3078,KI,129,402,88,218,0,1
FED 30-3079,KI,165,508,94,260,0,1
FED 30-2999,KI,88,392,49,137,0,0
DES 33-0911,KI,134,515,89,224,0,1
FED 30-2994,KI,68,225,49,118,0,1
FED 30-2995,KI,65,243,55,122,0,2
FED 30-2996,KI,125,510,92,218,0,1
FED 30-2990,KI,159,589,79,239,0,1
FED 30-2991,KI,119,360,68,187,0,0
FED 30-2992,KI,101,356,73,174,0,0
FED 30-2993,KI,211,677,125,340,0,4
SET 33-3057,KI,142,607,122,267,0,3
THOMAS,KI,140,442,105,249,0,4
SET 33-3107,KI,160,680,118,281,0,3
BUR 34-0025,KI,192,734,157,352,0,3
BUR 33-0562,KI,125,403,66,194,0,3
BUR 34-0381,KI,124,486,116,243,0,3
SEAVIEW,KI,115,393,105,221,0,1
DES 33-2394,KI,177,407,93,271,0,1
DES 33-2395,KI,100,263,62,162,0,0
SET 33-3059,KI,120,683,81,205,0,4
DES 33-1078,KI,87,354,63,150,0,0
DES 33-0361,KI,113,386,88,201,0,0
DES 33-0360,KI,202,582,171,373,0,0
DES 33-0363,KI,89,350,64,154,0,1
BUR 34-1150,KI,119,365,129,249,0,1
