Row Label,County,Suzan DelBene,Pedro Celis
GREENWOOD,SN,174,142
BEAR CREEK,SN,145,104
WINDSONG,SN,154,118
STRAWBERRY,SN,188,133
HEARTHSTONE,SN,129,104
MILL CREEK 18,SN,168,112
Total,SN,42972,37952
GATEWAY,SN,167,175
SUNRISE,SN,193,85
MILL CREEK 19,SN,230,186
