Row Label,County,Kevin M. Korsmo
PCT 3103,SP,208
PCT 3102,SP,168
PCT 3101,SP,225
PCT 3100,SP,269
PCT 3107,SP,289
PCT 3106,SP,253
PCT 3105,SP,244
PCT 3104,SP,285
PCT 3109,SP,237
PCT 3108,SP,197
PCT 4010,SP,298
PCT 4011,SP,394
PCT 4012,SP,459
PCT 4013,SP,278
PCT 4014,SP,217
PCT 4015,SP,215
PCT 4016,SP,324
PCT 4017,SP,399
PCT 4018,SP,227
PCT 4019,SP,243
PCT 6704,SP,291
PCT 6702,SP,200
PCT 6703,SP,262
PCT 6700,SP,298
PCT 6701,SP,279
PCT 7008,SP,335
PCT 7009,SP,428
PCT 7006,SP,351
PCT 7007,SP,301
PCT 7004,SP,321
PCT 7005,SP,455
PCT 7002,SP,242
PCT 7003,SP,377
PCT 7000,SP,421
PCT 7001,SP,232
PCT 6023,SP,163
PCT 6022,SP,295
PCT 6021,SP,290
PCT 6020,SP,467
PCT 6027,SP,285
PCT 6026,SP,445
PCT 6025,SP,236
PCT 6024,SP,157
PCT 6029,SP,278
PCT 6028,SP,253
PCT 4449,SP,191
PCT 3328,SP,295
PCT 4443,SP,192
PCT 4442,SP,238
PCT 4441,SP,255
PCT 4440,SP,346
PCT 4447,SP,158
PCT 4446,SP,204
PCT 4445,SP,289
PCT 4444,SP,354
Total,SP,94553
PCT 7301,SP,232
PCT 7300,SP,268
PCT 7302,SP,227
PCT 4407,SP,330
PCT 4406,SP,319
PCT 4405,SP,377
PCT 4404,SP,379
PCT 4403,SP,377
PCT 4402,SP,337
PCT 4401,SP,345
PCT 4400,SP,316
PCT 4409,SP,455
PCT 4408,SP,390
PCT 3219,SP,276
PCT 3218,SP,338
PCT 3213,SP,332
PCT 3212,SP,209
PCT 3211,SP,240
PCT 3210,SP,252
PCT 3217,SP,387
PCT 3216,SP,347
PCT 3215,SP,173
PCT 3214,SP,272
PCT 4300,SP,239
PCT 4301,SP,160
PCT 4302,SP,332
PCT 4303,SP,297
PCT 4304,SP,224
PCT 4305,SP,216
PCT 4306,SP,282
PCT 4307,SP,72
PCT 9500,SP,102
PCT 4003,SP,456
PCT 4002,SP,286
PCT 4001,SP,248
PCT 4007,SP,232
PCT 4006,SP,401
PCT 4005,SP,250
PCT 4004,SP,330
PCT 4009,SP,280
PCT 4008,SP,217
PCT 6302,SP,235
PCT 6303,SP,443
PCT 6300,SP,500
PCT 6301,SP,455
PCT 6306,SP,270
PCT 6307,SP,159
PCT 6304,SP,387
PCT 6305,SP,197
PCT 6308,SP,183
PCT 6309,SP,339
PCT 3000,SP,5
PCT 7011,SP,197
PCT 7010,SP,224
PCT 7013,SP,276
PCT 7012,SP,279
PCT 7015,SP,261
PCT 7014,SP,249
PCT 7017,SP,304
PCT 7016,SP,420
PCT 7019,SP,297
PCT 7018,SP,367
PCT 9300,SP,57
PCT 6401,SP,145
PCT 6400,SP,249
PCT 6402,SP,309
PCT 6016,SP,199
PCT 6017,SP,432
PCT 6014,SP,145
PCT 6015,SP,166
PCT 6012,SP,199
PCT 6013,SP,224
PCT 6010,SP,39
PCT 6011,SP,263
PCT 6018,SP,372
PCT 6019,SP,412
PCT 3318,SP,282
PCT 3319,SP,245
PCT 3316,SP,347
PCT 3317,SP,402
PCT 3314,SP,266
PCT 3315,SP,341
PCT 3312,SP,373
PCT 3313,SP,399
PCT 3310,SP,298
PCT 3311,SP,202
PCT 9008,SP,40
PCT 9004,SP,268
PCT 9005,SP,100
PCT 9006,SP,308
PCT 9007,SP,88
PCT 9000,SP,336
PCT 9001,SP,223
PCT 9002,SP,211
PCT 9003,SP,152
