Row Label,County,Rob Chase,Amy Biviano
PCT 4409,SP,442,267
PCT 4408,SP,428,212
PCT 3219,SP,220,231
PCT 3218,SP,243,337
PCT 3213,SP,182,350
PCT 3212,SP,133,246
PCT 3211,SP,145,299
PCT 3210,SP,135,283
PCT 3217,SP,270,310
PCT 3216,SP,246,373
PCT 3215,SP,120,187
PCT 3214,SP,193,271
PCT 4300,SP,282,119
PCT 4301,SP,181,71
PCT 4302,SP,290,201
PCT 4303,SP,362,139
PCT 4304,SP,202,137
PCT 4305,SP,211,117
PCT 4306,SP,353,155
PCT 4307,SP,71,36
PCT 9500,SP,106,53
PCT 4003,SP,499,207
PCT 4002,SP,338,168
PCT 4001,SP,231,125
PCT 4007,SP,234,129
PCT 4006,SP,434,195
PCT 4005,SP,312,129
PCT 4004,SP,388,167
PCT 4009,SP,335,136
PCT 4008,SP,240,117
PCT 6302,SP,206,142
PCT 6303,SP,392,295
PCT 6300,SP,454,308
PCT 6301,SP,454,269
PCT 6306,SP,312,145
PCT 6307,SP,185,74
PCT 6304,SP,377,264
PCT 6305,SP,206,109
PCT 6308,SP,176,112
PCT 6309,SP,294,202
PCT 3000,SP,3,4
PCT 7011,SP,238,80
PCT 7010,SP,292,122
PCT 7013,SP,351,106
PCT 7012,SP,333,147
PCT 7015,SP,316,158
PCT 7014,SP,289,164
PCT 7017,SP,357,155
PCT 7016,SP,402,224
PCT 7019,SP,296,156
PCT 7018,SP,370,212
PCT 9300,SP,68,25
PCT 6401,SP,118,85
PCT 6400,SP,206,137
PCT 6402,SP,252,165
PCT 6016,SP,201,91
PCT 6017,SP,439,350
PCT 6014,SP,157,103
PCT 6015,SP,165,126
PCT 6012,SP,201,90
PCT 6013,SP,220,135
PCT 6010,SP,43,18
PCT 6011,SP,275,106
PCT 6018,SP,372,279
PCT 6019,SP,352,311
PCT 3318,SP,196,214
PCT 3319,SP,189,207
PCT 3316,SP,248,308
PCT 3317,SP,303,341
PCT 3314,SP,192,200
PCT 3315,SP,255,249
PCT 3312,SP,291,274
PCT 3313,SP,310,296
PCT 3310,SP,249,216
PCT 3311,SP,167,132
PCT 9008,SP,69,14
PCT 9004,SP,326,123
PCT 9005,SP,144,29
PCT 9006,SP,401,124
PCT 9007,SP,113,24
PCT 9000,SP,353,155
PCT 9001,SP,245,156
PCT 9002,SP,277,73
PCT 9003,SP,190,60
