Row Label,County,David Frockt,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Van Sperry
SEA 46-2291,KI,158,387,21,204,0,1,24
SEA 46-2296,KI,172,391,23,237,0,1,41
SEA 46-2297,KI,135,283,14,169,0,1,19
SEA 46-2295,KI,238,481,26,310,0,1,45
SEA 46-1978,KI,217,501,32,328,0,0,79
SEA 46-2228,KI,172,486,24,234,0,1,37
LFP 46-1237,KI,197,419,17,275,0,0,61
SEA 46-2142,KI,278,674,20,357,0,2,57
KMR 46-0036,KI,238,649,18,383,0,0,127
SEA 46-1970,KI,111,250,13,161,0,0,37
SEA 46-1971,KI,128,325,13,200,0,2,57
SEA 46-1977,KI,140,321,18,217,0,0,59
SEA 46-1974,KI,193,415,25,269,0,0,51
SEA 46-2145,KI,220,497,23,297,0,1,53
SEA 46-2359,KI,163,341,13,203,0,0,27
SEA 46-2358,KI,371,846,37,494,0,2,84
SEA 46-2353,KI,154,488,11,199,0,2,32
SEA 46-2352,KI,140,338,13,181,0,0,28
SEA 46-2351,KI,174,314,11,200,1,0,14
SEA 46-2303,KI,210,422,29,284,0,0,45
SEA 46-2357,KI,231,472,30,309,1,0,47
SEA 46-2355,KI,162,354,13,224,0,0,49
KMR 46-0535,KI,158,610,33,324,0,1,132
LFP 46-0309,KI,252,582,33,386,0,1,100
SEA 46-2100,KI,203,370,17,246,0,0,26
LFP 46-0734,KI,251,575,21,349,0,0,77
SEA 46-2378,KI,163,322,16,212,0,0,33
KMR 46-1095,KI,213,785,38,421,0,1,169
SEA 46-2346,KI,153,364,10,193,0,0,30
LFP 46-0650,KI,165,354,11,221,0,1,44
SEA 46-2619,KI,200,539,26,279,0,1,52
SEA 46-2268,KI,158,330,12,205,0,0,35
KMR 46-2444,KI,151,418,14,237,0,0,72
SEA 46-2266,KI,153,494,37,288,0,1,97
SEA 46-2348,KI,121,274,11,161,0,0,29
SEA 46-2264,KI,405,768,35,487,0,1,46
SEA 46-2263,KI,323,599,28,396,0,1,44
SEA 46-2261,KI,136,256,9,175,0,0,30
SEA 46-2260,KI,410,722,35,511,0,1,65
SEA 46-2340,KI,280,680,35,381,0,0,66
SEA 46-2341,KI,252,569,27,349,0,3,67
SEA 46-2342,KI,148,406,11,187,0,0,28
SEA 46-2343,KI,154,341,14,194,0,0,26
SEA 46-2344,KI,255,760,19,329,0,1,54
SEA 46-2345,KI,148,294,11,196,0,0,37
SEA 46-2269,KI,158,305,15,197,0,1,23
SEA 46-2253,KI,256,521,25,322,0,0,41
SEA 46-2500,KI,160,360,17,209,0,2,30
SEA 46-2364,KI,129,355,18,185,0,2,36
SEA 46-1980,KI,155,381,27,257,0,0,75
SEA 46-2307,KI,174,313,15,215,0,0,26
SEA 46-2128,KI,184,542,27,247,0,1,35
KMR 46-0340,KI,151,443,17,306,0,0,138
KMR 46-1147,KI,210,764,29,368,0,0,129
SEA 46-2274,KI,143,256,13,167,0,0,11
SEA 46-2249,KI,129,250,7,170,0,1,33
SEA 46-2276,KI,200,382,21,250,0,0,29
SEA 46-2277,KI,304,568,21,368,0,1,42
SEA 46-2270,KI,181,290,7,202,0,0,14
SEA 46-2271,KI,261,476,27,319,0,1,30
SEA 46-2272,KI,189,367,20,247,1,0,37
SEA 46-2375,KI,167,312,15,210,0,0,28
SEA 46-2377,KI,300,574,26,391,0,2,63
SEA 46-2371,KI,287,656,25,371,0,0,59
SEA 46-2370,KI,101,428,9,137,0,0,27
SEA 46-2373,KI,263,683,28,331,0,0,40
LFP 46-1089,KI,207,554,31,321,0,0,83
KMR 46-3594,KI,72,322,6,155,0,0,77
KMR 46-3592,KI,119,396,8,190,0,0,63
SEA 46-2350,KI,151,407,11,217,0,1,54
SEA 46-2283,KI,174,348,19,214,0,0,21
LFP 46-0092,KI,220,646,25,341,0,0,96
KMR 46-1171,KI,178,588,17,281,0,0,86
SEA 46-2322,KI,235,532,17,281,0,0,29
KMR 46-2754,KI,97,344,25,211,0,0,89
SEA 46-2240,KI,238,431,26,290,0,0,26
SEA 46-2243,KI,263,514,39,359,0,0,57
KMR 46-2462,KI,100,258,10,164,0,0,54
SEA 46-2244,KI,147,268,18,191,0,0,26
SEA 46-2247,KI,338,630,32,421,0,0,51
SEA 46-2363,KI,164,380,18,213,0,1,30
SEA 46-2360,KI,159,469,16,202,0,1,26
SEA 46-2361,KI,142,359,21,206,0,0,43
SEA 46-2366,KI,180,451,21,241,0,0,40
SEA 46-2367,KI,164,449,12,229,0,0,53
SEA 46-2056,KI,190,330,12,228,0,0,26
SEA 46-2057,KI,217,443,29,310,0,0,64
SEA 46-2245,KI,255,409,20,322,0,0,47
SEA 46-2143,KI,121,285,17,163,0,0,25
SEA 46-2369,KI,182,419,28,262,0,0,52
LFP 46-0397,KI,142,397,14,204,0,0,48
SEA 46-2320,KI,146,350,12,222,0,2,62
SEA 46-1312,KI,134,326,15,181,0,0,32
SEA 46-1313,KI,145,280,11,168,0,0,12
SEA 46-1310,KI,186,397,20,229,0,1,22
SEA 46-1311,KI,151,427,24,198,0,0,23
SEA 46-1314,KI,164,330,18,210,0,0,28
SEA 46-1400,KI,175,425,16,221,0,0,30
SEA 46-1401,KI,229,686,29,311,0,2,51
SEA 46-1404,KI,177,441,15,217,0,0,25
LFP 46-0400,KI,202,519,24,315,0,1,88
KMR 46-2765,KI,219,715,29,363,0,3,112
KMR 46-2764,KI,108,269,6,155,0,0,41
KMR 46-0677,KI,172,552,20,274,0,0,82
SEA 46-2257,KI,413,799,43,509,0,0,53
SEA 46-2252,KI,145,261,12,172,0,0,15
LFP 46-1075,KI,136,366,17,217,0,0,64
SEA 46-2251,KI,274,555,27,352,0,0,51
SEA 46-2317,KI,214,433,22,269,0,2,31
SEA 46-2316,KI,178,411,19,239,0,1,41
SEA 46-2314,KI,179,337,10,217,0,1,27
SEA 46-2313,KI,168,538,26,248,0,2,52
SEA 46-2153,KI,177,492,16,231,0,2,36
SEA 46-2311,KI,210,451,14,256,0,0,32
SEA 46-2310,KI,233,386,12,277,0,0,32
KMR 46-3148,KI,190,671,19,320,0,1,110
SEA 46-2152,KI,133,378,21,192,0,2,36
KMR 46-0572,KI,228,629,21,356,0,0,107
KMR 46-0573,KI,245,726,20,361,0,1,95
SEA 46-2319,KI,223,506,24,323,0,0,76
SEA 46-2318,KI,167,277,5,188,0,2,14
LFP 46-2763,KI,129,276,17,186,0,1,39
KMR 46-0473,KI,158,438,16,253,1,1,77
SEA 46-2285,KI,184,286,8,211,0,0,19
LFP 46-0655,KI,318,679,25,426,0,0,83
LFP 46-0654,KI,220,471,14,307,0,0,73
LFP 46-0653,KI,210,412,9,285,0,0,66
LFP 46-0652,KI,113,230,11,156,0,0,32
LFP 46-1143,KI,183,436,26,299,0,0,90
