Row Label,County,Gael Tarleton,Paul Addis,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 36-2125,KI,284,37,620,34,357,0,2
SEA 36-2121,KI,163,27,443,25,216,0,1
SEA 36-2120,KI,229,22,413,21,273,0,1
SEA 36-3689,KI,125,21,398,19,166,0,1
SEA 36-2592,KI,170,17,352,16,205,0,2
SEA 36-3686,KI,177,49,501,25,254,0,3
SEA 36-2593,KI,141,18,289,15,174,0,0
SEA 36-2535,KI,223,36,566,32,291,0,0
SEA 36-1770,KI,129,20,234,10,159,0,0
SEA 36-1746,KI,161,31,313,10,203,0,1
SEA 36-1747,KI,154,22,296,19,195,0,0
SEA 36-1744,KI,189,16,393,23,228,0,0
SEA 36-2506,KI,172,18,311,12,202,0,0
SEA 36-1742,KI,140,28,296,17,185,0,0
SEA 36-1743,KI,156,24,391,26,206,0,0
SEA 36-1740,KI,164,24,323,20,208,0,0
SEA 36-1732,KI,211,35,449,32,278,0,0
SEA 36-2134,KI,211,27,490,27,266,0,1
SEA 36-2130,KI,197,28,388,18,243,0,0
SEA 36-1731,KI,175,25,404,30,230,0,0
SEA 36-1748,KI,140,13,261,16,169,0,0
SEA 36-1749,KI,299,45,681,24,370,0,2
SEA 36-2590,KI,179,18,364,15,213,0,1
SEA 36-2749,KI,98,24,336,8,130,0,0
SEA 36-2536,KI,240,52,567,36,329,0,1
SEA 36-2743,KI,244,55,501,33,332,0,0
SEA 36-1737,KI,144,26,416,23,193,0,0
SEA 36-1736,KI,160,26,341,22,209,0,1
SEA 36-2505,KI,182,27,324,17,228,0,2
SEA 36-1735,KI,127,16,252,17,160,0,0
SEA 36-2504,KI,182,17,303,14,213,0,0
SEA 36-1805,KI,173,30,473,36,239,0,0
SEA 36-1323,KI,210,18,401,15,243,0,0
SEA 36-1801,KI,293,61,896,36,391,0,1
SEA 36-2507,KI,135,24,283,19,180,0,2
SEA 36-1803,KI,134,19,298,25,178,0,0
SEA 36-3586,KI,337,45,801,25,407,0,0
SEA 36-3587,KI,190,53,590,29,273,0,1
SEA 36-2518,KI,185,36,425,25,246,0,0
SEA 36-1709,KI,118,22,359,14,154,0,0
SEA 36-3669,KI,115,29,349,10,157,0,3
SEA 36-1734,KI,216,32,497,38,286,0,0
SEA 36-2512,KI,269,39,505,22,331,0,1
SEA 36-2513,KI,238,23,434,39,301,0,1
SEA 36-2510,KI,173,27,352,20,221,0,1
SEA 36-2118,KI,210,27,383,12,250,0,1
SEA 36-2517,KI,278,64,613,40,382,0,0
SEA 36-2514,KI,138,37,298,18,193,0,0
SEA 36-2515,KI,187,21,361,25,233,0,0
SEA 36-2503,KI,152,32,305,12,196,0,0
SEA 36-2527,KI,145,27,294,20,195,0,3
SEA 36-1741,KI,170,20,325,17,207,0,0
SEA 36-3345,KI,188,41,517,29,260,0,2
SEA 36-1324,KI,388,38,779,51,477,0,0
SEA 36-1325,KI,191,30,465,24,246,0,1
SEA 36-1326,KI,347,58,693,29,436,0,2
SEA 36-1730,KI,183,27,385,12,222,0,0
SEA 36-1320,KI,188,26,362,20,234,0,0
SEA 36-1321,KI,216,23,416,19,258,0,0
SEA 36-1322,KI,241,23,479,21,286,0,1
SEA 36-1668,KI,178,43,443,21,244,0,2
SEA 36-2750,KI,142,35,458,21,198,0,0
SEA 36-1739,KI,163,26,309,16,207,0,2
SEA 36-1738,KI,161,13,295,16,190,0,0
SEA 36-1328,KI,315,38,756,36,390,0,1
SEA 36-1329,KI,191,31,410,32,254,0,0
