Row Label,County,Russ Hauge,Tina Robinson
HERITAGE PARK 112,KP,153,217
BREMERTON 294,KP,0,0
ORCA 421,KP,199,159
MINTERBROOK 216,KP,85,151
ALASKA 221,KP,320,299
GLENWOOD 232,KP,230,406
MEADOWMEER 321,KP,152,77
APEX 162,KP,232,360
OLALLA 265,KP,171,215
WINSTON 129,KP,98,115
RIDGETOP 149,KP,141,222
EAGLE CREST 164,KP,278,299
LOCKER 246,KP,292,362
BROWNSVILLE 105,KP,252,400
KINGSTON 430,KP,379,340
VENA 173,KP,206,206
CEDAR 211,KP,223,224
BREMERTON 041,KP,212,139
BREMERTON 040,KP,241,163
POULSBO 401,KP,303,322
BREMERTON 046,KP,215,208
CAMBRIDGE 144,KP,121,190
BREMERTON 056,KP,176,199
TWIN SPITS 417,KP,344,251
BIG VALLEY 441,KP,159,219
CHARLAND 110,KP,117,256
SKIFF POINT 328,KP,305,123
LOST HIGHWAY 157,KP,162,357
TRIDENT 101,KP,24,76
WILSON CREEK 242,KP,194,247
SYLVAN 066,KP,257,215
PORT ORCHARD 201,KP,214,206
EVERGREEN 257,KP,308,375
FERNWOOD 230,KP,216,377
MANCHESTER 255,KP,221,197
SUNNYSLOPE 281,KP,155,250
LOFALL 442,KP,314,381
BLAKELY 310,KP,323,129
PORT ORCHARD 207,KP,181,251
WOODMERE 127,KP,248,312
BREMERTON 058,KP,264,178
UELAND 082,KP,0,0
WATERMAN 295,KP,158,180
BREMERTON 054,KP,136,107
PIONEER 152,KP,268,350
SILVERDALE 160,KP,237,270
BREMERTON 051,KP,18,25
BREMERTON 052,KP,155,141
BREMERTON 053,KP,295,260
SEABECK 155,KP,220,492
PARKWOOD 270,KP,246,291
ISLAND LAKE 427,KP,187,262
BREMERTON 109,KP,21,18
BREIDABLIK 410,KP,240,261
BREMERTON 107,KP,0,0
WHISPERING PINES 227,KP,179,337
FRAGARIA 259,KP,205,265
LOVGREN 332,KP,198,106
BANDIX 263,KP,213,361
FORT WARD 318,KP,359,160
FUSON 175,KP,180,259
HARPER 240,KP,249,216
WILLOCK 258,KP,175,263
LIBERTY 325,KP,317,129
PORT ORCHARD 203,KP,113,126
SPRING CREEK 217,KP,163,207
MULLENIX 260,KP,241,323
LARSON 153,KP,195,402
FINCH 314,KP,266,127
ROLLING BAY 330,KP,335,176
BREMERTON 029,KP,208,173
TOTTEN 463,KP,238,160
WOODRIDGE 222,KP,95,187
MANZANITA 336,KP,262,104
OLD FRONTIER 106,KP,215,366
BREMERTON 022,KP,160,153
NEBRASKA 223,KP,193,258
EAGLE HARBOR 317,KP,270,106
NEW BROOKLYN 322,KP,213,112
TOLO 333,KP,298,148
FERNCLIFF 315,KP,492,202
S&#39;KLALLAM 418,KP,39,4
PORT ORCHARD 202,KP,257,271
NAVY YARD CITY 095,KP,225,209
PORT ORCHARD 200,KP,110,121
SANTA FE 148,KP,174,226
PORT ORCHARD 206,KP,0,0
FIRGLADE 137,KP,122,190
PORT ORCHARD 204,KP,204,200
PORT ORCHARD 205,KP,491,495
HUNTER 219,KP,141,271
CONIFER 271,KP,122,145
PORT ORCHARD 208,KP,0,0
PORT ORCHARD 209,KP,0,0
KEYPORT 425,KP,252,342
SCANDIA 455,KP,207,311
BREMERTON 293(*),KP,0,0
PORT MADISON 340,KP,262,129
ALPINE 111,KP,168,238
LUNDBERG 250,KP,219,271
POINT NO POINT 416,KP,425,340
VINLAND 412,KP,274,310
LINCOLN 440,KP,195,249
BREMERTON 032,KP,34,26
OVERLOOK 267,KP,222,175
BREMERTON 030,KP,198,199
BREMERTON 031,KP,127,97
BREMERTON 037,KP,236,336
APPLE TREE 422,KP,310,248
ERLANDS POINT 130,KP,173,182
RIDGEPOINT 141,KP,161,194
PERRY 073,KP,142,142
CRYSTAL SPRINGS 312,KP,475,210
CRESCENT VALLEY 266,KP,236,275
SHERMAN HEIGHTS 278,KP,11,7
SPINNAKER 146,KP,174,155
SINCLAIR 275,KP,116,135
PORT ORCHARD 215,KP,0,0
BLUE HERON 301,KP,553,171
SYMINGTON 151,KP,100,174
PORT ORCHARD 210,KP,121,193
FRONTIER 102,KP,214,343
RIDGEWAY 084,KP,34,93
WING POINT 305,KP,268,153
PEARSON 445,KP,285,394
BREMERTON 114,KP,0,0
SEABOLD 335,KP,400,201
TIBARDIS 139,KP,93,126
BREMERTON 007,KP,4,6
BREMERTON 006,KP,162,109
BREMERTON 005,KP,177,101
SUQUAMISH 460,KP,234,148
BREMERTON 003,KP,196,205
BREMERTON 002,KP,104,87
BREMERTON 001,KP,145,95
BUCKLIN 121,KP,221,298
MADRONA 269,KP,177,171
DRIVE-IN 283,KP,4,8
MILLER BAY 458,KP,316,294
CONVERSE 252,KP,187,235
LONG LAKE 245,KP,150,194
BREMERTON 088,KP,35,37
BREMERTON 159,KP,130,133
SUTTON 165,KP,126,183
OLYMPIC VIEW 103,KP,192,198
Total,KP,40167,41039
