Row Label,County,Larry Haskell,Breean L. Beggs
PCT 3309,SP,227,207
PCT 3308,SP,238,222
PCT 6500,SP,73,35
PCT 6218,SP,293,188
PCT 6219,SP,325,212
PCT 6210,SP,332,274
PCT 6211,SP,185,201
PCT 6212,SP,141,164
PCT 6213,SP,303,255
PCT 6214,SP,237,221
PCT 6215,SP,253,350
PCT 6216,SP,274,240
PCT 6217,SP,272,295
PCT 3110,SP,142,140
PCT 3111,SP,138,144
PCT 3112,SP,13,7
PCT 3113,SP,214,188
PCT 3114,SP,189,205
PCT 3115,SP,190,204
PCT 3116,SP,229,194
PCT 3117,SP,131,149
PCT 3118,SP,114,165
PCT 3119,SP,149,178
PCT 4429,SP,365,183
PCT 4428,SP,216,128
PCT 4425,SP,242,140
PCT 4424,SP,303,165
PCT 4427,SP,385,226
PCT 4426,SP,177,101
PCT 4421,SP,226,155
PCT 4420,SP,126,93
PCT 4423,SP,413,246
PCT 4422,SP,296,200
PCT 7033,SP,197,130
PCT 7032,SP,287,215
PCT 7031,SP,276,177
PCT 7030,SP,355,182
PCT 7036,SP,226,137
PCT 7035,SP,210,105
PCT 7034,SP,169,130
PCT 6602,SP,306,146
PCT 6601,SP,279,106
PCT 6600,SP,242,195
PCT 6030,SP,446,226
PCT 6031,SP,224,137
PCT 6032,SP,238,63
PCT 6033,SP,488,226
PCT 6034,SP,395,140
PCT 6035,SP,201,103
PCT 6036,SP,201,94
PCT 6037,SP,204,75
PCT 4450,SP,140,105
PCT 4451,SP,225,143
PCT 4452,SP,264,118
PCT 4453,SP,347,134
PCT 4454,SP,180,167
PCT 4455,SP,256,134
PCT 3300,SP,303,128
PCT 4029,SP,292,186
PCT 4028,SP,441,211
PCT 4021,SP,335,172
PCT 4020,SP,350,181
PCT 4023,SP,130,54
PCT 4022,SP,285,158
PCT 4025,SP,329,130
PCT 4024,SP,246,111
PCT 4027,SP,317,116
PCT 4026,SP,318,97
PCT 4431,SP,248,162
PCT 4414,SP,365,203
PCT 4415,SP,248,163
PCT 4416,SP,275,183
PCT 4417,SP,165,146
PCT 4410,SP,352,201
PCT 4411,SP,353,163
PCT 4412,SP,260,123
PCT 4413,SP,270,198
PCT 4418,SP,294,187
PCT 4419,SP,331,179
PCT 4201,SP,111,104
PCT 4200,SP,192,183
PCT 9600,SP,47,21
PCT 6100,SP,158,113
PCT 6101,SP,242,150
PCT 6102,SP,243,155
PCT 6103,SP,80,88
PCT 6104,SP,154,157
PCT 6105,SP,207,165
PCT 6106,SP,278,254
PCT 6107,SP,166,137
PCT 6108,SP,171,170
PCT 6109,SP,151,102
PCT 3208,SP,191,237
PCT 3209,SP,262,258
PCT 3200,SP,112,242
PCT 3201,SP,166,331
PCT 3202,SP,115,156
PCT 3203,SP,142,275
PCT 3204,SP,120,223
PCT 3205,SP,161,232
PCT 3206,SP,101,236
PCT 3207,SP,98,135
PCT 6209,SP,184,289
PCT 6208,SP,273,339
PCT 6203,SP,203,422
PCT 6202,SP,240,266
PCT 6201,SP,240,198
PCT 6200,SP,288,314
PCT 6207,SP,368,249
PCT 6206,SP,245,397
PCT 6205,SP,229,399
PCT 6204,SP,271,463
PCT 3103,SP,129,141
PCT 3102,SP,119,113
PCT 3101,SP,154,158
PCT 3107,SP,189,196
PCT 3106,SP,165,178
PCT 3105,SP,131,193
PCT 3104,SP,183,206
PCT 3109,SP,168,166
PCT 3108,SP,155,126
PCT 4010,SP,315,137
PCT 4011,SP,506,174
PCT 4012,SP,549,201
PCT 4013,SP,326,111
PCT 4014,SP,193,128
PCT 4015,SP,238,128
PCT 4016,SP,338,170
PCT 4017,SP,368,220
PCT 4018,SP,222,116
PCT 4019,SP,233,134
PCT 6704,SP,271,167
PCT 6702,SP,157,154
PCT 6703,SP,198,204
PCT 6700,SP,250,165
PCT 6701,SP,212,208
PCT 7008,SP,428,168
PCT 7009,SP,469,212
PCT 7006,SP,372,163
PCT 7007,SP,308,160
PCT 7004,SP,389,122
PCT 7005,SP,494,245
PCT 7002,SP,276,99
PCT 7003,SP,373,147
PCT 7000,SP,499,191
PCT 7001,SP,266,133
PCT 6023,SP,195,86
PCT 6022,SP,306,187
PCT 6021,SP,271,176
PCT 6020,SP,370,341
PCT 6027,SP,292,168
PCT 6026,SP,435,253
PCT 6025,SP,235,128
PCT 6024,SP,192,105
PCT 6029,SP,308,149
PCT 6028,SP,246,136
PCT 4449,SP,151,143
PCT 3328,SP,152,295
PCT 4443,SP,201,79
PCT 4442,SP,214,132
PCT 4441,SP,240,118
PCT 4440,SP,338,187
PCT 4447,SP,134,99
PCT 4446,SP,163,116
PCT 4445,SP,285,145
PCT 4444,SP,348,184
Total,SP,87548,59129
PCT 7301,SP,226,119
PCT 7300,SP,282,131
PCT 7302,SP,222,104
PCT 4407,SP,283,229
PCT 4406,SP,239,223
PCT 4405,SP,309,222
PCT 4404,SP,350,187
PCT 4403,SP,302,228
PCT 4402,SP,244,203
PCT 4401,SP,319,215
PCT 4400,SP,275,198
PCT 4409,SP,466,234
PCT 4408,SP,458,179
PCT 3219,SP,236,225
PCT 3218,SP,265,329
PCT 3213,SP,197,341
PCT 3212,SP,140,242
PCT 3211,SP,149,298
PCT 3210,SP,143,278
PCT 3217,SP,296,276
PCT 3216,SP,261,367
PCT 3215,SP,115,196
PCT 3214,SP,224,257
PCT 4300,SP,282,110
PCT 4301,SP,193,58
PCT 4302,SP,319,170
PCT 4303,SP,396,95
PCT 4304,SP,216,127
PCT 4305,SP,229,102
PCT 4306,SP,365,131
PCT 4307,SP,68,40
PCT 9500,SP,109,50
PCT 4003,SP,516,192
PCT 4002,SP,350,152
PCT 4001,SP,239,117
PCT 4007,SP,245,125
PCT 4006,SP,465,176
PCT 4005,SP,325,115
PCT 4004,SP,410,142
PCT 4009,SP,333,141
PCT 4008,SP,254,96
PCT 6302,SP,218,131
PCT 6303,SP,424,269
PCT 6300,SP,486,279
PCT 6301,SP,487,233
PCT 6306,SP,319,142
PCT 6307,SP,193,65
PCT 6304,SP,401,247
PCT 6305,SP,241,85
PCT 6308,SP,180,108
PCT 6309,SP,305,196
PCT 7011,SP,239,77
PCT 7010,SP,304,105
PCT 7013,SP,374,89
PCT 7012,SP,335,142
PCT 7015,SP,337,145
PCT 7014,SP,301,145
PCT 7017,SP,383,131
PCT 7016,SP,457,182
PCT 7019,SP,323,134
PCT 7018,SP,389,196
PCT 9300,SP,61,28
PCT 6401,SP,120,84
PCT 6400,SP,223,124
PCT 6402,SP,282,135
PCT 6016,SP,209,91
PCT 6017,SP,507,280
PCT 6014,SP,168,85
PCT 6015,SP,158,127
PCT 6012,SP,210,78
PCT 6013,SP,218,141
PCT 6010,SP,47,14
PCT 6011,SP,283,98
PCT 6018,SP,424,228
PCT 6019,SP,383,270
PCT 3318,SP,197,219
PCT 3319,SP,205,191
PCT 3316,SP,277,287
PCT 3317,SP,318,332
PCT 3314,SP,207,187
PCT 3315,SP,257,252
PCT 3312,SP,308,268
PCT 3313,SP,325,287
PCT 3310,SP,251,219
PCT 3311,SP,171,127
PCT 9008,SP,66,15
PCT 9004,SP,355,92
PCT 9005,SP,144,31
PCT 9006,SP,404,129
PCT 9007,SP,103,30
PCT 9000,SP,358,151
PCT 9001,SP,255,149
PCT 9002,SP,285,73
PCT 9003,SP,190,55
