Row Label,County,Lisa Worswick
25-252,PI,342
25-251,PI,340
25-250,PI,162
25-257,PI,340
25-256,PI,349
25-255,PI,243
25-254,PI,224
Total,PI,141581
29-679,PI,267
29-678,PI,259
25-228,PI,385
25-226,PI,272
25-227,PI,210
29-673,PI,357
29-672,PI,200
25-222,PI,299
29-674,PI,111
25-220,PI,2
25-221,PI,373
30-708,PI,243
28-573,PI,237
28-572,PI,354
28-571,PI,6
28-570,PI,5
28-577,PI,12
28-576,PI,363
28-575,PI,2
28-574,PI,80
28-579,PI,64
28-578,PI,76
02-139,PI,331
02-138,PI,427
02-137,PI,174
02-136,PI,60
02-135,PI,367
02-134,PI,394
02-133,PI,98
02-131,PI,406
02-130,PI,188
27-428,PI,352
27-429,PI,367
27-426,PI,365
27-427,PI,359
27-424,PI,372
27-425,PI,348
27-422,PI,506
27-423,PI,428
27-420,PI,453
27-421,PI,339
26-328,PI,329
26-329,PI,414
26-324,PI,436
26-325,PI,372
26-326,PI,449
26-327,PI,421
26-320,PI,393
26-321,PI,507
26-322,PI,463
26-323,PI,436
28-506,PI,450
28-507,PI,372
28-504,PI,417
28-505,PI,446
28-502,PI,454
28-503,PI,469
28-501,PI,424
28-508,PI,208
28-509,PI,0
27-459,PI,215
27-458,PI,231
27-453,PI,245
27-452,PI,322
27-451,PI,283
27-450,PI,390
27-457,PI,319
27-456,PI,258
27-455,PI,295
27-454,PI,343
31-873,PI,63
31-874,PI,0
31-875,PI,337
31-876,PI,22
31-877,PI,136
31-879,PI,71
25-283,PI,217
25-262,PI,356
25-263,PI,315
25-260,PI,386
25-261,PI,282
25-266,PI,422
25-267,PI,187
25-264,PI,419
25-265,PI,398
25-268,PI,206
25-269,PI,246
29-600,PI,0
29-601,PI,274
29-602,PI,233
29-603,PI,309
29-604,PI,310
29-605,PI,253
29-606,PI,329
29-607,PI,387
29-608,PI,269
29-609,PI,222
31-881,PI,175
28-548,PI,342
28-549,PI,380
31-880,PI,111
28-542,PI,385
28-543,PI,356
28-540,PI,532
28-541,PI,390
28-546,PI,394
28-547,PI,518
28-545,PI,424
02-106,PI,377
30-709,PI,264
02-105,PI,130
02-101,PI,126
31-885,PI,117
30-701,PI,13
30-707,PI,158
30-706,PI,260
30-705,PI,178
31-884,PI,312
31-834,PI,222
31-835,PI,436
31-836,PI,264
31-837,PI,234
31-830,PI,123
31-887,PI,226
31-833,PI,278
31-886,PI,262
31-838,PI,208
31-839,PI,24
27-462,PI,388
27-463,PI,289
27-460,PI,362
27-461,PI,420
27-466,PI,336
27-467,PI,315
27-464,PI,331
27-465,PI,286
31-888,PI,236
27-468,PI,301
