Row Label,County,Essie Hicks,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Jay Rodne
M-V 05-3510,KI,74,381,14,213,0,0,125
IDA,KI,64,260,14,146,0,0,68
B-D 05-3310,KI,98,492,21,273,0,0,154
CAR 05-0290,KI,132,512,32,276,0,1,111
FALL CITY,KI,104,520,23,275,0,1,147
SNQ 05-3667,KI,81,451,18,224,0,0,125
BOWOOD,KI,154,625,36,339,0,1,148
VEAZIE,KI,105,619,31,356,0,0,220
TWO RIVERS,KI,199,779,31,465,0,0,235
FARLEY,KI,106,739,43,414,0,0,265
ALPINE,KI,106,564,33,324,0,0,185
LORA,KI,142,607,31,343,0,0,170
WAXWING,KI,61,295,13,178,0,0,104
FOUR LAKES,KI,141,733,26,403,0,0,236
KRAIN,KI,117,565,33,372,0,0,222
MILWAUKEE,KI,15,50,3,24,0,0,6
MARCEL,KI,85,371,18,207,0,0,104
M-V 05-3367,KI,106,763,25,358,0,2,225
M-V 05-3366,KI,74,446,11,172,0,0,87
GREEN RIVER,KI,70,482,25,261,0,0,166
KINGLET,KI,114,532,22,227,0,0,91
M-V 05-3369,KI,141,680,18,383,1,0,223
M-V 05-3368,KI,128,748,29,350,0,3,190
DUTHIE HILL,KI,69,356,10,208,0,0,129
M-V 05-3600,KI,103,616,28,270,0,0,139
ISS 05-3527,KI,119,587,25,249,0,0,105
BROOKSHIRE,KI,80,430,17,207,0,0,110
PATTERSON,KI,179,861,32,505,0,1,293
M-V 05-3272,KI,150,878,27,436,0,0,259
MCDONALD,KI,120,525,16,285,0,0,149
N-B 05-0859,KI,136,487,25,291,0,0,130
N-B 05-0858,KI,94,469,15,222,0,0,113
SNQ 05-3151,KI,126,627,15,297,0,1,155
GOLDFINCH,KI,77,281,12,165,0,0,76
RNT 05-3698,KI,14,52,0,27,0,0,13
LAKE RETREAT,KI,120,654,18,347,0,0,209
HUTCHINSON,KI,180,678,27,427,0,1,219
TAHOMA,KI,102,571,25,313,0,0,186
M-V 05-3373,KI,122,662,33,360,0,0,205
HUNTER,KI,168,811,42,389,0,1,178
MATTHEW,KI,93,461,18,243,0,0,132
ISS 05-3145,KI,162,895,35,406,0,1,208
M-V 05-0528,KI,92,344,18,266,0,0,156
HUSKY,KI,135,650,23,340,0,0,182
MCCOY,KI,98,646,25,368,0,0,245
VINCENT,KI,73,411,19,210,0,0,118
SNQ 05-3645,KI,0,0,0,0,0,0,0
SNQ 05-3512,KI,161,823,33,472,0,1,277
SNQ 05-3513,KI,163,896,35,463,0,0,265
ISS 05-3691,KI,79,314,15,172,0,0,78
ISS 05-3697,KI,0,0,0,0,0,0,0
SNQ 05-3514,KI,148,648,26,358,0,1,183
ENM 05-3414,KI,0,0,0,0,0,0,0
N-B 05-3611,KI,109,664,24,316,0,0,183
M-V 05-3242,KI,98,588,24,262,0,0,140
AMES LAKE,KI,193,810,40,445,0,0,212
NAILA,KI,174,798,35,416,0,1,206
VALENCIA,KI,101,501,23,258,0,0,134
M-V 05-3245,KI,108,636,20,367,0,3,236
KENTLAKE,KI,111,647,26,290,0,0,153
M-V 05-3461,KI,102,779,24,352,0,1,225
RANCH,KI,87,444,20,233,0,0,126
ISS 05-2929,KI,170,562,30,341,0,1,140
SNQ 05-3511,KI,132,860,31,477,0,0,314
COLLEEN,KI,154,488,16,304,0,0,134
HOBART,KI,127,621,25,374,0,2,220
COOPER,KI,106,473,23,278,0,1,148
ISS 05-3504,KI,138,610,22,267,0,0,107
M-V 05-2857,KI,161,703,25,394,0,0,208
SNQ 05-3633,KI,60,404,17,166,0,1,88
ISS 05-3503,KI,108,504,25,240,0,2,105
SNQ 05-3560,KI,105,502,17,263,0,1,140
ISS 05-3464,KI,177,829,29,376,0,1,169
ISS 05-3138,KI,139,435,16,287,0,0,132
KLAHANIE,KI,106,468,25,264,0,0,133
PINE,KI,22,139,5,76,0,0,49
SNO PASS,KI,55,208,5,131,0,1,70
KEN 05-3375,KI,0,0,0,0,0,0,0
