Row Label,County,"Nathaniel B. Green, Jr.",Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
AUB 31-0064,KI,83,408,42,125,0,0
AUB 31-0065,KI,77,288,47,125,0,1
KEN 47-2403,KI,101,466,65,171,0,5
B-D 05-3463,KI,0,0,0,0,0,0
CAMPBELL HILL,KI,147,642,99,250,0,4
RNT 11-2815,KI,133,677,81,215,0,1
WYNOCHE,KI,133,397,124,257,0,0
RNT 11-2816,KI,158,578,136,297,0,3
KEN 47-2477,KI,196,535,164,361,0,1
RNT 37-0991,KI,143,619,104,250,0,3
MILWAUKEE,KI,8,50,16,24,0,0
RNT 11-2475,KI,159,654,132,292,0,1
HAM LAKE,KI,140,467,125,267,0,2
KEN 47-2708,KI,127,485,99,226,0,0
BRYAN,KI,89,351,98,188,0,1
ALG 30-3141,KI,143,523,79,222,0,0
HUCKLEBERRY,KI,118,420,108,227,0,1
RNT 11-3223,KI,72,294,41,114,0,1
RNT 11-3222,KI,164,581,128,295,0,3
COV 47-1203,KI,240,885,180,421,0,1
KEN 47-2704,KI,267,773,162,430,0,1
RNT 11-1002,KI,75,332,66,142,0,1
KEN 33-2567,KI,100,369,87,187,0,0
KEN 47-2490,KI,212,673,118,331,0,1
KEN 33-2569,KI,242,856,147,390,0,1
MORTON,KI,223,723,198,425,0,4
LAKERIDGE,KI,215,751,195,411,0,1
ENM 31-3492,KI,82,333,79,164,0,3
RNT 41-0995,KI,198,740,145,346,0,3
RNT 41-0994,KI,152,488,98,250,0,0
RNT 41-0993,KI,163,703,158,321,0,0
MCDONALD,KI,145,525,138,285,0,2
RNT 37-1000,KI,75,532,66,142,0,1
RNT 11-3359,KI,132,487,54,188,0,2
RNT 37-0999,KI,198,760,144,343,0,1
RNT 11-0992,KI,79,295,48,127,0,0
RNT 11-0990,KI,130,448,69,199,0,0
RNT 11-0996,KI,143,562,113,257,0,1
RNT 11-0997,KI,191,875,133,328,0,4
KEN 47-0753,KI,156,622,90,249,0,3
KEN 47-2709,KI,246,839,159,407,0,2
RNT 11-3643,KI,100,363,78,180,0,2
RNT 11-0998,KI,104,363,67,171,0,0
LINCOLN,KI,82,312,85,168,0,1
KEN 33-0583,KI,111,371,91,203,0,1
KEN 33-3644,KI,139,486,73,213,0,1
KEN 33-0581,KI,212,684,98,311,0,1
KEN 33-0587,KI,119,470,90,209,0,0
KEN 33-0586,KI,153,437,103,256,0,0
KEN 33-0585,KI,138,569,83,224,0,3
KEN 33-0588,KI,84,317,72,157,0,1
KEN 47-1076,KI,182,668,119,301,0,0
KEN 33-3362,KI,100,365,74,174,0,0
KEN 47-1170,KI,103,412,76,180,0,1
RNT 11-3224,KI,113,457,98,214,0,3
MCDIVITT,KI,16,57,16,32,0,0
RNT 11-2607,KI,109,631,86,196,0,1
KEN 33-2864,KI,148,463,93,243,0,2
SAWYER,KI,194,594,188,382,0,0
CARRIAGE,KI,130,399,99,230,0,1
KEN 47-3652,KI,144,463,74,219,0,1
BLACK RIVER,KI,53,320,22,77,0,2
KEN 47-2836,KI,149,531,109,259,0,1
KEN 47-2834,KI,159,564,94,255,0,2
KEN 47-2939,KI,75,314,44,121,0,2
KEN 05-3462,KI,0,0,0,0,0,0
KEN 47-3344,KI,192,473,106,298,0,0
MAY VALLEY,KI,117,492,126,246,0,3
BITTERROOT,KI,134,483,123,262,0,5
ARIA,KI,130,428,108,239,0,1
GRASS LAKE,KI,137,374,97,235,0,1
RNT 11-0456,KI,178,635,109,291,0,4
COV 47-2586,KI,145,588,98,243,0,0
COV 47-1127,KI,169,606,134,303,0,0
PAC 30-2856,KI,146,686,82,230,0,2
KEN 47-0246,KI,144,479,115,261,0,2
KEN 47-2599,KI,217,748,126,345,0,2
RED MILL,KI,119,418,98,217,0,0
AUB 31-3405,KI,194,662,127,322,0,1
FAIRMONT,KI,102,394,111,216,0,3
M-V 05-1218,KI,227,674,150,378,0,1
RNT 11-3604,KI,133,591,101,234,0,0
RNT 11-3609,KI,90,461,81,173,0,2
LAKE MORTON,KI,84,232,64,151,0,3
M-V 05-3536,KI,140,572,134,275,0,1
SWEENEY,KI,163,575,177,341,0,1
AUB 47-0328,KI,241,684,155,397,0,1
RUDDELL,KI,120,397,92,214,0,2
KEN 47-1034,KI,217,745,139,356,0,0
FAIRGLEN,KI,140,442,118,258,0,0
AUB 31-0047,KI,159,574,102,264,0,3
KEN 47-0662,KI,214,659,184,399,0,1
KEN 11-3403,KI,161,549,103,264,0,0
AUB 47-2551,KI,220,824,109,332,0,3
CARRIAGE LANE,KI,167,621,145,314,0,2
AUB 30-0046,KI,109,351,58,169,0,2
AUB 47-3538,KI,198,719,166,366,0,2
AUB 47-3539,KI,126,436,117,245,0,2
RNT 11-3287,KI,161,705,175,338,0,2
WHITE RIVER,KI,156,597,181,337,0,0
HANSEN,KI,160,505,146,308,0,2
CEDAR RIVER,KI,124,481,134,259,0,1
RNT 11-3162,KI,62,209,41,106,0,3
AUB 47-0072,KI,152,525,137,289,0,0
AUB 47-0073,KI,159,687,81,244,0,4
COALFIELD,KI,208,713,184,396,0,4
AUB 47-0074,KI,193,569,100,294,0,1
KEN 47-3300,KI,138,527,113,254,0,3
CORNELL,KI,174,557,142,316,0,0
BRYN MAWR,KI,106,365,95,201,0,0
KEN 33-3172,KI,104,571,34,142,0,4
M-V 05-2614,KI,244,831,175,422,0,3
KEN 33-3174,KI,194,652,120,315,0,1
VEAZIE,KI,190,619,164,356,0,2
AUB 31-0058,KI,97,290,74,172,0,1
FREEDOM,KI,195,726,181,378,0,2
AUB 31-0054,KI,145,527,64,214,0,5
AUB 31-0051,KI,115,530,50,166,0,1
AUB 31-0050,KI,110,421,75,188,0,3
FAIRMONT GLEN,KI,153,497,119,277,0,5
WALLACE,KI,107,454,87,194,0,0
KRAIN,KI,161,565,210,372,0,1
BRIAR,KI,163,521,116,283,0,4
M-V 05-3367,KI,203,763,151,358,0,4
M-V 05-3366,KI,110,446,61,172,0,1
COV 47-2711,KI,146,536,109,255,0,0
MUCKLESHOOT,KI,33,395,21,54,0,0
