Row Label,County,Greg Baruso,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Linda Kochmar
FED 30-3093,KI,93,612,19,221,0,0,109
FED 30-3090,KI,74,356,9,198,0,0,115
FED 30-3091,KI,111,552,19,388,0,0,258
FED 30-3098,KI,85,528,21,252,0,0,146
FED 30-3395,KI,64,272,3,143,0,1,75
SPIDER LAKE,KI,134,755,26,387,0,1,226
EXCALIBUR,KI,74,403,13,226,0,2,137
GENEVA,KI,72,408,11,218,0,0,135
FED 30-3018,KI,72,327,7,155,0,1,75
FED 30-3019,KI,59,427,11,231,0,0,161
FED 30-3017,KI,122,715,25,458,0,0,311
FED 30-3014,KI,93,461,10,277,0,0,174
FED 30-3015,KI,79,398,8,241,0,1,153
FED 30-3012,KI,92,301,7,194,0,0,95
FED 30-3013,KI,49,266,8,124,0,0,67
FED 30-3010,KI,65,335,10,197,0,0,122
FED 30-3011,KI,57,343,7,138,0,0,74
MIL 30-3146,KI,136,659,32,361,0,0,193
DOLLOFF,KI,76,412,19,223,0,1,127
FED 30-3599,KI,68,420,16,213,0,0,129
FED 30-3596,KI,74,332,9,178,0,1,94
AVALON,KI,74,372,16,191,0,0,101
AUB 30-2702,KI,81,470,4,156,0,0,71
AUB 30-2703,KI,29,262,1,63,0,0,33
WESTWOOD,KI,0,0,0,0,0,0,0
AUB 30-0046,KI,76,351,10,169,0,0,83
MERLIN,KI,72,411,11,170,0,1,86
CYPRESS,KI,0,0,0,0,0,0,0
SERENIDAD,KI,139,746,15,317,0,0,163
CADDIS,KI,74,366,15,211,0,1,121
FED 30-2988,KI,168,629,11,332,0,2,151
THISTLE,KI,73,334,4,152,0,0,75
AUB 30-0053,KI,90,437,10,185,0,0,85
FED 30-3582,KI,38,255,3,95,0,0,54
DEVILLE,KI,112,558,10,263,0,0,141
FED 30-3236,KI,135,746,23,351,0,1,192
CAMELOT,KI,90,479,14,211,0,0,107
TOTEM,KI,12,70,4,31,0,0,15
FED 30-3078,KI,95,402,11,218,0,0,112
FED 30-3079,KI,80,508,14,260,0,0,166
FED 30-2999,KI,72,392,4,137,0,0,61
FED 30-2994,KI,38,225,4,118,0,0,76
FED 30-2995,KI,55,243,1,122,0,0,66
FED 30-2996,KI,106,510,17,218,0,1,94
FED 30-2990,KI,111,589,12,239,0,1,115
FED 30-2991,KI,68,360,17,187,0,0,102
FED 30-2992,KI,90,356,10,174,0,0,74
FED 30-2993,KI,120,677,22,340,0,0,198
ALG 30-3141,KI,82,523,19,222,0,0,121
FED 30-3234,KI,69,382,13,163,0,0,81
FED 30-3235,KI,89,400,13,172,0,1,69
FED 30-3289,KI,131,819,38,368,0,0,199
FED 30-3049,KI,78,430,8,168,0,0,82
FED 30-3048,KI,101,634,12,187,0,1,73
KILLARNEY,KI,107,466,9,264,0,1,147
FED 30-3045,KI,115,637,23,253,0,1,114
FED 30-3044,KI,136,657,17,326,0,0,173
FED 30-3047,KI,99,492,15,236,0,0,122
FED 30-3046,KI,85,397,8,188,0,0,95
FED 30-3041,KI,73,326,11,158,0,0,74
FED 30-3040,KI,66,432,5,146,0,0,75
FED 30-3043,KI,98,631,16,261,0,0,147
FED 30-3042,KI,64,251,13,166,0,0,89
HERON,KI,96,424,12,222,0,0,114
THOMAS,KI,84,442,17,249,0,0,148
GUENEVERE,KI,73,342,7,149,0,1,68
FED 30-3110,KI,64,351,9,194,0,0,121
FED 30-3237,KI,116,745,24,376,0,2,234
BRITTANY,KI,126,592,15,321,0,0,180
FED 30-3052,KI,89,494,19,243,0,0,135
FED 30-3053,KI,96,472,17,218,0,0,105
FED 30-3050,KI,40,222,9,98,0,0,49
FED 30-3051,KI,71,400,10,152,0,0,71
FED 30-3056,KI,68,323,9,166,0,0,89
FED 30-3054,KI,78,386,20,168,0,0,70
FED 30-3055,KI,123,575,11,280,0,0,146
FED 30-3077,KI,75,339,9,202,0,0,118
JOVITA,KI,66,454,18,232,0,1,147
ALG 30-0014,KI,112,486,14,229,0,1,102
ALG 30-0013,KI,73,467,9,153,0,0,71
FED 30-3305,KI,44,402,10,102,0,1,47
ROUNDTABLE,KI,89,602,25,212,0,0,98
ANGELO,KI,80,425,19,232,0,1,132
FED 30-3027,KI,131,654,16,288,0,0,141
FED 30-3026,KI,79,399,13,195,0,0,103
FED 30-3025,KI,85,506,13,307,0,0,209
FED 30-3024,KI,64,349,13,222,0,0,145
FED 30-3023,KI,98,412,14,258,1,0,145
FED 30-3022,KI,49,216,11,132,0,0,72
FED 30-3021,KI,114,566,8,249,0,1,126
FED 30-3020,KI,98,436,15,223,0,0,110
LAKELAND,KI,111,527,17,248,0,1,119
FED 30-3029,KI,69,309,3,117,0,0,45
FED 30-3028,KI,98,510,9,250,0,0,143
