Row Label,County,Charles W. Johnson,Eddie Yoon,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 37-1634,KI,87,52,473,51,191,0,1
SEA 37-1637,KI,154,81,760,57,295,0,3
SEA 37-1636,KI,120,61,586,36,217,0,0
SEA 37-1631,KI,102,19,301,66,187,0,0
GRAFF,KI,32,8,105,24,64,0,0
SEA 37-1633,KI,87,35,329,40,163,0,1
SEA 37-1632,KI,113,14,292,44,173,0,2
SEA 36-1715,KI,94,31,355,46,172,0,1
SEA 36-1714,KI,180,54,526,86,321,0,1
SEA 36-1717,KI,69,16,251,49,134,0,0
SEA 36-1716,KI,101,25,357,50,177,0,1
SEA 36-1711,KI,211,57,760,109,379,0,2
SEA 36-1710,KI,86,22,351,49,157,0,0
SEA 36-1713,KI,94,22,362,59,176,0,1
SEA 36-1712,KI,155,38,463,76,269,0,0
KMR 46-1181,KI,98,38,295,33,169,0,0
SEA 36-1719,KI,167,46,510,85,299,0,1
SEA 36-1718,KI,83,30,318,42,155,0,0
TUK 11-2949,KI,117,60,585,47,225,0,1
AUB 47-0059,KI,207,73,678,83,365,0,2
RNT 11-2815,KI,104,60,677,50,215,0,1
KIR 45-2679,KI,218,58,614,103,379,0,0
AUB 47-0055,KI,93,35,391,28,156,0,0
SEA 11-1928,KI,80,23,298,42,145,0,0
SEA 43-2850,KI,107,24,359,51,182,0,0
SHL 32-0527,KI,155,58,626,59,274,0,2
KIR 45-2471,KI,270,90,720,92,453,0,1
KEN 47-0498,KI,51,21,231,21,94,0,1
SHL 32-0335,KI,111,39,414,44,195,0,1
PTARMIGAN,KI,118,24,344,48,195,0,5
SPRING LAKE,KI,210,69,745,152,431,0,0
SEA 36-2170,KI,168,36,450,81,285,0,0
SEA 36-2171,KI,186,38,491,104,329,0,1
SEA 36-2172,KI,134,18,319,61,214,0,1
AUB 31-0078,KI,95,48,404,50,193,0,0
ALDARRA,KI,228,61,711,142,434,0,3
SEA 46-2338,KI,144,65,543,50,260,0,1
BIG BEND,KI,56,25,216,43,124,0,0
AUB 31-0070,KI,154,62,655,51,267,0,0
KIR 45-2786,KI,139,28,351,69,236,0,0
SEA 46-2290,KI,119,19,289,57,195,0,0
WOD 45-3530,KI,196,68,692,98,364,1,1
SEA 46-2291,KI,131,31,387,41,204,0,1
BEL 48-2778,KI,96,17,243,35,148,0,0
BETTY,KI,138,67,775,56,263,0,2
BEL 48-2773,KI,78,30,287,34,142,0,0
BEL 48-2772,KI,109,29,345,67,205,0,0
SEA 46-2295,KI,190,37,481,82,310,0,1
BEL 48-2777,KI,50,20,229,19,89,0,0
BEL 48-2776,KI,164,42,495,68,274,0,0
BEL 48-2775,KI,143,45,478,74,264,0,2
BEL 48-2774,KI,89,44,434,53,186,0,0
SEA 36-3153,KI,108,35,390,44,187,0,0
MERLIN,KI,94,27,411,46,170,0,3
SEA 37-1918,KI,134,25,347,53,212,0,0
SEA 37-1919,KI,121,23,378,61,207,0,2
SEA 37-1914,KI,246,37,523,81,364,0,0
RNT 11-3563,KI,136,60,625,81,277,0,0
SEA 37-1916,KI,179,19,357,63,261,0,0
SEA 37-1917,KI,212,37,454,61,311,0,1
SEA 37-1910,KI,208,44,513,75,329,0,2
SEA 37-1911,KI,119,19,284,53,191,0,0
RNT 11-3564,KI,118,47,491,81,246,0,0
SEA 37-1913,KI,159,27,338,52,239,0,1
BUR 34-0033,KI,162,71,682,75,309,0,1
M-I 41-0755,KI,90,19,265,63,172,0,0
LAKE MORTON,KI,80,29,232,41,151,0,1
ISS 05-3634,KI,92,32,422,66,190,0,0
RNT 11-2583,KI,176,74,838,118,368,0,0
RNT 11-2582,KI,130,78,795,62,270,0,0
HOLLYWOOD,KI,184,52,538,121,359,0,2
SEA 43-1339,KI,113,17,298,54,187,1,2
M-V 05-3510,KI,109,39,381,65,213,0,0
BEL 41-3593,KI,90,44,534,47,182,0,1
SEA 43-1338,KI,208,31,449,63,302,0,0
SEA 34-3632,KI,53,24,271,22,99,0,0
KEN 11-0893,KI,105,54,580,49,209,0,1
BEL 41-3608,KI,194,50,714,105,349,0,0
SAM 41-2690,KI,135,55,526,81,271,0,0
RNT 11-0988,KI,96,36,437,39,172,0,1
RNT 11-0985,KI,104,24,325,39,167,0,0
RNT 11-0984,KI,81,23,279,35,140,0,1
RNT 11-0986,KI,157,80,719,109,349,0,3
RNT 11-0981,KI,203,98,794,98,399,0,0
RNT 11-0980,KI,45,26,333,18,90,0,1
AUB 47-2573,KI,222,79,679,84,391,0,6
KEN 33-0578,KI,117,45,501,44,207,0,1
KEN 33-0576,KI,83,42,394,40,165,0,0
KEN 33-0577,KI,93,30,371,47,170,0,0
KEN 33-0575,KI,93,31,413,29,153,0,0
BERRYDALE,KI,145,53,505,79,277,0,0
LOUIE,KI,128,45,512,62,236,0,1
M-V 05-3600,KI,136,44,616,90,270,0,0
M-V 05-3601,KI,105,59,496,72,239,1,2
BEL 41-0733,KI,154,64,718,97,315,0,0
GOLDFINCH,KI,84,18,281,63,165,0,0
ENM 31-0409,KI,103,22,379,71,196,0,0
LAKE RETREAT,KI,177,63,654,104,347,0,3
CLOVER,KI,167,50,594,78,299,0,4
SEA 37-1898,KI,107,18,285,32,158,0,1
RNT 11-1125,KI,129,74,661,65,268,0,0
HERON,KI,119,49,424,53,222,0,1
COV 47-3597,KI,74,29,293,45,150,0,2
RNT 33-2472,KI,143,48,587,57,252,0,4
CHINOOK,KI,175,64,671,118,357,0,0
SEA 34-1476,KI,101,21,273,48,170,0,0
AUB 31-3299,KI,72,27,248,56,155,0,0
SEA 34-1474,KI,120,35,402,72,227,0,0
BROKEN HILL,KI,122,69,639,77,268,0,0
SEA 11-1600,KI,118,61,550,77,257,0,1
SEA 43-1787,KI,167,40,564,70,277,0,0
SEA 11-1602,KI,168,47,598,71,288,0,2
SEA 34-1475,KI,99,22,311,55,176,0,0
SEA 34-1543,KI,142,25,327,51,218,0,0
SEA 34-1540,KI,89,32,333,55,176,0,0
SEA 34-1541,KI,112,34,380,88,235,0,1
SEA 34-1472,KI,94,30,239,47,171,0,0
SALISH,KI,263,58,674,96,418,0,1
SEA 43-1788,KI,383,80,807,117,580,0,0
SEA 34-1473,KI,101,29,319,50,180,0,0
ALG 30-0014,KI,130,53,486,45,229,0,1
KIR 01-0019,KI,238,80,752,115,433,0,0
SEA 37-3666,KI,68,40,422,20,128,0,0
SEA 34-1470,KI,199,59,677,92,352,0,2
ALG 30-0013,KI,85,33,467,34,153,0,1
CALHOUN,KI,123,56,574,55,236,0,2
RED 48-3475,KI,123,36,356,49,210,0,2
COLVOS,KI,103,21,250,29,153,0,0
RNT 11-0502,KI,190,65,703,90,346,0,1
LFP 46-1075,KI,126,32,366,58,217,0,1
SEA 32-2206,KI,151,54,412,61,266,0,0
SEA 46-2316,KI,124,40,411,75,239,0,0
SEA 32-2204,KI,139,35,339,56,230,0,0
SEA 46-2314,KI,142,25,337,49,217,1,0
SEA 32-2202,KI,138,40,436,70,250,0,2
COV 47-3581,KI,91,44,385,45,180,0,0
SEA 32-2200,KI,171,29,385,63,263,0,0
SEA 32-2201,KI,204,34,463,77,315,0,0
BEL 48-0207,KI,108,34,327,43,186,0,1
BEL 48-0201,KI,187,35,512,71,293,0,0
SEA 32-2208,KI,129,22,350,71,224,1,1
SEA 32-2209,KI,247,49,599,105,402,0,1
SEA 34-1438,KI,129,23,328,57,209,0,0
SEA 34-1439,KI,105,39,369,74,220,0,2
SEA 34-1432,KI,111,30,331,75,218,0,2
SEA 34-1433,KI,120,34,319,54,208,0,0
KEN 47-3323,KI,119,40,459,57,218,1,1
SEA 34-1431,KI,124,36,308,42,203,0,1
SEA 34-1436,KI,78,33,362,43,156,0,2
SEA 34-1437,KI,119,42,498,92,254,0,1
SEA 34-1434,KI,105,27,271,50,183,0,1
SEA 34-1435,KI,92,25,299,61,178,0,0
KEN 47-2403,KI,82,48,466,38,171,0,3
SAM 41-3638,KI,164,69,717,112,346,0,1
SAM 45-2564,KI,206,79,749,130,418,0,3
FAIRMONT,KI,110,38,394,67,216,0,1
CHALLENGER,KI,97,24,293,64,185,0,0
BEL 48-0149,KI,139,37,416,55,234,0,3
BEL 48-0142,KI,101,21,299,37,159,0,0
BEL 48-0143,KI,85,32,291,33,152,0,2
BEL 48-0140,KI,130,52,425,51,234,0,1
BEL 48-0146,KI,98,32,298,43,173,0,0
BEL 48-0147,KI,126,31,444,49,207,0,1
BEL 48-0144,KI,84,32,320,51,169,0,2
BEL 48-0145,KI,90,16,274,31,137,0,0
SEA 46-2228,KI,126,30,486,76,234,0,2
SEA 46-2221,KI,165,43,513,90,298,0,0
DES 30-1227,KI,215,77,635,84,378,0,2
SHL 32-2753,KI,100,44,465,39,184,0,1
DANIEL,KI,161,59,574,97,323,0,6
ISS 05-2806,KI,139,27,399,77,243,0,0
SAM 45-3412,KI,208,84,738,114,406,0,0
JAY,KI,137,52,492,90,280,0,1
SHL 32-1210,KI,144,61,535,77,284,0,2
SEA 37-1944,KI,191,59,754,76,326,0,0
SEA 36-1386,KI,133,21,315,58,213,0,1
SEA 36-1387,KI,189,29,462,70,289,0,1
SEA 36-1384,KI,149,25,309,53,228,0,1
SEA 36-1385,KI,107,18,243,50,175,0,0
AUB 31-0082,KI,112,45,403,44,203,0,2
AUB 31-0083,KI,119,42,487,66,229,0,2
AUB 31-0080,KI,225,84,830,102,414,0,3
AUB 31-0081,KI,117,37,457,45,199,0,0
SEA 36-1388,KI,142,20,337,58,220,0,0
SEA 36-1389,KI,100,23,259,39,163,0,1
TUK 11-3393,KI,67,33,347,19,119,0,0
HONEY,KI,30,11,102,16,57,0,0
KEN 33-3332,KI,236,89,863,110,437,0,2
KEN 47-0798,KI,212,57,742,125,394,0,0
SET 33-3069,KI,86,36,353,46,169,0,1
SET 33-3068,KI,134,37,464,57,228,0,0
SKY 39-1091,KI,32,17,130,25,74,0,0
SET 33-3066,KI,90,47,491,42,179,0,0
KEN 33-3445,KI,101,42,375,45,188,0,0
SET 33-3064,KI,80,45,468,42,167,0,0
SET 33-3063,KI,92,28,330,51,173,0,2
SET 33-3062,KI,92,28,316,35,155,0,0
SET 33-3061,KI,90,31,340,45,166,0,0
SEA 37-1630,KI,86,32,309,51,169,0,0
KEN 33-2426,KI,162,55,550,81,298,0,0
SEA 43-1976,KI,45,23,242,24,94,0,2
SHL 32-1106,KI,154,66,585,79,299,0,0
BEL 41-2554,KI,160,81,645,102,343,0,0
SEA 43-3320,KI,142,40,515,59,241,0,0
SHL 32-1101,KI,84,27,301,46,157,0,0
SEA 37-1622,KI,99,69,578,57,226,0,1
BUR 33-0805,KI,164,49,591,57,270,0,0
SEA 36-1709,KI,82,28,359,44,154,0,0
COOPER,KI,149,46,473,83,278,0,0
SEA 36-1702,KI,233,35,606,103,372,0,1
SEA 36-1703,KI,194,58,530,86,340,0,2
SEA 36-1700,KI,116,28,383,64,208,0,0
DOLPHIN,KI,90,42,275,49,183,0,2
SEA 36-1704,KI,130,60,640,60,251,0,1
SEA 46-2094,KI,113,16,283,49,178,0,0
SEA 46-2095,KI,110,14,279,62,187,0,1
SEA 46-2096,KI,108,9,230,45,162,0,0
SEA 46-2097,KI,141,25,400,90,257,0,1
SEA 46-2090,KI,151,39,494,72,262,0,0
SEA 46-2091,KI,159,27,451,78,265,0,1
SEA 46-2092,KI,132,30,311,63,225,0,0
SEA 36-2750,KI,108,46,458,42,198,0,2
SEA 34-1497,KI,186,63,728,84,336,0,3
SEA 46-2098,KI,169,34,436,82,285,0,0
DOLLOFF,KI,121,35,412,66,223,0,1
LOIS,KI,135,49,566,52,237,0,1
SHL 32-0538,KI,118,48,425,51,219,0,2
SEA 46-2263,KI,223,52,599,120,396,0,1
BEL 48-3166,KI,170,45,561,63,278,0,0
SHL 32-0530,KI,120,18,282,41,179,0,0
BEL 48-3498,KI,78,34,239,41,153,0,0
AUB 31-0069,KI,96,24,314,39,159,0,0
SEA 36-2147,KI,214,32,489,90,338,0,2
SEA 36-2146,KI,116,29,338,54,199,0,0
AUB 31-0062,KI,176,74,660,82,332,0,0
AUB 31-0063,KI,84,21,279,24,130,0,1
AUB 31-0064,KI,78,30,408,17,125,0,0
AUB 31-0065,KI,66,28,288,31,125,0,0
COV 47-3244,KI,105,44,466,53,204,0,2
SEA 46-2345,KI,129,15,294,51,196,0,1
ALDERWOOD,KI,151,38,440,92,284,0,3
RED 45-2643,KI,125,60,433,67,254,0,2
BEL 41-3291,KI,94,19,292,46,159,0,0
SEA 37-1920,KI,222,42,574,74,339,0,1
SEA 37-1925,KI,68,45,319,38,153,0,2
SEA 37-1927,KI,116,47,409,53,216,0,0
RNT 11-2816,KI,158,56,578,82,297,0,1
SEA 43-1999,KI,169,36,439,65,270,0,0
SEA 43-1993,KI,104,15,238,28,147,0,0
SEA 43-1992,KI,225,46,652,137,410,0,2
SEA 43-1991,KI,299,45,839,142,487,0,1
SEA 43-1990,KI,156,34,458,69,260,0,1
SEA 43-1997,KI,121,28,295,44,194,0,1
SEA 43-1996,KI,115,25,298,52,193,0,1
SEA 43-1995,KI,106,18,244,39,163,0,0
SEA 43-1994,KI,124,29,295,44,197,0,0
RNT 11-3224,KI,123,33,457,55,214,0,3
BUR 34-0025,KI,196,70,734,85,352,0,1
RNT 11-3223,KI,58,21,294,34,114,0,1
RNT 11-3222,KI,151,52,581,86,295,0,6
MARCEL,KI,113,28,371,66,207,0,0
RNT 11-2607,KI,93,52,631,50,196,0,1
SAM 45-3388,KI,215,58,698,116,389,0,0
SAM 45-3389,KI,259,85,762,115,460,0,1
SEA 43-3685,KI,91,22,258,44,158,0,1
DES 33-1078,KI,67,35,354,48,150,0,0
SAM 45-3386,KI,218,60,784,120,398,0,0
SAM 45-3387,KI,123,59,402,62,244,0,0
LAKERIDGE,KI,224,88,751,95,411,0,4
BEL 41-3583,KI,212,59,675,115,386,0,0
BEL 41-0129,KI,83,35,316,30,148,0,0
BEL 41-0128,KI,160,47,494,88,295,0,0
MCDONALD,KI,138,63,525,81,285,0,3
BEL 41-0124,KI,186,43,505,78,308,0,1
BEL 41-0123,KI,175,65,748,80,323,0,3
BEL 41-0122,KI,128,29,391,55,213,0,1
BEL 41-0121,KI,127,52,501,51,231,0,1
BEL 41-0120,KI,92,21,248,44,157,0,0
SNQ 05-3151,KI,150,60,627,86,297,0,1
RNT 11-3359,KI,102,47,487,39,188,0,0
RNT 11-0992,KI,64,31,295,32,127,0,0
RNT 11-0990,KI,101,51,448,46,199,0,1
RNT 11-0996,KI,124,71,562,62,257,0,0
RNT 11-0997,KI,167,71,875,90,328,0,0
RNT 11-3643,KI,81,39,363,60,180,0,0
RNT 11-0998,KI,86,45,363,39,171,0,1
WAXWING,KI,95,23,295,60,178,0,0
KEN 33-0583,KI,103,45,371,55,203,0,0
KEN 33-0582,KI,173,89,843,96,359,0,1
KEN 33-0581,KI,165,72,684,73,311,1,0
KEN 33-0587,KI,107,49,470,52,209,0,1
KEN 33-0586,KI,135,52,437,69,256,0,0
KEN 33-0585,KI,106,58,569,57,224,0,3
KEN 33-0588,KI,97,22,317,38,157,0,0
HUCKLEBERRY,KI,130,31,420,65,227,0,1
SEA 43-3595,KI,183,46,535,92,322,0,1
MINK ROAD,KI,132,51,424,76,260,0,1
RED 45-3282,KI,233,80,707,112,425,0,0
RED 45-3281,KI,201,44,633,64,312,0,3
LFP 46-0397,KI,113,38,397,53,204,0,0
BUR 33-0251,KI,87,31,386,56,174,0,0
SHL 32-0844,KI,169,46,431,60,276,0,1
SEA 43-1379,KI,119,14,263,54,187,0,0
SEA 43-1378,KI,147,19,308,53,219,0,0
SEA 43-1377,KI,122,35,330,49,207,0,1
SEA 43-1376,KI,190,32,541,90,312,0,0
SEA 43-1375,KI,150,20,327,50,222,0,2
SEA 43-1374,KI,132,21,295,52,205,0,0
SEA 43-1373,KI,164,20,335,58,243,0,1
SEA 43-1372,KI,154,20,335,50,224,0,0
SEA 43-1371,KI,112,15,288,39,166,0,0
SEA 43-1370,KI,153,25,332,59,237,0,0
LFP 46-0400,KI,192,47,519,75,315,0,1
ISS 05-3464,KI,209,48,829,119,376,0,0
HUTCHINSON,KI,230,71,678,125,427,0,1
BEL 41-1052,KI,155,41,462,61,257,0,0
SAWYER,KI,208,56,594,118,382,0,0
SAM 41-3607,KI,136,42,498,79,259,0,2
SEA 11-1639,KI,83,69,551,41,193,0,0
SEA 43-3665,KI,111,25,379,48,184,0,0
KEN 47-2939,KI,65,32,314,22,121,0,2
NOVELTY,KI,163,71,605,102,336,0,0
BUR 34-1047,KI,196,55,744,103,355,0,1
BEL 41-2970,KI,213,56,714,112,384,0,3
SEA 43-1368,KI,125,9,292,49,184,0,1
MAY VALLEY,KI,134,47,492,65,246,0,0
BEL 48-0212,KI,203,63,620,37,303,0,0
BEL 48-0213,KI,97,49,395,25,175,1,3
SEA 46-2306,KI,124,20,307,51,195,0,0
SEA 46-2127,KI,158,55,494,65,278,0,0
BEL 48-0216,KI,79,27,256,32,140,0,2
BEL 48-0217,KI,94,42,404,48,184,0,0
BEL 48-0214,KI,72,27,274,30,130,1,0
SEA 46-2303,KI,155,39,422,88,284,0,2
BEL 48-0218,KI,207,58,546,73,338,0,0
SEA 46-2308,KI,140,24,377,66,230,0,0
SEA 46-2309,KI,105,31,300,47,184,0,1
GRASS LAKE,KI,151,32,374,52,235,0,0
SEA 34-1449,KI,111,32,367,69,213,0,1
RNT 11-0456,KI,155,68,635,65,291,0,3
SEA 34-1446,KI,143,31,398,60,237,0,3
SEA 34-1444,KI,214,53,595,98,365,0,0
SEA 34-1443,KI,177,28,380,61,266,0,0
SEA 11-1256,KI,124,54,627,64,242,0,0
SEA 34-1441,KI,89,25,264,40,156,0,2
SEA 34-1440,KI,84,9,242,56,149,0,0
SEA 43-1367,KI,163,26,375,63,253,0,1
SEA 43-2088,KI,199,69,694,92,361,0,1
SEA 43-2089,KI,37,7,341,20,65,0,1
SHADOW LAKE,KI,155,67,610,112,334,0,0
SEA 43-2084,KI,309,40,668,93,445,0,3
SEA 43-2081,KI,18,10,385,7,35,0,0
SEA 43-1361,KI,149,30,417,58,238,0,1
KEN 47-2599,KI,178,77,748,88,345,0,2
BEL 48-0138,KI,110,22,393,47,179,0,0
BEL 48-0136,KI,69,15,274,29,113,0,0
BEL 48-0135,KI,72,26,256,28,127,0,1
BEL 48-0134,KI,89,27,324,27,143,0,0
BEL 48-0133,KI,82,31,307,29,143,0,1
BEL 48-0132,KI,70,22,249,41,134,0,1
AUB 31-3405,KI,182,47,662,93,322,0,0
SEA 46-2231,KI,210,55,619,100,366,0,1
SEA 46-2234,KI,90,23,274,69,182,0,0
SEA 46-2236,KI,121,23,350,74,218,0,0
SEA 46-2796,KI,114,45,456,68,229,0,2
SQUAK MOUNTAIN,KI,69,24,188,22,115,0,0
DES 33-3131,KI,58,28,266,33,119,0,0
SNQ 05-3558,KI,114,47,487,74,236,0,1
SEA 46-2153,KI,108,55,492,66,231,0,2
SEA 46-2152,KI,97,35,378,58,192,0,2
LAKELAND,KI,140,49,527,58,248,0,1
AUB 47-0328,KI,226,89,684,82,397,0,0
KEN 47-1034,KI,192,79,745,85,356,0,0
FAIRGLEN,KI,137,45,442,76,258,0,0
GENEVA,KI,119,37,408,61,218,0,1
KEN 11-3403,KI,137,60,549,66,264,0,1
SET 33-3075,KI,58,27,289,30,116,0,1
SET 33-3076,KI,178,58,623,73,310,0,1
SET 33-3070,KI,80,40,340,53,173,0,0
AUB 30-0046,KI,101,29,351,37,169,0,2
SEA 36-1288,KI,183,28,391,53,265,0,1
SEA 36-1287,KI,302,68,733,110,481,0,1
SEA 36-1286,KI,166,25,439,62,254,0,1
ENM 31-0411,KI,220,68,765,118,410,0,4
SHL 32-0444,KI,154,41,438,63,260,0,2
SEA 37-1652,KI,98,28,287,31,157,0,0
SEA 37-1651,KI,164,45,736,47,256,0,0
SEA 37-1650,KI,97,27,260,51,175,0,0
SEA 36-1775,KI,173,58,711,95,327,0,1
SEA 36-1774,KI,210,34,494,103,347,0,0
BUR 33-0818,KI,174,70,753,74,319,0,1
SEA 36-1772,KI,154,46,534,84,284,0,0
SEA 36-1771,KI,142,32,487,74,248,0,0
SEA 36-1770,KI,105,11,234,43,159,0,0
SERENIDAD,KI,175,66,746,75,317,0,1
ISS 41-3533,KI,130,46,507,78,254,0,0
AUB 47-0072,KI,175,41,525,73,289,0,0
AUB 47-0073,KI,126,65,687,52,244,0,1
AUB 47-0074,KI,159,60,569,75,294,0,0
GROUSEMONT,KI,248,48,593,100,396,0,0
REGAL,KI,164,84,788,73,321,0,0
RED 45-2410,KI,274,93,822,164,533,0,2
SAM 45-2620,KI,175,45,491,82,305,0,3
KMR 46-2444,KI,138,41,418,55,237,0,3
SEA 43-3262,KI,95,24,306,58,177,0,0
M-I 41-2808,KI,112,18,263,56,188,0,2
M-I 41-2809,KI,83,23,240,46,152,0,0
RED 45-2659,KI,44,19,154,26,89,0,0
AUB 31-0054,KI,114,52,527,46,214,0,2
AUB 31-0051,KI,96,45,530,25,166,0,0
AUB 31-0050,KI,93,51,421,43,188,0,1
M-I 41-0790,KI,74,25,246,47,147,0,1
KRAIN,KI,175,47,565,150,372,0,0
SEA 43-1783,KI,135,49,455,59,243,0,0
SEA 43-3570,KI,239,81,1056,107,429,0,2
SEA 46-2300,KI,194,36,490,95,327,0,2
SEA 36-3605,KI,122,52,535,70,249,0,5
SEA 37-1937,KI,116,27,293,69,212,0,0
SEA 11-3491,KI,0,0,0,0,0,0,0
SEA 37-1935,KI,135,22,291,46,204,0,1
SEA 37-1932,KI,135,32,416,50,218,0,1
SEA 37-1930,KI,242,77,738,72,391,0,0
SEA 37-1938,KI,152,29,394,66,247,0,0
KIR 45-0925,KI,99,35,312,33,167,0,0
SEA 37-1915,KI,173,21,384,63,260,0,3
SEA 43-1982,KI,163,35,501,65,266,0,3
SEA 43-1983,KI,198,39,497,74,313,0,2
TUK 11-3614,KI,15,3,56,10,28,0,0
SEA 43-1986,KI,107,14,278,41,163,0,1
LFP 46-0092,KI,188,58,646,93,341,0,2
MATTHEW,KI,120,30,461,92,243,0,1
SEA 43-3692,KI,0,0,0,0,0,0,0
SEA 43-3690,KI,13,1,38,3,17,0,0
ASPEN GLEN,KI,123,33,396,74,232,0,2
BUR 33-0009,KI,70,26,277,23,119,0,0
BEL 41-0131,KI,87,36,417,55,178,0,0
SEA 43-1863,KI,163,23,475,65,255,0,4
BEL 41-3621,KI,173,43,525,75,291,0,0
BUR 33-1067,KI,219,85,866,118,427,0,5
BEL 41-3330,KI,76,24,309,45,146,0,1
TUK 11-2752,KI,131,50,490,67,249,0,1
BAKER,KI,170,76,599,100,347,0,1
SNQ 05-3513,KI,239,66,896,156,463,0,2
TUK 11-2751,KI,77,23,273,36,136,0,0
KEN 33-0590,KI,212,71,755,86,372,0,3
KEN 33-0591,KI,79,28,274,33,140,0,0
KEN 33-0592,KI,42,20,208,19,81,0,0
KEN 33-0593,KI,77,34,231,27,140,0,2
KEN 33-0594,KI,83,41,366,64,189,0,1
KEN 33-0595,KI,69,32,488,38,139,0,0
KEN 33-0596,KI,138,63,550,88,289,0,0
KEN 33-0597,KI,128,61,688,48,239,0,2
KEN 33-0598,KI,114,37,473,49,201,0,1
ISS 05-3504,KI,115,52,610,100,267,0,0
ISS 05-3503,KI,112,32,504,94,240,0,2
ANGELO,KI,122,37,425,73,232,0,0
SEA 46-2056,KI,137,27,330,63,228,0,1
BUR 34-1116,KI,103,38,387,48,192,0,3
SEA 46-2057,KI,196,24,443,90,310,0,0
BEL 41-0220,KI,151,59,420,49,262,0,3
SHL 32-0875,KI,162,75,557,77,315,0,1
FED 30-3085,KI,150,42,416,64,257,0,1
LFP 46-0655,KI,240,56,679,128,426,0,2
LFP 46-0654,KI,180,53,471,73,307,0,1
LFP 46-0653,KI,187,34,412,64,285,0,0
LFP 46-0652,KI,93,23,230,39,156,0,1
LFP 46-0650,KI,127,36,354,58,221,0,0
KEN 47-3189,KI,92,72,732,41,206,0,1
SEA 43-1369,KI,108,20,285,36,165,0,1
SEA 43-1364,KI,190,43,535,87,321,0,1
NEW 41-3241,KI,220,68,699,82,373,0,3
SEA 43-1366,KI,132,12,287,42,186,0,0
LITTLE SOOS,KI,142,56,463,70,268,0,0
SEA 43-1360,KI,251,40,622,87,379,0,1
KEN 47-3180,KI,82,60,541,45,187,0,0
SEA 43-1362,KI,184,62,660,102,351,0,3
RNT 11-1109,KI,89,37,484,54,180,0,0
SEA 46-2330,KI,156,28,420,48,232,0,0
TOLT,KI,101,27,317,60,188,0,0
NATHAN,KI,152,51,507,90,297,0,4
DUV 45-2959,KI,126,65,514,76,267,0,0
SNQ 05-1097,KI,90,36,402,50,177,0,1
SEA 11-1624,KI,106,53,577,48,208,0,1
MABEL,KI,130,29,331,51,212,0,2
BUR 34-1058,KI,166,63,493,86,315,0,0
BUR 34-1059,KI,186,68,614,65,321,0,2
BUR 34-1057,KI,251,58,660,114,423,0,0
BOT 01-2495,KI,162,63,580,79,304,0,0
SEA 46-2339,KI,96,28,330,46,171,0,1
FED 30-3080,KI,78,47,499,45,172,0,2
LFP 46-1056,KI,191,60,536,81,332,0,0
FED 30-3087,KI,145,62,508,50,259,0,2
FED 30-3086,KI,155,53,526,70,279,0,1
FED 30-3088,KI,150,57,538,56,263,0,0
SEA 46-2333,KI,128,35,371,57,221,0,1
SEA 46-2332,KI,91,22,248,52,165,0,0
SEA 46-2335,KI,164,55,609,49,268,0,0
