Row Label,County,Ozzie D. Knezovich,Doug Orr
PCT 3210,SP,268,127
PCT 3217,SP,408,161
PCT 3216,SP,425,179
PCT 3215,SP,187,104
PCT 3214,SP,333,113
PCT 4300,SP,283,120
PCT 4301,SP,170,78
PCT 4302,SP,361,115
PCT 4303,SP,375,126
PCT 4304,SP,238,97
PCT 4305,SP,221,97
PCT 4306,SP,372,135
PCT 4307,SP,64,32
PCT 9500,SP,114,48
PCT 4003,SP,501,215
PCT 4002,SP,338,158
PCT 4001,SP,272,90
PCT 4007,SP,252,119
PCT 4006,SP,442,197
PCT 4005,SP,301,130
PCT 4004,SP,408,161
PCT 4009,SP,353,131
PCT 4008,SP,240,120
PCT 6302,SP,258,94
PCT 6303,SP,499,217
PCT 6300,SP,595,177
PCT 6301,SP,554,193
PCT 6306,SP,325,159
PCT 6307,SP,204,70
PCT 6304,SP,476,177
PCT 6305,SP,226,116
PCT 6308,SP,236,67
PCT 6309,SP,392,122
PCT 7011,SP,225,99
PCT 7010,SP,291,105
PCT 7013,SP,348,125
PCT 7012,SP,346,142
PCT 7015,SP,374,115
PCT 7014,SP,324,138
PCT 7017,SP,364,158
PCT 7016,SP,433,205
PCT 7019,SP,336,132
PCT 7018,SP,412,171
PCT 9300,SP,76,13
PCT 6401,SP,145,55
PCT 6400,SP,233,105
PCT 6402,SP,304,113
PCT 6016,SP,205,111
PCT 6017,SP,623,172
PCT 6014,SP,191,81
PCT 6015,SP,197,87
PCT 6012,SP,205,96
PCT 6013,SP,229,123
PCT 6010,SP,47,14
PCT 6011,SP,290,103
PCT 6018,SP,534,123
PCT 6019,SP,503,155
PCT 3318,SP,284,134
PCT 3319,SP,259,135
PCT 3316,SP,403,148
PCT 3317,SP,437,196
PCT 3314,SP,269,119
PCT 3315,SP,355,153
PCT 3312,SP,404,164
PCT 3313,SP,431,190
PCT 3310,SP,337,125
PCT 3311,SP,212,81
PCT 9008,SP,60,27
PCT 9004,SP,308,149
PCT 9005,SP,115,65
PCT 9006,SP,358,171
PCT 9007,SP,103,42
PCT 9000,SP,397,102
PCT 9001,SP,277,119
PCT 9002,SP,259,110
PCT 9003,SP,197,50
