Row Label,County,Mia Su-Ling Gregerson,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Jeanette Burrage
SET 33-3076,KI,175,623,21,310,0,2,112
SET 33-3070,KI,90,340,7,173,0,0,76
SET 33-3073,KI,94,285,17,171,0,0,60
CONNAUGHT,KI,161,615,17,337,0,0,159
SET 33-3060,KI,70,373,7,134,0,1,56
DES 33-2637,KI,133,499,9,221,0,0,79
BUR 33-0957,KI,91,323,8,141,0,1,41
BUR 33-0818,KI,174,753,25,319,0,0,120
NPK 33-2644,KI,107,287,17,204,0,1,79
NPK 33-2474,KI,133,454,20,316,0,1,162
NPK 33-2646,KI,178,587,23,341,0,0,140
KEN 33-3378,KI,184,725,25,333,0,1,123
DES 33-0668,KI,63,273,11,123,0,0,49
DES 33-0297,KI,58,240,8,121,0,0,55
KEN 33-2443,KI,53,303,3,82,0,0,26
KEN 33-3172,KI,90,571,6,142,0,1,45
KEN 33-2618,KI,158,795,20,306,0,0,128
KEN 33-3174,KI,145,652,25,315,0,0,145
DES 33-2626,KI,121,331,12,272,0,0,139
DES 33-2627,KI,111,347,12,229,0,1,105
DES 33-2625,KI,111,434,13,231,0,0,107
KEN 33-2699,KI,80,401,18,198,0,0,100
DES 33-2623,KI,108,333,21,225,0,0,96
NPK 33-0849,KI,124,380,25,254,0,0,105
STACY,KI,33,173,12,89,0,0,44
DES 33-0911,KI,124,515,17,224,0,0,83
SET 33-3065,KI,87,464,10,146,0,0,49
SET 33-3057,KI,137,607,16,267,0,1,113
BUR 33-0562,KI,119,403,18,194,0,1,56
DES 33-2394,KI,161,407,10,271,0,0,100
DES 33-2395,KI,81,263,11,162,0,1,69
SET 33-3059,KI,127,683,8,205,0,1,69
KEN 33-3670,KI,62,288,4,120,0,0,54
KEN 33-2567,KI,81,369,14,187,0,0,92
KEN 33-0578,KI,116,501,12,207,0,0,79
DES 33-0361,KI,99,386,13,201,0,1,88
KEN 33-0577,KI,100,371,13,170,0,1,56
KEN 33-2569,KI,182,856,17,390,0,1,190
DES 33-0362,KI,104,554,18,209,0,1,86
DES 33-0682,KI,106,444,16,241,0,1,118
DES 33-0364,KI,98,441,6,196,0,2,90
DES 33-0367,KI,109,411,14,234,0,0,111
DES 33-1071,KI,81,390,16,181,0,1,83
KEN 33-2570,KI,127,582,24,265,0,0,114
KEN 33-3644,KI,124,486,11,213,0,0,78
DES 33-2820,KI,81,393,13,164,0,1,69
FRANKLIN,KI,28,160,5,63,0,1,29
BUR 33-0476,KI,212,764,28,378,0,0,138
DES 33-2416,KI,128,484,9,242,0,0,105
BUR 33-0094,KI,135,450,10,229,0,0,84
SET 33-3104,KI,135,542,21,247,0,1,90
NPK 33-2645,KI,126,335,18,219,0,0,75
SET 33-3107,KI,145,680,34,281,0,1,101
SET 33-3100,KI,153,847,19,291,0,2,117
SET 33-3101,KI,128,366,15,228,0,2,83
SET 33-3102,KI,157,670,25,293,0,0,111
KEN 33-0583,KI,84,371,21,203,0,1,97
KEN 33-0582,KI,173,843,30,359,0,3,153
KEN 33-0581,KI,170,684,25,311,1,0,115
KEN 33-0587,KI,98,470,7,209,0,0,104
KEN 33-0586,KI,140,437,21,256,0,0,95
KEN 33-0585,KI,105,569,15,224,0,3,101
KEN 33-0588,KI,88,317,16,157,0,0,53
DES 33-0272,KI,121,414,13,239,0,0,105
BUR 33-0009,KI,55,277,6,119,0,0,58
KEN 33-1055,KI,63,424,8,123,0,0,52
BUR 33-0251,KI,86,386,17,174,0,0,71
BUR 33-1067,KI,224,866,27,427,0,3,173
KEN 33-3362,KI,80,365,25,174,0,0,69
DES 33-0864,KI,96,317,11,204,0,2,95
KEN 33-3553,KI,109,557,14,194,0,0,71
KEN 33-0590,KI,166,755,26,372,0,1,179
KEN 33-0591,KI,80,274,10,140,0,0,50
KEN 33-0592,KI,48,208,2,81,0,0,31
KEN 33-0593,KI,70,231,7,140,0,0,63
KEN 33-0594,KI,78,366,17,189,0,1,93
KEN 33-0595,KI,90,488,8,139,0,0,41
KEN 33-0596,KI,123,550,14,289,0,0,152
KEN 33-0597,KI,115,688,18,239,0,1,105
KEN 33-0598,KI,104,473,15,201,0,0,82
KEN 33-0453,KI,181,815,32,364,0,0,151
RNT 33-2472,KI,144,587,17,252,0,0,91
KEN 33-2864,KI,140,463,9,243,0,2,92
DES 33-2674,KI,135,552,18,250,0,0,97
DES 33-2671,KI,224,834,34,488,0,0,230
DES 33-2673,KI,79,366,14,167,0,0,74
DES 33-2672,KI,114,577,20,231,0,2,95
MCKINLEY,KI,72,351,4,118,1,2,39
