Row Label,County,Adam Smith,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Doug Basler
RNT 11-3590,KI,205,710,11,327,0,3,108
FED 30-3596,KI,101,332,7,178,0,0,70
SEA 11-1597,KI,337,909,34,410,1,0,38
SEA 37-1950,KI,48,187,4,67,0,0,15
BEL 48-2778,KI,104,243,7,148,0,0,37
BETTY,KI,222,775,12,263,0,0,29
RNT 11-0973,KI,152,542,17,245,0,1,75
BEL 48-2773,KI,87,287,7,142,0,0,48
BEL 48-2772,KI,124,345,17,205,0,0,64
BEL 48-2777,KI,59,229,4,89,0,0,26
BEL 48-2776,KI,148,495,20,274,0,0,106
BEL 48-2775,KI,170,478,12,264,0,0,82
BEL 48-2774,KI,114,434,13,186,0,0,59
M-I 41-0780,KI,151,389,12,226,0,0,63
SEA 37-1918,KI,185,347,12,212,0,0,15
SEA 37-1919,KI,164,378,18,207,0,0,25
BEL 41-3671,KI,106,337,10,164,0,0,48
RNT 05-3698,KI,13,52,0,27,0,0,14
SEA 37-1917,KI,268,454,15,311,0,0,28
RNT 11-3564,KI,147,491,25,246,0,1,73
SEA 37-1854,KI,155,386,17,190,0,2,16
TUK 11-2752,KI,167,490,15,249,0,0,67
SEA 37-1850,KI,291,650,26,346,0,1,28
SEA 37-1853,KI,99,281,6,120,0,0,15
TUK 11-2751,KI,79,273,4,136,0,0,53
BEL 41-3695,KI,125,390,9,183,0,0,49
RNT 37-0969,KI,0,0,0,0,0,0,0
RNT 11-2583,KI,199,838,33,368,0,0,136
RNT 11-2582,KI,216,795,16,270,0,2,36
RNT 11-2581,KI,213,668,25,322,0,0,84
RNT 37-0967,KI,174,503,15,236,0,1,46
KEN 33-0270,KI,54,271,6,87,0,1,26
KEN 47-2485,KI,164,616,13,288,0,0,111
BEL 41-3593,KI,125,534,10,182,0,0,47
RNT 11-0719,KI,72,243,9,134,0,0,53
M-I 41-0759,KI,142,379,15,211,0,0,54
SEA 37-1930,KI,346,738,23,391,0,0,22
BEL 48-0188,KI,137,472,21,244,0,0,86
BEL 48-0189,KI,153,523,14,232,0,1,64
BEL 48-0186,KI,104,277,9,165,0,0,52
FED 30-3078,KI,127,402,5,218,0,0,86
FED 30-3079,KI,148,508,7,260,0,0,105
FED 30-3372,KI,128,450,14,227,0,0,85
DES 33-0911,KI,150,515,9,224,0,0,65
FED 30-3236,KI,209,746,16,351,0,0,126
KEN 11-0893,KI,117,580,20,209,0,0,72
BEL 41-3608,KI,190,714,17,349,1,0,141
M-I 41-0785,KI,166,380,11,243,0,0,66
FED 30-3237,KI,197,745,23,376,0,1,155
SET 33-3057,KI,158,607,16,267,0,1,92
RNT 11-0988,KI,100,437,11,172,0,0,61
RNT 11-0985,KI,92,325,10,167,0,0,65
RNT 11-0984,KI,79,279,6,140,0,0,55
RNT 11-0986,KI,223,719,13,349,0,0,113
RNT 11-0981,KI,239,794,20,399,0,1,139
RNT 11-0980,KI,69,333,1,90,0,0,20
RNT 11-0983,KI,142,525,15,215,0,1,57
SET 33-3059,KI,144,683,5,205,0,1,55
KEN 33-3670,KI,71,288,3,120,0,0,46
KEN 33-0578,KI,141,501,7,207,0,1,58
KEN 33-0576,KI,93,394,8,165,0,0,64
KEN 33-0577,KI,119,371,9,170,0,0,42
KEN 33-0575,KI,94,413,9,153,0,0,50
DES 33-0682,KI,143,444,11,241,0,0,87
DES 33-2820,KI,99,393,4,164,0,0,61
BEL 41-1235,KI,109,334,16,180,0,0,55
BEL 41-0733,KI,210,718,22,315,0,0,83
KEN 47-0842,KI,193,796,23,368,1,0,151
M-I 41-0787,KI,121,333,18,182,0,0,43
SEA 37-1898,KI,147,285,8,158,0,1,2
RNT 11-1125,KI,162,661,12,268,0,1,93
MERRIHILL,KI,186,687,19,324,0,0,119
RNT 33-2472,KI,169,587,9,252,0,1,73
SEA 37-1591,KI,221,360,13,249,0,0,15
KEN 33-1055,KI,79,424,6,123,0,1,37
BROKEN HILL,KI,201,639,17,268,0,0,50
SEA 11-1600,KI,204,550,29,257,0,1,23
COUGAR MTN,KI,4,8,1,8,0,0,3
BEL 48-0160,KI,79,268,8,130,0,1,42
SEA 37-1592,KI,337,634,16,361,0,0,8
DES 33-0864,KI,122,317,11,204,0,0,71
KEN 47-0601,KI,196,733,9,291,0,1,85
BRIGID,KI,90,320,12,168,0,0,66
SEA 37-3666,KI,106,422,7,128,0,1,14
SEA 37-1838,KI,359,764,23,405,0,1,22
RNT 11-2844,KI,237,845,18,354,0,0,99
RNT 11-2845,KI,168,548,8,221,0,0,45
SHAMROCK,KI,253,693,15,332,0,0,64
KEN 47-0026,KI,91,357,9,169,0,0,69
SEA 37-1563,KI,89,323,2,111,0,0,20
ROWAN,KI,142,356,13,195,0,1,39
SEA 37-1564,KI,185,396,6,227,0,3,33
ANGEL CITY,KI,225,745,12,299,0,1,61
SEA 37-1566,KI,118,327,12,176,0,0,46
SEA 37-1568,KI,146,434,4,179,0,0,29
RNT 11-0502,KI,189,703,21,346,0,1,135
KEN 47-0028,KI,155,533,17,275,0,0,103
BEL 48-0207,KI,116,327,9,186,0,0,61
BEL 41-2386,KI,114,279,6,169,0,0,49
BEL 48-0201,KI,154,512,13,293,0,0,126
SEA 11-1602,KI,244,598,10,288,0,2,32
EARLINGTON,KI,113,357,11,150,0,2,24
KEN 47-3483,KI,177,606,7,285,0,0,101
MCKINLEY,KI,85,351,1,118,0,3,29
RNT 41-0989,KI,158,693,16,270,0,1,95
BEL 48-0149,KI,150,416,19,234,0,2,63
SEA 37-1938,KI,223,394,15,247,0,0,9
BEL 48-0142,KI,96,299,16,159,0,0,47
BEL 48-0143,KI,103,291,9,152,0,0,40
BEL 48-0140,KI,140,425,9,234,0,1,84
SET 33-1031,KI,252,925,18,398,0,1,127
BEL 48-0146,KI,100,298,11,173,0,0,62
BEL 48-0147,KI,118,444,14,207,0,0,75
BEL 48-0144,KI,106,320,12,169,0,2,49
BEL 48-0145,KI,101,274,8,137,0,0,28
BEL 41-0116,KI,62,290,9,111,0,2,38
BEL 41-0117,KI,86,263,5,140,0,0,49
BEL 41-0114,KI,163,459,22,292,0,2,105
BEL 41-0112,KI,202,712,20,358,0,0,136
BEL 41-0113,KI,100,255,6,158,0,0,52
BEL 41-0110,KI,168,571,10,257,0,0,79
BEL 41-0111,KI,207,544,17,330,0,0,106
BEL 41-3312,KI,308,796,32,489,0,0,149
DES 30-1227,KI,214,635,25,378,0,3,136
BEL 41-0119,KI,125,295,11,197,0,0,61
FED 30-3034,KI,99,359,5,171,0,1,66
FED 30-3035,KI,71,265,9,128,0,1,47
FED 30-3036,KI,104,342,5,148,0,0,39
DANIEL,KI,159,574,25,323,0,2,137
FED 30-3030,KI,85,361,12,175,0,0,78
FED 30-3031,KI,164,542,8,273,0,0,101
FED 30-3032,KI,90,267,4,131,0,0,37
FED 30-3033,KI,122,408,6,201,0,2,71
SEA 37-1886,KI,268,523,15,293,0,1,9
BEL 41-3621,KI,199,525,17,291,0,3,72
BEL 41-2484,KI,130,404,13,199,0,0,56
SEA 37-1885,KI,202,398,15,223,0,0,6
FED 30-3038,KI,71,198,7,115,0,0,37
FED 30-3039,KI,117,331,6,186,0,0,63
SEA 37-1880,KI,252,514,11,276,0,2,11
SEA 37-1881,KI,169,396,8,188,0,1,10
KEN 11-3663,KI,128,387,10,225,0,1,86
RNT 11-3588,KI,88,481,4,120,0,0,28
BEL 41-3330,KI,85,309,9,146,0,0,52
SEA 37-1833,KI,302,653,17,336,1,0,16
TUK 11-3499,KI,83,245,4,109,0,0,22
RNT 11-0978,KI,150,506,14,223,0,0,59
RNT 11-0979,KI,60,284,6,100,0,0,34
BEL 41-0203,KI,256,688,17,410,0,0,137
TUK 11-3393,KI,91,347,7,119,0,1,20
BEL 41-0206,KI,221,729,18,344,0,0,105
RNT 11-0971,KI,196,579,18,291,0,0,77
BEL 41-0205,KI,95,288,10,171,0,0,66
HONEY,KI,23,102,4,57,0,0,30
SEA 37-1589,KI,200,290,9,217,0,0,8
KEN 33-3332,KI,247,863,15,437,0,0,175
SEA 37-1583,KI,337,700,18,382,0,2,25
NEW 41-3228,KI,149,470,24,254,0,0,81
SEA 37-1580,KI,137,333,6,160,0,0,17
SEA 37-1587,KI,171,311,6,195,0,0,18
SEA 37-1586,KI,230,373,17,251,0,0,4
SEA 37-1585,KI,204,358,12,233,0,0,17
SEA 37-1584,KI,184,332,11,210,1,1,13
BEL 41-3657,KI,121,353,16,189,0,0,52
SET 33-3069,KI,109,353,8,169,0,0,52
KEN 47-0439,KI,181,585,14,309,0,0,114
SET 33-3066,KI,114,491,9,179,0,0,56
SET 33-3065,KI,100,464,8,146,0,0,38
SET 33-3064,KI,110,468,4,167,0,0,53
SET 33-3063,KI,122,330,6,173,0,0,45
SET 33-3062,KI,95,316,8,155,0,0,52
SET 33-3061,KI,109,340,7,166,0,0,50
SEA 37-1630,KI,130,309,13,169,0,0,26
FED 30-3037,KI,122,359,4,191,0,0,65
KEN 33-2426,KI,184,550,10,298,0,0,104
SEA 37-1831,KI,191,353,9,221,0,1,20
SEA 37-1622,KI,172,578,25,226,0,1,28
BEL 48-1049,KI,114,344,15,215,0,1,85
SEA 37-1620,KI,109,418,9,140,0,0,22
BEL 48-0168,KI,98,255,9,134,0,1,26
SEA 37-1628,KI,188,444,10,215,0,3,14
SEA 37-1629,KI,186,527,12,221,0,1,22
SEA 11-1641,KI,152,539,10,183,0,0,21
TUK 11-2955,KI,186,653,11,274,0,0,77
TUK 11-2956,KI,71,460,9,112,0,0,32
TUK 11-2951,KI,174,601,8,236,0,1,53
TUK 11-2952,KI,94,294,3,126,0,0,29
RNT 11-1015,KI,124,443,16,194,0,2,52
RNT 11-1011,KI,242,881,26,391,0,2,121
RNT 11-1012,KI,169,589,7,242,0,1,65
LOIS,KI,149,566,13,237,0,0,75
NEW 41-3227,KI,146,467,15,254,0,0,93
M-I 41-0756,KI,258,738,41,402,0,0,103
M-I 41-0757,KI,140,403,24,231,0,1,66
M-I 41-0755,KI,91,265,18,172,0,0,63
SEA 37-1640,KI,232,738,22,293,0,0,39
M-I 41-0758,KI,121,284,3,175,0,0,51
BEL 48-3166,KI,173,561,10,278,0,1,94
BEL 48-3498,KI,70,239,10,153,0,0,73
FED 30-2988,KI,223,629,7,332,0,0,102
SEA 37-1565,KI,140,331,12,172,0,2,18
BEL 41-0011,KI,63,346,12,117,0,1,41
BEL 41-0017,KI,176,594,20,270,0,0,74
SEA 37-1840,KI,234,616,23,281,0,0,24
SEA 37-1574,KI,149,417,6,179,0,2,22
SEA 37-1841,KI,344,813,27,396,0,0,25
SEA 37-1567,KI,137,332,10,156,0,0,9
SEA 37-1648,KI,273,695,17,327,0,0,37
CAMPBELL HILL,KI,179,642,17,250,0,0,54
FED 30-3582,KI,45,255,5,95,0,0,45
KEN 33-0598,KI,125,473,7,201,0,2,67
RNT 11-3604,KI,138,591,16,234,0,0,80
BEL 41-0408,KI,69,212,8,136,0,0,59
BEL 41-2936,KI,176,485,17,264,0,0,71
BEL 41-3291,KI,123,292,11,159,0,0,25
BEL 41-2935,KI,167,526,20,264,0,1,76
SEA 37-1920,KI,286,574,21,339,0,1,31
GRANDVIEW,KI,2,16,0,8,0,0,6
SEA 37-1927,KI,182,409,14,216,0,2,18
SEA 37-1896,KI,240,410,9,258,0,1,8
SEA 11-1942,KI,231,526,16,271,0,2,22
SEA 11-1941,KI,182,431,20,224,0,0,22
RNT 11-2816,KI,159,578,25,297,0,0,113
SEA 11-1947,KI,176,453,11,204,0,0,17
BEL 41-2447,KI,170,527,18,303,0,0,115
SEA 11-1945,KI,264,703,35,341,0,0,42
RNT 37-0991,KI,175,619,11,250,0,0,64
RNT 11-2475,KI,173,654,21,292,0,0,98
RNT 41-0994,KI,150,488,19,250,0,0,81
RNT 37-0999,KI,262,760,13,343,0,0,68
KEN 47-2708,KI,117,485,13,226,0,0,96
KEN 47-2709,KI,224,839,25,407,0,1,157
KEN 47-1076,KI,170,668,23,301,0,0,108
RNT 11-3223,KI,79,294,4,114,0,1,30
RNT 11-3222,KI,153,581,23,295,0,2,117
RNT 11-2607,KI,123,631,21,196,0,0,52
BLACK RIVER,KI,54,320,6,77,0,1,16
DES 33-1078,KI,94,354,10,150,0,0,46
SEA 37-1925,KI,118,319,15,153,0,1,19
KEN 47-2490,KI,182,673,19,331,0,0,130
RNT 41-0993,KI,186,703,28,321,0,3,104
KEN 33-2569,KI,228,856,15,390,0,3,144
DES 30-0954,KI,260,745,9,415,0,0,146
DES 33-1071,KI,111,390,16,181,0,0,54
BEL 48-0171,KI,142,396,10,234,0,0,82
BEL 48-0170,KI,80,225,9,128,0,0,39
BEL 48-0177,KI,161,408,8,236,0,0,67
BEL 41-0129,KI,95,316,9,148,0,0,44
BEL 41-2782,KI,50,183,3,81,0,0,28
FED 30-3289,KI,201,819,24,368,0,0,143
BEL 48-0178,KI,95,406,9,134,0,0,30
BEL 41-0123,KI,203,748,25,323,0,1,94
BEL 41-0122,KI,113,391,9,213,0,0,91
BEL 41-0121,KI,157,501,11,231,0,0,63
BEL 41-0120,KI,85,248,13,157,0,0,59
RNT 37-1000,KI,87,532,11,142,0,1,43
FED 30-3049,KI,108,430,7,168,0,0,53
FED 30-3048,KI,128,634,13,187,0,2,44
FED 30-3045,KI,144,637,21,253,0,1,87
FED 30-3044,KI,199,657,14,326,0,0,113
FED 30-3047,KI,139,492,15,236,0,1,81
FED 30-3046,KI,129,397,9,188,0,0,50
FED 30-3041,KI,98,326,16,158,0,0,44
FED 30-3040,KI,86,432,4,146,0,0,56
FED 30-3043,KI,146,631,10,261,0,1,104
FED 30-3042,KI,100,251,11,166,0,1,54
RNT 11-0992,KI,78,295,11,127,0,0,38
RNT 11-0990,KI,125,448,13,199,0,0,61
RNT 11-0996,KI,139,562,15,257,0,2,101
RNT 11-0997,KI,210,875,26,328,0,0,92
RNT 11-3224,KI,137,457,5,214,0,0,72
RNT 11-3643,KI,111,363,11,180,0,0,58
RNT 11-0998,KI,114,363,8,171,0,0,49
SET 33-3107,KI,180,680,24,281,0,0,77
SET 33-3100,KI,195,847,14,291,0,1,81
SET 33-3101,KI,148,366,16,228,0,1,63
SET 33-3102,KI,196,670,15,293,0,2,80
KEN 33-0583,KI,119,371,12,203,0,1,71
KEN 33-0582,KI,205,843,29,359,0,1,124
KEN 33-0581,KI,194,684,18,311,1,0,98
KEN 33-0587,KI,117,470,5,209,0,0,87
KEN 33-0586,KI,168,437,9,256,0,1,78
KEN 33-0585,KI,136,569,9,224,0,4,75
KEN 33-0588,KI,110,317,9,157,0,1,37
BEL 41-3226,KI,174,531,23,278,0,1,80
BEL 41-0333,KI,64,222,4,100,0,0,32
SEA 37-1940,KI,235,536,14,268,0,0,19
KEN 33-2618,KI,185,795,19,306,0,1,101
SEA 37-1906,KI,256,427,17,280,0,0,7
BEL 41-2714,KI,238,711,22,372,0,0,112
KEN 33-3362,KI,100,365,19,174,0,0,55
KEN 47-1170,KI,97,412,9,180,0,1,73
BEL 41-2719,KI,172,520,19,289,0,0,98
BEL 48-2430,KI,182,486,14,290,0,0,94
BEL 48-2432,KI,137,403,14,225,0,2,72
BEL 48-2434,KI,159,394,15,259,0,0,85
NEW 41-2811,KI,130,381,12,228,0,1,85
SEA 37-1615,KI,185,343,7,205,0,0,13
MCDIVITT,KI,18,57,1,32,0,0,13
SEA 37-1619,KI,209,449,21,256,0,0,26
SEA 37-1618,KI,165,389,10,188,0,0,13
KEN 33-2864,KI,163,463,10,243,0,1,69
SEA 37-1614,KI,137,260,5,155,0,0,13
SEA 37-1613,KI,184,292,6,200,0,0,10
SEA 37-1612,KI,152,288,17,191,0,0,22
SEA 37-1611,KI,181,289,4,191,0,0,6
SEA 37-1610,KI,184,331,14,206,0,0,8
SEA 37-1617,KI,185,323,8,201,0,2,6
SEA 37-1616,KI,188,351,8,207,0,1,10
BEL 41-1052,KI,148,462,20,257,0,0,89
NEW 41-1115,KI,186,633,18,340,0,2,134
M-I 41-0781,KI,95,216,8,140,0,1,36
DES 33-2674,KI,159,552,23,250,0,1,67
M-I 41-0782,KI,167,503,20,285,0,1,97
DES 33-2671,KI,307,834,22,488,1,0,158
M-I 41-0784,KI,170,411,14,246,0,0,62
DES 33-2673,KI,105,366,11,167,0,0,51
DES 33-2672,KI,148,577,16,231,0,0,67
M-I 41-0789,KI,251,607,31,391,0,0,109
KEN 33-2567,KI,108,369,14,187,0,0,65
SEA 11-1639,KI,152,551,10,193,0,1,30
SEA 37-1647,KI,293,669,15,349,0,0,41
KEN 47-2836,KI,129,531,12,259,0,0,118
SEA 11-1550,KI,183,563,8,222,0,2,29
SEA 11-1552,KI,124,379,15,166,0,4,23
DES 33-2455,KI,122,579,8,175,0,2,43
KEN 47-3344,KI,150,473,12,298,0,2,134
SEA 37-1576,KI,173,435,3,186,0,0,10
M-I 41-0769,KI,211,544,25,333,0,0,97
M-I 41-0768,KI,121,307,11,170,0,0,38
SEA 37-1572,KI,150,307,8,180,0,0,22
BEL 41-2970,KI,236,714,22,384,0,1,125
SEA 37-1571,KI,208,432,11,250,0,3,28
M-I 41-0763,KI,126,303,18,200,0,0,56
M-I 41-0762,KI,96,256,17,148,0,0,35
M-I 41-0761,KI,134,335,8,208,0,0,66
M-I 41-0767,KI,102,260,6,141,0,0,33
M-I 41-0766,KI,126,322,15,197,0,1,55
M-I 41-0765,KI,246,645,30,441,0,2,163
SEA 37-1579,KI,93,247,6,108,0,0,9
BEL 48-0212,KI,208,620,13,303,0,0,82
BEL 48-0213,KI,109,395,4,175,1,1,60
BEL 48-0216,KI,75,256,7,140,0,0,58
BEL 48-0217,KI,116,404,11,184,0,0,57
BEL 48-0214,KI,78,274,8,130,0,0,44
SEA 37-3159,KI,312,845,29,383,0,3,39
BEL 48-0218,KI,211,546,15,338,0,1,111
SET 33-3081,KI,192,738,14,269,0,1,62
RNT 11-2739,KI,101,274,6,140,0,0,33
BEL 41-3278,KI,99,290,11,172,0,0,62
LAKERIDGE,KI,330,751,21,411,0,1,59
SEA 11-1256,KI,168,627,18,242,0,1,55
NEW 41-0878,KI,216,630,19,328,0,1,92
RNT 41-0995,KI,207,740,19,346,0,0,120
GLENDALE,KI,199,764,15,289,0,0,75
BEL 41-3583,KI,200,675,24,386,0,1,161
BEL 48-0138,KI,110,393,11,179,0,0,58
BEL 48-0136,KI,75,274,9,113,0,0,29
BEL 48-0135,KI,70,256,7,127,0,0,50
BEL 48-0134,KI,89,324,7,143,0,0,47
BEL 48-0133,KI,102,307,9,143,0,0,32
BEL 48-0132,KI,97,249,3,134,0,0,34
BEL 41-0475,KI,90,262,10,149,0,0,49
FED 30-3008,KI,112,365,8,163,0,1,42
KEN 47-1034,KI,201,745,17,356,0,0,138
BEL 41-3658,KI,60,305,11,115,0,0,44
BEL 41-2906,KI,149,474,19,264,0,0,96
BEL 41-0472,KI,170,522,14,303,0,0,119
FED 30-3001,KI,227,622,17,357,0,1,112
FED 30-3000,KI,117,479,8,197,0,1,71
FED 30-3003,KI,140,563,9,270,0,0,121
FED 30-3002,KI,205,690,11,314,0,0,98
FED 30-3005,KI,125,298,11,201,0,0,65
FED 30-3004,KI,114,442,9,188,0,1,64
FED 30-3007,KI,75,242,8,144,0,0,61
FED 30-3006,KI,124,466,9,207,0,0,74
SEA 37-1872,KI,298,581,12,359,0,1,48
SEA 37-1871,KI,362,629,21,389,0,0,6
KEN 33-0603,KI,197,649,13,347,0,0,137
SEA 37-1876,KI,410,766,22,444,0,1,11
SEA 37-1875,KI,257,525,15,288,0,1,15
SEA 43-1863,KI,228,475,15,255,0,0,12
SEA 43-1862,KI,213,476,6,234,0,0,15
SEA 37-1879,KI,380,839,19,424,1,2,22
M-I 41-2465,KI,139,330,12,208,0,0,57
BEL 41-2945,KI,198,548,15,296,0,0,83
SEA 37-1944,KI,270,754,24,326,0,1,31
BEL 41-0124,KI,209,505,20,308,0,1,78
DES 33-3131,KI,74,266,7,119,0,0,38
BEL 41-3225,KI,168,539,18,245,0,1,58
ELECTIONS OFFICE,KI,0,9,0,1,0,0,1
RNT 11-3609,KI,97,461,14,173,0,0,62
FRAGER,KI,1,2,0,1,0,0,0
DES 33-1146,KI,180,591,18,299,0,0,101
BEL 41-2621,KI,165,528,27,251,0,0,59
TUK 11-2453,KI,127,510,17,180,0,4,32
DES 33-1128,KI,105,289,11,174,0,1,57
TUK 11-1164,KI,229,660,12,312,0,1,70
SET 33-3074,KI,156,456,16,260,0,0,88
TUK 11-1166,KI,116,443,10,165,0,1,38
TUK 11-1167,KI,2,6,0,4,0,0,2
BEL 41-0175,KI,262,815,23,415,0,0,130
BEL 41-0176,KI,170,593,21,292,0,0,101
SET 33-3075,KI,67,289,7,116,0,0,42
SEA 37-1590,KI,203,294,7,228,0,0,18
BEL 41-0179,KI,107,338,8,148,0,0,33
BEL 41-3371,KI,193,677,23,296,0,0,80
BEL 41-3370,KI,227,812,33,377,0,0,117
SEA 37-1594,KI,297,761,23,343,0,2,21
SEA 37-1596,KI,205,497,21,260,0,3,31
SEA 37-1897,KI,265,881,19,320,0,3,33
KEN 11-3403,KI,157,549,22,264,0,0,85
SEA 37-1593,KI,234,470,12,254,0,0,8
SET 33-3076,KI,203,623,14,310,0,0,93
SET 33-3070,KI,110,340,5,173,0,0,58
SET 33-3073,KI,122,285,8,171,0,2,39
RNT 11-3359,KI,111,487,9,188,0,0,68
BEL 48-3292,KI,171,401,9,244,0,0,64
KEN 11-0918,KI,161,605,11,257,0,0,85
RNT 11-3287,KI,189,705,27,338,0,0,122
SEA 37-1652,KI,129,287,7,157,0,0,21
DES 33-2637,KI,150,499,7,221,0,1,63
SEA 37-1650,KI,143,260,11,175,0,1,20
BEL 41-0658,KI,151,403,12,220,0,0,57
BEL 41-0305,KI,128,484,15,218,0,0,75
RNT 11-3162,KI,65,209,5,106,0,1,35
KEN 47-3300,KI,136,527,11,254,0,1,106
CORNELL,KI,246,557,16,316,0,1,53
BRYN MAWR,KI,126,365,12,201,0,0,63
BEL 48-3675,KI,86,330,7,141,0,0,48
BEL 48-3674,KI,119,436,10,185,0,0,56
DES 33-0297,KI,74,240,5,121,0,0,42
KEN 33-3172,KI,96,571,6,142,0,2,38
BEA 41-0099,KI,77,240,21,151,0,0,53
M-I 41-2808,KI,117,263,19,188,0,0,52
M-I 41-2809,KI,113,240,12,152,0,0,27
SET 33-3104,KI,151,542,16,247,0,1,79
BEL 41-1026,KI,203,652,15,323,0,1,104
FED 30-2999,KI,82,392,4,137,0,0,51
FED 30-2994,KI,58,225,2,118,0,0,58
FED 30-2995,KI,68,243,2,122,0,0,52
FED 30-2996,KI,141,510,15,218,0,1,61
FED 30-2990,KI,141,589,17,239,0,1,80
FED 30-2991,KI,110,360,14,187,0,0,63
FED 30-2992,KI,112,356,6,174,0,1,55
FED 30-2993,KI,216,677,16,340,0,0,108
RNT 11-0456,KI,174,635,18,291,0,1,98
M-I 41-0790,KI,84,246,14,147,0,0,49
WALLACE,KI,138,454,9,194,0,2,45
SEA 37-3567,KI,101,408,12,130,0,0,17
BRIAR,KI,148,521,19,283,0,0,116
RNT 11-0975,KI,203,861,26,339,0,2,108
NEW 41-3529,KI,138,569,21,249,0,0,90
NEW 41-3528,KI,103,420,11,182,0,0,68
DES 33-0361,KI,115,386,11,201,1,0,74
DES 33-0360,KI,241,582,16,373,0,1,115
DES 33-0363,KI,115,350,5,154,0,0,34
DES 33-0362,KI,140,554,8,209,0,1,60
BEL 41-2943,KI,271,828,37,434,0,0,126
DES 33-0364,KI,121,441,7,196,0,0,68
DES 33-0367,KI,138,411,6,234,0,0,90
DES 33-0366,KI,240,593,14,343,0,0,89
SEA 37-1936,KI,189,296,10,222,0,0,23
SEA 37-1937,KI,176,293,7,212,0,0,29
SEA 11-3491,KI,0,0,0,0,0,0,0
SEA 37-1935,KI,180,291,15,204,0,0,9
SEA 37-1932,KI,190,416,19,218,0,0,9
SEA 37-1651,KI,213,736,20,256,1,1,21
SEA 37-1839,KI,345,754,31,399,0,1,22
KEN 33-3644,KI,142,486,7,213,0,1,63
BEL 48-0223,KI,176,435,21,286,0,0,89
SEA 37-1882,KI,174,395,9,193,0,1,9
BEL 48-0221,KI,184,617,22,304,0,0,98
SEA 37-1834,KI,164,386,9,188,0,1,14
BEL 48-0227,KI,211,662,21,326,0,1,93
BEL 48-0226,KI,117,315,9,187,0,0,61
BEL 48-0225,KI,155,464,8,264,0,1,100
BEL 48-0224,KI,225,636,22,358,0,0,111
SEA 37-3694,KI,40,92,2,44,0,0,2
SEA 37-3696,KI,18,49,0,18,0,0,0
