Row Label,County,Denny Heck,Joyce McDonald
Olympia 49,TH,313,30
Olympia 48,TH,269,151
Bush Prairie,TH,54,32
Summerset,TH,298,272
Olympia 42,TH,188,43
Olympia 41,TH,288,56
Olympia 40,TH,226,49
Olympia 47,TH,288,100
Olympia 46,TH,199,109
Olympia 45,TH,139,55
Olympia 44,TH,153,15
Holmes,TH,169,141
Cooper Point,TH,217,147
Ruth Prairie,TH,62,94
Hawks Ridge,TH,84,48
Weir Prairie,TH,165,187
Wilderness,TH,308,178
Lacey 32,TH,183,156
Camelot,TH,128,108
University South,TH,115,82
Lacey 24,TH,207,220
Gallagher Cove,TH,324,223
Lacey 17,TH,167,139
Total,TH,47303,31451
College,TH,50,7
Bigelow,TH,212,108
Lacey 37,TH,64,28
Olympia 08,TH,236,99
Beaver Creek,TH,272,362
Oyster Bay,TH,246,157
Eaton Creek,TH,97,128
Olympia 25,TH,178,69
Four Corners,TH,249,282
South Bay,TH,227,208
Indian Summer,TH,221,194
Longmire,TH,104,114
Tumwater 24,TH,134,113
Yelm 2,TH,126,178
Airport,TH,14,14
Thompson,TH,129,73
Glen Terra,TH,67,46
Frye Cove,TH,271,152
Cougar Mountain,TH,48,34
Mckinley,TH,78,46
Olympia 37,TH,150,72
Scheller,TH,98,68
Olympia 35,TH,431,178
Black Lake,TH,263,220
Lacey 39,TH,313,168
Olympia 30,TH,237,40
Olympia 31,TH,182,112
Sunwood Lakes,TH,289,267
Lydia Hawk,TH,311,235
Lacey 23,TH,73,68
Olympia 32,TH,264,142
Tumwater 09,TH,137,95
Yelm 4,TH,168,196
Zangle,TH,221,112
Fish Trap,TH,189,102
East Olympia,TH,162,161
Munn Lake,TH,118,104
Sunset Beach,TH,315,115
Olympia 27,TH,103,46
Lacey 43,TH,181,196
Lacey 40,TH,193,191
Fristoe,TH,114,124
Lacey 46,TH,363,363
Lacey 47,TH,306,229
Lacey 44,TH,78,58
Hicks,TH,41,19
Salmon Creek,TH,110,106
Lacey 49,TH,112,81
Wards,TH,122,34
South Union,TH,259,214
Boston Harbor,TH,326,90
Olympia 29,TH,248,132
Olympia 28,TH,293,59
Trails End,TH,350,283
Hartwood,TH,304,325
Waddell Creek,TH,161,138
Fleetwood,TH,248,200
Olympia 26,TH,256,44
Olympia 21,TH,364,82
Olympia 20,TH,152,19
Olympia 23,TH,320,66
Violet Prairie,TH,166,263
Lacey 20,TH,79,46
Hawk Acres,TH,128,111
Tumwater 27,TH,195,137
Lacey 21,TH,91,66
Lakeside,TH,92,87
Lacey 22,TH,151,63
Olympia 36,TH,99,23
Glenwood,TH,85,42
Chambers,TH,277,280
Nisqually,TH,151,119
Rich(*),TH,0,0
