Row Label,County,Ann Schindler,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
RNT 11-0985,KI,93,325,71,167,0,3
RNT 11-0984,KI,87,279,53,140,0,0
RNT 11-0986,KI,204,719,141,349,0,4
RNT 11-0981,KI,254,794,142,399,0,3
RNT 11-0980,KI,58,333,31,90,0,1
AUB 47-2573,KI,266,679,118,391,0,7
KEN 33-0578,KI,134,501,70,207,0,3
KEN 33-0576,KI,103,394,60,165,0,2
KEN 33-0577,KI,109,371,60,170,0,1
KEN 33-0575,KI,107,413,46,153,0,0
BERRYDALE,KI,132,505,142,277,0,3
LOUIE,KI,135,512,99,236,0,2
M-V 05-3600,KI,145,616,125,270,0,0
M-V 05-3601,KI,146,496,90,239,0,3
BEL 41-0733,KI,167,718,147,315,0,1
GOLDFINCH,KI,88,281,76,165,0,1
ENM 31-0409,KI,101,379,95,196,0,0
LAKE RETREAT,KI,171,654,169,347,0,7
CLOVER,KI,171,594,122,299,0,6
SEA 37-1898,KI,78,285,80,158,0,0
RNT 11-1125,KI,166,661,100,268,0,2
HERON,KI,139,424,81,222,0,2
COV 47-3597,KI,76,293,67,150,0,7
RNT 33-2472,KI,161,587,87,252,0,4
CHINOOK,KI,187,671,168,357,0,2
SEA 34-1476,KI,81,273,88,170,0,1
AUB 31-3299,KI,73,248,81,155,0,1
SEA 34-1474,KI,111,402,116,227,0,0
BROKEN HILL,KI,160,639,107,268,0,1
SEA 11-1600,KI,135,550,120,257,0,2
SEA 43-1787,KI,147,564,128,277,0,2
SEA 11-1602,KI,139,598,142,288,0,7
SEA 34-1475,KI,88,311,84,176,0,4
SEA 34-1543,KI,117,327,101,218,0,0
SEA 34-1540,KI,87,333,89,176,0,0
SEA 34-1541,KI,97,380,137,235,0,1
SEA 34-1472,KI,86,239,85,171,0,0
SALISH,KI,245,674,171,418,0,2
SEA 43-1788,KI,360,807,220,580,0,0
SEA 34-1473,KI,108,319,71,180,0,1
ALG 30-0014,KI,164,486,62,229,0,3
KIR 01-0019,KI,257,752,176,433,0,0
SEA 37-3666,KI,91,422,36,128,0,1
SEA 34-1470,KI,201,677,146,352,0,5
ALG 30-0013,KI,104,467,47,153,0,2
CALHOUN,KI,162,574,68,236,0,6
RED 48-3475,KI,125,356,83,210,0,2
COLVOS,KI,90,250,63,153,0,0
RNT 11-0502,KI,206,703,136,346,0,4
LFP 46-1075,KI,116,366,101,217,0,0
SEA 32-2206,KI,148,412,117,266,0,1
SEA 46-2316,KI,126,411,113,239,0,0
SEA 32-2204,KI,124,339,104,230,0,2
SEA 46-2314,KI,123,337,93,217,0,1
SEA 32-2202,KI,130,436,118,250,0,2
COV 47-3581,KI,104,385,76,180,0,0
SEA 32-2200,KI,136,385,127,263,0,0
SEA 32-2201,KI,176,463,139,315,0,0
BEL 48-0207,KI,104,327,81,186,0,1
BEL 48-0201,KI,174,512,118,293,0,1
SEA 32-2208,KI,106,350,117,224,0,1
SEA 32-2209,KI,207,599,192,402,0,3
SEA 34-1438,KI,116,328,93,209,0,0
SEA 34-1439,KI,108,369,108,220,1,3
SEA 34-1432,KI,109,331,107,218,0,2
SEA 34-1433,KI,105,319,103,208,0,0
KEN 47-3323,KI,131,459,85,218,0,2
SEA 34-1431,KI,106,308,96,203,0,1
SEA 34-1436,KI,76,362,80,156,0,0
SEA 34-1437,KI,115,498,137,254,0,2
SEA 34-1434,KI,99,271,84,183,0,0
SEA 34-1435,KI,77,299,101,178,0,0
KEN 47-2403,KI,107,466,60,171,0,4
SAM 41-3638,KI,187,717,155,346,0,4
SAM 45-2564,KI,225,749,191,418,0,2
FAIRMONT,KI,104,394,108,216,0,4
CHALLENGER,KI,101,293,84,185,0,0
BEL 48-0149,KI,130,416,101,234,0,3
BEL 48-0142,KI,91,299,66,159,0,2
BEL 48-0143,KI,92,291,59,152,0,1
BEL 48-0140,KI,147,425,86,234,0,1
BEL 48-0146,KI,98,298,74,173,0,1
BEL 48-0147,KI,113,444,92,207,0,2
BEL 48-0144,KI,92,320,75,169,0,2
BEL 48-0145,KI,73,274,61,137,0,3
SEA 46-2228,KI,119,486,111,234,0,4
SEA 46-2221,KI,144,513,154,298,0,0
DES 30-1227,KI,222,635,151,378,0,5
SHL 32-2753,KI,122,465,59,184,0,3
DANIEL,KI,176,574,138,323,0,9
ISS 05-2806,KI,121,399,122,243,0,0
SAM 45-3412,KI,237,738,168,406,0,1
JAY,KI,143,492,136,280,0,1
SHL 32-1210,KI,167,535,115,284,0,2
SEA 37-1944,KI,188,754,138,326,0,0
SEA 36-1386,KI,98,315,114,213,0,1
SEA 36-1387,KI,157,462,132,289,0,0
SEA 36-1384,KI,119,309,104,228,0,5
SEA 36-1385,KI,69,243,104,175,0,2
AUB 31-0082,KI,126,403,74,203,0,3
AUB 31-0083,KI,137,487,91,229,0,1
AUB 31-0080,KI,253,830,157,414,0,4
AUB 31-0081,KI,136,457,63,199,0,0
SEA 36-1388,KI,96,337,123,220,0,1
SEA 36-1389,KI,80,259,82,163,0,1
TUK 11-3393,KI,85,347,33,119,0,1
HONEY,KI,32,102,25,57,0,0
KEN 33-3332,KI,236,863,198,437,0,3
KEN 47-0798,KI,228,742,166,394,0,0
SET 33-3069,KI,89,353,79,169,0,1
SET 33-3068,KI,122,464,106,228,0,0
SKY 39-1091,KI,37,130,37,74,0,0
SET 33-3066,KI,106,491,72,179,0,1
KEN 33-3445,KI,115,375,70,188,0,3
SET 33-3064,KI,111,468,55,167,0,1
SET 33-3063,KI,107,330,64,173,0,2
SET 33-3062,KI,100,316,55,155,0,0
SET 33-3061,KI,96,340,68,166,0,2
SEA 37-1630,KI,80,309,88,169,0,1
KEN 33-2426,KI,178,550,119,298,0,1
SEA 43-1976,KI,60,242,34,94,0,0
SHL 32-1106,KI,170,585,126,299,0,3
BEL 41-2554,KI,187,645,156,343,0,0
SEA 43-3320,KI,135,515,106,241,0,0
SHL 32-1101,KI,81,301,76,157,0,0
SEA 37-1622,KI,128,578,98,226,0,0
BUR 33-0805,KI,189,591,79,270,0,2
SEA 36-1709,KI,85,359,66,154,0,3
COOPER,KI,148,473,129,278,0,1
SEA 36-1702,KI,170,606,199,372,0,3
SEA 36-1703,KI,179,530,160,340,0,1
SEA 36-1700,KI,123,383,85,208,0,0
DOLPHIN,KI,99,275,83,183,0,1
SEA 36-1704,KI,139,640,109,251,0,3
SEA 46-2094,KI,91,283,87,178,0,0
SEA 46-2095,KI,76,279,110,187,0,1
SEA 46-2096,KI,84,230,78,162,0,0
SEA 46-2097,KI,115,400,142,257,0,0
SEA 46-2090,KI,147,494,115,262,0,0
SEA 46-2091,KI,134,451,129,265,0,2
SEA 46-2092,KI,115,311,110,225,0,0
SEA 36-2750,KI,110,458,83,198,0,5
SEA 34-1497,KI,197,728,134,336,0,5
SEA 46-2098,KI,146,436,139,285,0,0
DOLLOFF,KI,125,412,96,223,0,2
LOIS,KI,132,566,99,237,0,6
SHL 32-0538,KI,123,425,94,219,0,2
SEA 46-2263,KI,194,599,201,396,0,1
BEL 48-3166,KI,177,561,101,278,0,0
SHL 32-0530,KI,105,282,73,179,0,1
BEL 48-3498,KI,84,239,69,153,0,0
AUB 31-0069,KI,101,314,58,159,0,0
SEA 36-2147,KI,164,489,173,338,0,1
SEA 36-2146,KI,92,338,105,199,0,2
AUB 31-0062,KI,222,660,108,332,0,2
AUB 31-0063,KI,92,279,37,130,0,1
AUB 31-0064,KI,91,408,34,125,0,0
AUB 31-0065,KI,83,288,42,125,0,0
COV 47-3244,KI,138,466,62,204,0,4
SEA 46-2345,KI,88,294,108,196,0,0
ALDERWOOD,KI,158,440,122,284,0,4
RED 45-2643,KI,146,433,104,254,0,4
BEL 41-3291,KI,83,292,75,159,0,1
SEA 37-1920,KI,195,574,143,339,0,1
SEA 37-1925,KI,76,319,74,153,0,3
SEA 37-1927,KI,102,409,112,216,0,2
RNT 11-2816,KI,171,578,121,297,0,5
SEA 43-1999,KI,138,439,132,270,0,0
SEA 43-1993,KI,89,238,56,147,0,2
SEA 43-1992,KI,184,652,222,410,0,4
SEA 43-1991,KI,260,839,224,487,0,3
SEA 43-1990,KI,145,458,114,260,0,1
SEA 43-1997,KI,102,295,91,194,0,1
SEA 43-1996,KI,93,298,99,193,0,1
SEA 43-1995,KI,83,244,78,163,0,2
SEA 43-1994,KI,125,295,72,197,0,0
RNT 11-3224,KI,126,457,84,214,0,4
BUR 34-0025,KI,205,734,144,352,0,3
RNT 11-3223,KI,71,294,42,114,0,1
RNT 11-3222,KI,167,581,125,295,1,2
MARCEL,KI,102,371,104,207,0,1
RNT 11-2607,KI,115,631,79,196,0,2
SAM 45-3388,KI,227,698,161,389,0,1
SAM 45-3389,KI,288,762,171,460,0,1
SEA 43-3685,KI,84,258,72,158,0,2
DES 33-1078,KI,87,354,63,150,0,0
SAM 45-3386,KI,225,784,173,398,0,0
SAM 45-3387,KI,137,402,106,244,0,1
LAKERIDGE,KI,230,751,178,411,0,3
BEL 41-3583,KI,228,675,157,386,0,1
BEL 41-0129,KI,95,316,53,148,0,0
BEL 41-0128,KI,161,494,134,295,0,0
MCDONALD,KI,152,525,131,285,0,2
BEL 41-0124,KI,174,505,132,308,0,2
BEL 41-0123,KI,190,748,130,323,0,3
BEL 41-0122,KI,129,391,84,213,0,0
BEL 41-0121,KI,134,501,93,231,0,4
BEL 41-0120,KI,84,248,73,157,0,0
SNQ 05-3151,KI,157,627,138,297,0,2
RNT 11-3359,KI,136,487,50,188,0,2
RNT 11-0992,KI,77,295,50,127,0,0
RNT 11-0990,KI,131,448,68,199,0,0
RNT 11-0996,KI,149,562,106,257,0,2
RNT 11-0997,KI,199,875,125,328,0,4
RNT 11-3643,KI,107,363,71,180,0,2
RNT 11-0998,KI,102,363,69,171,0,0
WAXWING,KI,88,295,90,178,0,0
KEN 33-0583,KI,116,371,86,203,0,1
KEN 33-0582,KI,213,843,144,359,0,2
KEN 33-0581,KI,220,684,91,311,0,0
KEN 33-0587,KI,120,470,86,209,0,3
KEN 33-0586,KI,155,437,101,256,0,0
KEN 33-0585,KI,137,569,84,224,0,3
KEN 33-0588,KI,90,317,66,157,0,1
HUCKLEBERRY,KI,126,420,98,227,0,3
SEA 43-3595,KI,181,535,138,322,0,3
MINK ROAD,KI,136,424,122,260,0,2
RED 45-3282,KI,238,707,183,425,0,4
RED 45-3281,KI,188,633,122,312,0,2
LFP 46-0397,KI,112,397,91,204,0,1
BUR 33-0251,KI,92,386,81,174,0,1
SHL 32-0844,KI,158,431,117,276,0,1
SEA 43-1379,KI,88,263,97,187,0,2
SEA 43-1378,KI,101,308,117,219,0,1
SEA 43-1377,KI,112,330,94,207,0,1
SEA 43-1376,KI,164,541,146,312,0,2
SEA 43-1375,KI,101,327,118,222,0,3
SEA 43-1374,KI,91,295,114,205,0,0
SEA 43-1373,KI,104,335,134,243,0,5
SEA 43-1372,KI,97,335,126,224,0,1
SEA 43-1371,KI,86,288,80,166,0,0
SEA 43-1370,KI,112,332,125,237,0,0
LFP 46-0400,KI,167,519,147,315,0,1
ISS 05-3464,KI,198,829,177,376,0,1
HUTCHINSON,KI,224,678,203,427,0,0
BEL 41-1052,KI,140,462,117,257,0,0
SAWYER,KI,210,594,171,382,0,1
SAM 41-3607,KI,129,498,128,259,0,2
SEA 11-1639,KI,108,551,84,193,0,1
SEA 43-3665,KI,110,379,72,184,0,2
KEN 47-2939,KI,79,314,40,121,0,2
NOVELTY,KI,163,605,169,336,0,4
BUR 34-1047,KI,206,744,147,355,0,2
BEL 41-2970,KI,200,714,180,384,0,4
SEA 43-1368,KI,80,292,103,184,0,1
MAY VALLEY,KI,127,492,116,246,0,3
BEL 48-0212,KI,226,620,74,303,0,3
BEL 48-0213,KI,125,395,46,175,0,4
SEA 46-2306,KI,96,307,98,195,0,1
SEA 46-2127,KI,161,494,116,278,0,1
BEL 48-0216,KI,91,256,47,140,0,2
BEL 48-0217,KI,122,404,62,184,0,0
BEL 48-0214,KI,84,274,46,130,0,0
SEA 46-2303,KI,135,422,148,284,0,1
BEL 48-0218,KI,206,546,130,338,0,2
SEA 46-2308,KI,110,377,120,230,0,0
SEA 46-2309,KI,98,300,85,184,0,1
GRASS LAKE,KI,153,374,81,235,0,1
SEA 34-1449,KI,97,367,115,213,0,1
RNT 11-0456,KI,185,635,101,291,0,5
SEA 34-1446,KI,106,398,129,237,0,2
SEA 34-1444,KI,203,595,159,365,0,3
SEA 34-1443,KI,144,380,122,266,0,0
SEA 11-1256,KI,145,627,95,242,0,2
SEA 34-1441,KI,80,264,74,156,0,2
SEA 34-1440,KI,67,242,82,149,0,0
SEA 43-1367,KI,119,375,131,253,0,3
SEA 43-2088,KI,203,694,157,361,0,1
SEA 43-2089,KI,34,341,30,65,0,1
SHADOW LAKE,KI,167,610,163,334,0,4
SEA 43-2084,KI,235,668,205,445,0,5
SEA 43-2081,KI,25,385,10,35,0,0
SEA 43-1361,KI,114,417,121,238,0,3
KEN 47-2599,KI,217,748,125,345,0,3
BEL 48-0138,KI,96,393,82,179,0,1
BEL 48-0136,KI,70,274,43,113,0,0
BEL 48-0135,KI,72,256,54,127,0,1
BEL 48-0134,KI,96,324,45,143,0,2
BEL 48-0133,KI,85,307,57,143,0,1
BEL 48-0132,KI,65,249,69,134,0,0
AUB 31-3405,KI,202,662,120,322,0,0
SEA 46-2231,KI,188,619,174,366,0,4
SEA 46-2234,KI,88,274,92,182,0,2
SEA 46-2236,KI,105,350,113,218,0,0
SEA 46-2796,KI,117,456,108,229,0,4
SQUAK MOUNTAIN,KI,68,188,47,115,0,0
DES 33-3131,KI,67,266,50,119,0,2
SNQ 05-3558,KI,130,487,105,236,0,1
SEA 46-2153,KI,118,492,107,231,0,6
SEA 46-2152,KI,78,378,111,192,0,3
LAKELAND,KI,143,527,101,248,0,4
AUB 47-0328,KI,254,684,139,397,0,4
KEN 47-1034,KI,218,745,138,356,0,0
FAIRGLEN,KI,148,442,110,258,0,0
GENEVA,KI,120,408,96,218,0,2
KEN 11-3403,KI,164,549,100,264,0,0
SET 33-3075,KI,62,289,53,116,0,1
SET 33-3076,KI,188,623,118,310,0,4
SET 33-3070,KI,97,340,75,173,0,1
AUB 30-0046,KI,111,351,57,169,0,1
SEA 36-1288,KI,145,391,120,265,0,0
SEA 36-1287,KI,229,733,248,481,0,4
SEA 36-1286,KI,123,439,128,254,0,3
ENM 31-0411,KI,257,765,149,410,0,4
SHL 32-0444,KI,149,438,110,260,0,1
SEA 37-1652,KI,66,287,90,157,0,1
SEA 37-1651,KI,174,736,80,256,0,2
SEA 37-1650,KI,81,260,93,175,0,1
SEA 36-1775,KI,181,711,143,327,0,3
SEA 36-1774,KI,180,494,167,347,0,0
BUR 33-0818,KI,187,753,131,319,0,1
SEA 36-1772,KI,147,534,136,284,0,1
SEA 36-1771,KI,138,487,107,248,0,3
SEA 36-1770,KI,79,234,80,159,0,0
SERENIDAD,KI,197,746,119,317,0,1
ISS 41-3533,KI,148,507,106,254,0,0
AUB 47-0072,KI,163,525,124,289,0,2
AUB 47-0073,KI,167,687,73,244,0,4
AUB 47-0074,KI,206,569,88,294,0,0
GROUSEMONT,KI,205,593,189,396,0,2
REGAL,KI,200,788,118,321,0,3
RED 45-2410,KI,295,822,235,533,0,3
SAM 45-2620,KI,168,491,130,305,0,7
KMR 46-2444,KI,132,418,103,237,0,2
SEA 43-3262,KI,85,306,92,177,0,0
M-I 41-2808,KI,109,263,77,188,0,2
M-I 41-2809,KI,77,240,73,152,0,2
RED 45-2659,KI,56,154,33,89,0,0
AUB 31-0054,KI,149,527,61,214,0,4
AUB 31-0051,KI,123,530,42,166,0,1
AUB 31-0050,KI,118,421,68,188,0,2
M-I 41-0790,KI,75,246,71,147,0,1
KRAIN,KI,179,565,192,372,0,1
SEA 43-1783,KI,126,455,116,243,0,1
SEA 43-3570,KI,245,1056,181,429,0,3
SEA 46-2300,KI,162,490,162,327,0,3
SEA 36-3605,KI,138,535,107,249,0,4
SEA 37-1937,KI,98,293,114,212,0,0
SEA 11-3491,KI,0,0,0,0,0,0
SEA 37-1935,KI,91,291,112,204,0,1
SEA 37-1932,KI,99,416,118,218,0,1
SEA 37-1930,KI,203,738,186,391,0,2
SEA 37-1938,KI,112,394,134,247,0,1
KIR 45-0925,KI,114,312,52,167,0,1
SEA 37-1915,KI,134,384,123,260,0,3
SEA 43-1982,KI,141,501,125,266,0,0
SEA 43-1983,KI,177,497,135,313,0,1
TUK 11-3614,KI,18,56,10,28,0,0
SEA 43-1986,KI,78,278,85,163,0,0
LFP 46-0092,KI,199,646,140,341,0,2
MATTHEW,KI,108,461,133,243,0,2
SEA 43-3692,KI,0,0,0,0,0,0
SEA 43-3690,KI,9,38,7,17,0,1
ASPEN GLEN,KI,126,396,103,232,0,3
BUR 33-0009,KI,90,277,29,119,0,0
BEL 41-0131,KI,105,417,72,178,0,1
SEA 43-1863,KI,122,475,131,255,0,2
BEL 41-3621,KI,165,525,125,291,0,1
BUR 33-1067,KI,259,866,160,427,0,8
BEL 41-3330,KI,76,309,69,146,0,1
TUK 11-2752,KI,130,490,114,249,0,5
BAKER,KI,198,599,149,347,0,0
SNQ 05-3513,KI,253,896,208,463,0,2
TUK 11-2751,KI,69,273,67,136,0,0
KEN 33-0590,KI,227,755,137,372,0,8
KEN 33-0591,KI,89,274,51,140,0,0
KEN 33-0592,KI,50,208,30,81,0,1
KEN 33-0593,KI,94,231,46,140,0,0
KEN 33-0594,KI,93,366,95,189,0,1
KEN 33-0595,KI,93,488,46,139,0,0
KEN 33-0596,KI,161,550,128,289,0,0
KEN 33-0597,KI,148,688,84,239,1,6
KEN 33-0598,KI,127,473,73,201,0,1
ISS 05-3504,KI,133,610,133,267,0,1
ISS 05-3503,KI,111,504,126,240,0,3
ANGELO,KI,119,425,111,232,0,2
SEA 46-2056,KI,118,330,108,228,0,2
BUR 34-1116,KI,122,387,67,192,1,2
SEA 46-2057,KI,160,443,149,310,0,1
BEL 41-0220,KI,171,420,89,262,0,2
SHL 32-0875,KI,177,557,137,315,0,1
FED 30-3085,KI,145,416,110,257,0,2
LFP 46-0655,KI,250,679,173,426,0,3
LFP 46-0654,KI,182,471,123,307,0,2
LFP 46-0653,KI,150,412,133,285,0,2
LFP 46-0652,KI,86,230,69,156,0,1
LFP 46-0650,KI,108,354,110,221,0,3
KEN 47-3189,KI,147,732,58,206,0,1
SEA 43-1369,KI,68,285,93,165,0,4
SEA 43-1364,KI,153,535,165,321,0,3
NEW 41-3241,KI,209,699,163,373,0,1
SEA 43-1366,KI,87,287,97,186,0,2
LITTLE SOOS,KI,170,463,96,268,0,2
SEA 43-1360,KI,215,622,162,379,0,2
KEN 47-3180,KI,125,541,61,187,0,1
SEA 43-1362,KI,170,660,176,351,0,5
RNT 11-1109,KI,101,484,75,180,0,4
SEA 46-2330,KI,128,420,104,232,0,0
TOLT,KI,103,317,85,188,0,0
NATHAN,KI,150,507,144,297,0,3
DUV 45-2959,KI,148,514,119,267,0,0
SNQ 05-1097,KI,93,402,83,177,0,1
SEA 11-1624,KI,112,577,95,208,0,1
MABEL,KI,119,331,91,212,0,2
BUR 34-1058,KI,172,493,138,315,0,5
BUR 34-1059,KI,201,614,117,321,0,3
BUR 34-1057,KI,224,660,198,423,0,1
BOT 01-2495,KI,175,580,126,304,0,3
SEA 46-2339,KI,87,330,79,171,0,5
FED 30-3080,KI,114,499,58,172,0,0
LFP 46-1056,KI,176,536,154,332,0,2
FED 30-3087,KI,155,508,98,259,0,6
FED 30-3086,KI,175,526,104,279,0,0
FED 30-3088,KI,168,538,92,263,0,3
SEA 46-2333,KI,104,371,115,221,0,2
SEA 46-2332,KI,81,248,84,165,0,0
SEA 46-2335,KI,163,609,103,268,0,2
SEA 46-2334,KI,177,573,163,343,0,3
SEA 46-2337,KI,112,347,70,185,0,3
SEA 46-2336,KI,184,707,163,350,0,3
KIR 45-3640,KI,91,311,59,152,0,2
KIR 45-3646,KI,66,276,34,101,0,1
SEA 34-1458,KI,127,376,119,246,0,0
SEA 34-1459,KI,97,272,76,175,0,2
SEA 34-1454,KI,83,306,95,180,0,2
SEA 34-1455,KI,246,956,181,428,0,1
SEA 34-1456,KI,139,428,109,248,0,0
SEA 34-1457,KI,207,687,178,385,0,0
SEA 34-1450,KI,102,301,84,188,0,2
SEA 34-1451,KI,108,330,70,178,0,0
SEA 34-1452,KI,86,275,84,170,0,0
SEA 34-1453,KI,97,264,77,174,0,0
SHL 32-0296,KI,118,377,81,201,0,2
SAM 41-3654,KI,174,475,110,287,0,3
COV 47-2982,KI,157,553,94,251,0,0
SEA 32-2216,KI,95,338,107,203,0,1
KEN 47-2585,KI,256,819,174,431,0,1
BEL 48-0125,KI,120,405,80,201,0,1
BEL 48-0126,KI,108,354,89,198,0,1
BEL 48-0127,KI,110,393,50,161,0,1
RNT 11-2581,KI,169,668,147,322,0,6
FED 30-3395,KI,90,272,51,143,0,2
RAVENSDALE,KI,141,497,109,252,0,2
BUR 34-0900,KI,115,391,78,194,0,1
SEA 37-3647,KI,87,447,56,146,0,3
KEN 47-1151,KI,134,398,95,229,0,0
SEA 32-2537,KI,114,396,99,213,0,0
SEA 32-2539,KI,242,788,201,447,0,4
BEL 48-0694,KI,181,556,96,279,0,2
SEA 46-2142,KI,208,674,145,357,0,4
SEA 46-2143,KI,92,285,68,163,0,3
SEA 46-2145,KI,161,497,136,297,0,0
MERGANSER,KI,213,627,136,351,0,2
DIAMOND,KI,66,227,54,120,0,0
M-V 05-0528,KI,172,344,93,266,0,1
CAR 05-3290,KI,163,515,145,309,0,1
SHL 32-1038,KI,91,254,44,136,0,1
AUB 30-0053,KI,126,437,56,185,0,3
SEA 43-1334,KI,126,446,133,262,0,3
SNO-VALLEY,KI,217,760,188,408,0,3
JEFFERSON,KI,229,829,170,404,0,5
SAM 41-0307,KI,134,525,155,291,0,2
SEA 34-3682,KI,94,386,97,192,0,1
