Row Label,County,Eric Pettigrew,Tamra Smilanich,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 37-1614,KI,124,16,260,15,155,0,0
SEA 37-1899,KI,166,10,338,16,195,0,3
EARLINGTON,KI,115,19,357,15,150,0,1
SEA 37-1891,KI,158,18,304,17,193,0,0
SEA 37-1890,KI,368,17,581,26,412,0,1
SEA 37-1893,KI,247,22,445,18,287,0,0
SEA 37-1892,KI,274,43,594,42,360,0,1
SEA 37-1895,KI,294,21,604,36,356,0,5
SEA 37-1894,KI,201,30,433,28,259,0,0
SEA 37-1897,KI,221,64,881,32,320,0,3
SEA 37-1896,KI,211,25,410,22,258,0,0
