Row Label,County,Joan McBride,Tim Turner,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
BEL 48-0164,KI,108,43,299,11,163,0,1
BEL 48-0165,KI,140,73,384,37,250,0,0
BEL 48-0166,KI,120,64,380,28,212,0,0
BEL 48-0167,KI,94,53,271,10,158,0,1
BEL 48-0168,KI,89,29,255,16,134,0,0
BEL 48-0169,KI,115,59,361,21,195,0,0
RED 48-0945,KI,142,70,453,32,245,0,1
MED 48-0750,KI,208,116,661,65,389,0,0
MED 48-0752,KI,159,113,527,39,311,0,0
BEL 48-2430,KI,185,80,486,25,290,0,0
BEL 48-2432,KI,146,54,403,24,225,0,1
BEL 48-2434,KI,165,68,394,26,259,0,0
RED 48-3208,KI,101,37,415,18,156,0,0
KIR 48-2919,KI,128,55,412,24,207,0,0
RED 48-3475,KI,125,63,356,20,210,0,2
BRIDLE TRAILS,KI,0,0,0,0,0,0,0
KIR 48-2913,KI,211,99,700,24,337,0,3
KIR 48-2914,KI,245,106,723,45,399,0,3
KIR 48-2915,KI,151,63,411,26,240,0,0
BEL 48-0154,KI,93,51,258,8,157,0,5
BEL 48-0156,KI,233,80,659,40,354,0,1
BEL 48-0151,KI,143,55,409,33,232,0,1
RED 48-2968,KI,184,79,817,35,298,0,0
BEL 48-0153,KI,106,43,314,11,160,0,0
BEL 48-0207,KI,120,54,327,12,186,0,0
RED 48-2969,KI,157,56,443,38,253,0,2
BEL 48-0201,KI,161,94,512,38,293,0,0
RED 48-2449,KI,175,86,518,29,290,0,0
RED 48-2448,KI,187,97,544,32,316,0,0
KIR 48-3196,KI,153,55,428,25,233,0,0
KIR 48-0642,KI,157,65,430,30,253,0,1
KIR 48-0643,KI,77,40,314,22,141,0,2
KIR 48-0641,KI,126,69,370,25,221,0,1
KIR 48-0646,KI,195,93,511,16,305,0,1
KIR 48-0644,KI,228,113,716,51,393,0,1
KIR 48-0645,KI,75,30,230,18,127,0,4
