Row Label,County,Karen Valenzuela,Bud Blake
Deerbrush,TH,132,217
Henness,TH,128,420
Lacey 09,TH,66,68
Kinwood,TH,120,142
Rainier 02,TH,71,115
Summit Lake,TH,98,186
Lacey 19,TH,77,112
Lacey 18,TH,136,194
Simmons 9,TH,4,2
Lacey 11,TH,160,108
Simmons 4,TH,6,12
Lacey 13,TH,69,73
Lacey 01,TH,57,63
Lacey 15,TH,128,143
Gull Harbor,TH,117,106
Simmons 3,TH,7,6
Simmons 2,TH,5,2
Spurgeon Creek,TH,53,97
Black River,TH,155,331
Forest,TH,203,244
Olympia 24,TH,185,94
Meadows,TH,91,174
Pattison,TH,140,201
Olympia 54,TH,162,40
Olympia 55,TH,88,70
Olympia 56,TH,136,136
Olympia 57,TH,103,60
Tykle Cove,TH,149,189
Mcallister Creek,TH,108,143
Olympia 52,TH,109,59
Mcintosh,TH,208,375
Tenino 02,TH,80,133
Olympia 39,TH,166,136
Steamboat Island,TH,137,136
Olympia 20,TH,120,39
Lacey 08,TH,100,79
Lacey 41,TH,117,159
Beach Crest,TH,120,130
Ames,TH,161,133
Jones Beach,TH,84,109
Pleasant Glade,TH,90,113
Evergreen Shores,TH,129,155
Hewitt Lake,TH,211,192
Tumwater 08,TH,182,178
Olympia 60,TH,109,80
Tumwater 06,TH,237,264
Tumwater 07,TH,115,146
Tumwater 04,TH,103,87
Tumwater 05,TH,117,120
Tumwater 02,TH,172,117
Tumwater 03,TH,166,170
Roosevelt,TH,188,206
Tumwater 01,TH,111,117
University North,TH,49,89
Olympia 49,TH,262,67
Olympia 48,TH,180,211
Bush Prairie,TH,29,56
Summerset,TH,199,337
Olympia 42,TH,151,61
Olympia 41,TH,231,95
Olympia 40,TH,159,94
Olympia 47,TH,201,158
Olympia 46,TH,146,137
Olympia 45,TH,108,70
Olympia 44,TH,133,25
Holmes,TH,126,160
Cooper Point,TH,134,203
Ruth Prairie,TH,47,101
Hawks Ridge,TH,60,64
Weir Prairie,TH,122,215
Wilderness,TH,224,224
Lacey 32,TH,135,182
Camelot,TH,87,140
University South,TH,68,115
Lacey 24,TH,160,229
Gallagher Cove,TH,226,283
Lacey 17,TH,110,167
Total,TH,34619,41690
College,TH,34,11
Bigelow,TH,156,137
Lacey 37,TH,45,45
Olympia 08,TH,154,155
Beaver Creek,TH,165,438
Oyster Bay,TH,165,207
Eaton Creek,TH,63,137
Lacey 28,TH,79,111
Olympia 25,TH,128,106
Four Corners,TH,185,309
South Bay,TH,166,232
Indian Summer,TH,140,242
Longmire,TH,70,132
Tumwater 24,TH,95,136
Olympia 59,TH,162,105
Clear Lake,TH,170,304
Airport,TH,11,18
Thompson,TH,89,103
Bucoda,TH,44,95
Glen Terra,TH,45,57
Frye Cove,TH,183,204
Cougar Mountain,TH,32,48
Mckinley,TH,61,51
Olympia 37,TH,108,95
Gibson Valley,TH,10,49
Olympia 35,TH,282,272
Black Lake,TH,174,268
Scheller,TH,47,112
Olympia 30,TH,178,88
Olympia 31,TH,130,136
Sunwood Lakes,TH,221,288
Lydia Hawk,TH,209,291
Lacey 23,TH,52,84
Olympia 32,TH,202,179
Michigan Hill,TH,57,151
Tumwater 09,TH,95,122
Yelm 4,TH,130,196
Lacey 48,TH,82,114
Zangle,TH,156,153
Fish Trap,TH,133,129
East Olympia,TH,106,205
Munn Lake,TH,75,126
Sunset Beach,TH,220,177
Olympia 27,TH,84,53
Lacey 43,TH,146,193
Lacey 40,TH,144,198
Fristoe,TH,84,137
Lacey 46,TH,256,406
Lacey 47,TH,241,247
Lacey 44,TH,44,76
Hicks,TH,31,23
Salmon Creek,TH,70,133
Lacey 49,TH,79,97
Wards,TH,89,56
South Union,TH,163,287
Boston Harbor,TH,244,140
Olympia 29,TH,176,176
Olympia 28,TH,238,94
Trails End,TH,227,352
Hartwood,TH,226,341
Waddell Creek,TH,101,176
Fleetwood,TH,154,254
Olympia 26,TH,211,79
Olympia 21,TH,279,154
Bald Hills,TH,45,60
Olympia 23,TH,246,125
Violet Prairie,TH,102,290
Lacey 20,TH,43,73
Hawk Acres,TH,91,133
Tumwater 27,TH,156,151
Lacey 21,TH,59,92
Lakeside,TH,63,110
Lacey 22,TH,101,95
Olympia 36,TH,68,44
Glenwood,TH,65,55
Chambers,TH,176,342
Nisqually,TH,99,151
Rich(*),TH,0,0
