Row Label,County,Cathy McMorris Rodgers,Joseph (Joe) Pakootas
PCT 3308,SP,245,231
PCT 6500,SP,89,23
PCT 6218,SP,314,200
PCT 6219,SP,342,254
PCT 6210,SP,336,307
PCT 6211,SP,208,203
PCT 6212,SP,163,158
PCT 6213,SP,344,258
PCT 6214,SP,247,239
PCT 6215,SP,259,370
PCT 6216,SP,278,259
PCT 6217,SP,284,318
PCT 3110,SP,164,128
PCT 3111,SP,160,141
PCT 3112,SP,18,6
PCT 3113,SP,221,202
PCT 3114,SP,204,214
PCT 3115,SP,210,194
PCT 3116,SP,232,214
PCT 3117,SP,146,140
PCT 3118,SP,131,165
PCT 3119,SP,169,175
PCT 4429,SP,375,193
PCT 4428,SP,235,131
PCT 4425,SP,251,139
PCT 4424,SP,316,174
PCT 4427,SP,397,238
PCT 4426,SP,190,113
PCT 4421,SP,229,170
PCT 4420,SP,134,92
PCT 4423,SP,413,276
PCT 4422,SP,327,190
PCT 7033,SP,216,130
PCT 7032,SP,311,221
PCT 7031,SP,291,190
PCT 7030,SP,373,198
PCT 7036,SP,235,161
PCT 7035,SP,222,116
PCT 7034,SP,175,134
PCT 6602,SP,309,167
PCT 6601,SP,304,95
PCT 6600,SP,268,186
PCT 6030,SP,442,265
PCT 6031,SP,233,145
PCT 6032,SP,238,75
PCT 6033,SP,507,253
PCT 6034,SP,404,160
PCT 6035,SP,210,112
PCT 6036,SP,217,100
PCT 6037,SP,206,79
PCT 4450,SP,153,103
PCT 4451,SP,251,136
PCT 4452,SP,258,143
PCT 4453,SP,344,162
PCT 4454,SP,194,162
PCT 4455,SP,272,131
PCT 4029,SP,319,186
PCT 4028,SP,420,264
PCT 4021,SP,354,177
PCT 4020,SP,370,199
PCT 4023,SP,122,71
PCT 4022,SP,322,143
PCT 4025,SP,330,155
PCT 4024,SP,245,138
PCT 4027,SP,324,133
PCT 4026,SP,338,105
PCT 4431,SP,268,163
PCT 4414,SP,380,208
PCT 4415,SP,265,168
PCT 4416,SP,291,194
PCT 4417,SP,189,131
PCT 4410,SP,371,221
PCT 4411,SP,362,178
PCT 4412,SP,241,153
PCT 4413,SP,300,187
PCT 4418,SP,324,173
PCT 4419,SP,347,181
PCT 4201,SP,119,108
PCT 4200,SP,218,176
PCT 9600,SP,50,23
PCT 6100,SP,181,110
PCT 6101,SP,262,152
PCT 6102,SP,242,181
PCT 6103,SP,94,82
PCT 6104,SP,171,157
PCT 6105,SP,199,193
PCT 6106,SP,318,250
PCT 6107,SP,175,150
PCT 6108,SP,189,166
PCT 6109,SP,158,109
PCT 3208,SP,218,227
PCT 3209,SP,282,261
PCT 3200,SP,120,256
PCT 3201,SP,186,334
PCT 3202,SP,119,164
PCT 3203,SP,154,284
PCT 3204,SP,115,243
PCT 3205,SP,173,239
PCT 3206,SP,114,246
PCT 3207,SP,107,132
PCT 6209,SP,209,298
PCT 6208,SP,296,358
PCT 6203,SP,206,461
PCT 6202,SP,264,258
PCT 6201,SP,252,208
PCT 6200,SP,290,349
PCT 6207,SP,404,257
PCT 6206,SP,268,399
PCT 6205,SP,234,429
PCT 6204,SP,259,513
PCT 3103,SP,158,129
PCT 3102,SP,130,111
PCT 3101,SP,171,160
PCT 3100,SP,192,167
PCT 3107,SP,189,202
PCT 3106,SP,185,176
PCT 3105,SP,163,174
PCT 3104,SP,205,198
PCT 3109,SP,180,177
PCT 3108,SP,184,104
PCT 4010,SP,332,130
PCT 4011,SP,511,179
PCT 4012,SP,569,225
PCT 4013,SP,322,139
PCT 4014,SP,201,138
PCT 4015,SP,242,142
PCT 4016,SP,354,185
PCT 4017,SP,381,241
PCT 4018,SP,238,110
PCT 4019,SP,247,139
PCT 6704,SP,270,190
PCT 6702,SP,181,158
PCT 6703,SP,212,217
PCT 6700,SP,254,174
PCT 6701,SP,206,239
PCT 7008,SP,454,184
PCT 7009,SP,500,221
PCT 7006,SP,386,175
PCT 7007,SP,341,155
PCT 7004,SP,389,161
PCT 7005,SP,522,247
PCT 7002,SP,292,115
PCT 7003,SP,394,154
PCT 7000,SP,520,219
PCT 7001,SP,285,142
PCT 6023,SP,216,83
PCT 6022,SP,317,212
PCT 6021,SP,285,194
PCT 6020,SP,404,360
PCT 6027,SP,306,185
PCT 6026,SP,461,271
PCT 6025,SP,230,148
PCT 6024,SP,197,121
PCT 6029,SP,331,157
PCT 6028,SP,261,143
PCT 4449,SP,158,150
PCT 3328,SP,172,301
PCT 4443,SP,199,92
PCT 4442,SP,214,144
PCT 4441,SP,249,133
PCT 4440,SP,371,181
PCT 4447,SP,153,92
PCT 4446,SP,164,128
PCT 4445,SP,297,152
PCT 4444,SP,373,185
Total,SP,92198,62763
PCT 7301,SP,246,123
PCT 7300,SP,295,144
PCT 7302,SP,229,121
PCT 4407,SP,303,226
PCT 4406,SP,253,225
PCT 4405,SP,337,219
PCT 4404,SP,347,212
PCT 4403,SP,329,214
PCT 4402,SP,267,210
PCT 4401,SP,338,233
PCT 4400,SP,279,208
PCT 4409,SP,501,241
PCT 4408,SP,470,201
PCT 3219,SP,239,235
PCT 3218,SP,281,328
PCT 3213,SP,211,352
PCT 3212,SP,159,252
PCT 3211,SP,139,329
PCT 3210,SP,171,286
PCT 3217,SP,327,299
PCT 3216,SP,266,389
PCT 3215,SP,132,197
PCT 3214,SP,206,278
PCT 4300,SP,321,108
PCT 4301,SP,200,72
PCT 4302,SP,330,191
PCT 4303,SP,408,109
PCT 4304,SP,214,146
PCT 4305,SP,245,105
PCT 4306,SP,379,160
PCT 4307,SP,75,37
PCT 9500,SP,117,51
PCT 4003,SP,540,191
PCT 4002,SP,350,169
PCT 4001,SP,267,111
PCT 4007,SP,243,147
PCT 4006,SP,481,194
PCT 4005,SP,328,133
PCT 4004,SP,416,161
PCT 4009,SP,353,146
PCT 4008,SP,276,98
PCT 6302,SP,222,145
PCT 6303,SP,440,310
PCT 6300,SP,506,309
PCT 6301,SP,507,268
PCT 6306,SP,363,150
PCT 6307,SP,200,86
PCT 6304,SP,410,288
PCT 6305,SP,229,119
PCT 6308,SP,195,118
PCT 6309,SP,308,223
PCT 3000,SP,3,4
PCT 7011,SP,258,74
PCT 7010,SP,314,112
PCT 7013,SP,390,104
PCT 7012,SP,361,157
PCT 7015,SP,355,150
PCT 7014,SP,322,176
PCT 7017,SP,401,147
PCT 7016,SP,460,222
PCT 7019,SP,348,136
PCT 7018,SP,413,213
PCT 9300,SP,63,27
PCT 6401,SP,140,78
PCT 6400,SP,220,145
PCT 6402,SP,288,157
PCT 6016,SP,220,108
PCT 6017,SP,519,312
PCT 6014,SP,175,104
PCT 6015,SP,176,127
PCT 6012,SP,209,98
PCT 6013,SP,233,136
PCT 6010,SP,47,18
PCT 6011,SP,284,113
PCT 6018,SP,408,281
PCT 6019,SP,392,306
PCT 3318,SP,220,233
PCT 3319,SP,216,191
PCT 3316,SP,267,331
PCT 3317,SP,331,356
PCT 3314,SP,213,203
PCT 3315,SP,266,267
PCT 3312,SP,333,278
PCT 3313,SP,349,293
PCT 3310,SP,265,227
PCT 3311,SP,175,140
PCT 9008,SP,69,19
PCT 9004,SP,356,116
PCT 9005,SP,154,34
PCT 9006,SP,431,120
PCT 9007,SP,110,32
PCT 9000,SP,379,159
PCT 9001,SP,259,162
PCT 9002,SP,294,91
PCT 9003,SP,200,57
