Row Label,County,Proposition 1A,Proposition 1B,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted
SEA 43-2006,KI,35,111,298,23,169,0
SEA 43-2007,KI,30,106,256,28,164,0
SEA 43-2000,KI,66,189,550,38,294,1
SEA 43-2001,KI,86,279,648,64,433,4
SEA 43-2002,KI,83,252,587,55,391,1
SEA 46-2293,KI,58,183,441,51,292,0
SEA 46-1957,KI,70,203,553,81,354,0
SEA 37-2861,KI,45,171,391,24,243,3
SEA 43-2009,KI,47,246,487,32,329,4
SEA 37-1635,KI,87,78,524,33,199,1
SEA 37-1589,KI,47,137,290,27,217,6
SEA 37-1588,KI,41,103,244,15,159,0
SEA 46-1314,KI,71,117,330,21,210,1
SEA 37-1634,KI,71,86,473,34,191,0
SEA 37-1583,KI,129,201,700,50,382,2
SEA 37-1582,KI,113,147,715,30,291,1
SEA 37-1580,KI,59,76,333,24,160,1
SEA 37-1587,KI,50,113,311,31,195,1
SEA 37-1586,KI,69,151,373,28,251,3
SEA 36-3566,KI,85,188,579,34,307,0
SEA 36-1299,KI,70,165,425,24,260,1
SEA 43-1347,KI,92,290,726,52,435,1
SEA 43-1344,KI,65,195,452,31,292,1
SEA 37-1636,KI,92,97,586,28,217,0
SEA 43-1342,KI,50,166,366,21,237,0
SEA 43-1343,KI,44,145,355,25,215,1
SEA 43-1341,KI,69,229,499,51,351,2
SEA 46-2290,KI,46,122,289,27,195,0
SEA 46-2272,KI,48,150,367,48,247,1
SEA 43-1348,KI,57,226,555,34,317,0
SEA 37-1630,KI,47,88,309,33,169,1
SEA 46-1284,KI,35,85,278,19,140,1
SEA 46-1285,KI,40,118,303,23,182,1
SEA 43-1975,KI,14,38,439,10,63,1
SEA 37-1633,KI,62,76,329,25,163,0
SEA 46-1282,KI,79,254,656,65,399,1
SEA 43-1976,KI,31,53,242,8,94,2
SEA 37-1632,KI,42,102,292,29,173,0
SEA 43-3320,KI,70,138,515,32,241,1
SEA 36-1661,KI,36,118,277,39,193,0
SEA 43-2014,KI,64,160,352,35,260,1
SEA 36-1663,KI,46,102,275,57,205,0
SEA 36-1709,KI,50,81,359,23,154,0
SEA 36-1665,KI,100,165,515,89,356,2
SEA 36-1664,KI,44,129,326,45,218,0
SEA 46-1963,KI,29,88,278,35,152,0
SEA 36-1666,KI,94,207,572,59,360,0
SEA 36-1702,KI,83,216,606,71,372,2
SEA 36-1668,KI,74,119,443,50,244,1
SEA 36-1700,KI,51,127,383,29,208,1
SEA 36-1701,KI,68,135,331,28,231,0
SEA 46-1969,KI,34,97,278,37,169,1
SEA 11-1641,KI,64,75,539,44,183,0
SEA 36-1704,KI,70,149,640,31,251,1
SEA 46-2094,KI,30,122,283,25,178,1
SEA 46-2095,KI,29,132,279,23,187,3
SEA 36-3319,KI,89,234,867,42,365,0
SEA 36-3318,KI,91,264,680,69,428,4
SEA 46-2090,KI,76,154,494,29,262,3
SEA 46-2091,KI,59,169,451,37,265,0
SEA 46-2092,KI,48,130,311,45,225,2
SEA 46-2093,KI,67,203,462,46,317,1
SEA 34-1411,KI,50,108,307,39,197,0
SEA 46-2099,KI,63,181,437,49,293,0
SEA 43-2853,KI,33,153,440,19,206,1
SEA 43-2852,KI,56,143,501,27,226,0
SEA 36-1689,KI,74,173,484,66,313,0
SEA 36-1688,KI,40,94,273,45,179,0
SEA 43-2113,KI,27,97,393,16,140,0
SEA 36-1683,KI,60,100,305,45,205,0
SEA 36-1682,KI,50,96,309,43,190,1
SEA 34-1409,KI,75,143,422,49,270,3
SEA 34-1408,KI,114,263,708,103,481,1
SEA 36-1687,KI,76,185,644,47,309,1
SEA 36-1686,KI,85,217,768,49,352,1
SEA 36-1685,KI,73,115,418,32,220,0
SEA 36-1684,KI,48,101,338,22,173,2
SEA 43-1333,KI,56,143,340,30,229,0
SEA 43-1332,KI,46,186,385,33,267,2
SEA 43-1331,KI,51,154,366,18,224,1
SEA 37-1647,KI,122,158,669,64,349,5
SEA 43-1335,KI,90,237,637,46,377,4
SEA 43-1334,KI,75,166,446,19,262,2
SEA 36-1768,KI,41,121,331,39,201,0
SEA 43-1339,KI,49,117,298,21,187,0
SEA 43-1338,KI,82,186,449,30,302,4
SEA 43-1861,KI,68,319,750,45,432,0
SEA 46-2297,KI,38,99,283,30,169,2
SEA 46-2261,KI,44,105,256,26,175,0
SEA 36-2172,KI,46,122,319,46,214,0
SEA 37-1643,KI,104,82,682,40,228,2
SEA 34-1476,KI,50,92,273,28,170,0
SEA 34-1477,KI,44,112,307,44,200,0
SEA 34-1474,KI,57,126,402,40,227,4
SEA 34-1475,KI,49,93,311,34,176,0
SEA 34-1472,KI,47,96,239,26,171,2
SEA 34-1473,KI,45,101,319,34,180,0
SEA 34-1470,KI,109,185,677,58,352,0
SEA 34-1471,KI,73,169,492,61,305,2
SEA 43-3424,KI,68,135,407,15,219,1
SEA 36-2149,KI,68,148,367,45,261,0
SEA 36-2148,KI,58,130,359,41,229,0
SEA 34-1478,KI,42,86,253,33,163,2
SEA 34-1479,KI,52,114,313,33,200,1
SEA 34-1259,KI,68,93,328,44,205,0
SEA 43-2050,KI,54,134,442,32,222,2
SEA 37-1567,KI,63,71,332,21,156,1
SEA 37-1648,KI,105,181,695,41,327,0
SEA 37-3617,KI,60,138,553,37,235,0
SEA 46-2295,KI,78,188,481,42,310,2
SEA 34-1498,KI,109,162,668,57,330,2
SEA 34-1499,KI,65,168,483,54,289,2
SEA 34-1258,KI,70,109,341,46,225,0
SEA 46-2257,KI,133,302,799,72,509,2
SEA 34-1490,KI,80,120,437,35,235,0
SEA 34-1493,KI,100,187,722,31,320,2
SEA 34-1494,KI,81,143,536,39,265,2
SEA 34-1496,KI,126,206,826,54,389,3
SEA 34-1497,KI,119,156,728,60,336,1
SEA 46-2267,KI,73,131,518,35,241,2
SEA 37-1920,KI,100,186,574,52,339,1
SEA 46-2264,KI,122,280,768,77,487,8
SEA 37-1925,KI,50,61,319,40,153,2
SEA 37-1927,KI,76,115,409,25,216,0
SEA 46-2260,KI,121,320,722,70,511,0
SEA 46-2340,KI,101,208,680,68,381,4
SEA 11-1942,KI,76,150,526,45,271,0
SEA 11-1941,KI,64,125,431,33,224,2
SEA 37-1841,KI,106,249,813,38,396,3
SEA 11-1947,KI,72,96,453,35,204,1
SEA 46-2345,KI,56,107,294,33,196,0
SEA 11-1945,KI,102,180,703,58,341,1
SEA 46-2268,KI,44,118,330,43,205,0
SEA 43-1999,KI,51,174,439,43,270,2
SEA 43-1851,KI,70,305,694,35,413,3
SEA 43-1856,KI,77,216,579,25,322,4
SEA 37-1621,KI,52,76,342,23,151,0
SEA 43-1855,KI,71,227,619,38,337,1
SEA 43-1993,KI,33,103,238,10,147,1
SEA 43-1992,KI,96,201,652,112,410,1
SEA 43-1858,KI,44,143,335,15,203,1
SEA 43-1859,KI,61,201,553,24,286,0
SEA 43-1997,KI,40,121,295,32,194,1
SEA 43-1996,KI,39,118,298,36,193,0
SEA 43-1995,KI,38,109,244,15,163,1
SEA 43-1857,KI,53,170,528,25,251,3
SEA 46-2317,KI,74,148,433,46,269,1
SEA 43-3685,KI,51,85,258,21,158,1
SEA 46-2346,KI,57,97,364,38,193,1
SEA 43-2052,KI,42,87,445,14,143,0
SEA 46-2127,KI,90,134,494,52,278,2
SEA 43-1991,KI,110,288,839,87,487,2
SEA 43-1990,KI,49,164,458,47,260,0
SEA 43-2064,KI,34,90,370,23,148,1
SEA 46-2310,KI,76,151,386,49,277,1
SEA 46-2286,KI,73,165,437,41,279,0
SEA 36-3689,KI,49,92,398,23,166,2
SEA 43-1378,KI,54,138,308,27,219,0
SEA 46-2305,KI,53,149,364,51,253,0
SEA 36-3686,KI,71,142,501,41,254,0
SEA 46-2280,KI,89,247,645,60,396,0
SEA 43-2543,KI,29,112,313,12,153,0
SEA 46-2369,KI,84,121,419,56,262,1
SEA 46-2328,KI,45,70,299,31,147,1
SEA 43-2040,KI,40,152,476,22,214,0
SEA 46-2282,KI,101,257,653,70,429,1
SEA 46-2319,KI,76,182,506,63,323,2
SEA 46-2098,KI,59,180,436,43,285,3
SEA 46-2318,KI,46,112,277,29,188,1
SEA 36-1746,KI,54,119,313,28,203,2
SEA 36-1747,KI,44,122,296,29,195,0
SEA 36-1744,KI,46,136,393,46,228,0
SEA 46-2325,KI,78,100,405,63,242,1
SEA 36-1742,KI,43,113,296,29,185,0
SEA 36-1743,KI,43,125,391,37,206,1
SEA 36-1740,KI,46,123,323,39,208,0
SEA 36-1741,KI,39,142,325,24,207,2
SEA 43-2075,KI,47,92,458,22,163,2
SEA 43-2074,KI,69,203,564,39,316,5
SEA 43-2076,KI,24,90,403,23,137,0
SEA 43-2071,KI,52,177,371,26,260,5
SEA 36-2590,KI,58,121,364,34,213,0
SEA 36-1748,KI,36,103,261,30,169,0
SEA 36-1749,KI,105,202,681,63,370,0
SEA 46-2274,KI,34,105,256,28,167,0
SEA 46-2349,KI,53,129,382,37,220,1
SEA 43-2110,KI,57,109,452,20,186,0
SEA 34-1520,KI,48,111,314,29,190,2
SEA 34-1521,KI,50,84,266,46,181,1
SEA 34-1522,KI,39,100,261,32,171,0
SEA 34-1523,KI,42,104,296,47,193,0
SEA 34-1524,KI,61,102,291,35,199,1
SEA 34-1526,KI,40,82,248,32,156,2
SEA 34-1527,KI,100,192,684,58,351,1
SEA 43-1377,KI,49,140,330,17,207,1
SEA 34-1529,KI,47,54,266,30,132,1
SEA 43-1375,KI,54,130,327,37,222,1
SEA 43-1374,KI,45,143,295,17,205,0
SEA 32-3568,KI,140,179,849,61,383,3
SEA 43-1372,KI,52,154,335,16,224,2
SEA 43-1278,KI,89,179,588,39,308,1
SEA 43-1279,KI,92,266,684,44,406,4
SEA 43-2862,KI,84,217,736,56,360,3
SEA 36-2518,KI,89,127,425,29,246,1
SEA 43-1887,KI,90,232,648,41,365,2
SEA 36-2512,KI,86,188,505,56,331,1
SEA 36-2513,KI,96,140,434,64,301,1
SEA 36-2510,KI,61,118,352,42,221,0
SEA 36-2118,KI,63,156,383,27,250,4
SEA 36-2517,KI,111,195,613,74,382,2
SEA 36-2514,KI,51,94,298,44,193,4
SEA 36-2515,KI,41,154,361,38,233,0
SEA 37-1619,KI,92,125,449,38,256,1
SEA 37-1618,KI,52,106,389,30,188,0
SEA 37-1613,KI,46,108,292,45,200,1
SEA 37-1612,KI,45,109,288,37,191,0
SEA 37-1611,KI,56,119,289,16,191,0
SEA 37-1610,KI,63,115,331,28,206,0
SEA 37-1617,KI,49,131,323,18,201,3
SEA 37-1616,KI,55,134,351,18,207,0
SEA 37-1615,KI,57,125,343,21,205,2
SEA 37-1614,KI,46,83,260,25,155,1
SEA 36-1324,KI,124,283,779,67,477,3
SEA 36-1732,KI,62,171,449,44,278,1
SEA 36-1731,KI,50,144,404,36,230,0
SEA 36-1730,KI,41,137,385,44,222,0
SEA 36-1737,KI,62,101,416,30,193,0
SEA 36-1736,KI,55,125,341,29,209,0
SEA 36-1735,KI,35,93,252,32,160,0
SEA 36-1734,KI,82,163,497,40,286,1
SEA 46-2128,KI,73,125,542,44,247,5
SEA 36-1739,KI,49,123,309,32,207,3
SEA 36-1738,KI,29,139,295,21,190,1
SEA 11-1639,KI,73,77,551,42,193,1
SEA 36-1329,KI,56,161,410,32,254,5
SEA 43-3665,KI,55,96,379,32,184,1
SEA 36-1812,KI,77,136,469,35,251,3
SEA 36-1813,KI,52,98,330,24,174,0
SEA 11-1550,KI,70,119,563,28,222,5
SEA 46-2299,KI,68,126,393,29,229,6
SEA 11-1552,KI,52,76,379,38,166,0
SEA 36-1815,KI,76,156,453,40,273,1
SEA 43-2928,KI,76,222,639,40,339,1
SEA 37-1576,KI,87,80,435,18,186,1
SEA 37-1574,KI,75,69,417,35,179,0
SEA 37-1575,KI,61,38,377,25,124,0
SEA 37-1572,KI,56,85,307,37,180,2
SEA 36-3679,KI,33,78,314,25,137,1
SEA 37-1570,KI,122,132,659,50,304,0
SEA 37-1571,KI,85,113,432,50,250,2
SEA 34-1511,KI,49,95,320,25,172,3
SEA 37-1578,KI,71,65,413,34,172,2
SEA 37-1579,KI,34,62,247,12,108,0
SEA 46-2304,KI,53,151,369,29,233,0
SEA 36-2170,KI,72,154,450,57,285,2
SEA 46-2306,KI,58,104,307,32,195,1
SEA 46-2307,KI,48,126,313,38,215,3
SEA 46-2300,KI,87,174,490,63,327,3
SEA 43-1818,KI,28,112,295,54,196,2
SEA 34-1460,KI,51,108,324,50,209,0
SEA 43-1817,KI,29,74,264,31,134,0
SEA 46-2308,KI,63,137,377,30,230,0
SEA 34-1463,KI,49,90,259,39,178,0
SEA 34-1462,KI,66,82,339,50,199,1
SEA 34-1449,KI,54,121,367,38,213,0
SEA 34-1448,KI,39,114,270,28,181,0
SEA 34-1446,KI,49,139,398,46,237,3
SEA 34-1444,KI,103,191,595,64,365,7
SEA 34-1443,KI,57,146,380,63,266,0
SEA 34-1442,KI,54,114,380,39,207,0
SEA 34-1441,KI,41,76,264,39,156,0
SEA 34-1440,KI,36,81,242,32,149,0
SEA 43-2088,KI,103,199,694,58,361,1
SEA 43-2089,KI,16,37,341,12,65,0
SEA 43-2084,KI,115,285,668,45,445,0
SEA 43-1360,KI,97,247,622,34,379,1
SEA 46-1283,KI,41,124,391,37,204,2
SEA 43-2081,KI,17,14,385,4,35,0
SEA 43-1361,KI,66,153,417,17,238,2
SEA 34-1469,KI,46,99,362,37,182,0
SEA 43-2544,KI,102,362,887,71,537,2
SEA 43-2058,KI,36,84,247,30,150,0
SEA 46-2342,KI,66,88,406,32,187,1
SEA 43-2547,KI,45,138,461,20,204,1
SEA 43-2546,KI,35,128,324,12,176,1
SEA 36-2536,KI,76,178,567,72,329,3
SEA 43-1291,KI,95,337,684,51,487,4
SEA 46-2234,KI,45,104,274,30,182,3
SEA 46-2236,KI,52,133,350,32,218,1
SEA 46-2796,KI,70,111,456,47,229,1
SEA 37-1872,KI,83,224,581,52,359,0
SEA 37-1871,KI,81,267,629,39,389,2
SEA 43-1868,KI,32,172,353,25,233,4
SEA 37-1876,KI,108,292,766,41,444,3
