Row Label,County,Debra L. Stephens,John (Zamboni) Scannell
ARLINGTON  1,SN,168,62
ARLINGTON  2,SN,122,63
ARLINGTON  3,SN,146,62
SHADOW WOOD,SN,178,61
HUCKLEBERRY,SN,91,44
SHORTS,SN,264,61
PIONEER TRAILS,SN,208,31
CREEKSIDE,SN,163,25
LYNNWOOD 29,SN,236,86
EVERETT  28,SN,141,44
EVERETT  29,SN,150,38
ARLINGTON  5,SN,256,64
EVERETT  24,SN,200,51
EVERETT  25,SN,163,36
PETERSON,SN,239,77
EVERETT  27,SN,184,72
EVERETT  20,SN,147,83
EVERETT  21,SN,244,73
EVERETT  22,SN,156,52
EVERETT  23,SN,39,8
EVERETT  18,SN,230,86
ARLINGTON  7,SN,238,78
ADMIRALTY,SN,126,53
EDMONDS 49,SN,183,50
GLEN ACRES(*),SN,0,0
EDMONDS 47,SN,118,26
EDMONDS 44,SN,211,46
EVERETT  89,SN,140,49
EDMONDS 42,SN,168,28
LAKE STEVENS  6,SN,197,62
WOODGATE,SN,111,33
EDMONDS 41,SN,155,38
EVERETT  86,SN,178,44
THOMPSON,SN,225,79
BUTTERNUT,SN,209,35
MONROE  4,SN,211,65
EVERETT  82,SN,145,38
STILLAGUAMISH,SN,88,24
BOTHELL 31,SN,244,40
BOTHELL 33,SN,193,46
GLENWOOD,SN,128,48
BOTHELL 35,SN,178,39
BOTHELL 34,SN,247,42
BOTHELL 37,SN,252,70
BOTHELL 36,SN,188,51
BOTHELL 39,SN,157,42
BOTHELL 38,SN,200,48
ALDERCREST,SN,35,15
MC FARLAND,SN,215,68
QUEENS,SN,178,58
EVERETT  91,SN,141,37
LUPINE,SN,148,50
EVERETT  93,SN,116,36
HAZEL,SN,223,91
EVERETT  95,SN,91,23
EVERETT  94,SN,112,33
OAKS,SN,224,72
GIBSON,SN,129,44
HIGH ROCK,SN,151,73
BEECHER,SN,220,60
BERKSHIRE,SN,278,81
PORTAGE,SN,85,23
STICKNEY,SN,190,65
MARYSVILLE 50,SN,183,69
STOCK SHOW,SN,91,32
HENNING,SN,267,78
PILCHUCK RIVER,SN,18,3
MILL,SN,211,80
WOODS CREEK,SN,151,70
LOMA,SN,184,42
WILLOWDALE,SN,217,54
MARYSVILLE 18,SN,226,82
MARYSVILLE 19,SN,157,63
MARYSVILLE 12,SN,209,56
MARYSVILLE 13,SN,146,56
MARYSVILLE 10,SN,150,39
MARYSVILLE 11,SN,259,74
MARYSVILLE 16,SN,229,74
OSBORN,SN,167,56
SUNRISE,SN,196,40
MARYSVILLE 15,SN,190,58
MEADOW,SN,147,64
LAKE STEVENS 16,SN,123,63
SLIVER(*),SN,0,0
ROOSEVELT,SN,96,41
LAKE STEVENS 14,SN,182,50
RAINIER,SN,103,35
DOUGLAS FIRS,SN,156,56
TROMBLEY,SN,173,69
RUGGS LAKE,SN,214,74
EVERETT   6,SN,129,47
EVERETT   7,SN,92,28
LAKE GOODWIN,SN,290,101
EVERETT   5,SN,153,62
EVERETT   2,SN,209,32
EVERETT   3,SN,162,39
SHELBY,SN,183,28
MAGNOLIA,SN,163,33
WHEELER,SN,182,48
VALMONT,SN,131,19
EDMONDS 13,SN,261,55
EVERETT   8,SN,147,59
EVERETT   9,SN,282,75
GETCHELL,SN,159,59
SEXTON,SN,258,54
EDMONDS 15,SN,168,40
RIVERCREST,SN,131,42
LYNNWOOD  2,SN,142,42
STAR CREEK,SN,118,33
EDMONDS 19,SN,227,65
CASSIDY,SN,206,53
EDMONDS 18,SN,203,49
TRANGEN,SN,157,73
WOODRIDGE,SN,274,67
MACHIAS,SN,283,87
FIRTREE,SN,148,59
SNOHOMISH 10,SN,87,36
EAST SHORE,SN,198,58
ALMA,SN,22,9
CASCADIAN,SN,227,79
ALDER,SN,179,46
EDMONDS 46,SN,375,71
LYNNWOOD 32(*),SN,0,0
INDEX,SN,37,14
EDMONDS 45,SN,187,28
LYNNWOOD 22,SN,116,56
JORDAN BRIDGE,SN,55,14
WELLINGTON,SN,272,75
FREEWAY,SN,212,56
SHORE,SN,205,81
LYNNWOOD 20,SN,176,48
EDMONDS 40,SN,204,51
SILVANA,SN,128,51
LYNNWOOD 26,SN,202,46
EVERETT  55,SN,53,17
EVERETT  54,SN,184,46
EVERETT  57,SN,176,58
EVERETT  56,SN,145,70
EVERETT  51,SN,178,41
EVERETT  50,SN,197,44
EVERETT  53,SN,187,54
EVERETT  52,SN,175,44
SAMOEA,SN,205,65
STORM LAKE,SN,270,78
EVERETT  59,SN,160,34
EVERETT  58,SN,23,5
EDMONDS 11,SN,251,49
EDMONDS 10,SN,283,42
EVERETT  72,SN,101,24
EDMONDS 12,SN,138,31
MOUNTLAKE TERRACE  8,SN,181,44
MOUNTLAKE TERRACE  9,SN,111,43
EDMONDS 17,SN,191,47
EDMONDS 16,SN,155,45
MOUNTLAKE TERRACE  4,SN,140,37
MOUNTLAKE TERRACE  5,SN,164,69
MOUNTLAKE TERRACE  6,SN,122,52
MOUNTLAKE TERRACE  7,SN,92,42
MOUNTLAKE TERRACE  1,SN,150,70
MOUNTLAKE TERRACE  2,SN,169,49
MOUNTLAKE TERRACE  3,SN,177,36
LYNNWOOD 28,SN,115,33
WELANGDON,SN,9,11
RONCREST,SN,86,28
PANTHER CREEK,SN,192,71
HIGH BRIDGE,SN,276,98
EDMONDS  6,SN,295,51
AVALON,SN,99,27
MINOR,SN,204,65
KETCHUM,SN,162,82
PUGET,SN,171,45
HAT ISLAND,SN,21,5
ANN,SN,176,40
EDMONDS  5,SN,149,36
WOODLAND,SN,97,37
DARRINGTON,SN,193,77
NORTHROAD,SN,252,65
NEWTON,SN,142,37
NEWBERG,SN,139,61
FAIRVIEW,SN,164,33
SLEEPY HOLLOW,SN,168,68
MARYSVILLE 52,SN,221,91
STANBY,SN,47,20
MARYSVILLE 27,SN,251,56
BOEING,SN,151,50
MANOR,SN,191,49
SANDMAN,SN,124,55
WEST FORK,SN,66,23
SKYKOMISH,SN,51,34
LOCHSLOY,SN,230,97
AIRPARK,SN,52,16
WALLACE,SN,125,48
EDMONDS 29,SN,232,58
FIRCREST,SN,149,29
PICNIC POINT,SN,159,49
FIELD,SN,180,61
HARTFORD,SN,88,42
YORK,SN,216,69
MARKS,SN,209,55
BOSWORTH,SN,239,70
GREGORY,SN,134,71
NORTH FORK,SN,98,37
MORNING RISE,SN,176,63
BOTHELL 32,SN,145,45
MEADOWDALE,SN,191,38
PARADISE,SN,225,66
MARYSVILLE 28,SN,115,43
WINGATE,SN,218,60
MARYSVILLE  9,SN,84,29
MARYSVILLE  8,SN,164,66
LAKEWOOD,SN,168,63
MARYSVILLE  1,SN,112,57
MARYSVILLE  3,SN,215,67
MARYSVILLE  2,SN,76,34
MARYSVILLE  5,SN,238,77
MARYSVILLE  4,SN,135,63
MARYSVILLE  7,SN,120,39
MARYSVILLE  6,SN,144,45
EVERETT  11,SN,238,56
LARCH,SN,185,50
EVERETT  13,SN,135,62
EVERETT  12,SN,153,52
EVERETT  15,SN,146,69
EVERETT  14,SN,171,51
EVERETT  17,SN,101,35
EVERETT  16,SN,134,49
EVERETT  19,SN,170,47
SEATTLE HILL,SN,182,39
WHALEBACK,SN,12,5
EDMONDS 51,SN,214,52
EDMONDS 50,SN,127,57
EDMONDS 52,SN,174,46
SULTAN 1,SN,180,83
SULTAN 3,SN,163,63
SULTAN 2,SN,163,64
SULTAN 4,SN,134,61
MERIDIAN,SN,229,43
BROOK,SN,245,58
SILVANA TERRACE,SN,152,36
MARION,SN,168,46
MUKILTEO 13,SN,227,43
HILLMAN,SN,181,41
EASTMONT,SN,142,49
MARYSVILLE 46,SN,240,84
EVERETT  88,SN,199,41
CRYSTAL,SN,205,42
BATTERY,SN,136,51
EVERETT  87,SN,109,48
EVERETT  84,SN,49,21
EVERETT  85,SN,147,31
BEAR CREEK,SN,162,33
EVERETT  83,SN,152,50
EVERETT  80,SN,199,79
EVERETT  81,SN,105,24
SUMMIT,SN,185,44
LAKE HOWARD,SN,174,82
Total,SN,129981,37739
TYEE,SN,175,73
MILLARD,SN,108,39
MEADOWCREST,SN,197,53
TULALIP 2,SN,189,40
OLIVIA,SN,28,4
PUGET PARK,SN,182,30
SPRUCE,SN,118,28
RAILROAD,SN,136,46
HIWAY,SN,21,7
EDMONDS  2,SN,260,28
EDMONDS  3,SN,267,52
OUTLOOK,SN,177,72
EDMONDS  1,SN,235,31
EDGECOMB,SN,181,40
EDMONDS  7,SN,289,46
EDMONDS  4,SN,227,35
FILBERT,SN,250,59
EDMONDS  8,SN,321,44
EDMONDS  9,SN,173,23
WANDERING CREEK,SN,243,42
SNOCADE,SN,280,69
MARYSVILLE 26,SN,201,69
MARYSVILLE 25,SN,101,45
MARYSVILLE 24,SN,179,46
MARYSVILLE 23,SN,268,88
TERRACE,SN,40,14
MARYSVILLE 21,SN,298,88
MARYSVILLE 20,SN,180,66
VALLEY,SN,58,20
LUDWIG,SN,187,45
MARYSVILLE 29,SN,94,49
CRYSTAL CREEK,SN,111,41
GROVE,SN,213,74
JIM CREEK,SN,224,95
GRANNIS,SN,194,39
RIVERVIEW,SN,196,72
EVERETT  64,SN,84,32
ROWLAND,SN,136,37
LANTERN,SN,208,53
STITCH,SN,64,19
WINDROSE,SN,273,67
WENBERG,SN,187,59
SNOHOMISH  2,SN,144,45
SNOHOMISH  3,SN,180,47
SNOHOMISH  1,SN,215,68
SNOHOMISH  6,SN,149,28
SNOHOMISH  7,SN,220,52
SNOHOMISH  4,SN,200,53
SNOHOMISH  5,SN,257,77
LAURA,SN,236,63
SNOHOMISH  8,SN,277,76
SNOHOMISH  9,SN,140,17
SUNNYSIDE,SN,57,23
EVERETT  37,SN,185,52
CATHCART,SN,139,39
PENNANT,SN,240,80
EVERETT  35,SN,178,68
KAYAK,SN,172,60
EVERETT  34,SN,122,42
TRAIL,SN,94,36
WOODSHIRE,SN,151,58
ROB,SN,136,45
MERWIN,SN,132,34
OSO,SN,117,48
OLDMARK,SN,256,85
BOTHELL 40,SN,238,57
BOTHELL 41,SN,218,68
BOTHELL 42,SN,265,58
BOTHELL 43,SN,158,41
BOTHELL 44,SN,165,47
BURN HILL,SN,206,64
BOTHELL 46,SN,195,51
BOTHELL 47,SN,217,48
EMERALD,SN,202,38
GRAND FIRS,SN,270,57
MILL CREEK  7(*),SN,0,0
EVERETT  48,SN,143,46
EVERETT  49,SN,229,65
EVERETT  42,SN,135,53
EVERETT  43,SN,92,52
EVERETT  40,SN,78,31
WILLOW,SN,161,45
EVERETT  46,SN,135,54
EVERETT  47,SN,184,51
EVERETT  44,SN,139,25
EVERETT  45,SN,144,46
EBEY,SN,24,3
EVERETT  26,SN,279,61
CYPRESS,SN,202,56
SYLVAN,SN,8,6
EDMONDS 24,SN,175,28
EDMONDS 25,SN,206,42
EDMONDS 26,SN,165,36
EDMONDS 27,SN,177,38
EDMONDS 21,SN,307,54
EDMONDS 22,SN,237,27
EDMONDS 23,SN,296,39
WELCH,SN,244,59
JORDAN,SN,299,87
HIGHLAND,SN,154,47
EDMONDS 28,SN,232,36
FAIRWOOD,SN,87,38
SILVER CREEK,SN,150,44
TRAFTON,SN,130,52
MARYSVILLE 48,SN,138,61
JEFFERSON,SN,143,33
FERNWOOD,SN,196,30
EDMONDS 35,SN,188,33
THRASHERS,SN,155,59
HILLTOP,SN,235,71
TURNER,SN,308,71
HOLIDAY,SN,82,42
CHAPEL,SN,150,42
EDMONDS 48,SN,214,35
KENTISH,SN,145,45
EDMONDS 38,SN,257,52
TOTEM FALLS,SN,290,62
KATTENHORN,SN,288,66
CEDARHOME,SN,195,67
CASCADE,SN,128,47
MARSH,SN,249,72
CENTENNIAL,SN,267,90
TOWER,SN,188,61
MONROE 12,SN,126,41
VILLE,SN,73,21
MONROE 10,SN,180,88
MONROE 11,SN,70,27
GRANITE FALLS 3,SN,62,39
GRANITE FALLS 2,SN,217,79
GRANITE FALLS 1,SN,191,73
LOCUST,SN,211,42
OLYMPUS,SN,163,47
SUNSET,SN,270,69
DOGWOOD,SN,153,34
SOUTH ALDERWOOD,SN,253,72
DALE,SN,202,53
SERENE,SN,167,63
REDHAWK,SN,263,46
JEFF,SN,151,42
ALICIA,SN,214,64
HILLSIDE,SN,83,31
POINTE,SN,41,3
ARMSTRONG,SN,169,40
STRAWBERRY,SN,196,74
NORMA,SN,167,43
DUMAS,SN,183,56
GOLD BAR 2,SN,126,63
GOLD BAR 1,SN,141,66
GLENBAR,SN,138,58
FOREST,SN,208,62
SAUK,SN,82,27
EMANDER,SN,198,58
PILCHUCK,SN,160,56
ARLINGTON 13,SN,235,81
HEIGHTS,SN,194,60
DAMSON,SN,230,79
TAMBARK,SN,198,39
ECHO LAKE,SN,237,91
MADISON,SN,256,77
EVERETT  10,SN,133,50
GATEWAY,SN,212,63
EVERETT  92(*),SN,0,0
LYNNWOOD 18,SN,185,52
LYNNWOOD 19,SN,195,49
MARYSVILLE 14,SN,263,69
LYNNWOOD 12,SN,185,68
LYNNWOOD 13,SN,149,38
LYNNWOOD 10,SN,105,19
LYNNWOOD 11,SN,165,74
LYNNWOOD 16,SN,169,46
LYNNWOOD 17,SN,242,62
LYNNWOOD 14,SN,161,39
LYNNWOOD 15,SN,154,41
