Row Label,County,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Willie Gregory,Write-in
SEA 11-1256,KI,627,101,242,0,140,1
SEA 34-1533,KI,229,86,159,0,73,0
SEA 34-1532,KI,237,68,138,0,70,0
SEA 43-1263,KI,350,120,230,0,109,1
SEA 34-1530,KI,619,194,367,0,170,3
SEA 34-1537,KI,289,66,156,0,90,0
SEA 34-1536,KI,304,93,191,0,97,1
SEA 34-1535,KI,239,78,146,0,68,0
SEA 34-1534,KI,362,129,238,0,109,0
SEA 43-1269,KI,357,123,234,0,111,0
SEA 43-1268,KI,352,138,254,0,116,0
SEA 34-1539,KI,356,97,198,0,98,3
SEA 34-1538,KI,378,102,202,0,100,0
SEA 43-2048,KI,376,116,214,0,96,2
SEA 46-2343,KI,341,94,194,0,100,0
SEA 46-2298,KI,321,97,205,0,107,1
SEA 36-2505,KI,324,112,228,0,115,1
SEA 36-2504,KI,303,115,213,0,97,1
SEA 36-2507,KI,283,99,180,0,76,5
SEA 36-2506,KI,311,116,202,0,86,0
SEA 36-2503,KI,305,101,196,0,95,0
SEA 36-2502,KI,378,138,284,0,146,0
SEA 36-2134,KI,490,125,266,0,140,1
SEA 46-3677,KI,320,91,181,0,85,5
SEA 36-2130,KI,388,115,243,0,127,1
SEA 36-2131,KI,851,243,453,0,206,4
SEA 36-2133,KI,698,172,348,0,174,2
SEA 34-1546,KI,385,151,257,0,106,0
SEA 43-1787,KI,564,136,277,0,139,2
SEA 11-1602,KI,598,150,288,0,131,7
SEA 34-1545,KI,422,102,224,0,121,1
SEA 34-1543,KI,327,116,218,0,102,0
SEA 34-1540,KI,333,94,176,0,82,0
SEA 34-1541,KI,380,142,235,0,92,1
SEA 46-1312,KI,326,96,181,0,85,0
SEA 46-1313,KI,280,90,168,0,77,1
SEA 46-1310,KI,397,107,229,0,118,4
SEA 46-1311,KI,427,95,198,0,102,1
SEA 43-1788,KI,807,244,580,0,336,0
SEA 37-3666,KI,422,35,128,0,91,2
SEA 36-1808,KI,275,57,156,0,99,0
SEA 36-1805,KI,473,133,239,0,105,1
SEA 36-1806,KI,598,133,281,0,147,1
