Row Label,County,Claire Bradley,Tracy Flood
OVERLOOK 267,KP,191,126
BREMERTON 030,KP,186,124
BREMERTON 031,KP,105,71
BREMERTON 037,KP,254,207
APPLE TREE 422,KP,244,203
ERLANDS POINT 130,KP,157,126
RIDGEPOINT 141,KP,173,104
PERRY 073,KP,121,106
CRYSTAL SPRINGS 312,KP,280,227
CRESCENT VALLEY 266,KP,217,169
SHERMAN HEIGHTS 278,KP,3,8
SPINNAKER 146,KP,150,123
SINCLAIR 275,KP,94,111
PORT ORCHARD 215,KP,0,0
BLUE HERON 301,KP,269,284
SYMINGTON 151,KP,114,100
PORT ORCHARD 210,KP,149,105
FRONTIER 102,KP,248,189
RIDGEWAY 084,KP,53,48
WING POINT 305,KP,186,130
PEARSON 445,KP,292,225
BREMERTON 114,KP,0,0
SEABOLD 335,KP,239,205
TIBARDIS 139,KP,106,72
BREMERTON 007,KP,4,4
BREMERTON 006,KP,126,87
BREMERTON 005,KP,117,112
SUQUAMISH 460,KP,161,130
BREMERTON 003,KP,183,140
BREMERTON 002,KP,68,79
BREMERTON 001,KP,88,105
BUCKLIN 121,KP,252,173
MADRONA 269,KP,180,119
DRIVE-IN 283,KP,5,6
MILLER BAY 458,KP,261,183
CONVERSE 252,KP,204,157
LONG LAKE 245,KP,147,114
BREMERTON 088,KP,37,23
BREMERTON 159,KP,144,81
SUTTON 165,KP,142,116
OLYMPIC VIEW 103,KP,199,120
Total,KP,36348,27476
