Row Label,County,Richard M. Leland,Timothy D. Trageser
PCT 4027,SP,237,97
PCT 4026,SP,202,101
PCT 4431,SP,230,93
PCT 4414,SP,325,153
PCT 4415,SP,228,83
PCT 4416,SP,249,134
PCT 4417,SP,171,84
PCT 4410,SP,282,131
PCT 4411,SP,308,117
PCT 4412,SP,237,65
PCT 4413,SP,267,125
PCT 4418,SP,286,107
PCT 4419,SP,295,108
PCT 4201,SP,119,61
PCT 4200,SP,202,93
PCT 9600,SP,41,15
PCT 6100,SP,148,68
PCT 6101,SP,209,111
PCT 6102,SP,231,111
PCT 6103,SP,94,46
PCT 6104,SP,161,76
PCT 6105,SP,199,85
PCT 6106,SP,299,112
PCT 6107,SP,152,77
PCT 6108,SP,190,85
PCT 6109,SP,151,54
PCT 3208,SP,218,120
PCT 3209,SP,263,166
PCT 3200,SP,135,110
PCT 3201,SP,223,169
PCT 3202,SP,132,79
PCT 3203,SP,177,152
PCT 3204,SP,133,106
PCT 3205,SP,179,111
PCT 3206,SP,129,126
PCT 3207,SP,99,76
PCT 6209,SP,213,142
PCT 6208,SP,282,165
PCT 6203,SP,267,161
PCT 6202,SP,259,122
PCT 6201,SP,196,100
PCT 6200,SP,262,218
PCT 6207,SP,361,105
PCT 6206,SP,246,187
PCT 6205,SP,252,170
PCT 6204,SP,321,203
PCT 3103,SP,147,83
PCT 3102,SP,125,64
PCT 3101,SP,164,86
PCT 3107,SP,188,134
PCT 3106,SP,182,107
PCT 3105,SP,168,94
PCT 3104,SP,203,117
PCT 3109,SP,159,113
PCT 3108,SP,149,73
PCT 4010,SP,241,112
PCT 4011,SP,389,110
PCT 4012,SP,373,182
PCT 4013,SP,243,86
PCT 4014,SP,180,97
PCT 4015,SP,168,108
PCT 4016,SP,277,96
PCT 4017,SP,305,156
PCT 4018,SP,161,94
PCT 4019,SP,209,81
PCT 6704,SP,211,116
PCT 6702,SP,149,86
PCT 6703,SP,199,96
PCT 6700,SP,217,111
PCT 6701,SP,209,124
PCT 7008,SP,300,140
PCT 7009,SP,358,168
PCT 7006,SP,283,113
PCT 7007,SP,251,108
PCT 7004,SP,251,117
PCT 7005,SP,385,181
PCT 7002,SP,218,80
PCT 7003,SP,302,126
PCT 7000,SP,339,169
PCT 7001,SP,231,71
PCT 6023,SP,143,66
PCT 6022,SP,270,107
PCT 6021,SP,227,102
PCT 6020,SP,389,167
PCT 6027,SP,238,110
PCT 6026,SP,384,161
PCT 6025,SP,200,90
PCT 6024,SP,165,65
PCT 6029,SP,235,105
PCT 6028,SP,207,91
PCT 4449,SP,145,88
PCT 3328,SP,177,171
PCT 4443,SP,141,77
PCT 4442,SP,203,87
PCT 4441,SP,192,106
PCT 4440,SP,268,119
PCT 4447,SP,112,71
PCT 4446,SP,154,77
PCT 4445,SP,240,100
PCT 4444,SP,310,106
Total,SP,76268,36232
PCT 7301,SP,209,72
PCT 7300,SP,221,84
PCT 7302,SP,165,99
PCT 4407,SP,260,123
PCT 4406,SP,240,125
PCT 4405,SP,293,160
PCT 4404,SP,322,110
PCT 4403,SP,290,143
PCT 4402,SP,262,105
PCT 4401,SP,273,148
PCT 4400,SP,261,108
PCT 4409,SP,387,159
PCT 4408,SP,368,116
PCT 3219,SP,247,115
PCT 3218,SP,263,142
PCT 3213,SP,230,172
PCT 3212,SP,162,120
PCT 3211,SP,178,146
PCT 3210,SP,153,155
PCT 3217,SP,286,161
PCT 3216,SP,262,184
PCT 3215,SP,132,88
PCT 3214,SP,203,142
PCT 4300,SP,207,75
PCT 4301,SP,125,60
PCT 4302,SP,252,99
PCT 4303,SP,273,85
PCT 4304,SP,176,77
PCT 4305,SP,148,76
PCT 4306,SP,239,101
PCT 4307,SP,53,24
PCT 9500,SP,96,34
PCT 4003,SP,358,181
PCT 4002,SP,258,99
PCT 4001,SP,183,84
PCT 4007,SP,188,73
PCT 4006,SP,338,115
PCT 4005,SP,231,84
PCT 4004,SP,290,118
PCT 4009,SP,274,89
PCT 4008,SP,198,80
PCT 6302,SP,186,73
PCT 6303,SP,345,188
PCT 6300,SP,449,169
PCT 6301,SP,373,174
PCT 6306,SP,249,86
PCT 6307,SP,136,48
PCT 6304,SP,339,146
PCT 6305,SP,175,63
PCT 6308,SP,141,69
PCT 6309,SP,245,131
PCT 7011,SP,164,55
PCT 7010,SP,213,96
PCT 7013,SP,242,97
PCT 7012,SP,248,113
PCT 7015,SP,218,106
PCT 7014,SP,226,93
PCT 7017,SP,275,88
PCT 7016,SP,325,158
PCT 7019,SP,259,93
PCT 7018,SP,334,115
PCT 9300,SP,44,19
PCT 6401,SP,114,49
PCT 6400,SP,189,103
PCT 6402,SP,239,99
PCT 6016,SP,173,67
PCT 6017,SP,371,182
PCT 6014,SP,118,70
PCT 6015,SP,134,83
PCT 6012,SP,155,79
PCT 6013,SP,188,87
PCT 6010,SP,44,10
PCT 6011,SP,221,91
PCT 6018,SP,380,129
PCT 6019,SP,329,160
PCT 3318,SP,202,135
PCT 3319,SP,203,101
PCT 3316,SP,272,147
PCT 3317,SP,316,172
PCT 3314,SP,204,107
PCT 3315,SP,248,132
PCT 3312,SP,279,158
PCT 3313,SP,303,183
PCT 3310,SP,252,128
PCT 3311,SP,173,72
PCT 9008,SP,36,16
PCT 9004,SP,248,96
PCT 9005,SP,88,28
PCT 9006,SP,260,98
PCT 9007,SP,83,21
PCT 9000,SP,293,101
PCT 9001,SP,178,105
PCT 9002,SP,179,68
PCT 9003,SP,131,51
