Row Label,County,Timothy W. Fitzgerald,Mary M. Wissink
PCT 6004,SP,207,131
PCT 6007,SP,243,174
PCT 6006,SP,285,177
PCT 3301,SP,366,251
PCT 3300,SP,296,133
PCT 3303,SP,217,223
PCT 3302,SP,270,188
PCT 3305,SP,176,191
PCT 3304,SP,242,203
PCT 3307,SP,174,149
PCT 3306,SP,285,176
PCT 3309,SP,214,216
PCT 3308,SP,228,232
PCT 6500,SP,74,32
PCT 6218,SP,288,175
PCT 6219,SP,321,192
PCT 6210,SP,311,270
PCT 6211,SP,183,201
PCT 6212,SP,151,151
PCT 6213,SP,312,231
PCT 6214,SP,236,203
PCT 6215,SP,258,324
PCT 6216,SP,258,243
PCT 6217,SP,270,276
PCT 3110,SP,134,147
PCT 3111,SP,131,149
PCT 3112,SP,11,11
PCT 3113,SP,206,194
PCT 3114,SP,190,208
PCT 3115,SP,193,192
PCT 3116,SP,230,191
PCT 3117,SP,124,153
PCT 3118,SP,117,164
PCT 3119,SP,150,177
PCT 4429,SP,368,176
PCT 4428,SP,216,129
PCT 4425,SP,237,138
PCT 4424,SP,298,159
PCT 4427,SP,366,234
PCT 4426,SP,185,93
PCT 4421,SP,213,165
PCT 4420,SP,125,94
PCT 4423,SP,392,258
PCT 4422,SP,294,192
PCT 7033,SP,198,121
PCT 7032,SP,286,213
PCT 7031,SP,276,166
PCT 7030,SP,354,174
PCT 7036,SP,215,141
PCT 7035,SP,211,104
PCT 7034,SP,163,135
PCT 6602,SP,298,154
PCT 6601,SP,269,109
PCT 6600,SP,251,182
PCT 6030,SP,441,216
PCT 6031,SP,236,123
PCT 6032,SP,235,58
PCT 6033,SP,492,210
PCT 6034,SP,380,145
PCT 6035,SP,197,97
PCT 6036,SP,190,101
PCT 6037,SP,203,71
PCT 4450,SP,137,104
PCT 4451,SP,216,143
PCT 4452,SP,253,125
PCT 4453,SP,328,148
PCT 4454,SP,181,168
PCT 4455,SP,241,140
PCT 4029,SP,305,169
PCT 4028,SP,423,220
PCT 4021,SP,339,167
PCT 4020,SP,354,185
PCT 4023,SP,120,58
PCT 4022,SP,293,146
PCT 4025,SP,326,129
PCT 4024,SP,226,134
PCT 4027,SP,320,114
PCT 4026,SP,318,90
PCT 4431,SP,252,160
PCT 4414,SP,357,209
PCT 4415,SP,245,161
PCT 4416,SP,269,205
PCT 4417,SP,160,141
PCT 4410,SP,340,202
PCT 4411,SP,342,177
PCT 4412,SP,253,123
PCT 4413,SP,269,200
PCT 4418,SP,291,187
PCT 4419,SP,310,191
PCT 4201,SP,110,107
PCT 4200,SP,198,171
PCT 9600,SP,41,23
PCT 6100,SP,153,119
PCT 6101,SP,231,159
PCT 6102,SP,223,172
PCT 6103,SP,91,78
PCT 6104,SP,147,159
PCT 6105,SP,194,173
PCT 6106,SP,274,250
PCT 6107,SP,162,137
PCT 6108,SP,149,186
PCT 6109,SP,141,111
PCT 3208,SP,215,212
PCT 3209,SP,262,254
PCT 3200,SP,127,226
PCT 3201,SP,173,312
PCT 3202,SP,105,158
PCT 3203,SP,164,248
PCT 3204,SP,108,234
PCT 3205,SP,165,218
PCT 3206,SP,95,242
PCT 3207,SP,97,128
PCT 6209,SP,195,269
PCT 6208,SP,288,301
PCT 6203,SP,198,404
PCT 6202,SP,242,254
PCT 6201,SP,226,189
PCT 6200,SP,274,322
PCT 6207,SP,377,202
PCT 6206,SP,267,351
PCT 6205,SP,244,356
PCT 6204,SP,281,421
PCT 3103,SP,130,142
PCT 3102,SP,108,127
PCT 3101,SP,154,160
PCT 3100,SP,168,177
PCT 3107,SP,186,194
PCT 3106,SP,176,171
PCT 3105,SP,129,196
PCT 3104,SP,192,193
PCT 3109,SP,162,176
PCT 3108,SP,160,120
PCT 4010,SP,312,138
PCT 4011,SP,477,182
PCT 4012,SP,543,206
PCT 4013,SP,323,116
PCT 4014,SP,190,133
PCT 4015,SP,237,122
PCT 4016,SP,332,164
PCT 4017,SP,370,216
PCT 4018,SP,218,118
PCT 4019,SP,237,127
PCT 6704,SP,247,179
PCT 6702,SP,160,148
PCT 6703,SP,181,212
PCT 6700,SP,238,172
PCT 6701,SP,207,201
PCT 7008,SP,425,168
PCT 7009,SP,465,213
PCT 7006,SP,369,165
PCT 7007,SP,313,152
PCT 7004,SP,389,121
PCT 7005,SP,489,243
PCT 7002,SP,280,93
PCT 7003,SP,382,140
PCT 7000,SP,501,177
PCT 7001,SP,262,123
PCT 6023,SP,197,72
PCT 6022,SP,303,177
PCT 6021,SP,261,169
PCT 6020,SP,368,316
PCT 6027,SP,283,166
PCT 6026,SP,448,234
PCT 6025,SP,228,133
PCT 6024,SP,194,102
PCT 6029,SP,312,140
PCT 6028,SP,252,127
PCT 4449,SP,168,125
PCT 3328,SP,162,281
PCT 4443,SP,200,78
PCT 4442,SP,212,126
PCT 4441,SP,238,117
PCT 4440,SP,334,187
PCT 4447,SP,129,101
PCT 4446,SP,151,133
PCT 4445,SP,286,138
PCT 4444,SP,347,183
Total,SP,86709,57844
PCT 7301,SP,233,114
PCT 7300,SP,305,111
PCT 7302,SP,214,112
PCT 4407,SP,277,214
PCT 4406,SP,233,221
PCT 4405,SP,321,213
PCT 4404,SP,349,186
PCT 4403,SP,303,224
PCT 4402,SP,246,202
PCT 4401,SP,321,219
PCT 4400,SP,257,205
PCT 4409,SP,456,232
PCT 4408,SP,460,167
PCT 3219,SP,264,179
PCT 3218,SP,281,285
PCT 3213,SP,202,312
PCT 3212,SP,150,224
PCT 3211,SP,144,289
PCT 3210,SP,154,255
PCT 3217,SP,306,273
PCT 3216,SP,266,344
PCT 3215,SP,131,179
PCT 3214,SP,204,250
PCT 4300,SP,271,113
PCT 4301,SP,199,56
PCT 4302,SP,306,172
PCT 4303,SP,388,98
PCT 4304,SP,207,123
PCT 4305,SP,223,112
PCT 4306,SP,362,131
PCT 4307,SP,68,32
PCT 9500,SP,111,47
PCT 4003,SP,514,189
PCT 4002,SP,350,152
PCT 4001,SP,242,113
PCT 4007,SP,242,120
PCT 4006,SP,453,168
PCT 4005,SP,314,126
PCT 4004,SP,403,145
PCT 4009,SP,350,127
PCT 4008,SP,257,90
PCT 6302,SP,206,138
PCT 6303,SP,408,269
PCT 6300,SP,486,262
PCT 6301,SP,464,241
PCT 6306,SP,317,138
PCT 6307,SP,187,69
PCT 6304,SP,398,230
PCT 6305,SP,224,81
PCT 6308,SP,178,104
PCT 6309,SP,318,171
PCT 3000,SP,5,2
PCT 7011,SP,241,76
PCT 7010,SP,298,111
PCT 7013,SP,368,84
PCT 7012,SP,327,143
PCT 7015,SP,342,123
PCT 7014,SP,293,151
PCT 7017,SP,375,128
PCT 7016,SP,413,209
PCT 7019,SP,309,135
PCT 7018,SP,384,191
PCT 9300,SP,59,30
PCT 6401,SP,114,84
PCT 6400,SP,206,136
PCT 6402,SP,260,152
PCT 6016,SP,214,82
PCT 6017,SP,500,260
PCT 6014,SP,159,86
PCT 6015,SP,163,122
PCT 6012,SP,212,73
PCT 6013,SP,221,129
PCT 6010,SP,48,14
PCT 6011,SP,272,101
PCT 6018,SP,401,223
PCT 6019,SP,374,265
PCT 3318,SP,202,214
PCT 3319,SP,209,186
PCT 3316,SP,269,284
PCT 3317,SP,312,324
PCT 3314,SP,208,181
PCT 3315,SP,264,242
PCT 3312,SP,310,259
PCT 3313,SP,327,269
PCT 3310,SP,247,221
PCT 3311,SP,174,116
PCT 9008,SP,66,17
PCT 9004,SP,348,99
PCT 9005,SP,146,25
PCT 9006,SP,405,115
PCT 9007,SP,106,28
PCT 9000,SP,355,145
PCT 9001,SP,255,141
PCT 9002,SP,286,68
PCT 9003,SP,193,55
