Row Label,County,Anne C. Harper,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 37-1916,KI,114,357,146,261,0,1
SEA 37-1917,KI,172,454,139,311,0,0
SEA 37-1910,KI,153,513,175,329,0,1
SEA 37-1911,KI,100,284,91,191,0,0
SEA 46-2355,KI,111,354,111,224,0,2
SEA 37-1913,KI,121,338,116,239,0,2
SEA 37-1854,KI,109,386,79,190,0,2
SEA 43-1330,KI,134,404,102,238,0,2
SEA 43-1849,KI,68,323,92,161,0,1
SEA 37-1850,KI,163,650,179,346,0,4
SEA 37-1853,KI,68,281,52,120,0,0
SEA 43-1845,KI,149,575,127,277,0,1
SEA 43-1847,KI,110,484,116,227,0,1
SEA 43-1846,KI,77,345,80,158,0,1
SEA 43-1843,KI,120,551,131,251,0,0
SEA 43-1842,KI,139,521,141,282,0,2
SEA 43-2104,KI,127,379,132,260,0,1
SEA 43-2029,KI,242,706,244,488,0,2
SEA 46-2309,KI,96,300,88,184,0,0
SEA 46-2142,KI,203,674,150,357,0,4
SEA 43-1262,KI,148,468,156,308,0,4
SEA 36-2795,KI,102,479,106,209,0,1
SEA 43-1265,KI,69,256,78,148,0,1
SEA 37-1637,KI,188,760,104,295,0,3
SEA 43-1264,KI,113,361,134,248,0,1
SEA 37-1651,KI,164,736,88,256,0,4
SEA 43-2025,KI,173,556,184,360,0,3
SEA 37-1930,KI,193,738,197,391,0,1
SEA 43-1266,KI,100,351,113,213,0,0
SEA 46-2145,KI,146,497,148,297,0,3
SEA 36-1751,KI,99,368,112,212,0,1
SEA 36-1750,KI,128,493,168,296,0,0
SEA 36-1752,KI,109,437,135,244,0,0
SEA 36-1755,KI,76,272,81,158,0,1
SEA 36-1754,KI,119,387,132,252,0,1
SEA 36-1757,KI,64,262,101,166,0,1
SEA 36-1756,KI,198,682,195,393,0,0
SEA 36-1759,KI,60,274,108,169,0,1
SEA 36-1758,KI,124,351,122,246,0,0
SEA 43-2043,KI,87,292,106,193,0,0
SEA 43-2044,KI,87,350,98,186,0,1
SEA 43-2045,KI,90,315,98,189,0,1
SEA 11-1256,KI,142,627,99,242,0,1
SEA 34-1533,KI,72,229,87,159,0,0
SEA 34-1532,KI,70,237,67,138,0,1
SEA 43-1263,KI,111,350,118,230,0,1
SEA 34-1530,KI,174,619,190,367,0,3
SEA 34-1537,KI,93,289,63,156,0,0
SEA 34-1536,KI,99,304,91,191,0,1
SEA 34-1535,KI,72,239,74,146,0,0
SEA 34-1534,KI,109,362,129,238,0,0
SEA 43-1269,KI,112,357,122,234,0,0
SEA 43-1268,KI,115,352,139,254,0,0
SEA 34-1539,KI,96,356,99,198,0,3
SEA 34-1538,KI,102,378,99,202,0,1
SEA 43-2048,KI,98,376,114,214,0,2
SEA 46-2343,KI,102,341,92,194,0,0
SEA 46-2298,KI,103,321,101,205,0,1
SEA 36-2505,KI,116,324,111,228,0,1
SEA 36-2504,KI,97,303,115,213,0,1
SEA 36-2507,KI,79,283,96,180,0,5
SEA 36-2506,KI,87,311,115,202,0,0
SEA 36-2503,KI,97,305,99,196,0,0
SEA 36-2502,KI,146,378,138,284,0,0
SEA 36-2134,KI,137,490,128,266,0,1
SEA 46-3677,KI,85,320,91,181,0,5
SEA 36-2130,KI,126,388,117,243,0,0
SEA 36-2131,KI,217,851,235,453,0,1
SEA 36-2133,KI,173,698,173,348,0,2
SEA 34-1546,KI,111,385,146,257,0,0
SEA 43-1787,KI,140,564,135,277,0,2
SEA 11-1602,KI,133,598,149,288,0,6
SEA 34-1545,KI,117,422,107,224,0,0
SEA 34-1543,KI,105,327,113,218,0,0
SEA 34-1540,KI,85,333,91,176,0,0
SEA 34-1541,KI,93,380,141,235,0,1
SEA 46-1312,KI,90,326,91,181,0,0
SEA 46-1313,KI,76,280,91,168,0,1
SEA 46-1310,KI,120,397,105,229,0,4
SEA 46-1311,KI,103,427,94,198,0,1
SEA 43-1788,KI,333,807,246,580,0,1
SEA 37-3666,KI,90,422,37,128,0,1
SEA 36-1808,KI,98,275,57,156,0,1
SEA 36-1805,KI,107,473,131,239,0,1
SEA 36-1806,KI,146,598,134,281,0,1
SEA 36-1801,KI,193,896,198,391,0,0
SEA 36-1803,KI,76,298,102,178,0,0
SEA 36-3586,KI,216,801,188,407,0,3
SEA 36-3587,KI,133,590,137,273,0,3
SEA 37-1563,KI,71,323,40,111,0,0
SEA 37-1565,KI,90,331,80,172,0,2
SEA 37-1564,KI,127,396,99,227,0,1
SEA 36-3669,KI,72,349,82,157,0,3
SEA 37-1566,KI,91,327,83,176,0,2
SEA 37-1568,KI,98,434,81,179,0,0
SEA 43-2083,KI,92,422,123,215,0,0
SEA 46-2252,KI,81,261,91,172,0,0
SEA 46-2253,KI,143,521,177,322,0,2
SEA 46-2251,KI,150,555,201,352,0,1
SEA 32-2206,KI,135,412,129,266,0,2
SEA 46-2316,KI,117,411,122,239,0,0
SEA 32-2204,KI,116,339,111,230,0,3
SEA 46-2314,KI,121,337,95,217,0,1
SEA 32-2202,KI,121,436,127,250,0,2
SEA 32-2203,KI,201,758,218,422,0,3
SEA 32-2200,KI,130,385,133,263,0,0
SEA 32-2201,KI,159,463,155,315,0,1
SEA 46-2619,KI,146,539,132,279,0,1
SEA 43-2545,KI,166,699,208,375,0,1
SEA 32-2208,KI,99,350,125,224,0,0
SEA 32-2209,KI,181,599,219,402,0,2
SEA 36-2592,KI,85,352,118,205,0,2
SEA 36-2593,KI,82,289,92,174,0,0
SEA 34-1438,KI,111,328,98,209,0,0
SEA 34-1439,KI,101,369,115,220,1,3
SEA 34-1432,KI,105,331,112,218,0,1
SEA 34-1433,KI,100,319,108,208,0,0
SEA 34-1430,KI,94,322,96,190,0,0
SEA 34-1431,KI,102,308,101,203,0,0
SEA 34-1436,KI,72,362,84,156,0,0
SEA 34-1437,KI,101,498,151,254,0,2
SEA 34-1434,KI,91,271,91,183,0,1
SEA 34-1435,KI,66,299,112,178,0,0
SEA 36-2509,KI,113,403,147,260,0,0
SEA 36-2508,KI,137,427,155,293,0,1
SEA 46-2352,KI,84,338,94,181,0,3
SEA 46-1955,KI,154,558,133,289,0,2
SEA 11-1600,KI,129,550,127,257,0,1
SEA 46-2228,KI,117,486,114,234,0,3
SEA 46-2221,KI,142,513,155,298,0,1
SEA 43-1280,KI,168,669,168,337,0,1
SEA 43-1784,KI,150,500,155,308,0,3
SEA 36-3267,KI,127,548,88,219,0,4
SEA 37-1886,KI,156,523,135,293,0,2
SEA 37-1884,KI,177,643,207,385,0,1
SEA 37-1885,KI,114,398,107,223,0,2
SEA 37-1882,KI,108,395,84,193,0,1
SEA 37-1883,KI,92,423,110,204,0,2
SEA 37-1880,KI,137,514,135,276,0,4
SEA 37-1881,KI,89,396,99,188,0,0
SEA 43-1780,KI,109,350,99,208,0,0
SEA 43-1781,KI,93,326,70,164,0,1
SEA 46-2292,KI,145,505,143,288,0,0
SEA 36-1386,KI,97,315,116,213,0,0
SEA 36-1387,KI,141,462,147,289,0,1
SEA 36-1384,KI,114,309,110,228,0,4
SEA 36-1385,KI,66,243,107,175,0,2
SEA 36-1382,KI,111,374,122,233,0,0
SEA 36-1388,KI,96,337,124,220,0,0
SEA 36-1389,KI,77,259,85,163,0,1
SEA 43-1274,KI,98,302,117,216,0,1
SEA 43-2006,KI,70,298,99,169,0,0
SEA 43-2007,KI,81,256,83,164,0,0
SEA 43-2000,KI,153,550,140,294,0,1
SEA 43-2001,KI,215,648,216,433,0,2
SEA 43-2002,KI,191,587,200,391,0,0
SEA 46-2293,KI,129,441,163,292,0,0
SEA 46-1957,KI,175,553,179,354,0,0
SEA 37-2861,KI,106,391,136,243,0,1
SEA 43-2009,KI,173,487,154,329,0,2
SEA 37-1635,KI,114,524,82,199,0,3
SEA 37-1589,KI,102,290,114,217,0,1
SEA 37-1588,KI,73,244,86,159,0,0
SEA 46-1314,KI,87,330,123,210,0,0
SEA 37-1634,KI,89,473,100,191,0,2
SEA 37-1583,KI,225,700,155,382,0,2
SEA 37-1582,KI,172,715,117,291,0,2
SEA 37-1580,KI,98,333,59,160,0,3
SEA 37-1587,KI,98,311,97,195,0,0
SEA 37-1586,KI,117,373,131,251,0,3
SEA 36-3566,KI,163,579,143,307,0,1
SEA 36-1299,KI,103,425,154,260,0,3
SEA 43-1347,KI,198,726,233,435,0,4
SEA 43-1344,KI,137,452,155,292,0,0
SEA 37-1636,KI,144,586,70,217,0,3
SEA 43-1342,KI,119,366,117,237,0,1
SEA 43-1343,KI,92,355,121,215,0,2
SEA 43-1341,KI,173,499,177,351,0,1
SEA 46-2290,KI,85,289,110,195,0,0
SEA 46-2272,KI,104,367,142,247,0,1
SEA 43-1348,KI,154,555,162,317,0,1
SEA 37-1630,KI,77,309,92,169,0,0
SEA 46-1284,KI,73,278,67,140,0,0
SEA 46-1285,KI,87,303,95,182,0,0
SEA 43-1975,KI,37,439,25,63,0,1
SEA 37-1633,KI,76,329,87,163,0,0
SEA 46-1282,KI,172,656,226,399,0,1
SEA 43-1976,KI,54,242,40,94,0,0
SEA 37-1632,KI,84,292,87,173,0,2
SEA 43-3320,KI,134,515,106,241,0,1
SEA 36-1661,KI,92,277,101,193,0,0
SEA 43-2014,KI,115,352,145,260,0,0
SEA 36-1663,KI,90,275,115,205,0,0
SEA 36-1709,KI,81,359,71,154,0,2
SEA 36-1665,KI,164,515,191,356,0,1
SEA 36-1664,KI,103,326,114,218,0,1
SEA 46-1963,KI,70,278,82,152,0,0
SEA 36-1666,KI,200,572,159,360,0,1
SEA 36-1702,KI,160,606,209,372,0,3
SEA 36-1668,KI,122,443,119,244,0,3
SEA 36-1700,KI,123,383,84,208,0,1
SEA 36-1701,KI,123,331,107,231,0,1
SEA 46-1969,KI,74,278,95,169,0,0
SEA 11-1641,KI,110,539,73,183,0,0
SEA 36-1704,KI,133,640,116,251,0,2
SEA 46-2094,KI,92,283,86,178,0,0
SEA 46-2095,KI,81,279,105,187,0,1
SEA 36-3319,KI,185,867,180,365,0,0
SEA 36-3318,KI,200,680,225,428,0,3
SEA 46-2090,KI,146,494,116,262,0,0
SEA 46-2091,KI,132,451,133,265,0,0
SEA 46-2092,KI,114,311,111,225,0,0
SEA 46-2093,KI,155,462,162,317,0,0
SEA 34-1411,KI,100,307,97,197,0,0
SEA 46-2099,KI,140,437,149,293,0,4
SEA 43-2853,KI,102,440,104,206,0,0
SEA 43-2852,KI,109,501,115,226,0,2
SEA 36-1689,KI,157,484,156,313,0,0
SEA 36-1688,KI,86,273,93,179,0,0
SEA 43-2113,KI,79,393,59,140,0,2
SEA 36-1683,KI,92,305,113,205,0,0
SEA 36-1682,KI,94,309,94,190,0,2
SEA 34-1409,KI,115,422,154,270,0,1
SEA 34-1408,KI,247,708,232,481,0,2
SEA 36-1687,KI,159,644,148,309,0,2
SEA 36-1686,KI,189,768,161,352,0,2
SEA 36-1685,KI,118,418,102,220,0,0
SEA 36-1684,KI,90,338,83,173,0,0
SEA 43-1333,KI,103,340,126,229,0,0
SEA 43-1332,KI,109,385,157,267,0,1
SEA 43-1331,KI,117,366,107,224,0,0
SEA 37-1647,KI,182,669,165,349,0,2
SEA 43-1335,KI,187,637,189,377,0,1
SEA 43-1334,KI,121,446,137,262,0,4
SEA 36-1768,KI,94,331,107,201,0,0
SEA 43-1339,KI,86,298,100,187,0,1
SEA 43-1338,KI,135,449,167,302,0,0
SEA 43-1861,KI,201,750,228,432,0,3
SEA 46-2297,KI,81,283,86,169,0,2
SEA 46-2261,KI,82,256,93,175,0,0
SEA 36-2172,KI,104,319,109,214,0,1
SEA 37-1643,KI,140,682,87,228,0,1
SEA 34-1476,KI,76,273,94,170,0,0
SEA 34-1477,KI,89,307,111,200,0,0
SEA 34-1474,KI,105,402,122,227,0,0
SEA 34-1475,KI,82,311,93,176,0,1
SEA 34-1472,KI,89,239,82,171,0,0
SEA 34-1473,KI,101,319,79,180,0,0
SEA 34-1470,KI,189,677,158,352,0,5
SEA 34-1471,KI,158,492,145,305,0,2
SEA 43-3424,KI,107,407,111,219,0,1
SEA 36-2149,KI,119,367,140,261,0,2
SEA 36-2148,KI,101,359,128,229,0,0
SEA 34-1478,KI,79,253,83,163,0,1
SEA 34-1479,KI,104,313,95,200,0,1
SEA 34-1259,KI,109,328,94,205,0,2
SEA 43-2050,KI,127,442,93,222,0,2
SEA 37-1567,KI,84,332,72,156,0,0
SEA 37-1648,KI,176,695,149,327,0,2
SEA 37-3617,KI,118,553,115,235,0,2
SEA 46-2295,KI,144,481,166,310,0,0
SEA 34-1498,KI,167,668,160,330,0,3
SEA 34-1499,KI,125,483,163,289,0,1
SEA 34-1258,KI,124,341,99,225,0,2
SEA 46-2257,KI,232,799,276,509,0,1
SEA 34-1490,KI,123,437,110,235,0,2
SEA 34-1493,KI,182,722,137,320,0,1
SEA 34-1494,KI,138,536,125,265,0,2
SEA 34-1496,KI,196,826,191,389,0,2
SEA 34-1497,KI,185,728,147,336,0,4
SEA 46-2267,KI,127,518,113,241,0,1
SEA 37-1920,KI,180,574,157,339,0,2
SEA 46-2264,KI,254,768,231,487,0,2
SEA 37-1925,KI,70,319,80,153,0,3
SEA 37-1927,KI,98,409,118,216,0,0
SEA 46-2260,KI,255,722,254,511,0,2
SEA 46-2340,KI,175,680,203,381,0,3
SEA 11-1942,KI,130,526,138,271,0,3
SEA 11-1941,KI,91,431,131,224,0,2
SEA 37-1841,KI,185,813,206,396,0,5
SEA 11-1947,KI,105,453,97,204,0,2
SEA 46-2345,KI,87,294,109,196,0,0
SEA 11-1945,KI,174,703,165,341,0,2
SEA 46-2268,KI,96,330,109,205,0,0
SEA 43-1999,KI,129,439,140,270,0,1
SEA 43-1851,KI,197,694,216,413,0,0
SEA 43-1856,KI,168,579,149,322,0,5
SEA 37-1621,KI,83,342,68,151,0,0
SEA 43-1855,KI,140,619,195,337,0,2
SEA 43-1993,KI,79,238,67,147,0,1
SEA 43-1992,KI,173,652,236,410,0,1
SEA 43-1858,KI,93,335,105,203,0,5
SEA 43-1859,KI,127,553,158,286,0,1
SEA 43-1997,KI,102,295,91,194,0,1
SEA 43-1996,KI,88,298,104,193,0,1
SEA 43-1995,KI,80,244,82,163,0,1
SEA 43-1857,KI,116,528,134,251,0,1
SEA 46-2317,KI,124,433,142,269,0,3
SEA 43-3685,KI,83,258,73,158,0,2
SEA 46-2346,KI,98,364,93,193,0,2
SEA 43-2052,KI,75,445,67,143,0,1
SEA 46-2127,KI,153,494,124,278,0,1
SEA 43-1991,KI,245,839,239,487,0,3
SEA 43-1990,KI,129,458,131,260,0,0
SEA 43-2064,KI,64,370,83,148,0,1
SEA 46-2310,KI,144,386,131,277,0,2
SEA 46-2286,KI,145,437,131,279,0,3
SEA 36-3689,KI,77,398,87,166,0,2
SEA 43-1378,KI,101,308,117,219,0,1
SEA 46-2305,KI,113,364,140,253,0,0
SEA 36-3686,KI,141,501,112,254,0,1
SEA 46-2280,KI,185,645,210,396,0,1
SEA 43-2543,KI,82,313,70,153,0,1
SEA 46-2369,KI,152,419,109,262,0,1
SEA 46-2328,KI,68,299,79,147,0,0
SEA 43-2040,KI,98,476,115,214,0,1
SEA 46-2282,KI,221,653,207,429,0,1
SEA 46-2319,KI,141,506,182,323,0,0
SEA 46-2098,KI,137,436,148,285,0,0
SEA 46-2318,KI,97,277,90,188,0,1
SEA 36-1746,KI,112,313,91,203,0,0
SEA 36-1747,KI,88,296,107,195,0,0
SEA 36-1744,KI,89,393,139,228,0,0
SEA 46-2325,KI,147,405,93,242,0,2
SEA 36-1742,KI,101,296,83,185,0,1
SEA 36-1743,KI,93,391,113,206,0,0
SEA 36-1740,KI,87,323,119,208,0,2
SEA 36-1741,KI,92,325,115,207,0,0
SEA 43-2075,KI,75,458,88,163,0,0
SEA 43-2074,KI,138,564,177,316,0,1
SEA 43-2076,KI,69,403,66,137,0,2
SEA 43-2071,KI,128,371,132,260,0,0
SEA 36-2590,KI,116,364,95,213,0,2
SEA 36-1748,KI,82,261,86,169,0,1
SEA 36-1749,KI,185,681,182,370,0,3
SEA 46-2274,KI,73,256,94,167,0,0
SEA 46-2349,KI,104,382,116,220,0,0
SEA 43-2110,KI,94,452,91,186,0,1
SEA 34-1520,KI,94,314,96,190,0,0
SEA 34-1521,KI,87,266,92,181,0,2
SEA 34-1522,KI,91,261,80,171,0,0
SEA 34-1523,KI,91,296,102,193,0,0
SEA 34-1524,KI,101,291,98,199,0,0
SEA 34-1526,KI,71,248,83,156,0,2
SEA 34-1527,KI,199,684,150,351,0,2
SEA 43-1377,KI,107,330,100,207,0,0
SEA 34-1529,KI,64,266,68,132,0,0
SEA 43-1375,KI,100,327,119,222,0,3
SEA 43-1374,KI,84,295,121,205,0,0
SEA 32-3568,KI,238,849,141,383,1,3
SEA 43-1372,KI,82,335,141,224,0,1
SEA 43-1278,KI,156,588,148,308,0,4
SEA 43-1279,KI,185,684,220,406,0,1
SEA 43-2862,KI,197,736,161,360,0,2
SEA 36-2518,KI,113,425,132,246,0,1
SEA 43-1887,KI,188,648,175,365,0,2
SEA 36-2512,KI,149,505,179,331,0,3
SEA 36-2513,KI,135,434,166,301,0,0
SEA 36-2510,KI,129,352,91,221,0,1
SEA 36-2118,KI,118,383,130,250,0,2
SEA 36-2517,KI,173,613,205,382,0,4
SEA 36-2514,KI,85,298,108,193,0,0
SEA 36-2515,KI,110,361,123,233,0,0
SEA 37-1619,KI,126,449,130,256,0,0
SEA 37-1618,KI,97,389,91,188,0,0
SEA 37-1613,KI,98,292,102,200,0,0
SEA 37-1612,KI,86,288,105,191,0,0
SEA 37-1611,KI,91,289,100,191,0,0
SEA 37-1610,KI,95,331,108,206,0,3
SEA 37-1617,KI,91,323,106,201,0,4
SEA 37-1616,KI,89,351,117,207,0,1
SEA 37-1615,KI,111,343,92,205,0,2
SEA 37-1614,KI,68,260,87,155,0,0
SEA 36-1324,KI,215,779,261,477,0,1
SEA 36-1732,KI,135,449,142,278,0,1
SEA 36-1731,KI,107,404,123,230,0,0
SEA 36-1730,KI,89,385,133,222,0,0
SEA 36-1737,KI,106,416,85,193,0,2
SEA 36-1736,KI,99,341,109,209,0,1
SEA 36-1735,KI,76,252,84,160,0,0
SEA 36-1734,KI,148,497,137,286,0,1
SEA 46-2128,KI,122,542,123,247,0,2
SEA 36-1739,KI,107,309,100,207,0,0
SEA 36-1738,KI,90,295,97,190,0,3
SEA 11-1639,KI,104,551,89,193,0,0
SEA 36-1329,KI,106,410,146,254,0,2
SEA 43-3665,KI,104,379,77,184,0,3
SEA 36-1812,KI,120,469,131,251,0,0
SEA 36-1813,KI,76,330,97,174,0,1
SEA 11-1550,KI,126,563,94,222,0,2
SEA 46-2299,KI,119,393,108,229,0,2
SEA 11-1552,KI,76,379,87,166,0,3
SEA 36-1815,KI,171,453,102,273,0,0
SEA 43-2928,KI,142,639,195,339,0,2
SEA 37-1576,KI,130,435,55,186,0,1
SEA 37-1574,KI,100,417,77,179,0,2
SEA 37-1575,KI,72,377,52,124,0,0
SEA 37-1572,KI,90,307,85,180,0,5
SEA 36-3679,KI,66,314,71,137,0,0
SEA 37-1570,KI,152,659,151,304,0,1
SEA 37-1571,KI,137,432,109,250,0,4
SEA 34-1511,KI,84,320,86,172,0,2
SEA 37-1578,KI,86,413,83,172,0,3
SEA 37-1579,KI,54,247,51,108,0,3
SEA 46-2304,KI,110,369,123,233,0,0
SEA 36-2170,KI,136,450,149,285,0,0
SEA 46-2306,KI,88,307,106,195,0,1
SEA 46-2307,KI,108,313,107,215,0,0
SEA 46-2300,KI,152,490,173,327,0,2
SEA 43-1818,KI,97,295,99,196,0,0
SEA 34-1460,KI,94,324,113,209,0,2
SEA 43-1817,KI,75,264,59,134,0,0
SEA 46-2308,KI,100,377,130,230,0,0
SEA 34-1463,KI,85,259,92,178,0,1
SEA 34-1462,KI,85,339,114,199,0,0
SEA 34-1449,KI,88,367,124,213,0,1
SEA 34-1448,KI,95,270,82,181,0,4
SEA 34-1446,KI,103,398,133,237,0,1
SEA 34-1444,KI,192,595,171,365,0,2
SEA 34-1443,KI,133,380,133,266,0,0
SEA 34-1442,KI,105,380,101,207,0,1
SEA 34-1441,KI,75,264,79,156,0,2
SEA 34-1440,KI,62,242,87,149,0,0
SEA 43-2088,KI,184,694,176,361,0,1
SEA 43-2089,KI,32,341,33,65,0,0
SEA 43-2084,KI,216,668,226,445,0,3
SEA 43-1360,KI,209,622,169,379,0,1
SEA 46-1283,KI,112,391,91,204,0,1
SEA 43-2081,KI,23,385,12,35,0,0
SEA 43-1361,KI,110,417,127,238,0,1
SEA 34-1469,KI,91,362,91,182,0,0
SEA 43-2544,KI,278,887,256,537,0,3
SEA 43-2058,KI,65,247,85,150,0,0
SEA 46-2342,KI,94,406,91,187,0,2
SEA 43-2547,KI,105,461,99,204,0,0
SEA 43-2546,KI,90,324,83,176,0,3
SEA 36-2536,KI,152,567,175,329,0,2
SEA 43-1291,KI,275,684,212,487,0,0
SEA 46-2234,KI,84,274,96,182,0,2
SEA 46-2236,KI,107,350,111,218,0,0
SEA 46-2796,KI,113,456,114,229,0,2
SEA 37-1872,KI,171,581,182,359,0,6
SEA 37-1871,KI,178,629,208,389,0,3
SEA 43-1868,KI,115,353,117,233,0,1
SEA 37-1876,KI,192,766,251,444,0,1
SEA 37-1875,KI,167,525,119,288,0,2
