Row Label,County,Shon Small,Timothy Dalton
320,BE,248,133
WR 5,BE,58,44
155,BE,213,136
W2 - P620,BE,109,76
White Bluffs,BE,223,143
200,BE,107,86
145,BE,216,116
205,BE,89,73
140,BE,105,88
275,BE,54,47
W2 - P630,BE,130,105
Expansion(*),BE,0,0
Goose Ridge,BE,38,26
W2 - P634,BE,264,100
W2 - P635,BE,171,135
W2 - P636,BE,167,97
W2 - P637,BE,172,122
W2 - P638,BE,205,96
Susie,BE,20,18
W1 - P691,BE,23,20
W1 - P690,BE,215,114
W3 - P530,BE,67,74
South,BE,143,84
Ida,BE,0,0
120,BE,164,92
Tumble Weed,BE,30,22
Sacagawea(*),BE,0,0
470,BE,149,61
260,BE,119,68
Shockley(*),BE,0,0
Red Mountain,BE,136,101
Total,BE,28185,17157
WR12,BE,216,109
Clements,BE,39,18
