Row Label,County,Rick Larsen,B.J. Guillot
BRIER 6,SN,150,72
MANORDALE,SN,162,106
LIND,SN,207,80
HAMPTON,SN,200,116
KEELER,SN,151,85
MARTHA LAKE,SN,151,160
TULALIP 2,SN,205,64
TULALIP 3,SN,179,107
TULALIP 1,SN,185,137
TULALIP 6,SN,106,43
TULALIP 4,SN,189,146
TULALIP 5,SN,121,80
EVERETT  60,SN,164,88
EVERETT  61,SN,32,22
EVERETT  62,SN,124,66
EVERETT  63,SN,115,107
EVERETT  64,SN,74,56
EVERETT  65,SN,140,100
EVERETT  66,SN,192,88
EVERETT  67,SN,179,82
EVERETT  68,SN,212,149
ROSE,SN,121,112
HIPOINT,SN,134,61
LAURA,SN,236,119
CLIFF,SN,125,101
MARYSVILLE 54,SN,164,162
MARYSVILLE 55,SN,105,112
HEMLOCK,SN,231,173
MARYSVILLE 53,SN,94,110
MARYSVILLE 50,SN,163,125
MARYSVILLE 51,SN,69,58
COUNTRY,SN,133,97
PIONEER,SN,168,112
VILLAGE,SN,234,198
SHELTON,SN,187,209
POST,SN,171,114
FIRGROVE,SN,124,85
MC DONALD,SN,90,145
NORTH CREEK,SN,184,90
CRAWFORD,SN,65,31
LYNNWOOD 30,SN,208,116
LYNNWOOD 31,SN,105,64
LYNNWOOD 33,SN,182,120
LYNNWOOD 34,SN,112,51
PACKWOOD,SN,83,92
MOUNTLAKE TERRACE 19,SN,222,102
MOUNTLAKE TERRACE 18,SN,194,90
MOUNTLAKE TERRACE 17,SN,275,106
MOUNTLAKE TERRACE 16,SN,156,51
MOUNTLAKE TERRACE 15,SN,177,71
MOUNTLAKE TERRACE 14,SN,215,94
MOUNTLAKE TERRACE 13,SN,232,79
MOUNTLAKE TERRACE 12,SN,167,96
MOUNTLAKE TERRACE 11,SN,186,72
MOUNTLAKE TERRACE 10,SN,276,142
ARLINGTON  8,SN,137,164
ARLINGTON  9,SN,154,158
ARLINGTON  4,SN,272,184
ARLINGTON  5,SN,221,177
ARLINGTON  6,SN,166,152
ASH,SN,235,153
ARLINGTON  1,SN,154,144
ARLINGTON  2,SN,130,109
ARLINGTON  3,SN,136,103
SHADOW WOOD,SN,187,94
EVERETT  28,SN,139,95
EVERETT  29,SN,124,82
EVERETT  24,SN,192,96
EVERETT  25,SN,169,75
EVERETT  26,SN,278,126
EVERETT  27,SN,205,92
EVERETT  20,SN,174,89
EVERETT  21,SN,252,123
EVERETT  22,SN,170,77
EVERETT  23,SN,20,35
ARLINGTON  7,SN,204,183
GLEN ACRES(*),SN,0,0
WOODGATE,SN,87,76
THOMPSON,SN,182,189
BUTTERNUT,SN,191,105
COVE,SN,158,118
MARYSVILLE 52,SN,179,183
ALDERCREST,SN,30,36
ADMIRALTY,SN,144,68
QUEENS,SN,195,102
EVERETT  91,SN,124,76
EVERETT  90,SN,58,23
EVERETT  93,SN,108,65
EVERETT  92,SN,2,2
EVERETT  95,SN,72,57
EVERETT  94,SN,95,80
GIBSON,SN,130,73
CEDARHOME,SN,144,162
STICKNEY,SN,158,143
STOCK SHOW,SN,93,65
JORDAN,SN,260,190
LOMA,SN,137,151
WILLOW,SN,136,106
MARYSVILLE 18,SN,179,197
MARYSVILLE 19,SN,125,137
MARYSVILLE 12,SN,182,148
MARYSVILLE 13,SN,130,117
MARYSVILLE 10,SN,113,118
MARYSVILLE 11,SN,225,161
MARYSVILLE 16,SN,157,205
MARYSVILLE 17,SN,147,127
MARYSVILLE 14,SN,187,218
MARYSVILLE 15,SN,173,114
SLIVER(*),SN,0,0
EVERETT   6,SN,136,69
EVERETT   7,SN,87,43
LAKE GOODWIN,SN,255,233
EVERETT   5,SN,183,63
EVERETT   2,SN,220,79
EVERETT   3,SN,165,74
SHELBY,SN,163,89
MAGNOLIA,SN,153,87
EVERETT   8,SN,155,83
EVERETT   9,SN,269,182
RIVERCREST,SN,116,95
POPPY,SN,99,102
FLORENCE,SN,56,73
EAST SHORE,SN,175,115
ALMA,SN,21,17
CASCADIAN,SN,224,148
ALDER,SN,158,103
LYNNWOOD 32(*),SN,0,0
FREEWAY,SN,181,126
SHORE,SN,203,136
SILVANA,SN,117,103
EVERETT  55,SN,44,31
EVERETT  54,SN,167,105
EVERETT  57,SN,177,99
EVERETT  56,SN,143,98
