Row Label,County,Chris Barringer,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Mark Hargrove
AUB 47-3635,KI,120,746,13,295,0,0,162
KEN 47-1151,KI,93,398,12,229,0,0,124
KEN 47-0662,KI,149,659,16,399,0,3,231
AUB 47-2551,KI,166,824,17,332,0,1,148
KEN 47-3275,KI,143,854,10,288,0,0,135
COV 47-3551,KI,66,375,8,181,0,0,107
AUB 47-3538,KI,170,719,17,366,0,0,179
AUB 47-3539,KI,121,436,11,245,0,0,113
MERGANSER,KI,98,627,18,351,0,0,235
AUB 47-0072,KI,133,525,14,289,0,0,142
AUB 47-0073,KI,134,687,11,244,0,1,98
AUB 47-0074,KI,157,569,11,294,0,0,126
KEN 47-0798,KI,153,742,24,394,0,0,217
COV 47-3244,KI,76,466,10,204,0,0,118
KEN 47-3579,KI,43,273,8,100,0,0,49
LAKE MORTON,KI,45,232,5,151,0,0,101
JEFFERSON,KI,180,829,16,404,0,2,206
KEN 47-2485,KI,148,616,8,288,0,2,130
KEN 47-2985,KI,114,571,5,198,0,0,79
COV 47-3365,KI,72,286,8,164,0,0,84
KEN 47-2477,KI,104,535,8,361,0,0,249
AUB 47-2729,KI,71,396,11,182,0,0,100
CLAY,KI,82,438,14,237,0,0,141
AUB 47-2723,KI,127,346,6,234,0,1,100
KEN 47-2708,KI,92,485,8,226,0,0,126
BRYAN,KI,66,351,8,188,0,0,114
KEN 47-1076,KI,151,668,23,301,0,0,127
COV 47-3279,KI,158,713,14,342,0,1,169
COV 47-1203,KI,161,885,29,421,0,0,231
AUB 47-2478,KI,151,490,13,328,0,0,164
AUB 47-2573,KI,175,679,17,391,0,0,199
COV 47-2711,KI,106,536,15,255,0,1,133
KEN 47-2490,KI,146,673,18,331,0,0,167
COV 47-0279,KI,129,832,14,369,0,0,226
MORTON,KI,133,723,24,425,0,1,267
BERRYDALE,KI,86,505,18,277,0,0,173
COV 47-0566,KI,125,724,13,308,0,0,170
LOUIE,KI,85,512,20,236,0,0,131
PIPELINE,KI,36,153,4,82,0,0,42
COV 47-2390,KI,91,505,13,204,0,0,100
KEN 47-2568,KI,184,866,11,403,0,0,208
KEN 47-0842,KI,166,796,12,368,0,0,190
KEN 47-3676,KI,17,127,6,64,0,0,41
KEN 47-0910,KI,139,765,10,309,0,0,160
KEN 47-3408,KI,73,374,3,141,0,0,65
CLOVER,KI,95,594,13,299,0,0,191
KEN 47-0753,KI,106,622,17,249,0,0,126
AUB 47-0671,KI,138,785,18,329,0,0,173
FREEDOM,KI,141,726,11,378,0,1,225
KEN 47-3402,KI,97,669,8,322,0,1,216
AUB 47-3276,KI,105,610,10,247,0,0,132
COV 47-0313,KI,104,428,7,241,0,0,130
HUCKLEBERRY,KI,95,420,10,227,0,0,122
COV 47-3581,KI,86,385,8,180,0,0,86
KEN 47-3493,KI,113,554,9,269,0,0,147
KEN 47-3652,KI,95,463,10,219,0,0,114
FOREST,KI,134,572,20,313,0,0,159
AUB 47-2700,KI,39,212,6,73,0,1,27
AUB 47-2701,KI,64,486,8,146,0,0,74
KEN 47-1170,KI,69,412,8,180,0,0,103
KEN 47-3352,KI,0,0,0,0,0,0,0
KEN 47-0601,KI,169,733,14,291,0,0,108
KEN 47-0600,KI,18,131,1,46,0,0,27
KEN 47-0439,KI,151,585,15,309,0,1,142
AUB 47-3260,KI,170,886,16,485,0,0,299
KEN 47-2704,KI,203,773,21,430,0,1,205
COV 47-3517,KI,54,263,3,168,0,0,111
CALHOUN,KI,96,574,11,236,0,1,128
COV 47-1145,KI,134,696,12,318,0,0,172
KEN 47-0026,KI,69,357,8,169,0,0,92
KEN 47-0229,KI,132,695,10,296,0,0,154
AUB 47-3456,KI,127,795,10,305,0,2,166
KEN 47-0028,KI,131,533,21,275,0,0,123
COV 47-3597,KI,59,293,10,150,0,0,81
GLENN,KI,54,255,4,126,0,0,68
AUB 47-1066,KI,87,370,17,211,0,0,107
SAWYER,KI,141,594,19,382,0,0,222
KEN 47-3483,KI,142,606,5,285,0,0,138
KEN 47-3323,KI,88,459,13,218,0,1,116
KEN 47-1102,KI,153,759,16,382,0,0,213
KEN 47-2709,KI,183,839,18,407,0,2,204
