Row Label,County,Brad Maxa
31-886,PI,261
31-838,PI,208
31-839,PI,24
27-462,PI,386
27-463,PI,294
27-460,PI,357
27-461,PI,419
27-466,PI,335
27-467,PI,313
27-464,PI,330
27-465,PI,288
31-888,PI,239
27-468,PI,297
