Row Label,County,C. Kimi Kondo,Jon M. Zimmerman,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 36-1756,KI,197,90,682,106,393,0,0
SEA 36-1759,KI,75,33,274,61,169,0,0
SEA 36-1758,KI,112,54,351,79,246,0,1
SEA 43-2043,KI,110,23,292,59,193,0,1
SEA 43-2044,KI,105,25,350,55,186,0,1
SEA 43-2045,KI,112,22,315,55,189,0,0
SEA 11-1256,KI,97,79,627,66,242,0,0
SEA 34-1533,KI,73,37,229,49,159,0,0
SEA 34-1532,KI,83,27,237,28,138,0,0
SEA 43-1263,KI,130,35,350,64,230,1,0
SEA 34-1530,KI,184,71,619,111,367,0,1
SEA 34-1537,KI,83,39,289,34,156,0,0
SEA 34-1536,KI,99,41,304,51,191,0,0
SEA 34-1535,KI,75,28,239,43,146,0,0
SEA 34-1534,KI,101,56,362,81,238,0,0
SEA 43-1269,KI,114,41,357,79,234,0,0
SEA 43-1268,KI,143,48,352,63,254,0,0
SEA 34-1539,KI,91,52,356,52,198,0,3
SEA 34-1538,KI,77,58,378,67,202,0,0
SEA 43-2048,KI,115,30,376,68,214,0,1
SEA 46-2343,KI,88,51,341,55,194,0,0
SEA 46-2298,KI,102,40,321,62,205,0,1
SEA 36-2505,KI,112,54,324,61,228,0,1
SEA 36-2504,KI,119,43,303,50,213,0,1
SEA 36-2507,KI,80,37,283,58,180,0,5
SEA 36-2506,KI,99,38,311,65,202,0,0
SEA 36-2503,KI,108,41,305,47,196,0,0
SEA 36-2502,KI,167,37,378,80,284,0,0
SEA 36-2134,KI,129,63,490,73,266,0,1
SEA 46-3677,KI,75,49,320,54,181,0,3
SEA 36-2130,KI,155,44,388,44,243,0,0
SEA 36-2131,KI,224,78,851,151,453,0,0
SEA 36-2133,KI,164,77,698,106,348,0,1
SEA 34-1546,KI,116,52,385,89,257,0,0
SEA 43-1787,KI,141,54,564,82,277,0,0
SEA 11-1602,KI,156,67,598,63,288,0,2
SEA 34-1545,KI,103,58,422,62,224,0,1
SEA 34-1543,KI,99,52,327,67,218,0,0
SEA 34-1540,KI,84,36,333,56,176,0,0
SEA 34-1541,KI,90,56,380,88,235,0,1
SEA 46-1312,KI,73,53,326,55,181,0,0
SEA 46-1313,KI,89,33,280,45,168,0,1
SEA 46-1310,KI,109,53,397,67,229,0,0
SEA 46-1311,KI,95,44,427,59,198,0,0
SEA 43-1788,KI,340,103,807,137,580,0,0
SEA 37-3666,KI,75,31,422,21,128,0,1
SEA 36-1808,KI,91,28,275,36,156,0,1
SEA 36-1805,KI,111,33,473,94,239,0,1
SEA 36-1806,KI,150,41,598,90,281,0,0
SEA 36-1801,KI,181,91,896,119,391,0,0
SEA 36-1803,KI,67,45,298,65,178,0,1
SEA 36-3586,KI,223,71,801,113,407,0,0
SEA 36-3587,KI,131,55,590,85,273,0,2
SEA 37-1563,KI,51,34,323,26,111,0,0
SEA 37-1565,KI,92,35,331,44,172,0,1
SEA 37-1564,KI,124,56,396,47,227,0,0
SEA 36-3669,KI,74,28,349,53,157,0,2
SEA 37-1566,KI,78,47,327,51,176,0,0
SEA 37-1568,KI,83,53,434,43,179,0,0
SEA 43-2083,KI,131,24,422,60,215,0,0
SEA 46-2252,KI,92,27,261,53,172,0,0
SEA 46-2253,KI,170,58,521,93,322,0,1
SEA 46-2251,KI,170,70,555,112,352,0,0
SEA 32-2206,KI,140,54,412,71,266,0,1
SEA 46-2316,KI,109,48,411,82,239,0,0
SEA 32-2204,KI,107,58,339,65,230,0,0
SEA 46-2314,KI,105,61,337,51,217,0,0
SEA 32-2202,KI,135,37,436,77,250,0,1
SEA 32-2203,KI,195,88,758,137,422,0,2
SEA 32-2200,KI,128,61,385,74,263,0,0
SEA 32-2201,KI,153,67,463,95,315,0,0
SEA 46-2619,KI,137,69,539,72,279,0,1
SEA 43-2545,KI,203,53,699,118,375,0,1
SEA 32-2208,KI,92,50,350,82,224,0,0
SEA 32-2209,KI,189,88,599,124,402,0,1
SEA 36-2592,KI,111,38,352,53,205,0,3
SEA 36-2593,KI,88,32,289,54,174,0,0
SEA 34-1438,KI,94,53,328,62,209,0,0
SEA 34-1439,KI,85,62,369,72,220,1,0
SEA 34-1432,KI,92,52,331,72,218,0,2
SEA 34-1433,KI,104,44,319,60,208,0,0
SEA 34-1430,KI,95,38,322,57,190,0,0
SEA 34-1431,KI,96,53,308,54,203,0,0
SEA 34-1436,KI,73,33,362,50,156,0,0
SEA 34-1437,KI,90,59,498,103,254,0,2
SEA 34-1434,KI,79,41,271,62,183,0,1
SEA 34-1435,KI,66,42,299,70,178,0,0
SEA 36-2509,KI,133,43,403,84,260,0,0
SEA 36-2508,KI,141,78,427,74,293,0,0
SEA 46-2352,KI,87,42,338,51,181,0,1
SEA 46-1955,KI,148,54,558,86,289,0,1
SEA 11-1600,KI,137,49,550,70,257,0,1
SEA 46-2228,KI,111,50,486,69,234,0,4
SEA 46-2221,KI,130,67,513,100,298,1,0
SEA 43-1280,KI,173,55,669,108,337,0,1
SEA 43-1784,KI,165,50,500,92,308,0,1
SEA 36-3267,KI,114,43,548,61,219,0,1
SEA 37-1886,KI,207,30,523,55,293,0,1
SEA 37-1884,KI,248,35,643,102,385,0,0
SEA 37-1885,KI,143,20,398,60,223,0,0
SEA 37-1882,KI,130,29,395,33,193,0,1
SEA 37-1883,KI,115,31,423,57,204,0,1
SEA 37-1880,KI,188,34,514,51,276,0,3
SEA 37-1881,KI,122,22,396,44,188,0,0
SEA 43-1780,KI,88,54,350,66,208,0,0
SEA 43-1781,KI,88,36,326,40,164,0,0
SEA 46-2292,KI,159,53,505,76,288,0,0
SEA 36-1386,KI,98,49,315,66,213,0,0
SEA 36-1387,KI,146,66,462,77,289,0,0
SEA 36-1384,KI,132,41,309,53,228,1,1
SEA 36-1385,KI,87,31,243,57,175,0,0
SEA 36-1382,KI,122,44,374,67,233,0,0
SEA 36-1388,KI,116,44,337,60,220,0,0
SEA 36-1389,KI,77,38,259,48,163,0,0
SEA 43-1274,KI,103,49,302,64,216,0,0
SEA 43-2006,KI,79,29,298,61,169,0,0
SEA 43-2007,KI,79,26,256,59,164,0,0
SEA 43-2000,KI,183,35,550,76,294,0,0
SEA 43-2001,KI,225,74,648,133,433,0,1
SEA 43-2002,KI,233,56,587,101,391,0,1
SEA 46-2293,KI,158,55,441,78,292,0,1
SEA 46-1957,KI,162,71,553,121,354,0,0
SEA 37-2861,KI,144,35,391,64,243,0,0
SEA 43-2009,KI,205,54,487,70,329,0,0
SEA 37-1635,KI,77,61,524,58,199,0,3
SEA 37-1589,KI,126,39,290,52,217,0,0
SEA 37-1588,KI,108,20,244,31,159,0,0
SEA 46-1314,KI,112,30,330,68,210,0,0
SEA 37-1634,KI,100,56,473,35,191,0,0
SEA 37-1583,KI,199,90,700,91,382,0,2
SEA 37-1582,KI,145,80,715,65,291,0,1
SEA 37-1580,KI,93,37,333,29,160,1,0
SEA 37-1587,KI,121,30,311,44,195,0,0
SEA 37-1586,KI,168,34,373,47,251,0,2
SEA 36-3566,KI,145,55,579,107,307,0,0
SEA 36-1299,KI,146,33,425,80,260,0,1
SEA 43-1347,KI,255,66,726,113,435,0,1
SEA 43-1344,KI,161,46,452,85,292,0,0
SEA 37-1636,KI,120,58,586,36,217,1,2
SEA 43-1342,KI,139,35,366,63,237,0,0
SEA 43-1343,KI,128,31,355,56,215,0,0
SEA 43-1341,KI,215,45,499,91,351,0,0
SEA 46-2290,KI,80,61,289,54,195,0,0
SEA 46-2272,KI,97,58,367,92,247,0,0
SEA 43-1348,KI,190,42,555,84,317,0,1
SEA 37-1630,KI,72,66,309,31,169,0,0
SEA 46-1284,KI,72,30,278,38,140,0,0
SEA 46-1285,KI,82,47,303,53,182,0,0
SEA 43-1975,KI,28,14,439,21,63,0,0
SEA 37-1633,KI,84,47,329,32,163,0,0
SEA 46-1282,KI,206,58,656,134,399,0,1
SEA 43-1976,KI,41,13,242,38,94,0,2
SEA 37-1632,KI,83,46,292,43,173,0,1
SEA 43-3320,KI,122,46,515,72,241,0,1
SEA 36-1661,KI,65,59,277,69,193,0,0
SEA 43-2014,KI,152,37,352,70,260,0,1
SEA 36-1663,KI,86,46,275,72,205,0,1
SEA 36-1709,KI,69,36,359,47,154,0,2
SEA 36-1665,KI,147,79,515,128,356,0,2
SEA 36-1664,KI,87,48,326,83,218,0,0
SEA 46-1963,KI,68,30,278,54,152,0,0
SEA 36-1666,KI,165,82,572,112,360,0,1
SEA 36-1702,KI,182,65,606,124,372,0,1
SEA 36-1668,KI,115,62,443,65,244,0,2
SEA 36-1700,KI,96,41,383,68,208,0,3
SEA 36-1701,KI,129,43,331,58,231,1,0
SEA 46-1969,KI,73,34,278,62,169,0,0
SEA 11-1641,KI,75,59,539,48,183,0,1
SEA 36-1704,KI,123,53,640,75,251,0,0
SEA 46-2094,KI,103,25,283,50,178,0,0
SEA 46-2095,KI,89,42,279,55,187,0,1
SEA 36-3319,KI,167,73,867,124,365,0,1
SEA 36-3318,KI,215,84,680,129,428,0,0
SEA 46-2090,KI,138,48,494,76,262,0,0
SEA 46-2091,KI,148,48,451,68,265,0,1
SEA 46-2092,KI,107,58,311,60,225,0,0
SEA 46-2093,KI,176,71,462,70,317,0,0
SEA 34-1411,KI,82,44,307,71,197,0,0
SEA 46-2099,KI,137,57,437,98,293,0,1
SEA 43-2853,KI,129,23,440,54,206,0,0
SEA 43-2852,KI,128,33,501,64,226,0,1
SEA 36-1689,KI,139,68,484,106,313,0,0
SEA 36-1688,KI,65,55,273,59,179,0,0
SEA 43-2113,KI,85,21,393,33,140,0,1
SEA 36-1683,KI,80,45,305,80,205,0,0
SEA 36-1682,KI,69,49,309,70,190,0,2
SEA 34-1409,KI,123,60,422,87,270,0,0
SEA 34-1408,KI,209,122,708,149,481,0,1
SEA 36-1687,KI,130,70,644,108,309,0,1
SEA 36-1686,KI,156,79,768,115,352,0,2
SEA 36-1685,KI,112,48,418,60,220,0,0
SEA 36-1684,KI,89,33,338,51,173,0,0
SEA 43-1333,KI,115,38,340,76,229,0,0
SEA 43-1332,KI,140,41,385,86,267,0,0
SEA 43-1331,KI,131,35,366,58,224,0,0
SEA 37-1647,KI,177,71,669,98,349,0,3
SEA 43-1335,KI,223,55,637,98,377,0,1
SEA 43-1334,KI,143,52,446,65,262,0,2
SEA 36-1768,KI,89,44,331,68,201,0,0
SEA 43-1339,KI,103,26,298,58,187,0,0
SEA 43-1338,KI,197,32,449,73,302,0,0
SEA 43-1861,KI,281,49,750,102,432,0,0
SEA 46-2297,KI,80,35,283,52,169,0,2
SEA 46-2261,KI,79,39,256,57,175,0,0
SEA 36-2172,KI,102,41,319,70,214,0,1
SEA 37-1643,KI,117,56,682,55,228,0,0
SEA 34-1476,KI,83,34,273,53,170,0,0
SEA 34-1477,KI,87,43,307,70,200,0,0
SEA 34-1474,KI,112,40,402,75,227,0,0
SEA 34-1475,KI,71,40,311,65,176,0,0
SEA 34-1472,KI,94,38,239,39,171,0,0
SEA 34-1473,KI,80,41,319,59,180,0,0
SEA 34-1470,KI,156,91,677,102,352,0,3
SEA 34-1471,KI,143,65,492,97,305,0,0
SEA 43-3424,KI,127,36,407,55,219,0,1
SEA 36-2149,KI,118,44,367,98,261,0,1
SEA 36-2148,KI,123,30,359,76,229,0,0
SEA 34-1478,KI,78,44,253,41,163,0,0
SEA 34-1479,KI,97,45,313,58,200,0,0
SEA 34-1259,KI,81,62,328,62,205,0,0
SEA 43-2050,KI,112,44,442,64,222,0,2
SEA 37-1567,KI,94,32,332,30,156,0,0
SEA 37-1648,KI,155,84,695,87,327,0,1
SEA 37-3617,KI,123,46,553,64,235,0,2
SEA 46-2295,KI,161,48,481,101,310,0,0
SEA 34-1498,KI,167,80,668,81,330,0,2
SEA 34-1499,KI,137,63,483,88,289,0,1
SEA 34-1258,KI,98,63,341,64,225,0,0
SEA 46-2257,KI,265,95,799,148,509,0,1
SEA 34-1490,KI,113,52,437,69,235,0,1
SEA 34-1493,KI,163,72,722,83,320,0,2
SEA 34-1494,KI,138,60,536,66,265,0,1
SEA 34-1496,KI,200,80,826,108,389,0,1
SEA 34-1497,KI,160,84,728,89,336,0,3
SEA 46-2267,KI,119,59,518,63,241,0,0
SEA 37-1920,KI,203,50,574,86,339,0,0
SEA 46-2264,KI,254,94,768,138,487,0,1
SEA 37-1925,KI,88,21,319,44,153,0,0
SEA 37-1927,KI,134,34,409,48,216,0,0
SEA 46-2260,KI,243,124,722,143,511,0,1
SEA 46-2340,KI,183,86,680,112,381,0,0
SEA 11-1942,KI,172,28,526,70,271,0,1
SEA 11-1941,KI,125,33,431,66,224,0,0
SEA 37-1841,KI,241,73,813,80,396,0,2
SEA 11-1947,KI,105,43,453,55,204,0,1
SEA 46-2345,KI,94,43,294,59,196,0,0
SEA 11-1945,KI,196,59,703,86,341,0,0
SEA 46-2268,KI,106,37,330,62,205,0,0
SEA 43-1999,KI,124,56,439,90,270,0,0
SEA 43-1851,KI,258,47,694,108,413,0,0
SEA 43-1856,KI,208,50,579,63,322,0,1
SEA 37-1621,KI,90,21,342,40,151,0,0
SEA 43-1855,KI,202,17,619,116,337,0,2
SEA 43-1993,KI,81,35,238,31,147,0,0
SEA 43-1992,KI,136,99,652,175,410,0,0
SEA 43-1858,KI,134,12,335,57,203,0,0
SEA 43-1859,KI,171,32,553,82,286,0,1
SEA 43-1997,KI,98,36,295,59,194,0,1
SEA 43-1996,KI,93,32,298,68,193,0,0
SEA 43-1995,KI,97,14,244,52,163,0,0
SEA 43-1857,KI,157,24,528,69,251,0,1
SEA 46-2317,KI,128,64,433,76,269,0,1
SEA 43-3685,KI,76,37,258,45,158,0,0
SEA 46-2346,KI,89,47,364,56,193,0,1
SEA 43-2052,KI,76,21,445,45,143,0,1
SEA 46-2127,KI,123,83,494,72,278,0,0
SEA 43-1991,KI,225,90,839,171,487,0,1
SEA 43-1990,KI,110,65,458,85,260,0,0
SEA 43-2064,KI,84,21,370,43,148,0,0
SEA 46-2310,KI,162,42,386,72,277,0,1
SEA 46-2286,KI,129,61,437,88,279,0,1
SEA 36-3689,KI,90,21,398,54,166,0,1
SEA 43-1378,KI,137,36,308,46,219,0,0
SEA 46-2305,KI,108,68,364,77,253,0,0
SEA 36-3686,KI,112,61,501,80,254,0,1
SEA 46-2280,KI,208,65,645,122,396,0,1
SEA 43-2543,KI,103,17,313,33,153,0,0
SEA 46-2369,KI,106,81,419,74,262,0,1
SEA 46-2328,KI,51,47,299,49,147,0,0
SEA 43-2040,KI,132,24,476,57,214,0,1
SEA 46-2282,KI,191,108,653,129,429,0,1
SEA 46-2319,KI,139,99,506,85,323,0,0
SEA 46-2098,KI,149,46,436,90,285,0,0
SEA 46-2318,KI,122,25,277,40,188,0,1
SEA 36-1746,KI,108,45,313,50,203,0,0
SEA 36-1747,KI,104,33,296,58,195,0,0
SEA 36-1744,KI,99,47,393,82,228,0,0
SEA 46-2325,KI,93,87,405,61,242,0,1
SEA 36-1742,KI,88,41,296,55,185,0,1
SEA 36-1743,KI,90,50,391,66,206,0,0
SEA 36-1740,KI,98,40,323,70,208,0,0
SEA 36-1741,KI,104,38,325,65,207,0,0
SEA 43-2075,KI,85,24,458,54,163,0,0
SEA 43-2074,KI,178,48,564,89,316,0,1
SEA 43-2076,KI,75,22,403,38,137,0,2
SEA 43-2071,KI,155,33,371,72,260,0,0
SEA 36-2590,KI,126,36,364,50,213,0,1
SEA 36-1748,KI,89,29,261,51,169,0,0
SEA 36-1749,KI,188,87,681,94,370,0,1
SEA 46-2274,KI,70,33,256,64,167,0,0
SEA 46-2349,KI,116,44,382,60,220,0,0
SEA 43-2110,KI,102,23,452,61,186,0,0
SEA 34-1520,KI,101,43,314,46,190,0,0
SEA 34-1521,KI,77,42,266,62,181,0,0
SEA 34-1522,KI,78,43,261,50,171,0,0
SEA 34-1523,KI,84,37,296,72,193,0,0
SEA 34-1524,KI,94,42,291,62,199,0,1
SEA 34-1526,KI,75,33,248,48,156,0,0
SEA 34-1527,KI,181,83,684,84,351,0,3
SEA 43-1377,KI,112,44,330,51,207,0,0
SEA 34-1529,KI,53,31,266,48,132,0,0
SEA 43-1375,KI,146,22,327,52,222,0,2
SEA 43-1374,KI,114,22,295,69,205,0,0
SEA 32-3568,KI,167,113,849,100,383,2,1
SEA 43-1372,KI,125,23,335,76,224,0,0
SEA 43-1278,KI,160,51,588,96,308,0,1
SEA 43-1279,KI,244,48,684,114,406,0,0
SEA 43-2862,KI,175,76,736,109,360,0,0
SEA 36-2518,KI,131,41,425,72,246,0,2
SEA 43-1887,KI,187,84,648,92,365,0,2
SEA 36-2512,KI,168,69,505,91,331,0,3
SEA 36-2513,KI,124,65,434,111,301,0,1
SEA 36-2510,KI,106,51,352,64,221,0,0
SEA 36-2118,KI,148,50,383,51,250,0,1
SEA 36-2517,KI,194,74,613,113,382,0,1
SEA 36-2514,KI,82,45,298,65,193,1,0
SEA 36-2515,KI,109,44,361,80,233,0,0
SEA 37-1619,KI,148,38,449,69,256,0,1
SEA 37-1618,KI,118,30,389,40,188,0,0
SEA 37-1613,KI,103,42,292,55,200,0,0
SEA 37-1612,KI,108,33,288,50,191,0,0
SEA 37-1611,KI,118,18,289,55,191,0,0
SEA 37-1610,KI,133,27,331,46,206,0,0
SEA 37-1617,KI,139,28,323,34,201,0,0
SEA 37-1616,KI,124,43,351,39,207,0,1
SEA 37-1615,KI,112,45,343,46,205,0,2
SEA 37-1614,KI,93,32,260,30,155,0,0
SEA 36-1324,KI,251,79,779,146,477,0,1
SEA 36-1732,KI,131,66,449,81,278,0,0
SEA 36-1731,KI,107,50,404,73,230,0,0
SEA 36-1730,KI,105,46,385,71,222,0,0
SEA 36-1737,KI,94,31,416,66,193,0,2
SEA 36-1736,KI,86,50,341,73,209,0,0
SEA 36-1735,KI,84,32,252,44,160,0,0
SEA 36-1734,KI,137,52,497,97,286,0,0
SEA 46-2128,KI,127,45,542,75,247,0,0
SEA 36-1739,KI,110,35,309,62,207,0,0
SEA 36-1738,KI,98,33,295,59,190,0,0
SEA 11-1639,KI,106,43,551,44,193,0,0
SEA 36-1329,KI,130,37,410,87,254,0,0
SEA 43-3665,KI,75,57,379,52,184,0,0
SEA 36-1812,KI,99,65,469,87,251,0,0
SEA 36-1813,KI,84,30,330,59,174,0,1
SEA 11-1550,KI,126,54,563,41,222,0,1
SEA 46-2299,KI,133,38,393,57,229,0,1
SEA 11-1552,KI,74,29,379,61,166,0,2
SEA 36-1815,KI,132,79,453,62,273,0,0
SEA 43-2928,KI,179,53,639,107,339,0,0
SEA 37-1576,KI,103,52,435,31,186,0,0
SEA 37-1574,KI,92,41,417,45,179,0,1
SEA 37-1575,KI,47,39,377,38,124,0,0
SEA 37-1572,KI,103,33,307,42,180,0,2
SEA 36-3679,KI,54,32,314,51,137,0,0
SEA 37-1570,KI,135,85,659,84,304,0,0
