Row Label,County,Dave Rodriguez,Gary V. Reams
OKANOGAN #9,OK,43,8
OROVILLE #4,OK,24,15
KIPLING,OK,26,13
LONGANECKER,OK,25,5
NORTH OMAK,OK,23,7
OMAK MTN,OK,14,12
AVIATION,OK,36,2
RAT LAKE,OK,26,7
WINTHROP #2,OK,54,14
OMAK #7,OK,33,11
OMAK #10,OK,29,21
TWIN LAKES,OK,82,20
OMAK #4,OK,25,18
MOLSON,OK,43,23
YARNELL,OK,22,9
WHITESTONE,OK,31,6
CHEWILIKEN,OK,18,11
COULEE DAM #4,OK,10,32
OMAK #3,OK,14,7
HAVILLAH,OK,51,20
OMAK #20,OK,42,16
PINE CREEK,OK,28,10
EDELWEISS,OK,66,18
BUFFALO LAKE,OK,7,13
POORMAN CREEK,OK,94,17
CHESAW,OK,31,13
PATEROS RURAL,OK,39,5
CAYUSE MTN,OK,18,10
SOURDOUGH,OK,43,19
HIGHWAY,OK,19,7
DAVIS LAKE,OK,67,10
LEECHER MTN,OK,52,18
SOUTH OROVILLE,OK,50,8
BEEMAN,OK,55,15
MYERS CREEK,OK,19,5
BLUE LAKE,OK,45,11
POGUE,OK,63,19
MONSE #3,OK,24,12
TORODA,OK,45,20
MONSE #1,OK,54,14
BOUNDARY,OK,36,15
OMAK #9,OK,50,26
TONASKET #6,OK,17,8
SAN POIL,OK,51,30
LAKE ANDREWS,OK,30,11
ENGH,OK,57,16
OKANOGAN #2,OK,40,15
ANTOINE CREEK,OK,29,11
BRIDGE CREEK,OK,40,18
RIVERSIDE RURAL,OK,73,28
SPRING COULEE,OK,51,20
SPECTACLE LAKE,OK,41,7
AIRPORT,OK,56,12
DULEY LAKE,OK,25,7
OROVILLE #9,OK,24,10
FLATS,OK,38,8
WINTHROP #1,OK,79,26
OROVILLE #5,OK,31,16
OROVILLE #6,OK,20,7
CROSSROADS,OK,40,5
OROVILLE #1,OK,27,18
OROVILLE #2,OK,17,10
OROVILLE #3,OK,19,10
LIBBY CREEK,OK,69,19
OKANOGAN RURAL,OK,30,11
OKANOGAN #4,OK,39,13
WEST RIVER,OK,22,17
BALKY HILL,OK,49,8
COPPLE,OK,50,11
OKANOGAN #5,OK,41,10
MISSION,OK,23,14
NESPELEM RURAL,OK,16,12
PATTERSON LAKE,OK,78,12
MCGINNIS LAKE,OK,6,5
HORSESHOE LAKE,OK,27,18
OKANOGAN #8,OK,32,10
NICHOLS,OK,22,7
OKANOGAN #13,OK,21,7
CONCONULLY CITY,OK,50,38
ORCHARD,OK,29,18
ELMER CITY,OK,34,42
MCCLURE MTN,OK,76,17
ALTA LAKE,OK,31,13
PEARRYGIN LAKE,OK,45,8
COLEMAN BUTTE,OK,40,13
JOHNSON CREEK,OK,35,24
TWISP #1,OK,72,16
DUFFYS MTN,OK,20,5
LOOMIS,OK,51,14
RIVERSIDE CITY,OK,40,27
SHORELINE,OK,26,5
SIMILKAMEEN,OK,22,8
PIONEER,OK,48,4
CRUMBACHER,OK,55,16
OMAK #11,OK,57,14
OMAK #12,OK,42,15
LONE PINE,OK,12,20
OMAK #14,OK,25,8
OMAK #15,OK,50,22
OMAK #16,OK,31,15
OMAK #17,OK,36,37
PICKENS MTN,OK,28,11
EDER,OK,45,5
WANNACUT,OK,49,20
CAPE LABELLE,OK,22,12
DIXON,OK,47,16
JANIS,OK,20,12
SIWASH CREEK,OK,33,18
BOSTON,OK,53,27
CHEROKEE,OK,53,17
RANCHES,OK,10,17
WOLF CREEK,OK,53,11
HENDRICK,OK,52,22
ELMERTON,OK,51,34
TONASKET #4,OK,33,8
FRONTAGE,OK,12,8
LEESE,OK,18,7
TONASKET #1,OK,19,10
OKANOGAN #11,OK,39,12
TONASKET #3,OK,16,6
TONASKET #2,OK,22,21
KERMEL,OK,40,20
ANGLIN,OK,47,22
OMAK LAKE,OK,21,12
SAND FLAT,OK,55,21
MALOTT,OK,62,25
DISAUTEL,OK,12,9
BREWSTER #5,OK,21,9
BODIE,OK,16,2
CHILIWIST,OK,36,15
TONASKET #5,OK,24,15
AENEAS,OK,27,19
COULEE DAM #3,OK,24,12
COULEE DAM #2,OK,20,31
COULEE DAM #1,OK,30,38
WESTLAKE,OK,25,7
TONASKET #7,OK,37,10
LEWIS BUTTE,OK,58,28
STARR,OK,25,5
OKANOGAN #10,OK,53,11
BEAVER CREEK,OK,29,9
NORTH MALOTT,OK,62,10
OKANOGAN #12,OK,28,9
WAUCONDA,OK,32,20
WINTHROP RURAL,OK,79,20
DUCK LAKE,OK,21,15
EASTSIDE,OK,53,35
HUDSON,OK,26,6
NIGHTHAWK,OK,12,5
CONCONULLY RURAL,OK,33,12
ANTOINE PEAK,OK,16,7
OROVILLE #10,OK,25,17
OMAK #18,OK,18,15
TWISP #2,OK,59,11
EASTLAKE,OK,21,5
Total,OK,7970,3112
MOCK,OK,34,24
