Row Label,County,Marcine Anderson,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SHL 32-1178,KI,115,393,70,186,0,1
SHL 32-0368,KI,99,309,79,178,0,0
SHL 32-0832,KI,116,343,103,225,0,6
SHL 32-0819,KI,114,411,95,211,0,2
KMR 46-0535,KI,164,610,160,324,0,0
SHL 32-0692,KI,157,554,138,299,0,4
LFP 46-0309,KI,215,582,169,386,0,2
KMR 46-0677,KI,138,552,136,274,0,0
SHL 32-1080,KI,73,258,61,134,0,0
LFP 46-0734,KI,199,575,148,349,0,2
KMR 46-1095,KI,229,785,189,421,0,3
LFP 46-0650,KI,99,354,115,221,0,7
SHL 32-0470,KI,136,413,118,258,0,4
SHL 32-0474,KI,98,383,91,191,0,2
KMR 46-2444,KI,125,418,110,237,0,2
SHL 32-0378,KI,88,305,61,150,0,1
SHL 32-0277,KI,79,241,53,132,0,0
SHL 32-0274,KI,99,288,86,186,0,1
SHL 32-2552,KI,146,444,99,247,0,2
SHL 32-0903,KI,103,271,66,171,0,2
SHL 32-0514,KI,147,534,165,312,0,0
SHL 32-0510,KI,197,645,166,371,0,8
SHL 32-0754,KI,219,629,170,389,0,0
KMR 46-0340,KI,155,443,151,306,0,0
KMR 46-1147,KI,186,764,182,368,0,0
SHL 32-0462,KI,100,421,104,207,0,3
SHL 32-0519,KI,98,422,82,182,0,2
SHL 32-1158,KI,82,317,73,158,0,3
SHL 32-0267,KI,177,607,120,299,0,2
SHL 32-0917,KI,144,537,107,252,0,1
SHL 32-0914,KI,138,495,151,289,0,0
LFP 46-1089,KI,166,554,153,321,0,2
KMR 46-3594,KI,86,322,68,155,0,1
KMR 46-3592,KI,107,396,81,190,0,2
KMR 46-0572,KI,198,629,156,356,0,2
SHL 32-0396,KI,255,767,142,401,0,4
LFP 46-0092,KI,194,646,143,341,0,4
SHL 32-0012,KI,82,340,73,159,0,4
KMR 46-1171,KI,171,588,109,281,0,1
SHL 32-1021,KI,171,550,133,309,0,5
SHL 32-0609,KI,111,370,70,184,0,3
SHL 32-1106,KI,176,585,122,299,0,1
SHL 32-0494,KI,130,468,120,252,0,2
KMR 46-2754,KI,103,344,108,211,0,0
SHL 32-1020,KI,103,341,75,178,0,0
SHL 32-0499,KI,172,462,116,288,0,0
SHL 32-1228,KI,118,366,77,195,0,0
KMR 46-2462,KI,78,258,84,164,0,2
SHL 32-0605,KI,134,422,120,255,0,1
SHL 32-1140,KI,75,240,55,130,0,0
SHL 32-0606,KI,111,364,69,183,0,3
SHL 32-0319,KI,81,284,60,141,0,0
SHL 32-0648,KI,157,481,73,232,0,2
SHL 32-3363,KI,74,373,86,164,0,4
SHL 32-1101,KI,84,301,73,157,0,0
SHL 32-0844,KI,148,431,127,276,0,1
SHL 32-0001,KI,102,439,67,175,0,6
LFP 46-0400,KI,162,519,150,315,0,3
KMR 46-2765,KI,202,715,158,363,0,3
KMR 46-2764,KI,87,269,68,155,0,0
SHL 32-0486,KI,85,298,98,185,0,2
SHL 32-0488,KI,80,282,55,136,0,1
LFP 46-1075,KI,104,366,113,217,0,0
SHL 32-1030,KI,86,301,57,144,0,1
SHL 32-0241,KI,183,612,106,291,0,2
SHL 32-0401,KI,159,419,123,282,0,0
KMR 46-3148,KI,157,671,157,320,0,6
SHL 32-0088,KI,72,258,47,121,0,2
KMR 46-0573,KI,225,726,131,361,0,5
SHL 32-0407,KI,210,661,173,386,0,3
LFP 46-2763,KI,98,276,86,186,0,2
SHL 32-1077,KI,138,471,83,225,0,4
KMR 46-0473,KI,138,438,111,253,0,4
SHL 32-0875,KI,173,557,140,315,0,2
LFP 46-0655,KI,243,679,182,426,0,1
LFP 46-0654,KI,180,471,123,307,0,4
LFP 46-0653,KI,152,412,129,285,0,4
LFP 46-0652,KI,79,230,75,156,0,2
LFP 46-1143,KI,156,436,142,299,0,1
