Row Label,County,Lisa O'Toole,Marcus Naylor,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
GOLDFINCH,KI,63,42,281,60,165,0,0
KIR 45-3200,KI,103,43,455,62,209,0,1
BOT 01-0868,KI,142,71,650,78,292,0,1
SPRINKLE,KI,35,14,107,17,66,0,0
KIR 01-2918,KI,144,92,667,84,321,0,1
HUNTER,KI,154,109,811,126,389,0,0
RED 48-0948,KI,50,46,246,27,124,0,1
SNQ 05-3409,KI,167,101,787,130,399,0,1
SAM 41-1130,KI,119,61,651,103,283,0,0
RED 48-2967,KI,175,96,821,101,373,0,1
WEEKS,KI,179,99,713,112,390,0,0
SNQ 05-3645,KI,0,0,0,0,0,0,0
BROOKTRAILS,KI,133,105,564,108,347,0,1
N-B 05-3611,KI,117,80,664,115,316,0,4
KIR 48-3401,KI,140,77,632,124,342,0,1
COUGAR MTN,KI,2,2,8,1,8,0,3
BEL 48-0160,KI,62,36,268,31,130,0,1
QUAIL,KI,42,39,235,47,131,0,3
SALISH,KI,190,106,674,121,418,0,1
MED 48-0752,KI,141,56,527,113,311,0,1
KIR 01-0019,KI,208,103,752,122,433,0,0
SAM 41-2813,KI,126,82,567,129,337,0,0
WOD 45-1205,KI,143,113,507,84,340,0,0
BOT 01-2865,KI,95,48,356,62,205,0,0
RED 45-3584,KI,108,73,449,78,259,0,0
RED 48-3475,KI,100,52,356,57,210,0,1
RED 48-0944,KI,97,51,375,66,217,0,3
BRIDLE TRAILS,KI,0,0,0,0,0,0,0
KIR 45-2722,KI,125,74,626,97,296,0,0
RED 48-0945,KI,126,50,453,69,245,0,0
YPT 48-1233,KI,113,50,401,63,226,0,0
BEL 48-0207,KI,98,41,327,47,186,0,0
ALDER SPRINGS,KI,133,91,550,125,349,0,0
BEL 48-0201,KI,148,57,512,88,293,0,0
M-I 41-2809,KI,67,36,240,49,152,0,0
SAM 41-0100,KI,158,90,667,113,362,0,1
SAM 41-3638,KI,159,72,717,114,346,0,1
KIR 01-2767,KI,144,91,573,123,359,0,1
KIR 01-2762,KI,140,83,618,84,308,0,1
KIR 01-2768,KI,176,92,624,114,383,0,1
SAM 45-2564,KI,191,95,749,130,418,0,2
CHALLENGER,KI,61,47,293,77,185,0,0
BEL 48-0149,KI,107,68,416,58,234,0,1
RED 48-0951,KI,102,46,379,74,223,0,1
RED 48-0950,KI,94,53,444,67,214,0,0
RED 48-0953,KI,203,101,758,113,418,0,1
RED 48-0952,KI,71,47,311,42,160,0,0
BEL 48-0142,KI,73,44,299,42,159,0,0
BEL 48-0143,KI,78,37,291,36,152,0,1
BEL 48-0140,KI,116,67,425,50,234,0,1
BEL 48-0146,KI,82,40,298,51,173,0,0
BEL 48-0147,KI,84,59,444,61,207,0,3
BEL 48-0144,KI,79,36,320,53,169,0,1
BEL 48-0145,KI,74,30,274,33,137,0,0
BEL 41-0116,KI,48,36,290,27,111,0,0
BEL 41-0117,KI,63,35,263,42,140,0,0
BEL 41-0114,KI,129,61,459,102,292,0,0
BEL 41-0112,KI,166,86,712,106,358,0,0
BEL 41-0113,KI,62,38,255,58,158,0,0
BEL 41-0110,KI,112,66,571,79,257,0,0
BEL 41-0111,KI,177,53,544,99,330,0,1
BEL 41-3312,KI,214,105,796,170,489,0,0
BEL 41-0119,KI,92,37,295,68,197,0,0
WELCOME LAKE,KI,298,146,735,132,578,0,2
ISS 05-2806,KI,91,67,399,84,243,0,1
KIR 48-0638,KI,92,68,551,121,281,0,0
KIR 48-0636,KI,108,59,449,81,248,0,0
BEL 41-2484,KI,84,55,404,60,199,0,0
KIR 48-0633,KI,123,68,468,94,285,0,0
SAM 45-3412,KI,170,114,738,122,406,0,0
ISS 41-2401,KI,140,71,657,130,342,0,1
JAY,KI,104,73,492,103,280,0,0
BOT 01-0262,KI,151,103,779,111,367,0,2
ISS 41-2409,KI,367,247,1074,214,829,1,0
BOT 01-0260,KI,206,139,769,136,482,0,1
BOT 01-0261,KI,170,103,634,105,378,0,0
KIR 45-2917,KI,106,62,603,82,254,0,4
ELSIE,KI,177,98,726,116,393,0,2
BARCLAY,KI,86,31,295,45,162,0,0
C-H 48-0323,KI,142,49,440,67,258,0,0
C-H 48-0322,KI,81,28,252,50,159,0,0
C-H 48-0321,KI,122,28,356,66,216,0,0
KIR 01-0422,KI,129,78,612,101,309,0,1
C-H 48-0326,KI,65,44,268,52,161,0,0
C-H 48-0325,KI,126,56,446,93,276,0,1
C-H 48-0324,KI,116,49,434,99,265,0,1
BEL 41-0203,KI,215,81,688,113,410,0,1
BEL 41-0206,KI,183,63,729,97,344,0,1
BEL 41-0205,KI,85,39,288,47,171,0,0
DIPPER,KI,148,88,675,108,346,0,2
BOT 01-3271,KI,107,49,431,72,229,0,1
DUV 45-0389,KI,185,100,817,129,414,0,0
NEW 41-3261,KI,143,58,503,65,267,0,1
BEL 41-2386,KI,90,34,279,45,169,0,0
SKY 39-1091,KI,23,21,130,30,74,0,0
TWO RIVERS,KI,212,92,779,161,465,0,0
WOD 45-2769,KI,180,94,748,169,444,0,1
SALAL,KI,72,71,359,82,225,0,0
MEANDER,KI,131,92,581,117,340,0,0
BEL 48-1049,KI,98,45,344,72,215,0,0
BOT 01-2677,KI,73,68,344,63,204,0,0
BOT 01-2676,KI,173,107,825,111,391,0,0
PRESTON,KI,166,96,661,119,383,0,2
ISS 05-3552,KI,126,74,742,106,308,0,2
MARYMOOR,KI,0,0,0,0,0,0,0
HILL,KI,125,79,493,107,312,0,1
LYNX,KI,106,89,531,76,276,0,5
RED 48-3548,KI,71,37,292,37,145,0,0
RED 48-2642,KI,60,29,263,28,117,0,0
RED 48-2641,KI,182,83,645,131,396,0,0
RANCH,KI,106,54,444,73,233,0,0
RED 45-3547,KI,164,93,711,129,388,0,2
KIR 45-1019,KI,157,102,767,105,364,0,0
N-B 05-3296,KI,146,92,682,150,392,0,4
SAM 45-2693,KI,199,104,796,110,414,0,1
KIR 45-3668,KI,98,52,428,56,206,0,0
NEW 41-3227,KI,129,48,467,77,254,0,0
KIR 45-2760,KI,180,98,618,108,386,0,0
KIR 45-2761,KI,122,110,601,109,342,0,1
M-I 41-0755,KI,78,33,265,61,172,0,0
RED 48-0942,KI,122,50,402,84,258,0,2
M-I 41-0758,KI,81,47,284,47,175,0,0
BEL 48-3166,KI,143,62,561,73,278,0,0
BEL 48-3498,KI,68,39,239,46,153,0,0
RAGING RIVER,KI,111,67,505,87,268,0,3
HI-VALLEY,KI,248,140,829,153,542,0,1
RED 48-2636,KI,113,60,451,83,256,0,0
SILVER SPURS,KI,5,3,18,2,10,0,0
RED 48-2634,KI,86,68,389,77,231,0,0
RED 48-2635,KI,85,71,387,67,224,0,1
RED 48-2632,KI,48,27,225,55,130,0,0
RED 48-2633,KI,171,98,626,106,375,0,0
RED 48-2630,KI,105,66,394,85,257,0,1
BEL 41-0011,KI,58,24,346,35,117,0,0
BEL 41-0017,KI,144,54,594,72,270,0,0
RED 48-2467,KI,104,53,398,58,215,0,0
RED 48-2466,KI,191,122,749,145,460,0,2
STEED,KI,231,115,759,152,501,0,3
HAAS,KI,79,42,303,78,199,0,0
RED 45-2659,KI,32,23,154,34,89,0,0
BEL 41-0408,KI,63,32,212,41,136,0,0
ALDERWOOD,KI,138,46,440,96,284,0,4
RED 45-2643,KI,120,63,433,69,254,0,2
BEL 41-2936,KI,122,59,485,82,264,0,1
BEL 41-3291,KI,82,27,292,50,159,0,0
BEL 41-2935,KI,114,61,526,89,264,0,0
HPT 48-0533,KI,84,43,334,77,204,0,0
YPT 48-1234,KI,125,36,411,89,250,0,0
SAM 41-2491,KI,145,102,707,119,367,0,1
BOWOOD,KI,168,77,625,94,339,0,0
SHEFFIELD,KI,126,55,447,104,288,0,3
BEL 41-2447,KI,150,62,527,90,303,0,1
RED 45-2492,KI,86,64,356,63,214,0,1
KIR 45-0622,KI,106,48,390,60,214,0,0
TRILLIUM,KI,173,142,799,161,476,0,0
LORA,KI,129,101,607,112,343,0,1
KIR 45-0610,KI,146,98,552,75,322,0,3
KIR 45-0616,KI,102,70,557,124,297,0,1
KIR 45-0618,KI,147,50,454,117,315,1,0
ISS 41-2692,KI,99,43,382,72,215,0,1
MARCEL,KI,87,52,371,68,207,0,0
SAM 41-3214,KI,84,77,435,79,241,0,1
SAM 41-3215,KI,158,95,814,94,348,0,1
SAM 45-3388,KI,187,71,698,129,389,0,2
SAM 45-3389,KI,229,108,762,122,460,0,1
SAM 41-3607,KI,108,67,498,82,259,0,2
KIR 01-0870,KI,152,93,632,95,340,0,0
SAM 45-3386,KI,177,76,784,144,398,0,1
SAM 45-3387,KI,97,77,402,69,244,0,1
DUTHIE HILL,KI,72,67,356,68,208,0,1
BEL 48-0171,KI,108,63,396,61,234,0,2
BEL 48-0170,KI,64,32,225,30,128,0,2
BROOKSHIRE,KI,91,41,430,75,207,0,0
BEL 41-0129,KI,83,30,316,35,148,0,0
BEL 41-0128,KI,135,68,494,92,295,0,0
BEL 41-0124,KI,151,59,505,97,308,0,1
BEL 41-3225,KI,97,66,539,82,245,0,0
BEL 41-0122,KI,98,44,391,67,213,0,4
BEL 41-0121,KI,110,58,501,60,231,0,3
BEL 41-0120,KI,77,36,248,43,157,0,1
SNQ 05-3151,KI,128,80,627,88,297,0,1
BEAR CREEK,KI,117,69,452,88,275,0,1
WAXWING,KI,86,24,295,66,178,0,2
BOT 01-0257,KI,188,128,718,100,417,0,1
BOT 01-0256,KI,186,128,670,102,417,0,1
BOT 01-0255,KI,163,118,750,146,428,0,1
BOT 01-0254,KI,127,85,561,98,311,0,1
BOT 01-0253,KI,99,54,400,76,229,0,0
BOT 01-0252,KI,119,92,514,94,308,0,3
DUV 45-3642,KI,106,72,443,69,249,0,2
BOT 01-0259,KI,92,74,430,78,245,0,1
BOT 01-0258,KI,208,114,817,118,440,0,0
SNQ 05-3512,KI,190,121,823,160,472,0,1
SAM 45-3505,KI,157,75,573,97,329,0,0
BEL 41-3226,KI,122,71,531,84,278,0,1
ISS 05-3697,KI,0,0,0,0,0,0,0
MINK ROAD,KI,107,73,424,79,260,0,1
SAM 41-2940,KI,62,23,243,51,136,0,0
BEL 41-0333,KI,47,25,222,27,100,0,1
RED 45-3281,KI,144,94,633,72,312,0,2
TOLT,KI,73,52,317,63,188,0,0
BEL 41-2714,KI,179,87,711,106,372,0,0
BEL 41-2719,KI,120,83,520,85,289,0,1
BEL 48-2430,KI,142,74,486,74,290,0,0
BEL 48-2432,KI,104,50,403,69,225,0,2
KIR 45-0619,KI,98,35,296,55,190,0,2
BEL 48-2434,KI,95,83,394,81,259,0,0
SNO-VALLEY,KI,167,108,760,131,408,0,2
SNQ 05-3633,KI,69,36,404,61,166,0,0
CHURCHILL,KI,123,58,425,79,262,0,2
ISS 05-3464,KI,149,101,829,125,376,0,1
REINTREE,KI,143,99,565,111,353,0,0
HUTCHINSON,KI,185,110,678,132,427,0,0
KLAHANIE,KI,115,56,468,92,264,0,1
BEL 41-1052,KI,125,72,462,60,257,0,0
NEW 41-1115,KI,176,73,633,91,340,0,0
M-I 41-0781,KI,73,29,216,38,140,0,0
M-I 41-0780,KI,103,48,389,75,226,0,0
M-I 41-0782,KI,117,89,503,79,285,0,0
M-I 41-0785,KI,105,57,380,80,243,0,1
M-I 41-0784,KI,118,53,411,75,246,0,0
M-I 41-0787,KI,79,45,333,58,182,0,0
M-I 41-0786,KI,65,62,255,39,166,0,0
M-I 41-0789,KI,182,86,607,123,391,0,0
COLLEEN,KI,131,82,488,89,304,0,2
SAM 41-2469,KI,117,73,529,98,288,0,0
SAM 45-2961,KI,160,69,531,89,318,0,0
OVERDALE,KI,3,5,12,1,9,0,0
NOVELTY,KI,146,73,605,117,336,0,0
M-I 41-0769,KI,149,74,544,110,333,0,0
M-I 41-0768,KI,71,44,307,55,170,0,0
BEL 41-2970,KI,171,85,714,123,384,0,5
ISS 05-3206,KI,188,109,758,122,419,0,0
M-I 41-0763,KI,87,43,303,70,200,0,0
M-I 41-0762,KI,70,27,256,51,148,0,0
M-I 41-0761,KI,86,54,335,64,208,0,4
M-I 41-0767,KI,56,46,260,39,141,0,0
M-I 41-0766,KI,102,47,322,47,197,1,0
M-I 41-0765,KI,202,104,645,135,441,0,0
BEL 48-0212,KI,176,75,620,51,303,0,1
BEL 48-0213,KI,80,62,395,32,175,0,1
BEL 48-0216,KI,61,42,256,37,140,0,0
BEL 48-0217,KI,81,47,404,56,184,0,0
BEL 48-0214,KI,67,35,274,28,130,0,0
BEL 48-0218,KI,160,91,546,87,338,0,0
BEL 41-3278,KI,78,44,290,50,172,0,0
WOLF,KI,125,83,690,100,308,0,0
NEW 41-0878,KI,174,62,630,92,328,0,0
RED 48-0949,KI,111,62,433,60,234,0,1
KIR 01-2457,KI,165,109,709,102,376,0,0
ISS 05-3649,KI,84,49,404,55,188,0,0
RED 48-0940,KI,105,56,399,97,258,0,0
RED 48-0941,KI,89,59,331,57,205,0,0
RED 48-0947,KI,96,45,360,74,215,0,0
KIR 01-2595,KI,108,66,495,63,239,0,2
HORSESHOE,KI,126,60,490,100,289,0,3
RED 48-2629,KI,127,79,648,88,295,0,1
BEL 41-3583,KI,167,87,675,132,386,0,0
RED 45-2638,KI,108,52,442,74,235,0,1
BEL 48-0138,KI,85,47,393,46,179,0,1
BEL 48-0136,KI,54,33,274,26,113,0,0
BEL 48-0135,KI,60,33,256,33,127,0,1
BEL 48-0134,KI,53,47,324,43,143,0,0
BEL 48-0133,KI,60,41,307,41,143,0,1
BEL 48-0132,KI,63,23,249,47,134,0,1
NAPOLEON,KI,146,79,505,98,324,0,1
BEL 41-0475,KI,65,39,262,45,149,0,0
BEL 41-3658,KI,48,22,305,45,115,0,0
BEL 41-2906,KI,109,78,474,77,264,0,0
BEL 41-0472,KI,142,72,522,89,303,0,0
SAM 45-2450,KI,134,72,548,118,325,0,1
MIDDLE FORK,KI,96,57,383,60,214,0,1
BEL 41-3657,KI,84,45,353,59,189,0,1
MIRRORMONT,KI,118,61,446,63,243,0,1
KIR 48-0628,KI,157,79,664,118,356,0,2
KIR 48-0629,KI,186,78,587,80,344,0,0
COTTAGE LAKE,KI,104,68,452,54,228,0,2
KIR 45-3397,KI,65,32,314,33,130,0,0
M-I 41-2465,KI,98,42,330,68,208,0,0
N-B 05-3407,KI,161,77,628,143,381,0,0
N-B 05-3406,KI,66,31,309,38,136,0,1
BEL 48-0178,KI,54,35,406,45,134,0,0
KIR 45-0623,KI,89,59,378,81,229,0,0
BEL 41-0123,KI,145,101,748,76,323,0,1
KIR 45-0620,KI,141,79,552,119,340,0,1
KIR 45-0627,KI,146,83,628,143,376,0,4
KIR 45-0624,KI,213,124,793,162,501,0,2
DUV 45-3218,KI,179,154,840,120,454,0,1
SNQ 05-3558,KI,101,59,487,75,236,0,1
DUV 45-3219,KI,128,75,548,94,298,0,1
BEL 48-0177,KI,105,60,408,71,236,0,0
BEL 41-2621,KI,120,60,528,69,251,0,2
PORT,KI,4,0,17,3,7,0,0
EAGLE,KI,0,0,3,0,0,0,0
KIR 48-2657,KI,87,55,385,56,202,0,4
MEADOWBROOK,KI,81,47,300,41,173,1,3
KIR 48-2921,KI,102,67,418,61,231,0,1
KIR 48-2920,KI,80,27,381,82,189,0,0
KIR 01-2759,KI,178,77,695,104,359,0,0
BEL 41-0175,KI,200,98,815,114,415,0,3
BEL 41-0176,KI,138,78,593,74,292,0,2
BEL 41-0179,KI,71,43,338,34,148,0,0
BEL 41-3371,KI,122,81,677,92,296,0,1
BEL 41-3370,KI,171,80,812,124,377,0,2
WOD 45-2597,KI,161,89,647,98,350,0,2
ELSOM,KI,149,90,586,114,353,0,0
FOX,KI,98,59,434,90,247,0,0
LAKE ALICE,KI,112,70,519,112,295,0,1
ALPINE,KI,117,69,564,138,324,0,0
SAM 41-0909,KI,193,113,831,139,445,0,0
BEL 41-0658,KI,98,47,403,75,220,0,0
BEL 41-0305,KI,99,64,484,55,218,0,0
ISS 05-3572,KI,145,69,855,116,331,0,1
ISS 41-3533,KI,101,77,507,76,254,0,0
RED 48-3313,KI,194,85,667,104,384,0,1
RED 48-3316,KI,70,34,344,49,154,0,1
RED 48-2790,KI,151,68,592,102,323,0,2
GROUSEMONT,KI,185,92,593,119,396,0,0
BEL 48-3675,KI,55,35,330,51,141,0,0
BEL 48-3674,KI,85,42,436,58,185,0,0
BOT 01-3420,KI,100,55,399,48,205,0,2
RED 45-2410,KI,242,113,822,177,533,0,1
KIR 45-2916,KI,82,48,321,45,175,0,0
SAM 45-0536,KI,186,92,758,164,444,0,2
KIR 45-3612,KI,59,34,211,22,116,0,1
BEA 41-0099,KI,71,33,240,47,151,0,0
FALL CITY,KI,110,54,520,111,275,0,0
WOD 45-0926,KI,181,94,859,93,370,0,2
SNQ 05-3667,KI,82,58,451,83,224,0,1
M-I 41-2808,KI,74,50,263,60,188,0,4
BRONSON,KI,222,119,785,158,499,0,0
KIR 45-2912,KI,81,47,419,35,165,0,2
BEL 41-1026,KI,137,103,652,83,323,0,0
KIR 45-2911,KI,67,27,309,45,139,0,0
KIR 45-2910,KI,112,59,421,77,248,0,0
KIR 45-0442,KI,136,79,557,71,286,0,0
KIR 48-0639,KI,92,43,387,83,218,0,0
SWAN LAKE,KI,182,71,684,125,378,0,0
KIR 45-2931,KI,91,46,409,50,191,0,4
KIR 45-2933,KI,80,41,350,46,167,0,0
KIR 45-2932,KI,132,65,472,69,266,0,0
NEW 41-3529,KI,119,52,569,78,249,0,0
KIR 45-2934,KI,93,42,368,60,196,0,1
RED 48-3415,KI,74,37,327,49,160,0,0
BEL 41-2945,KI,165,51,548,78,296,0,2
BEL 41-2943,KI,175,114,828,144,434,0,1
TWINBERRY,KI,283,139,656,125,547,0,0
SAM 41-3508,KI,152,79,685,104,337,0,2
SAM 45-3213,KI,153,55,558,83,295,0,4
STEVENS,KI,50,35,197,39,124,0,0
BEL 48-0223,KI,122,72,435,91,286,0,1
KIR 01-2488,KI,195,139,786,139,473,0,0
BEL 48-0221,KI,143,64,617,96,304,0,1
BEL 48-0227,KI,164,68,662,92,326,0,2
BEL 48-0226,KI,101,36,315,50,187,0,0
BEL 48-0225,KI,131,54,464,79,264,0,0
BEL 48-0224,KI,167,96,636,94,358,0,1
KIR 45-0925,KI,81,47,312,39,167,0,0
KIR 48-2598,KI,151,70,548,105,327,0,1
BEL 48-3292,KI,112,61,401,70,244,0,1
MATTHEW,KI,86,62,461,95,243,0,0
NEW 41-0840,KI,149,64,684,123,337,0,1
BOT 01-1224,KI,181,124,748,106,414,0,3
VINCENT,KI,91,54,411,65,210,0,0
BEL 41-0505,KI,113,29,279,55,197,0,0
ASPEN GLEN,KI,88,59,396,84,232,0,1
BEL 48-0162,KI,71,31,252,37,139,0,0
BEL 48-0163,KI,81,49,365,68,198,0,0
BEL 48-0164,KI,81,43,299,38,163,0,1
BEL 48-0165,KI,104,68,384,77,250,0,1
BEL 48-0166,KI,98,46,380,68,212,0,0
BEL 48-0167,KI,79,40,271,39,158,0,0
BEL 48-0168,KI,59,35,255,38,134,0,2
BEL 48-0169,KI,81,56,361,57,195,0,1
BEL 41-0131,KI,78,43,417,57,178,0,0
STILLWATER,KI,135,73,523,81,292,1,2
BEL 41-3621,KI,142,71,525,78,291,0,0
SAM 41-3506,KI,101,51,455,82,234,0,0
BEL 41-3330,KI,72,29,309,44,146,0,1
SAM 41-3507,KI,132,104,708,78,314,0,0
BOT 01-2495,KI,135,88,580,80,304,0,1
SNQ 05-3513,KI,191,94,896,175,463,0,3
ISS 05-3691,KI,69,53,314,50,172,0,0
SAM 41-2937,KI,103,69,452,77,249,0,0
ISS 05-3504,KI,110,47,610,110,267,0,0
ISS 05-3503,KI,85,58,504,95,240,0,2
SNO PASS,KI,60,28,208,43,131,0,0
RED 48-2968,KI,126,71,817,99,298,0,2
NEW 41-2811,KI,122,51,381,54,228,0,1
RED 48-2969,KI,107,55,443,90,253,0,1
KIR 01-0403,KI,117,74,537,84,275,0,0
BEL 41-0220,KI,126,68,420,67,262,0,1
RED 45-3282,KI,166,133,707,125,425,0,1
BEL 41-0180,KI,80,49,325,44,173,0,0
MED 48-0749,KI,134,52,485,99,285,0,0
NEW 41-3241,KI,192,72,699,108,373,0,1
CAR 05-3290,KI,130,61,515,118,309,0,0
M-I 41-0770,KI,81,38,277,54,173,0,0
SQUAK MOUNTAIN,KI,53,28,188,34,115,0,0
WEBSTER,KI,133,68,430,80,282,0,1
ISS 05-0543,KI,158,60,622,93,314,0,3
ISS 05-0547,KI,83,46,327,62,191,0,0
ISS 05-0546,KI,62,27,220,32,121,0,0
ISS 05-0545,KI,70,48,316,51,172,0,3
ISS 05-0544,KI,157,52,647,85,295,0,1
DUV 45-2959,KI,110,77,514,80,267,0,0
SNQ 05-1097,KI,83,34,402,60,177,0,0
ISS 05-0548,KI,149,103,772,144,398,0,2
MOUNT SI,KI,65,39,274,61,166,0,1
M-I 41-0796,KI,131,58,561,76,268,0,3
M-I 41-0797,KI,94,49,373,56,199,0,0
M-I 41-0794,KI,105,74,399,77,257,0,1
M-I 41-0795,KI,159,76,508,84,319,0,0
M-I 41-0792,KI,78,38,297,70,186,0,0
M-I 41-0793,KI,155,78,596,133,366,0,0
MABEL,KI,103,49,331,59,212,0,1
M-I 41-0791,KI,55,76,259,25,156,0,0
KIR 45-2489,KI,133,77,559,84,295,0,1
M-I 41-0777,KI,135,78,492,78,291,0,0
KIR 48-3439,KI,130,85,531,109,324,0,0
SAM 45-3216,KI,178,93,710,89,362,0,2
SAM 45-3217,KI,209,98,641,113,424,0,4
KIR 01-0421,KI,182,124,724,161,468,0,1
THRUSH,KI,64,37,275,43,144,0,0
LAKE LEOTA,KI,134,77,562,102,313,0,0
GRIZZLY,KI,136,91,653,126,353,0,0
LAKE JOY,KI,199,132,845,146,478,0,1
BEL 48-2715,KI,141,68,471,89,298,0,0
BEL 48-2716,KI,109,61,593,59,230,0,1
M-I 41-0778,KI,79,56,320,80,215,0,0
M-I 41-0779,KI,188,64,497,79,331,0,0
BACUS,KI,119,86,443,65,271,0,1
BEL 48-3143,KI,101,41,377,60,202,0,0
M-I 41-0771,KI,67,43,258,39,149,0,0
M-I 41-0773,KI,83,50,315,47,180,0,0
M-I 41-0774,KI,155,55,453,78,288,0,0
M-I 41-0775,KI,147,72,491,94,313,0,0
M-I 41-0776,KI,85,65,331,63,213,0,0
BEL 48-3144,KI,126,72,481,76,274,0,0
BEL 41-3140,KI,97,34,286,41,172,0,0
KIR 45-3646,KI,47,25,276,28,101,0,1
KIR 01-2561,KI,163,80,649,94,340,0,3
NEW 41-0248,KI,78,52,380,49,180,0,1
SI VIEW,KI,110,64,433,85,259,0,0
MERLOT,KI,147,89,527,113,349,0,0
ROSE,KI,108,87,409,84,280,0,1
KIR 48-3337,KI,178,130,809,153,463,0,2
