Row Label,County,Brett Buckley
Olympia 52,TH,106
Mcintosh,TH,361
Tenino 02,TH,138
Olympia 39,TH,192
Steamboat Island,TH,173
Olympia 20,TH,95
Lacey 08,TH,126
Lacey 41,TH,188
Delta,TH,0
Ames,TH,182
Jones Beach,TH,125
Pleasant Glade,TH,136
Lacey 35,TH,74
Evergreen Shores,TH,185
Hewitt Lake,TH,278
Tumwater 08,TH,231
Olympia 60,TH,128
Tumwater 06,TH,342
Tumwater 07,TH,166
Tumwater 04,TH,144
Beach Crest,TH,177
Tumwater 02,TH,200
Tumwater 03,TH,242
Roosevelt,TH,256
Tumwater 01,TH,153
University North,TH,86
Olympia 49,TH,199
Olympia 48,TH,246
Bush Prairie,TH,58
Olympia 43,TH,213
Olympia 42,TH,124
Olympia 41,TH,189
Olympia 40,TH,173
Olympia 47,TH,240
Olympia 46,TH,197
Olympia 45,TH,130
Olympia 44,TH,101
Holmes,TH,190
Cooper Point,TH,205
Ruth Prairie,TH,104
Hawks Ridge,TH,102
Weir Prairie,TH,208
Wilderness,TH,298
Lacey 32,TH,218
Camelot,TH,140
University South,TH,122
Lacey 24,TH,280
Gallagher Cove,TH,315
Lacey 17,TH,200
Total,TH,50796
College,TH,34
Bigelow,TH,179
Lacey 37,TH,66
Olympia 08,TH,196
Beaver Creek,TH,390
Oyster Bay,TH,226
Eaton Creek,TH,134
Lacey 28,TH,119
Olympia 25,TH,163
Four Corners,TH,312
South Bay,TH,253
Indian Summer,TH,255
Longmire,TH,149
Tumwater 24,TH,146
Olympia 59,TH,179
Clear Lake,TH,339
Airport,TH,21
Thompson,TH,145
Bucoda,TH,96
Glen Terra,TH,77
Frye Cove,TH,228
Cougar Mountain,TH,47
Mckinley,TH,73
Olympia 37,TH,137
Gibson Valley,TH,29
Olympia 35,TH,389
Black Lake,TH,278
Scheller,TH,97
Olympia 30,TH,167
Olympia 31,TH,154
Sunwood Lakes,TH,326
Lydia Hawk,TH,381
Lacey 23,TH,88
Olympia 32,TH,258
Michigan Hill,TH,100
Tumwater 09,TH,143
Yelm 4,TH,231
Lacey 48,TH,138
Zangle,TH,187
Fish Trap,TH,164
East Olympia,TH,200
Munn Lake,TH,122
Sunset Beach,TH,253
Olympia 27,TH,99
Lacey 43,TH,255
Lacey 40,TH,263
Fristoe,TH,156
Lacey 46,TH,462
Lacey 47,TH,339
Lacey 44,TH,97
Hicks,TH,32
Salmon Creek,TH,137
Lacey 49,TH,117
Wards,TH,98
South Union,TH,267
Boston Harbor,TH,258
Olympia 29,TH,222
Olympia 28,TH,183
Trails End,TH,403
Hartwood,TH,368
Waddell Creek,TH,172
Fleetwood,TH,295
Olympia 26,TH,156
Olympia 21,TH,292
Bald Hills,TH,52
Olympia 23,TH,220
Violet Prairie,TH,242
Lacey 20,TH,85
Hawk Acres,TH,139
Tumwater 27,TH,213
Lacey 21,TH,108
Lakeside,TH,114
Lacey 22,TH,140
Olympia 36,TH,80
Glenwood,TH,78
Chambers,TH,344
Nisqually,TH,176
