Row Label,County,Dawn M. Bettinger,Janet Garrow,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
M-I 41-0786,KI,29,95,255,42,166,0,0
M-I 41-0789,KI,45,230,607,116,391,0,0
COLLEEN,KI,61,157,488,84,304,0,2
SAM 41-2469,KI,70,135,529,83,288,0,0
SAM 45-2961,KI,66,164,531,88,318,0,0
OVERDALE,KI,2,6,12,1,9,0,0
NOVELTY,KI,72,154,605,109,336,0,1
M-I 41-0769,KI,51,179,544,102,333,0,1
M-I 41-0768,KI,23,99,307,48,170,0,0
BEL 41-2970,KI,75,192,714,114,384,0,3
ISS 05-3206,KI,97,196,758,125,419,0,1
M-I 41-0763,KI,21,111,303,68,200,0,0
M-I 41-0762,KI,21,84,256,43,148,0,0
M-I 41-0761,KI,37,109,335,60,208,0,2
M-I 41-0767,KI,29,74,260,38,141,0,0
M-I 41-0766,KI,23,129,322,44,197,1,0
M-I 41-0765,KI,79,250,645,110,441,0,2
BEL 48-0212,KI,82,172,620,48,303,0,1
BEL 48-0213,KI,59,81,395,34,175,0,1
BEL 48-0216,KI,31,71,256,38,140,0,0
BEL 48-0217,KI,39,88,404,57,184,0,0
BEL 48-0214,KI,32,69,274,29,130,0,0
BEL 48-0218,KI,78,175,546,85,338,0,0
BEL 41-3278,KI,31,90,290,50,172,0,1
WOLF,KI,95,123,690,88,308,0,2
NEW 41-0878,KI,62,186,630,80,328,0,0
RED 48-0949,KI,64,112,433,57,234,0,1
KIR 01-2457,KI,105,189,709,82,376,0,0
ISS 05-3649,KI,47,92,404,49,188,0,0
RED 48-0940,KI,50,114,399,94,258,0,0
RED 48-0941,KI,47,103,331,55,205,0,0
RED 48-0947,KI,48,94,360,72,215,0,1
KIR 01-2595,KI,67,112,495,57,239,0,3
HORSESHOE,KI,74,123,490,90,289,0,2
RED 48-2629,KI,76,128,648,89,295,0,2
BEL 41-3583,KI,68,195,675,121,386,0,2
RED 45-2638,KI,53,110,442,71,235,0,1
BEL 48-0138,KI,51,91,393,37,179,0,0
BEL 48-0136,KI,26,56,274,29,113,0,2
BEL 48-0135,KI,31,62,256,33,127,0,1
BEL 48-0134,KI,41,62,324,38,143,0,2
BEL 48-0133,KI,37,69,307,36,143,0,1
BEL 48-0132,KI,22,65,249,47,134,0,0
NAPOLEON,KI,87,139,505,97,324,0,1
BEL 41-0475,KI,31,79,262,39,149,0,0
BEL 41-3658,KI,24,51,305,40,115,0,0
BEL 41-2906,KI,63,132,474,69,264,0,0
BEL 41-0472,KI,66,154,522,82,303,0,1
SAM 45-2450,KI,76,138,548,110,325,0,1
MIDDLE FORK,KI,84,70,383,58,214,0,2
BEL 41-3657,KI,35,99,353,55,189,0,0
MIRRORMONT,KI,58,117,446,67,243,0,1
KIR 48-0628,KI,74,165,664,116,356,0,1
KIR 48-0629,KI,82,183,587,79,344,0,0
COTTAGE LAKE,KI,74,102,452,50,228,0,2
KIR 45-3397,KI,35,60,314,35,130,0,0
M-I 41-2465,KI,36,109,330,63,208,0,0
N-B 05-3407,KI,88,146,628,147,381,0,0
N-B 05-3406,KI,45,53,309,36,136,0,2
BEL 48-0178,KI,32,55,406,47,134,0,0
KIR 45-0623,KI,51,106,378,72,229,0,0
BEL 41-0123,KI,92,153,748,78,323,0,0
KIR 45-0620,KI,66,161,552,113,340,0,0
KIR 45-0627,KI,66,168,628,138,376,0,4
KIR 45-0624,KI,91,239,793,169,501,0,2
DUV 45-3218,KI,124,202,840,128,454,0,0
SNQ 05-3558,KI,77,75,487,83,236,0,1
DUV 45-3219,KI,76,128,548,93,298,0,1
BEL 48-0177,KI,52,118,408,66,236,0,0
BEL 41-2621,KI,57,128,528,63,251,0,3
PORT,KI,2,2,17,3,7,0,0
EAGLE,KI,0,0,3,0,0,0,0
KIR 48-2657,KI,51,90,385,57,202,0,4
MEADOWBROOK,KI,47,76,300,45,173,0,5
KIR 48-2921,KI,67,102,418,61,231,0,1
KIR 48-2920,KI,37,73,381,79,189,0,0
KIR 01-2759,KI,112,150,695,97,359,0,0
BEL 41-0175,KI,85,214,815,112,415,0,4
BEL 41-0176,KI,55,163,593,72,292,0,2
BEL 41-0179,KI,27,86,338,35,148,0,0
BEL 41-3371,KI,61,154,677,80,296,0,1
BEL 41-3370,KI,60,189,812,125,377,0,3
WOD 45-2597,KI,91,158,647,99,350,0,2
ELSOM,KI,82,165,586,106,353,0,0
FOX,KI,53,102,434,92,247,0,0
LAKE ALICE,KI,80,109,519,105,295,0,1
ALPINE,KI,57,131,564,136,324,0,0
SAM 41-0909,KI,85,229,831,130,445,0,1
BEL 41-0658,KI,45,118,403,57,220,0,0
BEL 41-0305,KI,47,120,484,50,218,0,1
ISS 05-3572,KI,82,128,855,119,331,0,2
ISS 41-3533,KI,62,126,507,66,254,0,0
RED 48-3313,KI,81,198,667,104,384,0,1
RED 48-3316,KI,47,53,344,54,154,0,0
RED 48-2790,KI,74,147,592,100,323,0,2
GROUSEMONT,KI,87,193,593,116,396,0,0
BEL 48-3675,KI,25,68,330,48,141,0,0
BEL 48-3674,KI,39,89,436,57,185,0,0
BOT 01-3420,KI,67,90,399,46,205,0,2
RED 45-2410,KI,99,256,822,177,533,0,1
KIR 45-2916,KI,55,77,321,42,175,0,1
SAM 45-0536,KI,91,190,758,161,444,0,2
KIR 45-3612,KI,37,61,211,17,116,0,1
BEA 41-0099,KI,25,81,240,45,151,0,0
FALL CITY,KI,60,106,520,108,275,0,1
WOD 45-0926,KI,95,178,859,95,370,0,2
SNQ 05-3667,KI,61,78,451,83,224,0,2
M-I 41-2808,KI,28,98,263,58,188,0,4
BRONSON,KI,111,240,785,148,499,0,0
KIR 45-2912,KI,46,82,419,36,165,0,1
BEL 41-1026,KI,89,152,652,82,323,0,0
KIR 45-2911,KI,31,63,309,45,139,0,0
KIR 45-2910,KI,58,110,421,80,248,0,0
KIR 45-0442,KI,62,150,557,73,286,0,1
KIR 48-0639,KI,43,93,387,82,218,0,0
SWAN LAKE,KI,92,159,684,127,378,0,0
KIR 45-2931,KI,59,79,409,49,191,0,4
KIR 45-2933,KI,38,83,350,46,167,0,0
KIR 45-2932,KI,69,126,472,71,266,0,0
NEW 41-3529,KI,44,127,569,77,249,0,1
KIR 45-2934,KI,45,89,368,61,196,0,1
RED 48-3415,KI,34,77,327,49,160,0,0
BEL 41-2945,KI,28,189,548,79,296,0,0
BEL 41-2943,KI,74,230,828,129,434,0,1
TWINBERRY,KI,125,300,656,122,547,0,0
SAM 41-3508,KI,72,166,685,99,337,0,0
SAM 45-3213,KI,80,136,558,77,295,0,2
STEVENS,KI,37,44,197,38,124,0,5
BEL 48-0223,KI,43,154,435,88,286,0,1
KIR 01-2488,KI,90,260,786,123,473,0,0
BEL 48-0221,KI,68,142,617,94,304,0,0
BEL 48-0227,KI,68,165,662,91,326,0,2
BEL 48-0226,KI,35,110,315,42,187,0,0
BEL 48-0225,KI,43,137,464,84,264,0,0
BEL 48-0224,KI,77,190,636,90,358,0,1
KIR 45-0925,KI,41,85,312,41,167,0,0
KIR 48-2598,KI,57,165,548,105,327,0,0
BEL 48-3292,KI,45,129,401,68,244,0,2
MATTHEW,KI,59,90,461,93,243,0,1
NEW 41-0840,KI,68,149,684,120,337,0,0
BOT 01-1224,KI,121,186,748,103,414,0,4
VINCENT,KI,69,84,411,57,210,0,0
BEL 41-0505,KI,39,107,279,51,197,0,0
ASPEN GLEN,KI,55,86,396,90,232,0,1
BEL 48-0162,KI,36,67,252,36,139,0,0
BEL 48-0163,KI,47,92,365,59,198,0,0
BEL 48-0164,KI,36,98,299,28,163,0,1
BEL 48-0165,KI,52,118,384,79,250,0,1
BEL 48-0166,KI,48,99,380,65,212,0,0
BEL 48-0167,KI,34,79,271,44,158,0,1
BEL 48-0168,KI,41,60,255,32,134,0,1
BEL 48-0169,KI,46,93,361,55,195,0,1
BEL 41-0131,KI,28,89,417,61,178,0,0
STILLWATER,KI,79,126,523,85,292,0,2
BEL 41-3621,KI,42,170,525,79,291,0,0
SAM 41-3506,KI,54,106,455,72,234,0,2
BEL 41-3330,KI,31,71,309,44,146,0,0
SAM 41-3507,KI,85,152,708,77,314,0,0
BOT 01-2495,KI,74,146,580,82,304,0,2
SNQ 05-3513,KI,115,176,896,171,463,0,1
ISS 05-3691,KI,52,75,314,45,172,0,0
SAM 41-2937,KI,64,108,452,76,249,0,1
ISS 05-3504,KI,48,114,610,104,267,0,1
ISS 05-3503,KI,45,101,504,92,240,0,2
SNO PASS,KI,32,53,208,45,131,0,1
RED 48-2968,KI,81,116,817,99,298,0,2
NEW 41-2811,KI,60,112,381,55,228,0,1
RED 48-2969,KI,36,125,443,89,253,0,3
KIR 01-0403,KI,72,137,537,66,275,0,0
BEL 41-0220,KI,63,141,420,57,262,0,1
RED 45-3282,KI,85,217,707,122,425,0,1
BEL 41-0180,KI,37,96,325,39,173,0,1
MED 48-0749,KI,37,141,485,106,285,0,1
NEW 41-3241,KI,77,189,699,106,373,0,1
CAR 05-3290,KI,67,122,515,120,309,0,0
M-I 41-0770,KI,22,94,277,57,173,0,0
SQUAK MOUNTAIN,KI,28,52,188,35,115,0,0
WEBSTER,KI,65,133,430,83,282,0,1
ISS 05-0543,KI,74,141,622,95,314,0,4
ISS 05-0547,KI,34,94,327,62,191,0,1
ISS 05-0546,KI,33,57,220,29,121,0,2
ISS 05-0545,KI,36,79,316,54,172,0,3
ISS 05-0544,KI,77,141,647,74,295,0,3
DUV 45-2959,KI,81,106,514,80,267,0,0
SNQ 05-1097,KI,58,59,402,60,177,0,0
ISS 05-0548,KI,104,158,772,133,398,0,3
MOUNT SI,KI,47,69,274,49,166,0,1
M-I 41-0796,KI,53,132,561,80,268,0,3
M-I 41-0797,KI,43,104,373,52,199,0,0
M-I 41-0794,KI,30,143,399,84,257,0,0
M-I 41-0795,KI,40,200,508,79,319,0,0
M-I 41-0792,KI,27,97,297,62,186,0,0
M-I 41-0793,KI,69,181,596,116,366,0,0
MABEL,KI,56,98,331,56,212,0,2
M-I 41-0791,KI,29,100,259,27,156,0,0
KIR 45-2489,KI,71,141,559,82,295,0,1
M-I 41-0777,KI,40,172,492,79,291,0,0
KIR 48-3439,KI,52,160,531,112,324,0,0
SAM 45-3216,KI,91,188,710,81,362,0,2
SAM 45-3217,KI,101,214,641,107,424,0,2
KIR 01-0421,KI,93,225,724,149,468,0,1
THRUSH,KI,35,66,275,43,144,0,0
LAKE LEOTA,KI,68,145,562,100,313,0,0
GRIZZLY,KI,86,141,653,125,353,0,1
LAKE JOY,KI,144,182,845,147,478,1,4
BEL 48-2715,KI,54,157,471,87,298,0,0
BEL 48-2716,KI,60,107,593,62,230,0,1
M-I 41-0778,KI,23,113,320,79,215,0,0
M-I 41-0779,KI,64,187,497,79,331,0,1
BACUS,KI,85,118,443,65,271,0,3
BEL 48-3143,KI,32,109,377,61,202,0,0
M-I 41-0771,KI,32,70,258,47,149,0,0
M-I 41-0773,KI,35,100,315,45,180,0,0
M-I 41-0774,KI,40,165,453,83,288,0,0
M-I 41-0775,KI,48,178,491,86,313,0,1
M-I 41-0776,KI,37,111,331,65,213,0,0
BEL 48-3144,KI,61,141,481,71,274,0,1
BEL 41-3140,KI,44,84,286,44,172,0,0
KIR 45-3646,KI,29,42,276,29,101,0,1
KIR 01-2561,KI,92,151,649,96,340,0,1
NEW 41-0248,KI,38,90,380,51,180,0,1
SI VIEW,KI,62,116,433,80,259,0,1
