Row Label,County,Leah McCormack
WANNACUT,OK,53
CAPE LABELLE,OK,22
DIXON,OK,42
JANIS,OK,28
SIWASH CREEK,OK,42
BOSTON,OK,59
CHEROKEE,OK,56
RANCHES,OK,18
WOLF CREEK,OK,48
HENDRICK,OK,63
ELMERTON,OK,77
TONASKET #4,OK,33
FRONTAGE,OK,16
LEESE,OK,17
TONASKET #1,OK,27
OKANOGAN #11,OK,42
TONASKET #3,OK,16
TONASKET #2,OK,35
KERMEL,OK,49
ANGLIN,OK,58
OMAK LAKE,OK,25
SAND FLAT,OK,60
MALOTT,OK,72
DISAUTEL,OK,18
BREWSTER #5,OK,24
BODIE,OK,15
CHILIWIST,OK,48
TONASKET #5,OK,30
AENEAS,OK,34
COULEE DAM #3,OK,35
COULEE DAM #2,OK,39
COULEE DAM #1,OK,49
WESTLAKE,OK,29
TONASKET #7,OK,42
LEWIS BUTTE,OK,64
STARR,OK,27
OKANOGAN #10,OK,49
BEAVER CREEK,OK,28
NORTH MALOTT,OK,57
OKANOGAN #12,OK,28
WAUCONDA,OK,39
WINTHROP RURAL,OK,63
DUCK LAKE,OK,25
EASTSIDE,OK,64
HUDSON,OK,23
NIGHTHAWK,OK,16
CONCONULLY RURAL,OK,39
ANTOINE PEAK,OK,19
OROVILLE #10,OK,35
OMAK #18,OK,25
TWISP #2,OK,44
EASTLAKE,OK,23
Total,OK,8653
MOCK,OK,44
