Row Label,County,Johanna Bender,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 36-1711,KI,188,760,189,379,0,2
SEA 36-1710,KI,77,351,79,157,0,1
SEA 36-1713,KI,88,362,87,176,0,1
SEA 36-1712,KI,147,463,122,269,0,0
SEA 36-2147,KI,158,489,178,338,0,2
SEA 36-1719,KI,154,510,144,299,0,1
SEA 36-1718,KI,68,318,85,155,0,2
SEA 37-1834,KI,98,386,86,188,0,4
SEA 46-1404,KI,117,441,98,217,0,2
SEA 46-2371,KI,198,656,170,371,0,3
SEA 34-3263,KI,97,415,94,194,0,3
SEA 34-3265,KI,93,353,74,168,0,1
SEA 34-3264,KI,106,340,73,180,0,1
SEA 34-3266,KI,65,311,50,117,0,2
SEA 46-2285,KI,113,286,98,211,0,0
SEA 11-1928,KI,62,298,80,145,0,3
SEA 43-2850,KI,90,359,91,182,0,1
SEA 37-1938,KI,108,394,137,247,0,2
SEA 46-2283,KI,104,348,106,214,0,4
SEA 36-1398,KI,136,503,128,265,0,1
SEA 46-2326,KI,130,574,141,271,0,0
SEA 46-2327,KI,106,381,83,190,0,1
SEA 46-2324,KI,119,432,116,237,0,2
SEA 43-2047,KI,196,662,205,403,0,2
SEA 46-2289,KI,79,338,122,203,0,2
SEA 46-2323,KI,147,554,161,310,0,2
SEA 46-2320,KI,106,350,115,222,0,1
SEA 46-2321,KI,107,333,117,225,0,1
SEA 37-3694,KI,20,92,24,44,0,0
SEA 43-1368,KI,80,292,103,184,0,1
SEA 34-1461,KI,143,399,123,268,0,2
SEA 36-1273,KI,77,279,124,201,0,0
SEA 34-1508,KI,96,295,86,182,0,0
SEA 34-1509,KI,82,281,94,177,0,1
SEA 34-1465,KI,140,372,110,251,0,1
SEA 34-1464,KI,110,359,134,245,0,1
SEA 34-1467,KI,164,551,174,339,0,1
SEA 34-1466,KI,98,303,80,179,0,1
SEA 34-1502,KI,99,342,122,223,0,2
SEA 34-1468,KI,130,448,125,256,0,1
SEA 34-1500,KI,161,584,166,328,0,1
SEA 34-1501,KI,133,369,112,248,0,3
SEA 34-1506,KI,102,299,81,183,0,0
SEA 34-1507,KI,104,357,124,230,0,2
SEA 34-1504,KI,142,418,124,267,0,1
SEA 46-2291,KI,119,387,84,204,0,1
SEA 43-1821,KI,84,233,60,144,0,0
SEA 43-1869,KI,136,465,132,270,0,2
SEA 46-2296,KI,116,391,117,237,0,4
SEA 46-2277,KI,170,568,197,368,0,1
SEA 43-1369,KI,69,285,95,165,0,1
SEA 43-2015,KI,91,333,103,195,0,1
SEA 37-1950,KI,46,187,20,67,0,1
SEA 34-1489,KI,182,744,155,338,0,1
SEA 34-1488,KI,158,692,125,284,0,1
SEA 34-1482,KI,96,321,83,180,0,1
SEA 34-1481,KI,123,479,100,227,0,4
SEA 34-1480,KI,189,594,150,339,0,0
SEA 34-1487,KI,115,335,90,205,0,0
SEA 34-1486,KI,101,364,99,201,0,1
SEA 34-1485,KI,189,708,115,307,0,3
SEA 34-1484,KI,100,345,79,180,0,1
SEA 36-3153,KI,107,390,80,187,0,0
SEA 46-2358,KI,269,846,221,494,0,4
SEA 37-1918,KI,98,347,112,212,0,2
SEA 37-1919,KI,96,378,109,207,0,2
SEA 37-2686,KI,173,604,114,291,0,4
SEA 36-3252,KI,109,477,100,211,0,2
SEA 37-1915,KI,124,384,134,260,0,2
SEA 37-1916,KI,122,357,138,261,0,1
SEA 37-1917,KI,178,454,132,311,0,1
SEA 37-1910,KI,162,513,164,329,0,3
SEA 37-1911,KI,106,284,85,191,0,0
SEA 46-2355,KI,112,354,110,224,0,2
SEA 37-1913,KI,129,338,109,239,0,1
SEA 37-1854,KI,113,386,75,190,0,2
SEA 43-1330,KI,132,404,104,238,0,2
SEA 43-1849,KI,70,323,89,161,0,2
SEA 37-1850,KI,169,650,173,346,0,4
SEA 37-1853,KI,69,281,51,120,0,0
SEA 43-1845,KI,151,575,125,277,0,1
SEA 43-1847,KI,110,484,116,227,0,1
SEA 43-1846,KI,80,345,77,158,0,1
SEA 43-1843,KI,127,551,124,251,0,0
SEA 43-1842,KI,144,521,135,282,0,3
SEA 43-2104,KI,135,379,125,260,0,0
SEA 43-2029,KI,248,706,238,488,0,2
SEA 46-2309,KI,98,300,85,184,0,1
SEA 46-2142,KI,207,674,144,357,0,6
SEA 43-1262,KI,153,468,152,308,0,3
SEA 36-2795,KI,100,479,107,209,0,2
SEA 43-1265,KI,74,256,73,148,0,1
SEA 37-1637,KI,192,760,100,295,0,3
SEA 43-1264,KI,119,361,128,248,0,1
SEA 37-1651,KI,163,736,91,256,1,1
SEA 43-2025,KI,177,556,180,360,0,3
SEA 37-1930,KI,197,738,191,391,0,3
SEA 43-1266,KI,104,351,109,213,0,0
SEA 46-2145,KI,154,497,140,297,0,3
SEA 36-1751,KI,107,368,103,212,0,2
SEA 36-1750,KI,131,493,165,296,0,0
SEA 36-1752,KI,112,437,132,244,0,0
SEA 36-1755,KI,78,272,79,158,0,1
SEA 36-1754,KI,122,387,129,252,0,1
SEA 36-1757,KI,70,262,94,166,0,2
SEA 36-1756,KI,204,682,189,393,0,0
SEA 36-1759,KI,66,274,101,169,0,2
SEA 36-1758,KI,132,351,113,246,0,1
SEA 43-2043,KI,92,292,101,193,0,0
SEA 43-2044,KI,88,350,96,186,0,2
SEA 43-2045,KI,93,315,94,189,0,2
SEA 11-1256,KI,149,627,91,242,0,2
SEA 34-1533,KI,75,229,84,159,0,0
SEA 34-1532,KI,76,237,62,138,0,0
SEA 43-1263,KI,112,350,116,230,0,2
SEA 34-1530,KI,178,619,186,367,0,3
SEA 34-1537,KI,95,289,61,156,0,0
SEA 34-1536,KI,101,304,89,191,0,1
SEA 34-1535,KI,73,239,73,146,0,0
SEA 34-1534,KI,113,362,125,238,0,0
SEA 43-1269,KI,122,357,111,234,0,1
SEA 43-1268,KI,119,352,134,254,0,1
SEA 34-1539,KI,99,356,94,198,0,5
SEA 34-1538,KI,105,378,96,202,0,1
SEA 43-2048,KI,106,376,106,214,0,2
SEA 46-2343,KI,105,341,89,194,0,0
SEA 46-2298,KI,106,321,98,205,0,1
SEA 36-2505,KI,114,324,114,228,0,0
SEA 36-2504,KI,102,303,110,213,0,1
SEA 36-2507,KI,78,283,96,180,0,6
SEA 36-2506,KI,91,311,111,202,0,0
SEA 36-2503,KI,98,305,98,196,0,0
SEA 36-2502,KI,152,378,132,284,0,0
SEA 36-2134,KI,139,490,126,266,0,1
SEA 46-3677,KI,85,320,91,181,0,5
SEA 36-2130,KI,130,388,111,243,0,2
SEA 36-2131,KI,217,851,235,453,0,1
SEA 36-2133,KI,178,698,169,348,0,1
SEA 34-1546,KI,113,385,144,257,0,0
SEA 43-1787,KI,148,564,127,277,0,2
SEA 11-1602,KI,142,598,140,288,0,6
SEA 34-1545,KI,123,422,101,224,0,0
SEA 34-1543,KI,108,327,110,218,0,0
SEA 34-1540,KI,83,333,93,176,0,0
SEA 34-1541,KI,95,380,139,235,0,1
SEA 46-1312,KI,91,326,90,181,0,0
SEA 46-1313,KI,76,280,91,168,0,1
SEA 46-1310,KI,121,397,103,229,0,5
SEA 46-1311,KI,103,427,94,198,0,1
SEA 43-1788,KI,339,807,239,580,0,2
SEA 37-3666,KI,87,422,40,128,0,1
SEA 36-1808,KI,97,275,59,156,0,0
SEA 36-1805,KI,108,473,129,239,0,2
SEA 36-1806,KI,147,598,132,281,0,2
SEA 36-1801,KI,199,896,192,391,0,0
SEA 36-1803,KI,76,298,102,178,0,0
SEA 36-3586,KI,215,801,189,407,0,3
SEA 36-3587,KI,133,590,138,273,0,2
SEA 37-1563,KI,71,323,40,111,0,0
SEA 37-1565,KI,92,331,78,172,0,2
SEA 37-1564,KI,129,396,95,227,0,3
SEA 36-3669,KI,75,349,80,157,0,2
SEA 37-1566,KI,90,327,83,176,0,3
SEA 37-1568,KI,99,434,80,179,0,0
SEA 43-2083,KI,98,422,117,215,0,0
SEA 46-2252,KI,87,261,85,172,0,0
SEA 46-2253,KI,152,521,168,322,0,2
SEA 46-2251,KI,157,555,195,352,0,0
SEA 32-2206,KI,143,412,121,266,0,2
SEA 46-2316,KI,119,411,120,239,0,0
SEA 32-2204,KI,119,339,109,230,0,2
SEA 46-2314,KI,129,337,87,217,0,1
SEA 32-2202,KI,123,436,125,250,0,2
SEA 32-2203,KI,210,758,208,422,0,4
SEA 32-2200,KI,138,385,125,263,0,0
SEA 32-2201,KI,164,463,150,315,0,1
SEA 46-2619,KI,147,539,131,279,0,1
SEA 43-2545,KI,167,699,206,375,0,2
SEA 32-2208,KI,101,350,123,224,0,0
SEA 32-2209,KI,185,599,214,402,0,3
SEA 36-2592,KI,87,352,116,205,0,2
SEA 36-2593,KI,85,289,89,174,0,0
SEA 34-1438,KI,108,328,101,209,0,0
SEA 34-1439,KI,106,369,110,220,1,3
SEA 34-1432,KI,105,331,112,218,0,1
SEA 34-1433,KI,105,319,103,208,0,0
SEA 34-1430,KI,96,322,94,190,0,0
SEA 34-1431,KI,105,308,97,203,0,1
SEA 34-1436,KI,74,362,82,156,0,0
SEA 34-1437,KI,101,498,151,254,0,2
SEA 34-1434,KI,92,271,90,183,0,1
SEA 34-1435,KI,70,299,108,178,0,0
SEA 36-2509,KI,120,403,140,260,0,0
SEA 36-2508,KI,141,427,151,293,0,1
SEA 46-2352,KI,87,338,90,181,0,4
SEA 46-1955,KI,156,558,131,289,0,2
SEA 11-1600,KI,136,550,119,257,0,2
SEA 46-2228,KI,117,486,112,234,0,5
SEA 46-2221,KI,140,513,156,298,0,2
SEA 43-1280,KI,175,669,160,337,0,2
SEA 43-1784,KI,154,500,151,308,0,3
SEA 36-3267,KI,132,548,84,219,0,3
SEA 37-1886,KI,159,523,132,293,0,2
SEA 37-1884,KI,179,643,204,385,0,2
SEA 37-1885,KI,118,398,103,223,0,2
SEA 37-1882,KI,111,395,80,193,0,2
SEA 37-1883,KI,95,423,107,204,0,2
SEA 37-1880,KI,138,514,135,276,0,3
SEA 37-1881,KI,87,396,101,188,0,0
SEA 43-1780,KI,115,350,92,208,0,1
SEA 43-1781,KI,100,326,63,164,0,1
SEA 46-2292,KI,149,505,139,288,0,0
SEA 36-1386,KI,97,315,115,213,0,1
SEA 36-1387,KI,149,462,138,289,0,2
SEA 36-1384,KI,120,309,105,228,0,3
SEA 36-1385,KI,66,243,107,175,0,2
SEA 36-1382,KI,113,374,120,233,0,0
SEA 36-1388,KI,103,337,117,220,0,0
SEA 36-1389,KI,78,259,84,163,0,1
SEA 43-1274,KI,104,302,110,216,0,2
SEA 43-2006,KI,74,298,95,169,0,0
SEA 43-2007,KI,80,256,84,164,0,0
SEA 43-2000,KI,158,550,136,294,0,0
SEA 43-2001,KI,227,648,203,433,0,3
SEA 43-2002,KI,197,587,194,391,0,0
SEA 46-2293,KI,135,441,156,292,0,1
SEA 46-1957,KI,182,553,171,354,0,1
SEA 37-2861,KI,110,391,132,243,0,1
SEA 43-2009,KI,186,487,141,329,0,2
SEA 37-1635,KI,113,524,84,199,0,2
SEA 37-1589,KI,108,290,108,217,0,1
SEA 37-1588,KI,79,244,80,159,0,0
SEA 46-1314,KI,89,330,121,210,0,0
SEA 37-1634,KI,95,473,93,191,0,3
SEA 37-1583,KI,229,700,150,382,0,3
SEA 37-1582,KI,172,715,117,291,0,2
SEA 37-1580,KI,99,333,58,160,0,3
SEA 37-1587,KI,96,311,99,195,0,0
SEA 37-1586,KI,122,373,125,251,0,4
SEA 36-3566,KI,166,579,140,307,0,1
SEA 36-1299,KI,104,425,151,260,0,5
SEA 43-1347,KI,210,726,223,435,0,2
SEA 43-1344,KI,142,452,150,292,0,0
SEA 37-1636,KI,148,586,66,217,0,3
SEA 43-1342,KI,124,366,112,237,0,1
SEA 43-1343,KI,97,355,117,215,0,1
SEA 43-1341,KI,179,499,172,351,0,0
SEA 46-2290,KI,87,289,108,195,0,0
SEA 46-2272,KI,109,367,137,247,0,1
SEA 43-1348,KI,160,555,155,317,0,2
SEA 37-1630,KI,77,309,91,169,0,1
SEA 46-1284,KI,74,278,66,140,0,0
SEA 46-1285,KI,88,303,94,182,0,0
SEA 43-1975,KI,35,439,27,63,0,1
SEA 37-1633,KI,83,329,80,163,0,0
SEA 46-1282,KI,182,656,216,399,0,1
SEA 43-1976,KI,53,242,41,94,0,0
SEA 37-1632,KI,85,292,86,173,0,2
SEA 43-3320,KI,134,515,106,241,0,1
SEA 36-1661,KI,96,277,97,193,0,0
SEA 43-2014,KI,124,352,136,260,0,0
SEA 36-1663,KI,92,275,111,205,0,2
SEA 36-1709,KI,85,359,67,154,0,2
SEA 36-1665,KI,162,515,192,356,0,2
SEA 36-1664,KI,106,326,111,218,0,1
SEA 46-1963,KI,67,278,85,152,0,0
SEA 36-1666,KI,199,572,160,360,0,1
SEA 36-1702,KI,163,606,208,372,0,1
SEA 36-1668,KI,132,443,109,244,0,3
SEA 36-1700,KI,120,383,87,208,0,1
SEA 36-1701,KI,121,331,107,231,0,3
SEA 46-1969,KI,76,278,93,169,0,0
SEA 11-1641,KI,116,539,67,183,0,0
SEA 36-1704,KI,135,640,113,251,0,3
SEA 46-2094,KI,92,283,86,178,0,0
SEA 46-2095,KI,83,279,103,187,0,1
SEA 36-3319,KI,189,867,176,365,0,0
SEA 36-3318,KI,207,680,219,428,0,2
SEA 46-2090,KI,148,494,114,262,0,0
SEA 46-2091,KI,138,451,126,265,0,1
SEA 46-2092,KI,114,311,111,225,0,0
SEA 46-2093,KI,151,462,165,317,0,1
SEA 34-1411,KI,103,307,94,197,0,0
SEA 46-2099,KI,144,437,146,293,0,3
SEA 43-2853,KI,101,440,104,206,1,0
SEA 43-2852,KI,113,501,111,226,0,2
SEA 36-1689,KI,158,484,155,313,0,0
SEA 36-1688,KI,87,273,92,179,0,0
SEA 43-2113,KI,82,393,56,140,0,2
SEA 36-1683,KI,96,305,109,205,0,0
SEA 36-1682,KI,97,309,91,190,0,2
SEA 34-1409,KI,117,422,152,270,0,1
SEA 34-1408,KI,255,708,225,481,0,1
SEA 36-1687,KI,164,644,143,309,0,2
SEA 36-1686,KI,194,768,156,352,0,2
SEA 36-1685,KI,113,418,106,220,0,1
SEA 36-1684,KI,91,338,82,173,0,0
SEA 43-1333,KI,104,340,125,229,0,0
SEA 43-1332,KI,113,385,152,267,0,2
SEA 43-1331,KI,116,366,108,224,0,0
SEA 37-1647,KI,185,669,159,349,0,5
SEA 43-1335,KI,190,637,184,377,0,3
SEA 43-1334,KI,124,446,135,262,0,3
SEA 36-1768,KI,99,331,102,201,0,0
SEA 43-1339,KI,86,298,100,187,0,1
SEA 43-1338,KI,147,449,154,302,0,1
SEA 43-1861,KI,205,750,226,432,0,1
SEA 46-2297,KI,83,283,84,169,0,2
SEA 46-2261,KI,85,256,90,175,0,0
SEA 36-2172,KI,102,319,109,214,0,3
SEA 37-1643,KI,143,682,84,228,0,1
SEA 34-1476,KI,80,273,90,170,0,0
SEA 34-1477,KI,90,307,110,200,0,0
SEA 34-1474,KI,99,402,127,227,0,1
SEA 34-1475,KI,78,311,95,176,0,3
SEA 34-1472,KI,89,239,82,171,0,0
SEA 34-1473,KI,101,319,79,180,0,0
SEA 34-1470,KI,188,677,159,352,0,5
SEA 34-1471,KI,162,492,141,305,0,2
SEA 43-3424,KI,111,407,107,219,0,1
SEA 36-2149,KI,119,367,140,261,0,2
SEA 36-2148,KI,105,359,124,229,0,0
SEA 34-1478,KI,80,253,82,163,0,1
SEA 34-1479,KI,108,313,89,200,0,3
SEA 34-1259,KI,111,328,92,205,0,2
SEA 43-2050,KI,129,442,92,222,0,1
SEA 37-1567,KI,91,332,65,156,0,0
SEA 37-1648,KI,181,695,144,327,0,2
SEA 37-3617,KI,120,553,112,235,0,3
SEA 46-2295,KI,147,481,162,310,0,1
SEA 34-1498,KI,175,668,153,330,0,2
SEA 34-1499,KI,130,483,156,289,0,3
SEA 34-1258,KI,127,341,96,225,0,2
SEA 46-2257,KI,239,799,269,509,0,1
SEA 34-1490,KI,124,437,109,235,0,2
SEA 34-1493,KI,182,722,136,320,0,2
SEA 34-1494,KI,141,536,121,265,0,3
SEA 34-1496,KI,201,826,185,389,0,3
SEA 34-1497,KI,188,728,144,336,0,4
SEA 46-2267,KI,130,518,111,241,0,0
SEA 37-1920,KI,184,574,155,339,0,0
SEA 46-2264,KI,253,768,231,487,0,3
SEA 37-1925,KI,73,319,78,153,0,2
SEA 37-1927,KI,105,409,110,216,0,1
SEA 46-2260,KI,262,722,247,511,0,2
SEA 46-2340,KI,176,680,202,381,0,3
SEA 11-1942,KI,135,526,133,271,0,3
SEA 11-1941,KI,95,431,125,224,0,4
SEA 37-1841,KI,191,813,199,396,0,6
SEA 11-1947,KI,110,453,93,204,0,1
SEA 46-2345,KI,90,294,106,196,0,0
SEA 11-1945,KI,183,703,156,341,0,2
SEA 46-2268,KI,97,330,108,205,0,0
SEA 43-1999,KI,135,439,134,270,0,1
SEA 43-1851,KI,203,694,210,413,0,0
SEA 43-1856,KI,175,579,144,322,0,3
SEA 37-1621,KI,84,342,67,151,0,0
SEA 43-1855,KI,141,619,191,337,0,5
SEA 43-1993,KI,81,238,64,147,0,2
SEA 43-1992,KI,171,652,238,410,0,1
SEA 43-1858,KI,99,335,99,203,0,5
SEA 43-1859,KI,130,553,155,286,0,1
SEA 43-1997,KI,103,295,90,194,0,1
SEA 43-1996,KI,95,298,97,193,0,1
SEA 43-1995,KI,81,244,81,163,0,1
SEA 43-1857,KI,122,528,127,251,0,2
SEA 46-2317,KI,128,433,138,269,0,3
SEA 43-3685,KI,85,258,72,158,0,1
SEA 46-2346,KI,101,364,91,193,0,1
SEA 43-2052,KI,75,445,67,143,0,1
SEA 46-2127,KI,160,494,117,278,0,1
SEA 43-1991,KI,251,839,233,487,0,3
SEA 43-1990,KI,129,458,131,260,0,0
SEA 43-2064,KI,66,370,79,148,0,3
SEA 46-2310,KI,151,386,125,277,0,1
SEA 46-2286,KI,148,437,129,279,0,2
SEA 36-3689,KI,79,398,86,166,0,1
SEA 43-1378,KI,100,308,118,219,0,1
SEA 46-2305,KI,117,364,135,253,0,1
SEA 36-3686,KI,142,501,109,254,0,3
SEA 46-2280,KI,186,645,205,396,0,5
SEA 43-2543,KI,83,313,68,153,0,2
SEA 46-2369,KI,153,419,107,262,0,2
SEA 46-2328,KI,66,299,80,147,0,1
SEA 43-2040,KI,101,476,112,214,0,1
SEA 46-2282,KI,226,653,200,429,0,3
SEA 46-2319,KI,152,506,170,323,0,1
SEA 46-2098,KI,143,436,142,285,0,0
SEA 46-2318,KI,96,277,90,188,0,2
SEA 36-1746,KI,115,313,88,203,0,0
SEA 36-1747,KI,97,296,98,195,0,0
SEA 36-1744,KI,101,393,127,228,0,0
SEA 46-2325,KI,153,405,87,242,0,2
SEA 36-1742,KI,104,296,81,185,0,0
SEA 36-1743,KI,99,391,107,206,0,0
SEA 36-1740,KI,92,323,114,208,0,2
SEA 36-1741,KI,95,325,112,207,0,0
SEA 43-2075,KI,77,458,86,163,0,0
SEA 43-2074,KI,140,564,173,316,0,3
SEA 43-2076,KI,72,403,64,137,0,1
SEA 43-2071,KI,133,371,127,260,0,0
SEA 36-2590,KI,116,364,95,213,0,2
SEA 36-1748,KI,82,261,86,169,0,1
SEA 36-1749,KI,188,681,179,370,0,3
SEA 46-2274,KI,75,256,92,167,0,0
SEA 46-2349,KI,110,382,110,220,0,0
SEA 43-2110,KI,96,452,88,186,0,2
SEA 34-1520,KI,92,314,97,190,0,1
SEA 34-1521,KI,92,266,88,181,0,1
SEA 34-1522,KI,93,261,75,171,0,3
SEA 34-1523,KI,95,296,97,193,0,1
SEA 34-1524,KI,102,291,96,199,0,1
SEA 34-1526,KI,74,248,80,156,0,2
SEA 34-1527,KI,199,684,150,351,0,2
SEA 43-1377,KI,111,330,95,207,0,1
SEA 34-1529,KI,63,266,69,132,0,0
SEA 43-1375,KI,102,327,117,222,0,3
SEA 43-1374,KI,87,295,118,205,0,0
SEA 32-3568,KI,244,849,136,383,1,2
SEA 43-1372,KI,89,335,134,224,0,1
SEA 43-1278,KI,158,588,145,308,0,5
SEA 43-1279,KI,187,684,218,406,0,1
SEA 43-2862,KI,202,736,155,360,0,3
SEA 36-2518,KI,114,425,130,246,1,1
SEA 43-1887,KI,196,648,167,365,0,2
SEA 36-2512,KI,154,505,174,331,0,3
SEA 36-2513,KI,142,434,157,301,0,2
SEA 36-2510,KI,132,352,89,221,0,0
SEA 36-2118,KI,123,383,125,250,0,2
SEA 36-2517,KI,178,613,200,382,0,4
SEA 36-2514,KI,90,298,103,193,0,0
SEA 36-2515,KI,109,361,122,233,0,2
SEA 37-1619,KI,126,449,128,256,0,2
SEA 37-1618,KI,95,389,92,188,0,1
SEA 37-1613,KI,100,292,100,200,0,0
SEA 37-1612,KI,95,288,96,191,0,0
SEA 37-1611,KI,93,289,97,191,0,1
SEA 37-1610,KI,97,331,107,206,0,2
SEA 37-1617,KI,93,323,103,201,0,5
SEA 37-1616,KI,96,351,110,207,0,1
SEA 37-1615,KI,110,343,93,205,0,2
SEA 37-1614,KI,67,260,88,155,0,0
SEA 36-1324,KI,220,779,256,477,0,1
SEA 36-1732,KI,141,449,136,278,0,1
SEA 36-1731,KI,110,404,120,230,0,0
SEA 36-1730,KI,94,385,128,222,0,0
SEA 36-1737,KI,104,416,87,193,0,2
SEA 36-1736,KI,98,341,110,209,0,1
SEA 36-1735,KI,76,252,84,160,0,0
SEA 36-1734,KI,149,497,136,286,0,1
SEA 46-2128,KI,122,542,122,247,0,3
SEA 36-1739,KI,104,309,102,207,0,1
SEA 36-1738,KI,96,295,93,190,0,1
SEA 11-1639,KI,108,551,83,193,0,2
SEA 36-1329,KI,111,410,141,254,0,2
SEA 43-3665,KI,109,379,73,184,0,2
SEA 36-1812,KI,118,469,133,251,0,0
SEA 36-1813,KI,77,330,97,174,0,0
SEA 11-1550,KI,129,563,92,222,0,1
SEA 46-2299,KI,118,393,109,229,0,2
SEA 11-1552,KI,80,379,83,166,0,3
SEA 36-1815,KI,175,453,98,273,0,0
SEA 43-2928,KI,148,639,188,339,0,3
SEA 37-1576,KI,131,435,54,186,0,1
SEA 37-1574,KI,101,417,76,179,0,2
SEA 37-1575,KI,71,377,53,124,0,0
SEA 37-1572,KI,93,307,83,180,0,4
SEA 36-3679,KI,66,314,71,137,0,0
SEA 37-1570,KI,158,659,145,304,0,1
SEA 37-1571,KI,140,432,106,250,0,4
SEA 34-1511,KI,85,320,84,172,0,3
SEA 37-1578,KI,87,413,82,172,0,3
SEA 37-1579,KI,54,247,50,108,0,4
SEA 46-2304,KI,116,369,117,233,0,0
SEA 36-2170,KI,136,450,149,285,0,0
SEA 46-2306,KI,97,307,97,195,0,1
SEA 46-2307,KI,113,313,102,215,0,0
SEA 46-2300,KI,156,490,170,327,0,1
SEA 43-1818,KI,96,295,99,196,0,1
SEA 34-1460,KI,95,324,113,209,0,1
SEA 43-1817,KI,73,264,61,134,0,0
SEA 46-2308,KI,106,377,123,230,0,1
SEA 34-1463,KI,87,259,90,178,0,1
SEA 34-1462,KI,90,339,109,199,0,0
SEA 34-1449,KI,90,367,122,213,0,1
SEA 34-1448,KI,94,270,84,181,0,3
SEA 34-1446,KI,105,398,130,237,0,2
SEA 34-1444,KI,191,595,169,365,0,5
SEA 34-1443,KI,134,380,132,266,0,0
SEA 34-1442,KI,105,380,100,207,0,2
SEA 34-1441,KI,73,264,81,156,0,2
SEA 34-1440,KI,63,242,86,149,0,0
SEA 43-2088,KI,183,694,177,361,0,1
SEA 43-2089,KI,32,341,33,65,0,0
SEA 43-2084,KI,222,668,219,445,0,4
SEA 43-1360,KI,216,622,162,379,0,1
SEA 46-1283,KI,120,391,83,204,0,1
SEA 43-2081,KI,25,385,10,35,0,0
SEA 43-1361,KI,112,417,125,238,0,1
SEA 34-1469,KI,91,362,91,182,0,0
SEA 43-2544,KI,291,887,243,537,0,3
SEA 43-2058,KI,67,247,83,150,0,0
SEA 46-2342,KI,100,406,85,187,0,2
SEA 43-2547,KI,105,461,99,204,0,0
SEA 43-2546,KI,87,324,85,176,0,4
SEA 36-2536,KI,153,567,174,329,0,2
SEA 43-1291,KI,285,684,202,487,0,0
SEA 46-2234,KI,84,274,96,182,0,2
SEA 46-2236,KI,109,350,108,218,0,1
SEA 46-2796,KI,109,456,115,229,0,5
SEA 37-1872,KI,177,581,175,359,0,7
SEA 37-1871,KI,184,629,201,389,0,4
SEA 43-1868,KI,118,353,114,233,0,1
SEA 37-1876,KI,197,766,246,444,0,1
SEA 37-1875,KI,167,525,119,288,0,2
