Row Label,County,Jon Tunheim
Olympia 14,TH,217
Mclane,TH,176
Tumwater 15,TH,253
Lawrence Lake,TH,273
Lacey 45,TH,113
Olympia 38,TH,62
Tilley,TH,264
Yelm 3,TH,244
Hunter Point,TH,150
Skokomish,TH,189
Schneiders Prairie,TH,196
Grand Mound,TH,100
Alpine,TH,379
Hays,TH,175
Luhr Beach,TH,242
Berry Valley,TH,183
Freedom,TH,304
Morris,TH,240
Lacey 07,TH,169
Lacey 04,TH,106
Lacey 05,TH,128
Lacey 02,TH,156
Lacey 03,TH,180
Deschutes,TH,252
Olympia 50,TH,181
Tumwater 28,TH,296
Tumwater 29,TH,0
Friendly Grove,TH,123
Olympia 51,TH,44
Fair Oaks,TH,170
Woodard Creek,TH,188
Pines,TH,179
Scott Lake North,TH,99
Mushroom Corner,TH,229
Tumwater 14,TH,108
Yelm 2,TH,211
Deerbrush,TH,260
Henness,TH,323
Lacey 09,TH,117
Kinwood,TH,198
Rainier 02,TH,125
Summit Lake,TH,180
Lacey 19,TH,141
Lacey 18,TH,235
Simmons 9,TH,5
Lacey 11,TH,216
Simmons 4,TH,11
Lacey 13,TH,115
Lacey 01,TH,93
Lacey 15,TH,196
Gull Harbor,TH,155
Simmons 3,TH,10
Simmons 2,TH,4
Spurgeon Creek,TH,95
Black River,TH,326
Forest,TH,322
Olympia 24,TH,203
Quince,TH,4
Meadows,TH,174
Pattison,TH,235
Olympia 54,TH,141
Olympia 55,TH,120
Olympia 56,TH,205
Olympia 57,TH,108
Tykle Cove,TH,224
Mcallister Creek,TH,198
Olympia 52,TH,125
Mcintosh,TH,380
Tenino 02,TH,149
Olympia 39,TH,207
Steamboat Island,TH,198
Olympia 20,TH,107
Lacey 08,TH,129
Lacey 41,TH,196
Delta,TH,0
Ames,TH,202
Jones Beach,TH,132
Pleasant Glade,TH,138
Lacey 35,TH,83
Evergreen Shores,TH,189
Hewitt Lake,TH,290
Tumwater 08,TH,252
Olympia 60,TH,144
Tumwater 06,TH,364
Tumwater 07,TH,173
Tumwater 04,TH,151
Beach Crest,TH,177
Tumwater 02,TH,227
Tumwater 03,TH,245
Roosevelt,TH,267
Tumwater 01,TH,166
University North,TH,84
Olympia 49,TH,240
Olympia 48,TH,261
Bush Prairie,TH,59
Olympia 43,TH,247
Olympia 42,TH,141
Olympia 41,TH,210
Olympia 40,TH,192
Olympia 47,TH,262
Olympia 46,TH,207
Olympia 45,TH,142
Olympia 44,TH,120
Holmes,TH,197
Cooper Point,TH,218
Ruth Prairie,TH,107
Hawks Ridge,TH,99
Weir Prairie,TH,207
Wilderness,TH,310
Lacey 32,TH,230
Camelot,TH,144
University South,TH,121
Lacey 24,TH,273
Gallagher Cove,TH,357
Lacey 17,TH,208
Total,TH,53433
College,TH,36
Bigelow,TH,204
Lacey 37,TH,69
Olympia 08,TH,205
Beaver Creek,TH,396
Oyster Bay,TH,255
Eaton Creek,TH,134
Lacey 28,TH,124
Olympia 25,TH,166
Four Corners,TH,331
South Bay,TH,250
Indian Summer,TH,258
Longmire,TH,147
Tumwater 24,TH,162
Olympia 59,TH,188
Clear Lake,TH,344
Airport,TH,17
Thompson,TH,149
Bucoda,TH,101
Glen Terra,TH,72
Frye Cove,TH,262
Cougar Mountain,TH,55
Mckinley,TH,73
Olympia 37,TH,142
Gibson Valley,TH,23
Olympia 35,TH,410
Black Lake,TH,289
Scheller,TH,95
Olympia 30,TH,189
Olympia 31,TH,174
Sunwood Lakes,TH,341
Lydia Hawk,TH,373
Lacey 23,TH,91
Olympia 32,TH,274
Michigan Hill,TH,109
Tumwater 09,TH,144
Yelm 4,TH,233
Lacey 48,TH,140
Zangle,TH,201
Fish Trap,TH,182
East Olympia,TH,210
Munn Lake,TH,135
Sunset Beach,TH,276
Olympia 27,TH,109
Lacey 43,TH,257
Lacey 40,TH,264
Fristoe,TH,154
Lacey 46,TH,477
Lacey 47,TH,365
Lacey 44,TH,95
Hicks,TH,39
Salmon Creek,TH,137
Lacey 49,TH,126
Wards,TH,108
South Union,TH,291
Boston Harbor,TH,291
Olympia 29,TH,240
Olympia 28,TH,226
Trails End,TH,408
Hartwood,TH,360
Waddell Creek,TH,187
Fleetwood,TH,305
Olympia 26,TH,190
Olympia 21,TH,310
Bald Hills,TH,70
Olympia 23,TH,244
Violet Prairie,TH,253
Lacey 20,TH,80
Hawk Acres,TH,145
Tumwater 27,TH,214
Lacey 21,TH,107
Lakeside,TH,119
Lacey 22,TH,148
Olympia 36,TH,85
Glenwood,TH,86
Chambers,TH,361
Nisqually,TH,189
