Row Label,County,Clint Didier,Dan Newhouse
WR 6,BE,210,204
320,BE,200,235
WR 5,BE,71,47
155,BE,194,206
W2 - P620,BE,94,106
White Bluffs,BE,252,167
200,BE,122,100
145,BE,141,257
205,BE,90,103
140,BE,85,150
275,BE,65,52
W3 - P535,BE,67,57
W2 - P630,BE,111,152
Expansion(*),BE,0,0
Goose Ridge,BE,52,26
W2 - P634,BE,151,243
Reese,BE,27,13
W2 - P636,BE,143,160
W2 - P637,BE,175,166
W2 - P638,BE,196,137
Wheat,BE,0,0
W1 - P691,BE,29,15
W1 - P690,BE,163,195
W3 - P530,BE,76,78
South,BE,102,134
Ida,BE,0,0
120,BE,115,190
Tumble Weed,BE,41,20
Sacagawea(*),BE,0,0
470,BE,77,142
260,BE,108,110
W3-P516,BE,5,9
Red Mountain,BE,172,101
Total,BE,24955,25788
Clements,BE,30,39
