Row Label,County,Reuven Carlyle,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Leslie Klein
SEA 36-1688,KI,123,273,20,179,0,1,35
SEA 36-2165,KI,139,240,15,170,0,0,16
SEA 36-2117,KI,190,336,20,223,0,0,13
SEA 36-1683,KI,150,305,20,205,0,1,34
SEA 36-1682,KI,131,309,19,190,0,0,40
SEA 36-2164,KI,193,310,10,215,0,0,12
SEA 36-1687,KI,234,644,27,309,0,1,47
SEA 36-1686,KI,269,768,26,352,0,0,57
SEA 36-1685,KI,175,418,17,220,0,0,28
SEA 36-1684,KI,137,338,9,173,0,0,27
SEA 36-2520,KI,240,573,32,298,0,0,26
SEA 36-1288,KI,226,391,12,265,0,1,26
SEA 36-1287,KI,411,733,30,481,0,0,40
SEA 36-1286,KI,219,439,16,254,0,0,19
SEA 36-2526,KI,240,444,21,301,0,1,39
SEA 36-1676,KI,113,261,12,167,0,0,42
SEA 36-1677,KI,143,336,27,219,0,0,49
SEA 36-3153,KI,154,390,17,187,0,0,16
SEA 36-1675,KI,130,309,12,209,0,1,66
SEA 36-1672,KI,127,252,16,164,0,1,20
SEA 36-1673,KI,390,806,54,530,0,3,83
SEA 36-1670,KI,250,492,23,331,0,0,58
SEA 36-3252,KI,149,477,20,211,0,0,42
SEA 36-1775,KI,245,711,29,327,0,0,53
SEA 36-1774,KI,253,494,28,347,0,0,66
SEA 36-1773,KI,221,644,25,285,0,0,39
SEA 36-1772,KI,199,534,30,284,0,2,53
SEA 36-1771,KI,197,487,17,248,0,0,34
SEA 36-1679,KI,199,413,26,272,0,1,46
SEA 36-2147,KI,287,489,26,338,0,1,24
SEA 36-2146,KI,156,338,22,199,0,1,20
SEA 36-2149,KI,218,367,18,261,0,1,24
SEA 36-2148,KI,193,359,18,229,0,0,18
SEA 36-1698,KI,124,278,15,167,0,0,28
SEA 36-1699,KI,122,295,12,160,0,0,26
SEA 36-2528,KI,286,576,29,400,0,0,85
SEA 36-1690,KI,123,342,15,178,1,3,36
SEA 36-1691,KI,119,274,15,156,0,1,21
SEA 36-1692,KI,181,363,26,256,0,1,48
SEA 36-1693,KI,136,308,15,189,0,0,38
SEA 36-1695,KI,218,475,40,320,0,0,62
SEA 36-1696,KI,187,433,24,286,0,1,74
SEA 36-1697,KI,142,312,16,186,0,0,28
SEA 36-1298,KI,213,337,12,246,0,0,21
SEA 36-1299,KI,224,425,14,260,0,0,22
SEA 36-2795,KI,168,479,19,209,0,2,20
SEA 36-1294,KI,384,735,37,449,0,3,25
SEA 36-1295,KI,191,337,15,219,0,1,12
SEA 36-1296,KI,172,303,11,194,0,0,11
SEA 36-1297,KI,158,298,12,183,0,2,11
SEA 36-1292,KI,182,356,20,220,0,0,18
SEA 36-2523,KI,239,496,32,333,0,0,62
SEA 36-2522,KI,167,356,18,230,0,0,45
SEA 36-2511,KI,231,430,28,311,0,2,50
SEA 36-1768,KI,170,331,12,201,0,2,17
SEA 36-1769,KI,119,234,16,151,0,0,16
SEA 36-2524,KI,122,216,19,152,0,0,11
SEA 36-1764,KI,167,264,9,185,0,1,8
SEA 36-1765,KI,147,274,10,178,0,0,21
SEA 36-1766,KI,176,401,17,216,0,0,23
SEA 36-1767,KI,182,551,21,242,0,0,39
SEA 36-1760,KI,162,300,9,195,0,0,24
SEA 36-1761,KI,150,309,23,193,0,0,20
SEA 36-1762,KI,164,306,13,207,0,0,30
SEA 36-1763,KI,170,312,10,196,0,0,16
SEA 36-2162,KI,218,373,20,259,0,0,21
SEA 36-3267,KI,169,548,19,219,0,1,30
SEA 36-2502,KI,251,378,16,284,0,0,17
SEA 36-2508,KI,230,427,20,293,0,2,41
SEA 36-2533,KI,213,431,25,267,0,0,29
SEA 36-1751,KI,187,368,10,212,0,1,14
SEA 36-1750,KI,243,493,24,296,0,0,29
SEA 36-2532,KI,204,416,28,273,0,2,39
SEA 36-1752,KI,200,437,15,244,0,1,28
SEA 36-1755,KI,131,272,18,158,0,0,9
SEA 36-1754,KI,194,387,21,252,0,0,37
SEA 36-1757,KI,139,262,10,166,0,0,17
SEA 36-1756,KI,317,682,21,393,0,0,55
SEA 36-1759,KI,135,274,16,169,0,2,16
SEA 36-1758,KI,192,351,21,246,0,0,33
SEA 36-2125,KI,289,620,22,357,0,2,44
SEA 36-2121,KI,171,443,21,216,0,1,23
SEA 36-2120,KI,234,413,18,273,0,2,19
SEA 36-3689,KI,134,398,18,166,0,0,14
SEA 36-2592,KI,174,352,15,205,0,1,15
SEA 36-3686,KI,184,501,21,254,0,1,48
SEA 36-2593,KI,140,289,17,174,0,0,17
SEA 36-2535,KI,225,566,28,291,0,0,38
SEA 36-1770,KI,137,234,6,159,0,0,16
SEA 36-1746,KI,171,313,7,203,0,0,25
SEA 36-1747,KI,160,296,15,195,0,0,20
SEA 36-1744,KI,195,393,10,228,0,0,23
SEA 36-2506,KI,177,311,9,202,0,0,16
SEA 36-1742,KI,145,296,14,185,0,0,26
SEA 36-1743,KI,171,391,20,206,0,0,15
SEA 36-1740,KI,170,323,16,208,0,0,22
SEA 36-1732,KI,219,449,20,278,0,0,39
SEA 36-2134,KI,215,490,26,266,0,0,25
SEA 36-2130,KI,203,388,14,243,0,1,25
SEA 36-1731,KI,187,404,18,230,0,3,22
SEA 36-1748,KI,144,261,13,169,0,0,12
SEA 36-1749,KI,309,681,22,370,0,2,37
SEA 36-2590,KI,184,364,12,213,0,0,17
SEA 36-2749,KI,105,336,7,130,0,0,18
SEA 36-2536,KI,242,567,32,329,0,0,55
SEA 36-2743,KI,239,501,27,332,0,0,66
SEA 36-1737,KI,149,416,21,193,0,0,23
SEA 36-1736,KI,163,341,20,209,0,1,25
SEA 36-2505,KI,177,324,13,228,0,2,36
SEA 36-1735,KI,132,252,15,160,0,0,13
SEA 36-2504,KI,190,303,7,213,0,0,16
SEA 36-1805,KI,185,473,24,239,0,0,30
SEA 36-1323,KI,217,401,16,243,0,0,10
SEA 36-1801,KI,303,896,29,391,0,1,58
SEA 36-2507,KI,146,283,13,180,0,1,20
SEA 36-1803,KI,144,298,13,178,0,0,21
SEA 36-3586,KI,350,801,25,407,0,0,32
SEA 36-3587,KI,211,590,21,273,0,0,41
SEA 36-2518,KI,194,425,24,246,0,2,26
SEA 36-1709,KI,120,359,15,154,0,0,19
SEA 36-3669,KI,120,349,13,157,0,2,22
SEA 36-1734,KI,227,497,30,286,0,0,29
SEA 36-2512,KI,271,505,18,331,0,1,41
SEA 36-2513,KI,245,434,27,301,0,1,28
SEA 36-2510,KI,179,352,15,221,0,1,26
SEA 36-2118,KI,215,383,8,250,0,1,26
SEA 36-2517,KI,288,613,34,382,0,2,58
SEA 36-2514,KI,147,298,12,193,0,0,34
SEA 36-2515,KI,181,361,20,233,0,0,32
SEA 36-2503,KI,156,305,10,196,0,0,30
SEA 36-2527,KI,143,294,13,195,0,0,39
SEA 36-1741,KI,166,325,17,207,0,0,24
SEA 36-3345,KI,199,517,23,260,1,0,37
SEA 36-1324,KI,406,779,39,477,0,2,30
SEA 36-1325,KI,194,465,27,246,0,2,23
SEA 36-1326,KI,359,693,30,436,0,1,46
SEA 36-1730,KI,183,385,15,222,0,0,24
SEA 36-1320,KI,195,362,17,234,0,0,22
SEA 36-1321,KI,219,416,16,258,0,1,22
SEA 36-1322,KI,254,479,14,286,0,1,17
SEA 36-1668,KI,179,443,14,244,0,1,50
SEA 36-2750,KI,152,458,16,198,0,1,29
SEA 36-1739,KI,166,309,9,207,0,3,29
SEA 36-1738,KI,167,295,14,190,0,0,9
SEA 36-1328,KI,322,756,33,390,0,1,34
SEA 36-1329,KI,200,410,28,254,0,0,26
