Row Label,County,Maintained,Registered Voters,Repealed,Times Blank Voted,Times Counted,Times Over Voted
RNT 11-2815,KI,94,677,85,36,215,0
KIR 45-2679,KI,209,614,126,44,379,0
AUB 47-0055,KI,85,391,57,14,156,0
SEA 11-1928,KI,92,298,43,10,145,0
SEA 43-2850,KI,126,359,25,31,182,0
SHL 32-0527,KI,140,626,96,38,274,0
KIR 45-2471,KI,254,720,155,44,453,0
KEN 47-0498,KI,33,231,49,12,94,0
SHL 32-0335,KI,111,414,61,23,195,0
PTARMIGAN,KI,88,344,84,23,195,0
SPRING LAKE,KI,202,745,159,70,431,0
SEA 36-2170,KI,193,450,50,42,285,0
SEA 36-2171,KI,204,491,75,50,329,0
SEA 36-2172,KI,151,319,34,29,214,0
AUB 31-0078,KI,82,404,80,31,193,0
ALDARRA,KI,227,711,149,58,434,0
SEA 46-2338,KI,157,543,71,32,260,0
BIG BEND,KI,67,216,37,20,124,0
AUB 31-0070,KI,126,655,124,17,267,0
KIR 45-2786,KI,142,351,61,33,236,0
SEA 46-2290,KI,129,289,39,27,195,0
WOD 45-3530,KI,186,692,127,51,364,0
SEA 46-2291,KI,136,387,38,30,204,0
BEL 48-2778,KI,99,243,33,16,148,0
BETTY,KI,107,775,133,23,263,0
BEL 48-2773,KI,85,287,44,13,142,0
BEL 48-2772,KI,119,345,50,36,205,0
SEA 46-2295,KI,216,481,51,43,310,0
BEL 48-2777,KI,45,229,39,5,89,0
BEL 48-2776,KI,136,495,105,33,274,0
BEL 48-2775,KI,146,478,84,34,264,0
BEL 48-2774,KI,93,434,68,25,186,0
SEA 36-3153,KI,106,390,53,28,187,0
MERLIN,KI,71,411,82,17,170,0
SEA 37-1918,KI,142,347,41,29,212,0
SEA 37-1919,KI,136,378,48,23,207,0
SEA 37-1914,KI,259,523,53,52,364,0
RNT 11-3563,KI,154,625,80,43,277,0
SEA 37-1916,KI,195,357,31,35,261,0
SEA 37-1917,KI,217,454,58,36,311,0
SEA 37-1910,KI,226,513,61,42,329,0
SEA 37-1911,KI,134,284,31,26,191,0
RNT 11-3564,KI,126,491,79,41,246,0
SEA 37-1913,KI,161,338,44,34,239,0
BUR 34-0033,KI,138,682,140,31,309,0
M-I 41-0755,KI,101,265,45,26,172,0
LAKE MORTON,KI,76,232,58,17,151,0
ISS 05-3634,KI,106,422,58,26,190,0
RNT 11-2583,KI,189,838,124,55,368,0
RNT 11-2582,KI,116,795,128,26,270,0
HOLLYWOOD,KI,208,538,88,63,359,0
SEA 43-1339,KI,131,298,27,29,187,0
M-V 05-3510,KI,109,381,87,17,213,0
BEL 41-3593,KI,87,534,68,27,182,0
SEA 43-1338,KI,231,449,32,39,302,0
SEA 34-3632,KI,52,271,34,13,99,0
KEN 11-0893,KI,107,580,82,20,209,0
BEL 41-3608,KI,209,714,90,50,349,0
SAM 41-2690,KI,145,526,70,56,271,0
RNT 11-0988,KI,77,437,79,16,172,0
RNT 11-0985,KI,78,325,68,21,167,0
RNT 11-0984,KI,68,279,53,19,140,0
RNT 11-0986,KI,194,719,110,45,349,0
RNT 11-0981,KI,189,794,164,46,399,0
RNT 11-0980,KI,45,333,38,7,90,0
AUB 47-2573,KI,177,679,161,53,391,0
KEN 33-0578,KI,82,501,97,28,207,0
KEN 33-0576,KI,80,394,72,13,165,0
KEN 33-0577,KI,76,371,66,28,170,0
KEN 33-0575,KI,56,413,86,11,153,0
BERRYDALE,KI,108,505,139,30,277,0
LOUIE,KI,118,512,95,23,236,0
M-V 05-3600,KI,156,616,65,49,270,0
M-V 05-3601,KI,126,496,82,31,239,0
BEL 41-0733,KI,161,718,102,52,315,0
GOLDFINCH,KI,99,281,39,27,165,0
ENM 31-0409,KI,87,379,83,26,196,0
LAKE RETREAT,KI,144,654,164,39,347,0
CLOVER,KI,127,594,135,37,299,0
SEA 37-1898,KI,122,285,19,17,158,0
RNT 11-1125,KI,116,661,129,23,268,0
HERON,KI,117,424,90,15,222,0
COV 47-3597,KI,79,293,51,20,150,0
RNT 33-2472,KI,136,587,93,23,252,0
CHINOOK,KI,185,671,138,34,357,0
SEA 34-1476,KI,97,273,46,27,170,0
AUB 31-3299,KI,80,248,59,16,155,0
SEA 34-1474,KI,151,402,45,31,227,0
BROKEN HILL,KI,127,639,112,29,268,0
SEA 11-1600,KI,146,550,70,41,257,0
SEA 43-1787,KI,172,564,69,36,277,0
SEA 11-1602,KI,201,598,61,26,288,0
SEA 34-1475,KI,106,311,38,32,176,0
SEA 34-1543,KI,146,327,50,22,218,0
SEA 34-1540,KI,100,333,47,29,176,0
SEA 34-1541,KI,134,380,63,38,235,0
SEA 34-1472,KI,102,239,43,26,171,0
SALISH,KI,258,674,109,51,418,0
SEA 43-1788,KI,370,807,127,82,580,1
SEA 34-1473,KI,114,319,42,24,180,0
ALG 30-0014,KI,88,486,122,19,229,0
KIR 01-0019,KI,226,752,149,58,433,0
SEA 37-3666,KI,73,422,40,15,128,0
SEA 34-1470,KI,186,677,107,59,352,0
ALG 30-0013,KI,63,467,76,14,153,0
CALHOUN,KI,86,574,133,17,236,0
RED 48-3475,KI,94,356,82,34,210,0
COLVOS,KI,103,250,28,22,153,0
RNT 11-0502,KI,143,703,150,53,346,0
LFP 46-1075,KI,128,366,63,26,217,0
SEA 32-2206,KI,163,412,63,40,266,0
SEA 46-2316,KI,143,411,56,40,239,0
SEA 32-2204,KI,135,339,59,36,230,0
SEA 46-2314,KI,159,337,34,24,217,0
SEA 32-2202,KI,140,436,65,45,250,0
COV 47-3581,KI,94,385,73,13,180,0
SEA 32-2200,KI,192,385,47,24,263,0
SEA 32-2201,KI,226,463,57,32,315,0
BEL 48-0207,KI,121,327,42,22,186,1
BEL 48-0201,KI,177,512,76,40,293,0
SEA 32-2208,KI,141,350,48,35,224,0
SEA 32-2209,KI,265,599,72,65,402,0
SEA 34-1438,KI,117,328,64,28,209,0
SEA 34-1439,KI,120,369,69,31,220,0
SEA 34-1432,KI,130,331,52,36,218,0
SEA 34-1433,KI,140,319,39,29,208,0
KEN 47-3323,KI,106,459,99,13,218,0
SEA 34-1431,KI,128,308,52,23,203,0
SEA 34-1436,KI,93,362,46,17,156,0
SEA 34-1437,KI,132,498,72,50,254,0
SEA 34-1434,KI,113,271,45,25,183,0
SEA 34-1435,KI,110,299,40,28,178,0
KEN 47-2403,KI,69,466,87,15,171,0
SAM 41-3638,KI,212,717,97,37,346,0
SAM 45-2564,KI,256,749,97,65,418,0
FAIRMONT,KI,110,394,68,38,216,0
CHALLENGER,KI,110,293,49,26,185,0
BEL 48-0149,KI,139,416,69,26,234,0
BEL 48-0142,KI,84,299,56,19,159,0
BEL 48-0143,KI,73,291,58,21,152,0
BEL 48-0140,KI,141,425,60,33,234,0
BEL 48-0146,KI,80,298,62,31,173,0
BEL 48-0147,KI,111,444,65,31,207,0
BEL 48-0144,KI,93,320,47,29,169,0
BEL 48-0145,KI,93,274,28,16,137,0
SEA 46-2228,KI,135,486,64,35,234,0
SEA 46-2221,KI,168,513,84,46,298,0
DES 30-1227,KI,191,635,136,51,378,0
SHL 32-2753,KI,86,465,67,31,184,0
DANIEL,KI,163,574,121,39,323,0
ISS 05-2806,KI,156,399,53,34,243,0
SAM 45-3412,KI,227,738,128,51,406,0
JAY,KI,133,492,114,33,280,0
SHL 32-1210,KI,163,535,84,37,284,0
SEA 37-1944,KI,206,754,76,44,326,0
SEA 36-1386,KI,140,315,44,29,213,0
SEA 36-1387,KI,191,462,60,38,289,0
SEA 36-1384,KI,163,309,45,20,228,0
SEA 36-1385,KI,99,243,44,32,175,0
AUB 31-0082,KI,78,403,96,29,203,0
AUB 31-0083,KI,101,487,100,28,229,0
AUB 31-0080,KI,200,830,173,41,414,0
AUB 31-0081,KI,73,457,97,29,199,0
SEA 36-1388,KI,145,337,36,39,220,0
SEA 36-1389,KI,120,259,29,14,163,0
TUK 11-3393,KI,42,347,68,9,119,0
HONEY,KI,23,102,31,3,57,0
KEN 33-3332,KI,228,863,180,29,437,0
KEN 47-0798,KI,164,742,165,65,394,0
SET 33-3069,KI,95,353,53,21,169,0
SET 33-3068,KI,112,464,90,25,228,1
SKY 39-1091,KI,29,130,36,9,74,0
SET 33-3066,KI,89,491,71,19,179,0
KEN 33-3445,KI,93,375,78,17,188,0
SET 33-3064,KI,81,468,63,23,167,0
SET 33-3063,KI,75,330,83,15,173,0
SET 33-3062,KI,75,316,65,15,155,0
SET 33-3061,KI,91,340,50,25,166,0
SEA 37-1630,KI,108,309,32,29,169,0
KEN 33-2426,KI,151,550,122,25,298,0
SEA 43-1976,KI,45,242,35,14,94,0
SHL 32-1106,KI,184,585,77,38,299,0
BEL 41-2554,KI,210,645,74,59,343,0
SEA 43-3320,KI,146,515,64,31,241,0
SHL 32-1101,KI,95,301,36,26,157,0
SEA 37-1622,KI,103,578,91,32,226,0
BUR 33-0805,KI,121,591,122,27,270,0
SEA 36-1709,KI,99,359,35,20,154,0
COOPER,KI,148,473,98,32,278,0
SEA 36-1702,KI,244,606,67,61,372,0
SEA 36-1703,KI,193,530,103,44,340,0
SEA 36-1700,KI,127,383,57,24,208,0
DOLPHIN,KI,109,275,58,16,183,0
SEA 36-1704,KI,162,640,54,35,251,0
SEA 46-2094,KI,128,283,30,20,178,0
SEA 46-2095,KI,136,279,22,29,187,0
SEA 46-2096,KI,118,230,19,25,162,0
SEA 46-2097,KI,180,400,34,43,257,0
SEA 46-2090,KI,172,494,55,35,262,0
SEA 46-2091,KI,187,451,39,39,265,0
SEA 46-2092,KI,168,311,30,27,225,0
SEA 36-2750,KI,117,458,49,32,198,0
SEA 34-1497,KI,189,728,103,44,336,0
SEA 46-2098,KI,178,436,50,57,285,0
DOLLOFF,KI,111,412,83,29,223,0
LOIS,KI,114,566,102,21,237,0
SHL 32-0538,KI,120,425,71,28,219,0
SEA 46-2263,KI,250,599,66,80,396,0
BEL 48-3166,KI,144,561,77,56,278,1
SHL 32-0530,KI,97,282,53,29,179,0
BEL 48-3498,KI,96,239,39,18,153,0
AUB 31-0069,KI,77,314,62,20,159,0
SEA 36-2147,KI,236,489,59,43,338,0
SEA 36-2146,KI,130,338,33,36,199,0
AUB 31-0062,KI,163,660,133,36,332,0
AUB 31-0063,KI,49,279,68,13,130,0
AUB 31-0064,KI,50,408,67,7,125,1
AUB 31-0065,KI,51,288,63,11,125,0
COV 47-3244,KI,90,466,96,18,204,0
SEA 46-2345,KI,135,294,38,23,196,0
ALDERWOOD,KI,168,440,72,44,284,0
RED 45-2643,KI,140,433,73,41,254,0
BEL 41-3291,KI,102,292,26,31,159,0
SEA 37-1920,KI,225,574,73,41,339,0
SEA 37-1925,KI,87,319,44,22,153,0
SEA 37-1927,KI,135,409,51,30,216,0
RNT 11-2816,KI,151,578,99,47,297,0
SEA 43-1999,KI,175,439,54,41,270,0
SEA 43-1993,KI,105,238,20,22,147,0
SEA 43-1992,KI,269,652,91,50,410,0
SEA 43-1991,KI,303,839,110,74,487,0
SEA 43-1990,KI,172,458,50,38,260,0
SEA 43-1997,KI,134,295,31,29,194,0
SEA 43-1996,KI,128,298,35,30,193,0
SEA 43-1995,KI,123,244,22,18,163,0
SEA 43-1994,KI,135,295,34,28,197,0
RNT 11-3224,KI,109,457,76,29,214,0
BUR 34-0025,KI,158,734,148,46,352,0
RNT 11-3223,KI,49,294,53,12,114,0
RNT 11-3222,KI,128,581,124,43,295,0
MARCEL,KI,94,371,88,25,207,0
RNT 11-2607,KI,89,631,81,26,196,0
SAM 45-3388,KI,212,698,111,66,389,0
SAM 45-3389,KI,275,762,135,50,460,0
SEA 43-3685,KI,105,258,28,25,158,0
DES 33-1078,KI,64,354,68,18,150,0
SAM 45-3386,KI,223,784,106,69,398,0
SAM 45-3387,KI,114,402,94,36,244,0
LAKERIDGE,KI,216,751,147,48,411,0
BEL 41-3583,KI,243,675,91,52,386,0
BEL 41-0129,KI,83,316,51,14,148,0
BEL 41-0128,KI,183,494,73,39,295,0
MCDONALD,KI,113,525,126,46,285,0
BEL 41-0124,KI,178,505,86,44,308,0
BEL 41-0123,KI,176,748,105,42,323,0
BEL 41-0122,KI,128,391,54,31,213,0
BEL 41-0121,KI,135,501,74,22,231,0
BEL 41-0120,KI,97,248,32,28,157,0
SNQ 05-3151,KI,135,627,129,33,297,0
RNT 11-3359,KI,89,487,81,18,188,0
RNT 11-0992,KI,49,295,68,10,127,0
RNT 11-0990,KI,88,448,91,20,199,0
RNT 11-0996,KI,108,562,108,41,257,0
RNT 11-0997,KI,147,875,127,54,328,0
RNT 11-3643,KI,74,363,78,28,180,0
RNT 11-0998,KI,88,363,64,19,171,0
WAXWING,KI,84,295,66,28,178,0
KEN 33-0583,KI,88,371,85,30,203,0
KEN 33-0582,KI,186,843,121,52,359,0
KEN 33-0581,KI,123,684,149,38,311,1
KEN 33-0587,KI,104,470,83,22,209,0
KEN 33-0586,KI,132,437,93,31,256,0
KEN 33-0585,KI,94,569,111,19,224,0
KEN 33-0588,KI,76,317,61,20,157,0
HUCKLEBERRY,KI,116,420,92,19,227,0
SEA 43-3595,KI,189,535,73,60,322,0
MINK ROAD,KI,136,424,99,25,260,0
RED 45-3282,KI,240,707,140,45,425,0
RED 45-3281,KI,187,633,83,42,312,0
LFP 46-0397,KI,115,397,67,22,204,0
BUR 33-0251,KI,84,386,65,25,174,0
SHL 32-0844,KI,181,431,59,36,276,0
SEA 43-1379,KI,133,263,19,35,187,0
SEA 43-1378,KI,160,308,31,28,219,0
SEA 43-1377,KI,146,330,31,30,207,0
SEA 43-1376,KI,229,541,38,45,312,0
SEA 43-1375,KI,166,327,31,25,222,0
SEA 43-1374,KI,146,295,22,37,205,0
SEA 43-1373,KI,184,335,25,34,243,0
SEA 43-1372,KI,166,335,36,22,224,0
SEA 43-1371,KI,114,288,26,26,166,0
SEA 43-1370,KI,180,332,36,21,237,0
LFP 46-0400,KI,193,519,71,51,315,0
ISS 05-3464,KI,215,829,105,56,376,0
HUTCHINSON,KI,220,678,156,51,427,0
BEL 41-1052,KI,148,462,70,39,257,0
SAWYER,KI,181,594,127,74,382,0
SAM 41-3607,KI,149,498,79,31,259,0
SEA 11-1639,KI,99,551,66,28,193,0
SEA 43-3665,KI,105,379,51,28,184,0
KEN 47-2939,KI,61,314,53,7,121,0
NOVELTY,KI,168,605,128,39,336,1
BUR 34-1047,KI,153,744,147,55,355,0
BEL 41-2970,KI,218,714,109,57,384,0
SEA 43-1368,KI,133,292,23,28,184,0
MAY VALLEY,KI,118,492,95,33,246,0
BEL 48-0212,KI,151,620,120,32,303,0
BEL 48-0213,KI,89,395,72,13,175,1
SEA 46-2306,KI,139,307,31,25,195,0
SEA 46-2127,KI,183,494,53,42,278,0
BEL 48-0216,KI,69,256,60,11,140,0
BEL 48-0217,KI,101,404,66,17,184,0
BEL 48-0214,KI,69,274,47,14,130,0
SEA 46-2303,KI,188,422,47,49,284,0
BEL 48-0218,KI,197,546,92,49,338,0
SEA 46-2308,KI,158,377,43,29,230,0
SEA 46-2309,KI,106,300,46,32,184,0
GRASS LAKE,KI,144,374,71,20,235,0
SEA 34-1449,KI,132,367,51,30,213,0
RNT 11-0456,KI,154,635,95,42,291,0
SEA 34-1446,KI,146,398,47,44,237,0
SEA 34-1444,KI,215,595,91,59,365,0
SEA 34-1443,KI,174,380,65,27,266,0
SEA 11-1256,KI,130,627,92,20,242,0
SEA 34-1441,KI,108,264,32,16,156,0
SEA 34-1440,KI,94,242,35,20,149,0
SEA 43-1367,KI,175,375,44,34,253,0
SEA 43-2088,KI,201,694,87,73,361,0
SEA 43-2089,KI,42,341,10,13,65,0
SHADOW LAKE,KI,146,610,147,41,334,0
SEA 43-2084,KI,343,668,48,54,445,0
SEA 43-2081,KI,15,385,16,4,35,0
SEA 43-1361,KI,179,417,28,31,238,0
KEN 47-2599,KI,170,748,133,42,345,0
BEL 48-0138,KI,106,393,60,13,179,0
BEL 48-0136,KI,61,274,40,12,113,0
BEL 48-0135,KI,69,256,43,15,127,0
BEL 48-0134,KI,84,324,46,13,143,0
BEL 48-0133,KI,72,307,40,31,143,0
BEL 48-0132,KI,73,249,39,22,134,0
AUB 31-3405,KI,171,662,104,47,322,0
SEA 46-2231,KI,241,619,69,56,366,0
SEA 46-2234,KI,113,274,44,25,182,0
SEA 46-2236,KI,132,350,49,37,218,0
SEA 46-2796,KI,117,456,74,38,229,0
SQUAK MOUNTAIN,KI,56,188,46,13,115,0
DES 33-3131,KI,47,266,63,9,119,0
SNQ 05-3558,KI,129,487,69,38,236,0
SEA 46-2153,KI,129,492,64,38,231,0
SEA 46-2152,KI,109,378,55,28,192,0
LAKELAND,KI,115,527,112,21,248,0
AUB 47-0328,KI,221,684,142,34,397,0
KEN 47-1034,KI,171,745,138,47,356,0
FAIRGLEN,KI,131,442,100,27,258,0
GENEVA,KI,106,408,92,20,218,0
KEN 11-3403,KI,130,549,101,33,264,0
SET 33-3075,KI,41,289,63,12,116,0
SET 33-3076,KI,150,623,123,37,310,0
SET 33-3070,KI,89,340,65,19,173,0
AUB 30-0046,KI,69,351,85,15,169,0
SEA 36-1288,KI,184,391,44,37,265,0
SEA 36-1287,KI,341,733,82,58,481,0
SEA 36-1286,KI,177,439,33,44,254,0
ENM 31-0411,KI,182,765,190,38,410,0
SHL 32-0444,KI,163,438,61,36,260,0
SEA 37-1652,KI,92,287,43,22,157,0
SEA 37-1651,KI,132,736,95,29,256,0
SEA 37-1650,KI,106,260,32,37,175,0
SEA 36-1775,KI,204,711,78,45,327,0
SEA 36-1774,KI,228,494,66,53,347,0
BUR 33-0818,KI,141,753,138,40,319,0
SEA 36-1772,KI,180,534,62,42,284,0
SEA 36-1771,KI,151,487,66,31,248,0
SEA 36-1770,KI,121,234,15,23,159,0
SERENIDAD,KI,148,746,137,32,317,0
ISS 41-3533,KI,140,507,77,37,254,0
AUB 47-0072,KI,150,525,104,35,289,0
AUB 47-0073,KI,110,687,104,30,244,0
AUB 47-0074,KI,140,569,132,22,294,0
GROUSEMONT,KI,266,593,90,40,396,0
REGAL,KI,156,788,128,37,321,0
RED 45-2410,KI,319,822,119,95,533,0
SAM 45-2620,KI,174,491,95,36,305,0
KMR 46-2444,KI,129,418,73,35,237,0
SEA 43-3262,KI,119,306,40,18,177,0
M-I 41-2808,KI,127,263,32,29,188,0
M-I 41-2809,KI,90,240,31,31,152,0
RED 45-2659,KI,43,154,34,12,89,0
AUB 31-0054,KI,100,527,94,20,214,0
AUB 31-0051,KI,82,530,77,7,166,0
AUB 31-0050,KI,80,421,89,19,188,0
M-I 41-0790,KI,75,246,47,25,147,0
KRAIN,KI,178,565,164,30,372,0
SEA 43-1783,KI,172,455,46,25,243,0
SEA 43-3570,KI,248,1056,120,61,429,0
SEA 46-2300,KI,207,490,65,55,327,0
SEA 36-3605,KI,144,535,78,27,249,0
SEA 37-1937,KI,144,293,31,37,212,0
SEA 11-3491,KI,0,0,0,0,0,0
SEA 37-1935,KI,133,291,35,36,204,0
SEA 37-1932,KI,132,416,45,41,218,0
SEA 37-1930,KI,258,738,88,45,391,0
SEA 37-1938,KI,180,394,40,27,247,0
KIR 45-0925,KI,85,312,61,21,167,0
SEA 37-1915,KI,184,384,40,36,260,0
SEA 43-1982,KI,192,501,42,32,266,0
SEA 43-1983,KI,218,497,48,47,313,0
TUK 11-3614,KI,12,56,8,8,28,0
SEA 43-1986,KI,101,278,31,31,163,0
LFP 46-0092,KI,187,646,107,47,341,0
MATTHEW,KI,147,461,60,36,243,0
SEA 43-3692,KI,0,0,0,0,0,0
SEA 43-3690,KI,12,38,4,1,17,0
ASPEN GLEN,KI,125,396,81,26,232,0
BUR 33-0009,KI,53,277,51,15,119,0
BEL 41-0131,KI,82,417,69,27,178,0
SEA 43-1863,KI,182,475,37,36,255,0
BEL 41-3621,KI,179,525,75,37,291,0
BUR 33-1067,KI,192,866,174,61,427,0
BEL 41-3330,KI,82,309,46,18,146,0
TUK 11-2752,KI,126,490,89,34,249,0
BAKER,KI,201,599,95,51,347,0
SNQ 05-3513,KI,254,896,146,63,463,0
TUK 11-2751,KI,69,273,59,8,136,0
KEN 33-0590,KI,184,755,154,34,372,0
KEN 33-0591,KI,70,274,54,16,140,0
KEN 33-0592,KI,29,208,41,11,81,0
KEN 33-0593,KI,86,231,44,10,140,0
KEN 33-0594,KI,53,366,101,35,189,0
KEN 33-0595,KI,61,488,63,15,139,0
KEN 33-0596,KI,144,550,110,35,289,0
KEN 33-0597,KI,104,688,120,14,239,1
KEN 33-0598,KI,82,473,102,17,201,0
ISS 05-3504,KI,143,610,80,44,267,0
ISS 05-3503,KI,128,504,70,42,240,0
ANGELO,KI,121,425,82,29,232,0
SEA 46-2056,KI,148,330,40,40,228,0
BUR 34-1116,KI,98,387,76,18,192,0
SEA 46-2057,KI,218,443,49,43,310,0
BEL 41-0220,KI,147,420,80,35,262,0
SHL 32-0875,KI,171,557,91,53,315,0
FED 30-3085,KI,122,416,99,36,257,0
LFP 46-0655,KI,253,679,116,57,426,0
LFP 46-0654,KI,198,471,79,30,307,0
LFP 46-0653,KI,174,412,70,41,285,0
LFP 46-0652,KI,88,230,37,31,156,0
LFP 46-0650,KI,146,354,48,27,221,0
KEN 47-3189,KI,86,732,100,20,206,0
SEA 43-1369,KI,109,285,25,31,165,0
SEA 43-1364,KI,235,535,43,43,321,0
NEW 41-3241,KI,216,699,117,40,373,0
SEA 43-1366,KI,135,287,23,28,186,0
LITTLE SOOS,KI,108,463,135,25,268,0
SEA 43-1360,KI,269,622,53,57,379,0
KEN 47-3180,KI,79,541,93,15,187,0
SEA 43-1362,KI,235,660,65,51,351,0
RNT 11-1109,KI,70,484,87,23,180,0
SEA 46-2330,KI,151,420,53,28,232,0
TOLT,KI,84,317,80,24,188,0
NATHAN,KI,142,507,123,32,297,0
DUV 45-2959,KI,131,514,103,33,267,0
SNQ 05-1097,KI,74,402,79,24,177,0
SEA 11-1624,KI,125,577,69,14,208,0
MABEL,KI,133,331,54,25,212,0
BUR 34-1058,KI,186,493,93,36,315,0
BUR 34-1059,KI,153,614,138,30,321,0
BUR 34-1057,KI,233,660,132,58,423,0
BOT 01-2495,KI,156,580,108,40,304,0
SEA 46-2339,KI,111,330,41,19,171,0
FED 30-3080,KI,63,499,90,19,172,0
LFP 46-1056,KI,194,536,97,41,332,0
FED 30-3087,KI,136,508,86,37,259,0
FED 30-3086,KI,111,526,123,45,279,0
FED 30-3088,KI,129,538,108,26,263,0
SEA 46-2333,KI,150,371,40,31,221,0
SEA 46-2332,KI,95,248,42,28,165,0
SEA 46-2335,KI,156,609,79,33,268,0
SEA 46-2334,KI,224,573,78,41,343,0
SEA 46-2337,KI,116,347,45,24,185,0
SEA 46-2336,KI,212,707,100,38,350,0
KIR 45-3640,KI,81,311,56,14,152,1
KIR 45-3646,KI,45,276,38,18,101,0
SEA 34-1458,KI,164,376,47,35,246,0
SEA 34-1459,KI,98,272,34,43,175,0
SEA 34-1454,KI,120,306,43,17,180,0
SEA 34-1455,KI,254,956,116,58,428,0
SEA 34-1456,KI,154,428,62,32,248,0
SEA 34-1457,KI,217,687,115,53,385,0
SEA 34-1450,KI,120,301,46,22,188,0
SEA 34-1451,KI,109,330,37,32,178,0
SEA 34-1452,KI,121,275,32,17,170,0
SEA 34-1453,KI,113,264,37,24,174,0
SHL 32-0296,KI,129,377,55,17,201,0
SAM 41-3654,KI,164,475,88,35,287,0
COV 47-2982,KI,108,553,112,31,251,0
SEA 32-2216,KI,108,338,58,37,203,0
KEN 47-2585,KI,241,819,138,52,431,0
BEL 48-0125,KI,125,405,52,24,201,0
BEL 48-0126,KI,118,354,55,25,198,0
BEL 48-0127,KI,92,393,44,25,161,0
RNT 11-2581,KI,136,668,147,39,322,0
FED 30-3395,KI,62,272,64,17,143,0
RAVENSDALE,KI,127,497,101,24,252,0
BUR 34-0900,KI,93,391,82,19,194,0
SEA 37-3647,KI,80,447,51,15,146,0
KEN 47-1151,KI,112,398,84,33,229,0
SEA 32-2537,KI,135,396,48,30,213,0
SEA 32-2539,KI,282,788,100,65,447,0
BEL 48-0694,KI,162,556,87,30,279,0
SEA 46-2142,KI,224,674,80,53,357,0
SEA 46-2143,KI,82,285,61,20,163,0
SEA 46-2145,KI,200,497,64,33,297,0
MERGANSER,KI,176,627,139,36,351,0
DIAMOND,KI,64,227,47,9,120,0
M-V 05-0528,KI,113,344,123,30,266,0
CAR 05-3290,KI,145,515,119,45,309,0
SHL 32-1038,KI,79,254,40,17,136,0
AUB 30-0053,KI,78,437,97,10,185,0
SEA 43-1334,KI,169,446,54,39,262,0
SNO-VALLEY,KI,210,760,149,49,408,0
JEFFERSON,KI,241,829,131,32,404,0
SAM 41-0307,KI,159,525,92,40,291,0
SEA 34-3682,KI,115,386,56,21,192,0
