Row Label,County,Douglas J. Fair
DAMSON,SN,254
SILVER LAKE,SN,195
HILLMAN,SN,178
TAMBARK,SN,186
EDMONDS 32,SN,214
MADISON,SN,259
LYNNWOOD  3,SN,175
EDMONDS 52,SN,192
MEADOWDALE,SN,172
EDMONDS 28,SN,191
RIDGEVIEW,SN,101
LYNNWOOD 17,SN,252
STRAWBERRY,SN,238
LYNNWOOD 18,SN,193
LYNNWOOD 19,SN,194
LYNNWOOD 12,SN,201
LYNNWOOD 13,SN,147
LYNNWOOD 10,SN,104
Total,SN,50065
LYNNWOOD 16,SN,185
NORMA,SN,172
LYNNWOOD 14,SN,167
LYNNWOOD 15,SN,152
