Row Label,County,Karla Buttorff
29-620,PI,164
29-621,PI,0
02-159,PI,193
02-158,PI,264
02-151,PI,104
02-150,PI,286
02-153,PI,261
02-152,PI,336
02-155,PI,327
02-154,PI,254
02-157,PI,396
02-156,PI,397
27-408,PI,391
27-409,PI,383
27-401,PI,187
27-404,PI,125
27-405,PI,379
27-406,PI,471
27-407,PI,369
28-520,PI,418
28-521,PI,422
28-522,PI,437
28-523,PI,420
28-524,PI,459
28-525,PI,471
28-526,PI,302
28-527,PI,500
28-528,PI,420
28-529,PI,325
31-818,PI,77
31-819,PI,126
31-813,PI,138
31-810,PI,156
31-816,PI,247
31-817,PI,308
31-814,PI,39
31-815,PI,210
26-351,PI,350
26-350,PI,371
26-352,PI,356
31-926,PI,7
31-927,PI,221
31-924,PI,155
31-925,PI,73
25-248,PI,420
25-249,PI,369
31-920,PI,207
31-921,PI,213
25-244,PI,435
25-245,PI,2
25-246,PI,31
25-247,PI,328
25-240,PI,153
25-241,PI,202
25-242,PI,399
25-243,PI,296
02-110,PI,201
29-668,PI,246
29-669,PI,314
29-662,PI,0
29-663,PI,286
29-660,PI,372
29-661,PI,261
29-667,PI,321
29-664,PI,299
28-565,PI,306
28-566,PI,333
28-567,PI,341
28-560,PI,429
28-561,PI,248
28-562,PI,222
28-563,PI,120
28-568,PI,348
02-148,PI,343
02-120,PI,274
02-121,PI,336
02-122,PI,354
02-123,PI,346
02-124,PI,282
02-125,PI,261
02-126,PI,340
02-127,PI,198
02-128,PI,359
02-129,PI,212
02-142,PI,227
26-315,PI,418
26-317,PI,396
26-316,PI,452
26-319,PI,334
26-318,PI,331
27-448,PI,11
27-449,PI,338
27-444,PI,295
27-445,PI,279
27-446,PI,297
27-447,PI,317
27-440,PI,340
27-441,PI,293
27-442,PI,230
27-443,PI,239
31-845,PI,232
31-844,PI,171
31-847,PI,135
31-846,PI,109
31-841,PI,136
31-840,PI,121
31-843,PI,180
31-842,PI,228
31-849,PI,98
31-848,PI,40
25-217,PI,413
25-216,PI,252
25-215,PI,354
25-213,PI,418
25-212,PI,390
25-211,PI,356
25-210,PI,490
25-219,PI,382
25-218,PI,383
29-671,PI,271
29-670,PI,330
29-675,PI,325
29-677,PI,311
29-676,PI,295
29-635,PI,79
31-883,PI,334
29-637,PI,277
29-636,PI,356
29-633,PI,26
29-639,PI,283
29-638,PI,150
31-882,PI,241
28-538,PI,348
28-537,PI,419
28-536,PI,391
28-535,PI,429
28-531,PI,368
28-530,PI,189
30-713,PI,4
31-809,PI,261
31-808,PI,245
31-801,PI,183
31-803,PI,289
31-802,PI,256
31-805,PI,279
31-804,PI,264
31-807,PI,3
31-806,PI,317
25-293,PI,340
27-417,PI,391
27-416,PI,383
27-415,PI,428
27-414,PI,385
27-413,PI,370
27-412,PI,360
27-411,PI,434
27-410,PI,385
31-898,PI,287
31-899,PI,159
27-419,PI,357
27-418,PI,346
25-292,PI,374
25-259,PI,352
25-258,PI,375
25-253,PI,235
25-252,PI,335
25-251,PI,308
25-250,PI,150
25-257,PI,309
25-256,PI,328
25-255,PI,227
25-254,PI,214
Total,PI,133150
29-679,PI,255
29-678,PI,250
25-228,PI,373
25-226,PI,258
25-227,PI,193
29-673,PI,335
29-672,PI,191
25-222,PI,280
29-674,PI,105
25-220,PI,2
25-221,PI,353
30-708,PI,227
28-573,PI,224
28-572,PI,342
28-571,PI,5
28-570,PI,5
28-577,PI,12
28-576,PI,327
28-575,PI,2
28-574,PI,79
28-579,PI,63
28-578,PI,70
02-139,PI,305
02-138,PI,418
02-137,PI,166
02-136,PI,59
02-135,PI,357
02-134,PI,376
02-133,PI,95
02-131,PI,393
02-130,PI,184
27-428,PI,323
27-429,PI,339
27-426,PI,332
27-427,PI,324
27-424,PI,342
27-425,PI,310
27-422,PI,476
27-423,PI,386
27-420,PI,423
27-421,PI,307
26-328,PI,308
26-329,PI,396
26-324,PI,405
26-325,PI,349
26-326,PI,420
26-327,PI,394
26-320,PI,374
26-321,PI,471
26-322,PI,445
26-323,PI,410
28-506,PI,427
28-507,PI,352
28-504,PI,390
28-505,PI,403
28-502,PI,421
28-503,PI,436
28-501,PI,395
28-508,PI,193
28-509,PI,0
27-459,PI,206
27-458,PI,212
27-453,PI,237
27-452,PI,305
27-451,PI,261
27-450,PI,364
27-457,PI,306
27-456,PI,245
27-455,PI,280
27-454,PI,327
31-873,PI,63
31-874,PI,0
31-875,PI,317
31-876,PI,22
31-877,PI,125
31-879,PI,69
25-283,PI,208
25-262,PI,335
25-263,PI,284
25-260,PI,366
25-261,PI,269
25-266,PI,372
25-267,PI,177
25-264,PI,394
25-265,PI,387
25-268,PI,196
25-269,PI,231
29-600,PI,0
29-601,PI,254
29-602,PI,215
29-603,PI,300
29-604,PI,289
29-605,PI,227
29-606,PI,312
29-607,PI,364
29-608,PI,246
29-609,PI,207
31-881,PI,160
28-548,PI,326
28-549,PI,358
31-880,PI,108
28-542,PI,362
28-543,PI,339
28-540,PI,494
28-541,PI,365
28-546,PI,370
28-547,PI,495
28-545,PI,401
02-106,PI,361
30-709,PI,245
02-105,PI,122
02-101,PI,113
31-885,PI,105
30-701,PI,12
30-707,PI,153
30-706,PI,244
30-705,PI,167
31-884,PI,285
31-834,PI,211
31-835,PI,424
31-836,PI,249
31-837,PI,226
31-830,PI,113
31-887,PI,216
31-833,PI,270
31-886,PI,251
31-838,PI,199
31-839,PI,22
27-462,PI,366
27-463,PI,284
27-460,PI,324
27-461,PI,383
27-466,PI,313
27-467,PI,292
27-464,PI,301
27-465,PI,273
31-888,PI,231
27-468,PI,291
