Row Label,County,Maralyn Chase,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Robert Reedy
SEA 32-2218,KI,261,666,20,332,0,1,50
SHL 32-0319,KI,95,284,11,141,0,0,35
SHL 32-3363,KI,120,373,13,164,0,0,31
SHL 32-0844,KI,190,431,15,276,0,1,70
SEA 32-3568,KI,294,849,28,383,0,2,59
SHL 32-0001,KI,133,439,10,175,0,3,29
SHL 32-0486,KI,128,298,14,185,0,0,43
SHL 32-0488,KI,91,282,11,136,0,1,33
SHL 32-1030,KI,102,301,11,144,0,0,31
SEA 32-2206,KI,210,412,17,266,0,0,39
SEA 32-2204,KI,178,339,17,230,0,0,35
SHL 32-0241,KI,213,612,22,291,0,0,56
SEA 32-2202,KI,191,436,12,250,0,1,46
SEA 32-2203,KI,319,758,36,422,0,3,64
SEA 32-2200,KI,201,385,23,263,0,0,39
SEA 32-2201,KI,249,463,27,315,0,0,39
SHL 32-0401,KI,180,419,30,282,0,3,69
SHL 32-0088,KI,91,258,7,121,0,0,23
SEA 32-2208,KI,171,350,23,224,0,0,30
SEA 32-2209,KI,290,599,28,402,0,0,84
SHL 32-1077,KI,161,471,11,225,0,5,48
SHL 32-0875,KI,242,557,18,315,1,0,54
