Row Label,County,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Vicki Seitz,Write-in
BURTON,KI,241,88,163,0,75,0
FED 30-3088,KI,538,108,263,0,154,1
DES 33-0532,KI,271,63,148,0,85,0
TUK 11-2751,KI,273,72,136,0,64,0
TUK 11-3499,KI,245,46,109,0,61,2
FED 30-3008,KI,365,57,163,0,105,1
SET 33-3618,KI,325,36,125,0,84,5
FED 30-3001,KI,622,130,357,0,224,3
FED 30-3000,KI,479,76,197,0,118,3
FED 30-3003,KI,563,112,270,0,157,1
FED 30-3002,KI,690,123,314,0,185,6
BUR 33-0289,KI,412,72,188,0,112,4
FED 30-3004,KI,442,74,188,0,112,2
FED 30-3007,KI,242,60,144,0,84,0
DOLLOFF,KI,412,106,223,0,116,1
TUK 11-2956,KI,460,42,112,0,69,1
FED 30-3574,KI,353,48,117,0,68,1
TUK 11-3393,KI,347,39,119,0,80,0
TUK 11-2949,KI,585,85,225,0,136,4
BERNICE,KI,601,64,240,0,175,1
STAR LAKE,KI,325,83,182,0,99,0
SHAWNEE,KI,426,164,291,0,123,4
BUR 34-1219,KI,530,164,345,0,180,1
SET 33-3069,KI,353,81,169,0,87,1
ILLAHEE,KI,328,93,222,0,129,0
DES 33-3131,KI,266,51,119,0,68,0
FED 30-3005,KI,298,78,201,0,123,0
SET 33-3065,KI,464,39,146,0,105,2
SET 33-3064,KI,468,61,167,0,105,1
SET 33-3063,KI,330,71,173,0,100,2
SET 33-3062,KI,316,56,155,0,99,0
SET 33-3061,KI,340,73,166,0,91,2
DES 30-0954,KI,745,172,415,0,241,2
BUR 34-1104,KI,325,89,186,0,96,1
FED 30-3097,KI,720,192,429,0,235,2
FED 30-3094,KI,595,107,277,0,165,5
FED 30-3095,KI,501,65,173,0,106,2
FED 30-3092,KI,631,73,213,0,136,4
FED 30-3093,KI,612,79,221,0,142,0
FED 30-3090,KI,356,91,198,0,105,2
FED 30-3091,KI,552,153,388,0,235,0
FED 30-3006,KI,466,71,207,0,134,2
FED 30-3098,KI,528,118,252,0,132,2
NPK 33-0853,KI,338,114,243,0,129,0
DES 33-1128,KI,289,76,174,0,96,2
BUR 33-0805,KI,591,88,270,0,180,2
BUR 33-0729,KI,864,120,320,2,197,1
EXCALIBUR,KI,403,100,226,0,123,3
GENEVA,KI,408,106,218,0,110,2
FED 30-3018,KI,327,69,155,0,85,1
FED 30-3019,KI,427,127,231,0,100,4
FED 30-3017,KI,715,213,458,0,243,2
FED 30-3014,KI,461,133,277,0,143,1
BUR 34-0900,KI,391,81,194,0,111,2
BUR 33-1189,KI,639,111,283,0,169,3
FED 30-3013,KI,266,45,124,0,78,1
DENVER,KI,588,85,229,0,143,1
FED 30-3011,KI,343,61,138,0,77,0
TUK 11-1164,KI,660,138,312,0,172,2
PEGGY,KI,775,184,390,0,202,4
TUK 11-1166,KI,443,75,165,0,87,3
TUK 11-1167,KI,6,3,4,0,1,0
THISTLE,KI,334,75,152,0,77,0
BUR 34-0295,KI,479,142,269,0,126,1
MIL 30-3146,KI,659,165,361,0,191,5
GLENDALE,KI,764,121,289,0,164,4
BUR 34-0298,KI,668,124,322,0,195,3
BUR 34-1192,KI,591,190,397,0,205,2
NPK 33-0857,KI,684,209,483,0,272,2
NPK 33-0854,KI,436,135,302,0,165,2
NPK 33-0855,KI,390,107,231,0,124,0
NPK 33-0852,KI,442,124,296,0,168,4
FED 30-3015,KI,398,110,241,0,130,1
FED 30-3599,KI,420,106,213,0,105,2
NPK 33-0851,KI,525,146,338,0,187,5
SET 33-3074,KI,456,113,260,0,145,2
FED 30-3596,KI,332,77,178,0,99,2
NPK 33-0849,KI,380,105,254,0,147,2
SET 33-3070,KI,340,83,173,0,87,3
FED 30-3031,KI,542,92,273,0,179,2
AVALON,KI,372,89,191,0,102,0
FED 30-3045,KI,637,103,253,0,148,2
CONNAUGHT,KI,615,149,337,0,183,5
SET 33-3073,KI,285,66,171,0,102,3
FED 30-3235,KI,400,78,172,0,93,1
REGAL,KI,788,127,321,0,193,1
TUK 11-2955,KI,653,106,274,0,167,1
BUR 34-1032,KI,511,107,263,0,153,3
BUR 34-1136,KI,218,62,137,0,74,1
SET 33-3060,KI,373,53,134,0,80,1
GLASGOW,KI,601,114,255,0,138,3
LISABEULA,KI,467,180,309,0,126,3
MERLIN,KI,411,57,170,0,108,5
DES 33-2637,KI,499,84,221,0,135,2
TUK 11-3614,KI,56,13,28,0,15,0
BUR 33-0957,KI,323,45,141,0,95,1
BUR 34-0913,KI,599,72,225,0,149,4
BUR 33-0818,KI,753,150,319,0,166,3
NPK 33-2644,KI,287,87,204,0,117,0
NPK 33-2474,KI,454,169,316,0,147,0
FED 30-3040,KI,432,49,146,0,93,4
SPIDER LAKE,KI,755,168,387,0,215,4
BUR 34-0281,KI,0,0,0,0,0,0
SERENIDAD,KI,746,135,317,0,180,2
TUK 11-2752,KI,490,116,249,0,130,3
FED 30-3043,KI,631,110,261,0,149,2
FED 30-2988,KI,629,123,332,0,204,5
FED 30-3042,KI,251,70,166,0,95,1
TUK 11-3128,KI,717,124,288,0,162,2
TUK 11-3233,KI,457,77,178,0,100,1
BUR 34-0033,KI,682,141,309,0,165,3
JUTLAND,KI,85,21,40,0,19,0
BUR 34-1082,KI,307,102,215,0,113,0
CROSS,KI,511,181,328,0,147,0
FED 30-3582,KI,255,42,95,0,53,0
DES 33-0297,KI,240,46,121,0,75,0
JEFFERSON,KI,829,178,404,0,222,4
FED 30-3236,KI,746,140,351,0,208,3
BUR 34-0848,KI,421,115,261,0,144,2
DEVILLE,KI,558,113,263,0,149,1
FED 30-3023,KI,412,124,258,0,130,4
FED 30-3010,KI,335,79,197,0,114,4
DES 33-2626,KI,331,113,272,0,156,3
DES 33-2627,KI,347,85,229,0,143,1
DES 33-2625,KI,434,102,231,0,129,0
GRANDVIEW,KI,16,4,8,0,4,0
DES 33-2623,KI,333,101,225,0,123,1
FED 30-3035,KI,265,43,128,0,85,0
CAMELOT,KI,479,88,211,0,121,2
SET 33-3068,KI,464,112,228,0,116,0
FED 30-3234,KI,382,64,163,0,99,0
CARPENTER,KI,434,156,242,0,86,0
FED 30-3078,KI,402,86,218,0,130,2
FED 30-3079,KI,508,101,260,0,158,1
FED 30-2999,KI,392,49,137,0,88,0
DES 33-0911,KI,515,91,224,0,132,1
FED 30-2994,KI,225,52,118,0,64,2
FED 30-2995,KI,243,62,122,0,58,2
FED 30-2996,KI,510,89,218,0,128,1
FED 30-2990,KI,589,86,239,0,152,1
FED 30-2991,KI,360,71,187,0,116,0
FED 30-2992,KI,356,76,174,0,97,1
FED 30-2993,KI,677,133,340,0,201,6
SET 33-3057,KI,607,123,267,0,142,2
THOMAS,KI,442,109,249,0,136,4
SET 33-3107,KI,680,120,281,0,158,3
BUR 34-0025,KI,734,155,352,0,194,3
BUR 33-0562,KI,403,66,194,0,124,4
BUR 34-0381,KI,486,114,243,0,126,3
SEAVIEW,KI,393,102,221,0,118,1
DES 33-2394,KI,407,101,271,0,169,1
DES 33-2395,KI,263,62,162,0,99,1
SET 33-3059,KI,683,76,205,0,126,3
DES 33-1078,KI,354,61,150,0,89,0
DES 33-0361,KI,386,87,201,0,113,1
DES 33-0360,KI,582,169,373,0,204,0
DES 33-0363,KI,350,63,154,0,90,1
BUR 34-1150,KI,365,119,249,0,129,1
DES 33-0682,KI,444,88,241,0,153,0
DES 33-0364,KI,441,78,196,0,117,1
DES 33-0367,KI,411,103,234,0,128,3
DES 33-0366,KI,593,151,343,0,192,0
EVERGREEN,KI,716,97,261,0,162,2
FED 30-3096,KI,550,116,249,0,130,3
MARIAN,KI,776,106,323,0,215,2
DES 33-2820,KI,393,65,164,0,99,0
FED 30-3289,KI,819,144,368,0,219,5
GLENN,KI,255,66,126,0,58,2
FRAGER,KI,2,0,1,0,1,0
FED 30-3049,KI,430,43,168,0,125,0
FED 30-3048,KI,634,67,187,0,119,1
KILLARNEY,KI,466,132,264,0,129,3
FED 30-3020,KI,436,106,223,0,117,0
BUR 33-0476,KI,764,168,378,0,207,3
FED 30-3044,KI,657,97,326,0,228,1
FED 30-3047,KI,492,84,236,0,150,2
FED 30-3046,KI,397,80,188,0,108,0
FED 30-3041,KI,326,64,158,0,92,2
CYPRESS,KI,0,0,0,0,0,0
CADDIS,KI,366,98,211,0,109,4
DES 33-2416,KI,484,88,242,0,152,2
BUR 33-0094,KI,450,104,229,0,125,0
TUK 11-2453,KI,510,80,180,0,99,1
SET 33-3104,KI,542,113,247,0,133,1
NPK 33-2645,KI,335,84,219,0,133,2
HERON,KI,424,88,222,0,132,2
SET 33-3100,KI,847,93,291,0,197,1
BUR 34-0560,KI,474,99,223,0,121,3
SET 33-3102,KI,670,112,293,0,178,3
SYLVAN,KI,744,125,336,0,208,3
BUR 34-1064,KI,589,165,358,0,191,2
SET 33-3075,KI,289,53,116,0,62,1
GUENEVERE,KI,342,62,149,0,84,3
FED 30-3305,KI,402,38,102,0,63,1
NPK 33-2646,KI,587,151,341,0,189,1
TAHLEQUAH,KI,550,189,349,0,159,1
FED 30-3110,KI,351,90,194,0,103,1
DES 33-0272,KI,414,101,239,0,137,1
BUR 33-0009,KI,277,39,119,0,80,0
FED 30-3026,KI,399,69,195,0,122,4
BUR 34-0710,KI,357,75,175,0,96,4
SUNNYWOOD,KI,629,137,287,0,150,0
BUR 34-0824,KI,577,104,272,0,162,6
BRITTANY,KI,592,146,321,0,173,2
BUR 33-0251,KI,386,80,174,0,92,2
FED 30-3052,KI,494,89,243,0,153,1
FED 30-3053,KI,472,83,218,0,134,1
FED 30-3050,KI,222,50,98,0,48,0
FED 30-3051,KI,400,57,152,0,95,0
FED 30-3056,KI,323,76,166,0,90,0
BUR 33-1067,KI,866,167,427,0,254,6
FED 30-3054,KI,386,66,168,0,102,0
BINGAMAN,KI,565,103,313,0,207,3
FED 30-3077,KI,339,86,202,0,115,1
DILWORTH,KI,438,165,277,0,112,0
DES 33-0864,KI,317,100,204,0,104,0
JOVITA,KI,454,106,232,0,122,4
SET 33-1031,KI,925,176,398,0,219,3
FED 30-3395,KI,272,55,143,0,85,3
QUARTERMASTER,KI,342,130,229,0,95,4
FED 30-3021,KI,566,87,249,0,161,1
PORTAGE,KI,396,141,270,0,125,4
DES 33-2672,KI,577,91,231,0,139,1
DOCKTON,KI,696,232,446,0,212,2
COLVOS,KI,250,77,153,0,76,0
DES 33-0437,KI,271,66,155,0,89,0
DES 33-0668,KI,273,57,123,0,66,0
WYNONA,KI,462,93,211,0,116,2
ANGELO,KI,425,115,232,0,116,1
WHITE CENTER,KI,788,85,297,0,205,7
BUR 34-0485,KI,583,138,302,0,162,2
FED 30-3080,KI,499,62,172,1,109,0
MAURY,KI,413,156,292,0,135,1
TUK 11-3127,KI,280,44,109,0,62,3
BUR 34-0489,KI,445,177,327,0,146,4
FED 30-3027,KI,654,110,288,0,176,2
DES 33-2674,KI,552,104,250,0,145,1
FED 30-3025,KI,506,154,307,0,150,3
FED 30-3024,KI,349,99,222,0,120,3
DES 33-2671,KI,834,195,488,0,290,3
FED 30-3022,KI,216,55,132,0,77,0
DES 33-2673,KI,366,64,167,0,103,0
BUR 34-0311,KI,464,100,268,0,168,0
MCKINLEY,KI,351,47,118,0,68,3
BUR 34-0402,KI,390,109,241,0,130,2
LAKELAND,KI,527,106,248,0,139,3
FED 30-3029,KI,309,30,117,0,86,1
FED 30-3028,KI,510,98,250,0,152,0
