Row Label,County,Judith Montgomery Hightower,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 36-2506,KI,86,311,116,202,0,0
SEA 36-2503,KI,92,305,103,196,0,1
SEA 36-2502,KI,144,378,140,284,0,0
SEA 36-2134,KI,139,490,126,266,0,1
SEA 46-3677,KI,84,320,92,181,0,5
SEA 36-2130,KI,122,388,120,243,0,1
SEA 36-2131,KI,215,851,237,453,0,1
SEA 36-2133,KI,173,698,172,348,0,3
SEA 34-1546,KI,113,385,143,257,0,1
SEA 43-1787,KI,140,564,133,277,0,4
SEA 11-1602,KI,139,598,143,288,0,6
SEA 34-1545,KI,120,422,104,224,0,0
SEA 34-1543,KI,108,327,110,218,0,0
SEA 34-1540,KI,84,333,92,176,0,0
SEA 34-1541,KI,96,380,138,235,0,1
SEA 46-1312,KI,80,326,101,181,0,0
SEA 46-1313,KI,77,280,90,168,0,1
SEA 46-1310,KI,116,397,107,229,0,6
SEA 46-1311,KI,106,427,91,198,0,1
SEA 43-1788,KI,337,807,243,580,0,0
SEA 37-3666,KI,98,422,29,128,0,1
SEA 36-1808,KI,102,275,53,156,0,1
SEA 36-1805,KI,105,473,133,239,0,1
SEA 36-1806,KI,149,598,130,281,0,2
SEA 36-1801,KI,191,896,200,391,0,0
SEA 36-1803,KI,68,298,110,178,0,0
SEA 36-3586,KI,220,801,184,407,0,3
SEA 36-3587,KI,131,590,140,273,0,2
SEA 37-1563,KI,71,323,39,111,0,1
SEA 37-1565,KI,100,331,71,172,0,1
SEA 37-1564,KI,139,396,87,227,0,1
SEA 36-3669,KI,73,349,82,157,0,2
SEA 37-1566,KI,92,327,81,176,0,3
SEA 37-1568,KI,116,434,63,179,0,0
SEA 43-2083,KI,96,422,119,215,0,0
SEA 46-2252,KI,81,261,91,172,0,0
SEA 46-2253,KI,143,521,177,322,0,2
SEA 46-2251,KI,158,555,194,352,0,0
SEA 32-2206,KI,135,412,130,266,0,1
SEA 46-2316,KI,117,411,122,239,0,0
SEA 32-2204,KI,118,339,109,230,0,3
SEA 46-2314,KI,117,337,98,217,0,2
SEA 32-2202,KI,121,436,127,250,0,2
SEA 32-2203,KI,203,758,216,422,0,3
SEA 32-2200,KI,130,385,133,263,0,0
SEA 32-2201,KI,158,463,156,315,0,1
SEA 46-2619,KI,141,539,137,279,0,1
SEA 43-2545,KI,169,699,206,375,0,0
SEA 32-2208,KI,99,350,125,224,0,0
SEA 32-2209,KI,183,599,217,402,0,2
SEA 36-2592,KI,89,352,114,205,0,2
SEA 36-2593,KI,87,289,87,174,0,0
SEA 34-1438,KI,106,328,102,209,0,1
SEA 34-1439,KI,105,369,112,220,1,2
SEA 34-1432,KI,100,331,116,218,0,2
SEA 34-1433,KI,101,319,107,208,0,0
SEA 34-1430,KI,95,322,95,190,0,0
SEA 34-1431,KI,105,308,98,203,0,0
SEA 34-1436,KI,73,362,83,156,0,0
SEA 34-1437,KI,106,498,146,254,0,2
SEA 34-1434,KI,90,271,92,183,0,1
SEA 34-1435,KI,67,299,111,178,0,0
SEA 36-2509,KI,115,403,145,260,0,0
SEA 36-2508,KI,142,427,150,293,0,1
SEA 46-2352,KI,85,338,93,181,0,3
SEA 46-1955,KI,152,558,135,289,0,2
SEA 11-1600,KI,135,550,121,257,0,1
SEA 46-2228,KI,117,486,114,234,0,3
SEA 46-2221,KI,141,513,157,298,0,0
SEA 43-1280,KI,165,669,170,337,0,2
SEA 43-1784,KI,151,500,154,308,0,3
SEA 36-3267,KI,126,548,90,219,0,3
SEA 37-1886,KI,154,523,138,293,0,1
SEA 37-1884,KI,185,643,200,385,0,0
SEA 37-1885,KI,112,398,108,223,0,3
SEA 37-1882,KI,106,395,87,193,0,0
SEA 37-1883,KI,95,423,106,204,0,3
SEA 37-1880,KI,145,514,128,276,0,3
SEA 37-1881,KI,90,396,98,188,0,0
SEA 43-1780,KI,115,350,92,208,0,1
SEA 43-1781,KI,93,326,70,164,0,1
SEA 46-2292,KI,143,505,145,288,0,0
SEA 36-1386,KI,96,315,117,213,0,0
SEA 36-1387,KI,144,462,145,289,0,0
SEA 36-1384,KI,109,309,115,228,0,4
SEA 36-1385,KI,72,243,101,175,0,2
SEA 36-1382,KI,113,374,120,233,0,0
SEA 36-1388,KI,99,337,121,220,0,0
SEA 36-1389,KI,74,259,89,163,0,0
SEA 43-1274,KI,100,302,115,216,0,1
SEA 43-2006,KI,71,298,98,169,0,0
SEA 43-2007,KI,79,256,85,164,0,0
SEA 43-2000,KI,153,550,140,294,0,1
SEA 43-2001,KI,215,648,216,433,0,2
SEA 43-2002,KI,192,587,199,391,0,0
SEA 46-2293,KI,127,441,164,292,0,1
SEA 46-1957,KI,175,553,179,354,0,0
SEA 37-2861,KI,111,391,131,243,0,1
SEA 43-2009,KI,171,487,156,329,0,2
SEA 37-1635,KI,116,524,80,199,0,3
SEA 37-1589,KI,109,290,107,217,0,1
SEA 37-1588,KI,77,244,82,159,0,0
SEA 46-1314,KI,92,330,118,210,0,0
SEA 37-1634,KI,93,473,95,191,0,3
SEA 37-1583,KI,233,700,146,382,0,3
SEA 37-1582,KI,178,715,109,291,0,4
SEA 37-1580,KI,104,333,52,160,0,4
SEA 37-1587,KI,102,311,92,195,0,1
SEA 37-1586,KI,123,373,125,251,0,3
SEA 36-3566,KI,165,579,140,307,0,2
SEA 36-1299,KI,100,425,157,260,0,3
SEA 43-1347,KI,200,726,233,435,0,2
SEA 43-1344,KI,138,452,154,292,0,0
SEA 37-1636,KI,151,586,61,217,0,5
SEA 43-1342,KI,127,366,109,237,0,1
SEA 43-1343,KI,91,355,123,215,0,1
SEA 43-1341,KI,175,499,176,351,0,0
SEA 46-2290,KI,84,289,111,195,0,0
SEA 46-2272,KI,103,367,143,247,0,1
SEA 43-1348,KI,157,555,159,317,0,1
SEA 37-1630,KI,86,309,83,169,0,0
SEA 46-1284,KI,73,278,67,140,0,0
SEA 46-1285,KI,83,303,99,182,0,0
SEA 43-1975,KI,38,439,25,63,0,0
SEA 37-1633,KI,83,329,80,163,0,0
SEA 46-1282,KI,177,656,221,399,0,1
SEA 43-1976,KI,53,242,41,94,0,0
SEA 37-1632,KI,86,292,85,173,0,2
SEA 43-3320,KI,130,515,109,241,0,2
SEA 36-1661,KI,89,277,104,193,0,0
SEA 43-2014,KI,119,352,141,260,0,0
SEA 36-1663,KI,91,275,114,205,0,0
SEA 36-1709,KI,77,359,75,154,0,2
SEA 36-1665,KI,156,515,199,356,0,1
SEA 36-1664,KI,104,326,113,218,0,1
SEA 46-1963,KI,64,278,88,152,0,0
SEA 36-1666,KI,196,572,161,360,0,3
SEA 36-1702,KI,163,606,207,372,0,2
SEA 36-1668,KI,122,443,119,244,0,3
SEA 36-1700,KI,122,383,85,208,0,1
SEA 36-1701,KI,121,331,109,231,0,1
SEA 46-1969,KI,77,278,92,169,0,0
SEA 11-1641,KI,116,539,67,183,0,0
SEA 36-1704,KI,134,640,115,251,0,2
SEA 46-2094,KI,83,283,94,178,0,1
SEA 46-2095,KI,81,279,104,187,0,2
SEA 36-3319,KI,182,867,183,365,0,0
SEA 36-3318,KI,202,680,223,428,0,3
SEA 46-2090,KI,142,494,120,262,0,0
SEA 46-2091,KI,138,451,127,265,0,0
SEA 46-2092,KI,111,311,114,225,0,0
SEA 46-2093,KI,137,462,180,317,0,0
SEA 34-1411,KI,100,307,95,197,0,2
SEA 46-2099,KI,140,437,150,293,0,3
SEA 43-2853,KI,102,440,104,206,0,0
SEA 43-2852,KI,107,501,118,226,0,1
SEA 36-1689,KI,156,484,157,313,0,0
SEA 36-1688,KI,85,273,94,179,0,0
SEA 43-2113,KI,82,393,56,140,0,2
SEA 36-1683,KI,95,305,110,205,0,0
SEA 36-1682,KI,92,309,96,190,0,2
SEA 34-1409,KI,112,422,157,270,0,1
SEA 34-1408,KI,255,708,225,481,0,1
SEA 36-1687,KI,160,644,148,309,0,1
SEA 36-1686,KI,186,768,163,352,0,3
SEA 36-1685,KI,115,418,105,220,0,0
SEA 36-1684,KI,91,338,82,173,0,0
SEA 43-1333,KI,104,340,125,229,0,0
SEA 43-1332,KI,115,385,151,267,0,1
SEA 43-1331,KI,116,366,108,224,0,0
SEA 37-1647,KI,191,669,152,349,0,6
SEA 43-1335,KI,189,637,186,377,0,2
SEA 43-1334,KI,130,446,129,262,0,3
SEA 36-1768,KI,91,331,110,201,0,0
SEA 43-1339,KI,82,298,104,187,0,1
SEA 43-1338,KI,144,449,158,302,0,0
SEA 43-1861,KI,203,750,228,432,0,1
SEA 46-2297,KI,84,283,83,169,0,2
SEA 46-2261,KI,78,256,97,175,0,0
SEA 36-2172,KI,94,319,116,214,1,3
SEA 37-1643,KI,149,682,79,228,0,0
SEA 34-1476,KI,78,273,92,170,0,0
SEA 34-1477,KI,91,307,109,200,0,0
SEA 34-1474,KI,103,402,124,227,0,0
SEA 34-1475,KI,79,311,95,176,0,2
SEA 34-1472,KI,87,239,84,171,0,0
SEA 34-1473,KI,100,319,80,180,0,0
SEA 34-1470,KI,196,677,151,352,0,5
SEA 34-1471,KI,158,492,146,305,0,1
SEA 43-3424,KI,117,407,101,219,0,1
SEA 36-2149,KI,122,367,137,261,0,2
SEA 36-2148,KI,95,359,134,229,0,0
SEA 34-1478,KI,79,253,83,163,0,1
SEA 34-1479,KI,103,313,96,200,0,1
SEA 34-1259,KI,108,328,96,205,0,1
SEA 43-2050,KI,130,442,90,222,0,2
SEA 37-1567,KI,97,332,58,156,0,1
SEA 37-1648,KI,190,695,137,327,0,0
SEA 37-3617,KI,114,553,120,235,0,1
SEA 46-2295,KI,137,481,173,310,0,0
SEA 34-1498,KI,184,668,142,330,0,4
SEA 34-1499,KI,126,483,161,289,0,2
SEA 34-1258,KI,124,341,100,225,0,1
SEA 46-2257,KI,227,799,279,509,0,3
SEA 34-1490,KI,123,437,110,235,0,2
SEA 34-1493,KI,183,722,136,320,0,1
SEA 34-1494,KI,137,536,124,265,0,4
SEA 34-1496,KI,201,826,184,389,0,4
SEA 34-1497,KI,188,728,143,336,0,5
SEA 46-2267,KI,131,518,110,241,0,0
SEA 37-1920,KI,197,574,142,339,0,0
SEA 46-2264,KI,249,768,236,487,0,2
SEA 37-1925,KI,71,319,80,153,1,1
SEA 37-1927,KI,107,409,107,216,0,2
SEA 46-2260,KI,246,722,262,511,0,3
SEA 46-2340,KI,163,680,215,381,0,3
SEA 11-1942,KI,135,526,132,271,1,3
SEA 11-1941,KI,90,431,132,224,0,2
SEA 37-1841,KI,197,813,194,396,0,5
SEA 11-1947,KI,103,453,98,204,0,3
SEA 46-2345,KI,86,294,110,196,0,0
SEA 11-1945,KI,174,703,165,341,0,2
SEA 46-2268,KI,96,330,109,205,0,0
SEA 43-1999,KI,129,439,140,270,0,1
SEA 43-1851,KI,200,694,212,413,0,1
SEA 43-1856,KI,172,579,147,322,0,3
SEA 37-1621,KI,85,342,66,151,0,0
SEA 43-1855,KI,139,619,196,337,0,2
SEA 43-1993,KI,77,238,68,147,0,2
SEA 43-1992,KI,175,652,234,410,0,1
SEA 43-1858,KI,96,335,102,203,0,5
SEA 43-1859,KI,128,553,157,286,0,1
SEA 43-1997,KI,98,295,95,194,0,1
SEA 43-1996,KI,95,298,98,193,0,0
SEA 43-1995,KI,85,244,77,163,0,1
SEA 43-1857,KI,117,528,133,251,0,1
SEA 46-2317,KI,131,433,137,269,0,1
SEA 43-3685,KI,82,258,75,158,0,1
SEA 46-2346,KI,96,364,95,193,0,2
SEA 43-2052,KI,75,445,67,143,0,1
SEA 46-2127,KI,152,494,126,278,0,0
SEA 43-1991,KI,244,839,241,487,0,2
SEA 43-1990,KI,131,458,129,260,0,0
SEA 43-2064,KI,64,370,83,148,0,1
SEA 46-2310,KI,147,386,129,277,0,1
SEA 46-2286,KI,143,437,134,279,0,2
SEA 36-3689,KI,76,398,87,166,0,3
SEA 43-1378,KI,100,308,118,219,0,1
SEA 46-2305,KI,114,364,138,253,0,1
SEA 36-3686,KI,135,501,118,254,0,1
SEA 46-2280,KI,178,645,217,396,0,1
SEA 43-2543,KI,81,313,71,153,0,1
SEA 46-2369,KI,152,419,108,262,0,2
SEA 46-2328,KI,63,299,84,147,0,0
SEA 43-2040,KI,96,476,118,214,0,0
SEA 46-2282,KI,208,653,221,429,0,0
SEA 46-2319,KI,134,506,189,323,0,0
SEA 46-2098,KI,140,436,144,285,0,1
SEA 46-2318,KI,92,277,95,188,0,1
SEA 36-1746,KI,110,313,93,203,0,0
SEA 36-1747,KI,87,296,108,195,0,0
SEA 36-1744,KI,96,393,132,228,0,0
SEA 46-2325,KI,155,405,86,242,0,1
SEA 36-1742,KI,100,296,85,185,0,0
SEA 36-1743,KI,95,391,110,206,0,1
SEA 36-1740,KI,86,323,119,208,0,3
SEA 36-1741,KI,92,325,115,207,0,0
SEA 43-2075,KI,74,458,89,163,0,0
SEA 43-2074,KI,138,564,177,316,0,1
SEA 43-2076,KI,67,403,68,137,0,2
SEA 43-2071,KI,125,371,134,260,0,1
SEA 36-2590,KI,111,364,100,213,0,2
SEA 36-1748,KI,81,261,87,169,0,1
SEA 36-1749,KI,182,681,186,370,0,2
SEA 46-2274,KI,75,256,92,167,0,0
SEA 46-2349,KI,106,382,114,220,0,0
SEA 43-2110,KI,91,452,94,186,0,1
SEA 34-1520,KI,87,314,101,190,0,2
SEA 34-1521,KI,86,266,93,181,0,2
SEA 34-1522,KI,89,261,82,171,0,0
SEA 34-1523,KI,90,296,103,193,0,0
SEA 34-1524,KI,98,291,101,199,0,0
SEA 34-1526,KI,68,248,87,156,0,1
SEA 34-1527,KI,192,684,156,351,0,3
SEA 43-1377,KI,108,330,99,207,0,0
SEA 34-1529,KI,62,266,69,132,0,1
SEA 43-1375,KI,102,327,117,222,0,3
SEA 43-1374,KI,83,295,122,205,0,0
SEA 32-3568,KI,240,849,139,383,1,3
SEA 43-1372,KI,82,335,142,224,0,0
SEA 43-1278,KI,159,588,145,308,0,4
SEA 43-1279,KI,186,684,219,406,0,1
SEA 43-2862,KI,199,736,159,360,0,2
SEA 36-2518,KI,110,425,133,246,0,3
SEA 43-1887,KI,191,648,171,365,0,3
SEA 36-2512,KI,139,505,190,331,0,2
SEA 36-2513,KI,136,434,164,301,0,1
SEA 36-2510,KI,132,352,89,221,0,0
SEA 36-2118,KI,119,383,129,250,0,2
SEA 36-2517,KI,174,613,206,382,0,2
SEA 36-2514,KI,78,298,115,193,0,0
SEA 36-2515,KI,112,361,121,233,0,0
SEA 37-1619,KI,132,449,122,256,0,2
SEA 37-1618,KI,102,389,86,188,0,0
SEA 37-1613,KI,110,292,90,200,0,0
SEA 37-1612,KI,95,288,96,191,0,0
SEA 37-1611,KI,95,289,95,191,0,1
SEA 37-1610,KI,103,331,102,206,0,1
SEA 37-1617,KI,94,323,103,201,0,4
SEA 37-1616,KI,93,351,113,207,0,1
SEA 37-1615,KI,111,343,91,205,0,3
SEA 37-1614,KI,72,260,83,155,0,0
SEA 36-1324,KI,218,779,257,477,0,2
SEA 36-1732,KI,134,449,143,278,0,1
SEA 36-1731,KI,108,404,122,230,0,0
SEA 36-1730,KI,97,385,125,222,0,0
SEA 36-1737,KI,101,416,90,193,0,2
SEA 36-1736,KI,97,341,111,209,0,1
SEA 36-1735,KI,74,252,86,160,0,0
SEA 36-1734,KI,150,497,136,286,0,0
SEA 46-2128,KI,123,542,122,247,0,2
SEA 36-1739,KI,106,309,100,207,0,1
SEA 36-1738,KI,92,295,98,190,0,0
SEA 11-1639,KI,113,551,79,193,0,1
SEA 36-1329,KI,106,410,146,254,0,2
SEA 43-3665,KI,105,379,76,184,0,3
SEA 36-1812,KI,120,469,131,251,0,0
SEA 36-1813,KI,78,330,96,174,0,0
SEA 11-1550,KI,131,563,90,222,0,1
SEA 46-2299,KI,123,393,104,229,0,2
SEA 11-1552,KI,77,379,87,166,0,2
SEA 36-1815,KI,172,453,100,273,0,1
SEA 43-2928,KI,145,639,193,339,0,1
SEA 37-1576,KI,133,435,50,186,0,3
SEA 37-1574,KI,111,417,65,179,0,3
SEA 37-1575,KI,76,377,48,124,0,0
SEA 37-1572,KI,98,307,78,180,0,4
SEA 36-3679,KI,64,314,73,137,0,0
SEA 37-1570,KI,178,659,125,304,0,1
SEA 37-1571,KI,147,432,100,250,0,3
SEA 34-1511,KI,85,320,85,172,0,2
SEA 37-1578,KI,97,413,73,172,0,2
SEA 37-1579,KI,55,247,50,108,0,3
SEA 46-2304,KI,111,369,120,233,0,2
SEA 36-2170,KI,122,450,163,285,0,0
SEA 46-2306,KI,91,307,103,195,0,1
SEA 46-2307,KI,113,313,102,215,0,0
SEA 46-2300,KI,157,490,168,327,0,2
SEA 43-1818,KI,95,295,101,196,0,0
SEA 34-1460,KI,96,324,112,209,0,1
SEA 43-1817,KI,75,264,59,134,0,0
SEA 46-2308,KI,103,377,127,230,0,0
SEA 34-1463,KI,87,259,90,178,0,1
SEA 34-1462,KI,85,339,114,199,0,0
SEA 34-1449,KI,87,367,125,213,0,1
SEA 34-1448,KI,94,270,84,181,0,3
SEA 34-1446,KI,106,398,130,237,0,1
SEA 34-1444,KI,192,595,169,365,0,4
SEA 34-1443,KI,133,380,133,266,0,0
SEA 34-1442,KI,105,380,102,207,0,0
SEA 34-1441,KI,72,264,84,156,0,0
SEA 34-1440,KI,63,242,86,149,0,0
SEA 43-2088,KI,186,694,174,361,0,1
SEA 43-2089,KI,32,341,33,65,0,0
SEA 43-2084,KI,223,668,219,445,0,3
SEA 43-1360,KI,211,622,167,379,0,1
SEA 46-1283,KI,108,391,95,204,0,1
SEA 43-2081,KI,22,385,13,35,0,0
SEA 43-1361,KI,111,417,125,238,0,2
SEA 34-1469,KI,89,362,93,182,0,0
SEA 43-2544,KI,278,887,256,537,0,3
SEA 43-2058,KI,65,247,85,150,0,0
SEA 46-2342,KI,96,406,88,187,0,3
SEA 43-2547,KI,104,461,100,204,0,0
SEA 43-2546,KI,90,324,83,176,0,3
SEA 36-2536,KI,150,567,177,329,0,2
SEA 43-1291,KI,287,684,200,487,0,0
SEA 46-2234,KI,81,274,99,182,0,2
SEA 46-2236,KI,107,350,111,218,0,0
SEA 46-2796,KI,116,456,111,229,0,2
SEA 37-1872,KI,184,581,170,359,0,5
SEA 37-1871,KI,193,629,192,389,0,4
SEA 43-1868,KI,116,353,117,233,0,0
SEA 37-1876,KI,196,766,247,444,0,1
