Row Label,County,Mark C. Chow,Phillip Tavel,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 46-2327,KI,71,50,381,69,190,0,0
SEA 46-2324,KI,106,59,432,72,237,0,0
SEA 43-2047,KI,210,71,662,119,403,0,3
SEA 46-2289,KI,83,35,338,83,203,0,2
SEA 46-2323,KI,130,81,554,98,310,0,1
SEA 46-2320,KI,73,68,350,81,222,0,0
SEA 46-2321,KI,94,62,333,67,225,0,2
SEA 37-3694,KI,27,8,92,9,44,0,0
SEA 43-1368,KI,87,37,292,59,184,0,1
SEA 34-1461,KI,89,101,399,76,268,0,2
SEA 36-1273,KI,102,36,279,63,201,0,0
SEA 34-1508,KI,60,61,295,60,182,0,1
SEA 34-1509,KI,73,40,281,64,177,0,0
SEA 34-1465,KI,101,86,372,64,251,0,0
SEA 34-1464,KI,96,67,359,81,245,0,1
SEA 34-1467,KI,145,85,551,108,339,0,1
SEA 34-1466,KI,62,63,303,54,179,0,0
SEA 34-1502,KI,106,60,342,57,223,0,0
SEA 34-1468,KI,93,81,448,82,256,0,0
SEA 34-1500,KI,121,103,584,104,328,0,0
SEA 34-1501,KI,87,104,369,55,248,0,2
SEA 34-1506,KI,73,56,299,54,183,0,0
SEA 34-1507,KI,98,54,357,76,230,0,2
SEA 34-1504,KI,115,71,418,81,267,0,0
SEA 46-2291,KI,113,44,387,46,204,0,1
SEA 43-1821,KI,59,41,233,44,144,0,0
SEA 43-1869,KI,160,45,465,64,270,0,1
SEA 46-2296,KI,113,61,391,63,237,0,0
SEA 46-2277,KI,169,78,568,121,368,0,0
SEA 43-1369,KI,81,31,285,53,165,0,0
SEA 43-2015,KI,63,48,333,84,195,0,0
SEA 37-1950,KI,37,21,187,8,67,0,1
SEA 34-1489,KI,149,88,744,98,338,0,3
SEA 34-1488,KI,115,77,692,92,284,0,0
SEA 34-1482,KI,89,42,321,48,180,0,1
SEA 34-1481,KI,96,57,479,71,227,0,3
SEA 34-1480,KI,152,83,594,104,339,0,0
SEA 34-1487,KI,102,47,335,56,205,0,0
SEA 34-1486,KI,95,45,364,60,201,0,1
SEA 34-1485,KI,126,92,708,87,307,0,2
SEA 34-1484,KI,82,52,345,46,180,0,0
SEA 36-3153,KI,70,55,390,62,187,0,0
SEA 46-2358,KI,217,118,846,157,494,0,2
SEA 37-1918,KI,100,50,347,62,212,0,0
SEA 37-1919,KI,93,46,378,67,207,0,1
SEA 37-2686,KI,146,76,604,65,291,0,4
SEA 36-3252,KI,89,55,477,66,211,0,1
SEA 37-1915,KI,125,55,384,78,260,0,2
SEA 37-1916,KI,112,62,357,86,261,0,1
SEA 37-1917,KI,153,85,454,73,311,0,0
SEA 37-1910,KI,176,55,513,97,329,0,1
SEA 37-1911,KI,66,52,284,73,191,0,0
SEA 46-2355,KI,94,58,354,71,224,0,1
SEA 37-1913,KI,135,39,338,64,239,0,1
SEA 37-1854,KI,94,45,386,51,190,0,0
SEA 43-1330,KI,123,55,404,59,238,0,1
SEA 43-1849,KI,91,18,323,50,161,0,2
SEA 37-1850,KI,206,56,650,83,346,0,1
SEA 37-1853,KI,71,23,281,26,120,0,0
SEA 43-1845,KI,147,53,575,76,277,0,1
SEA 43-1847,KI,117,33,484,76,227,0,1
SEA 43-1846,KI,92,28,345,37,158,0,1
SEA 43-1843,KI,135,48,551,68,251,0,0
SEA 43-1842,KI,122,69,521,88,282,1,2
SEA 43-2104,KI,110,71,379,79,260,0,0
SEA 43-2029,KI,247,107,706,131,488,0,3
SEA 46-2309,KI,82,49,300,53,184,0,0
SEA 46-2142,KI,152,107,674,97,357,0,1
SEA 43-1262,KI,155,60,468,91,308,0,2
SEA 36-2795,KI,94,50,479,64,209,0,1
SEA 43-1265,KI,76,26,256,45,148,0,1
SEA 37-1637,KI,152,80,760,60,295,0,3
SEA 43-1264,KI,114,55,361,78,248,0,1
SEA 37-1651,KI,135,65,736,55,256,0,1
SEA 43-2025,KI,213,51,556,95,360,0,1
SEA 37-1930,KI,264,53,738,74,391,0,0
SEA 43-1266,KI,86,44,351,82,213,0,1
SEA 46-2145,KI,126,80,497,91,297,0,0
SEA 36-1751,KI,86,56,368,70,212,0,0
SEA 36-1750,KI,102,87,493,107,296,0,0
SEA 36-1752,KI,91,62,437,90,244,0,1
SEA 36-1755,KI,77,29,272,51,158,0,1
SEA 36-1754,KI,116,39,387,97,252,0,0
SEA 36-1757,KI,84,17,262,65,166,0,0
SEA 36-1756,KI,167,120,682,106,393,0,0
SEA 36-1759,KI,68,32,274,68,169,0,1
SEA 36-1758,KI,87,83,351,75,246,0,1
SEA 43-2043,KI,79,49,292,64,193,0,1
SEA 43-2044,KI,95,33,350,57,186,0,1
SEA 43-2045,KI,92,33,315,63,189,0,1
SEA 11-1256,KI,112,66,627,64,242,0,0
SEA 34-1533,KI,60,43,229,56,159,0,0
SEA 34-1532,KI,65,48,237,25,138,0,0
SEA 43-1263,KI,118,40,350,72,230,0,0
SEA 34-1530,KI,155,103,619,107,367,0,2
SEA 34-1537,KI,75,45,289,36,156,0,0
SEA 34-1536,KI,85,59,304,47,191,0,0
SEA 34-1535,KI,60,42,239,44,146,0,0
SEA 34-1534,KI,79,83,362,75,238,0,1
SEA 43-1269,KI,103,42,357,89,234,0,0
SEA 43-1268,KI,118,68,352,68,254,0,0
SEA 34-1539,KI,85,53,356,57,198,0,3
SEA 34-1538,KI,83,55,378,64,202,0,0
SEA 43-2048,KI,109,39,376,65,214,0,1
SEA 46-2343,KI,87,56,341,51,194,0,0
SEA 46-2298,KI,90,49,321,65,205,0,1
SEA 36-2505,KI,90,76,324,61,228,0,1
SEA 36-2504,KI,104,48,303,60,213,0,1
SEA 36-2507,KI,71,38,283,67,180,0,4
SEA 36-2506,KI,94,40,311,67,202,0,1
SEA 36-2503,KI,97,46,305,53,196,0,0
SEA 36-2502,KI,132,62,378,90,284,0,0
SEA 36-2134,KI,120,69,490,76,266,0,1
SEA 46-3677,KI,92,32,320,55,181,0,2
SEA 36-2130,KI,138,56,388,49,243,0,0
SEA 36-2131,KI,195,97,851,161,453,0,0
SEA 36-2133,KI,149,91,698,108,348,0,0
SEA 34-1546,KI,103,68,385,86,257,0,0
SEA 43-1787,KI,130,67,564,80,277,0,0
SEA 11-1602,KI,164,55,598,65,288,0,4
SEA 34-1545,KI,97,62,422,64,224,0,1
SEA 34-1543,KI,61,87,327,70,218,0,0
SEA 34-1540,KI,63,56,333,57,176,0,0
SEA 34-1541,KI,77,71,380,86,235,0,1
SEA 46-1312,KI,84,38,326,59,181,0,0
SEA 46-1313,KI,82,39,280,46,168,0,1
SEA 46-1310,KI,85,70,397,74,229,0,0
SEA 46-1311,KI,84,58,427,56,198,0,0
SEA 43-1788,KI,276,149,807,154,580,0,1
SEA 37-3666,KI,74,30,422,22,128,0,2
SEA 36-1808,KI,86,33,275,37,156,0,0
SEA 36-1805,KI,87,53,473,96,239,0,3
SEA 36-1806,KI,116,73,598,92,281,0,0
SEA 36-1801,KI,161,100,896,130,391,0,0
SEA 36-1803,KI,74,34,298,70,178,0,0
SEA 36-3586,KI,202,89,801,116,407,0,0
SEA 36-3587,KI,124,62,590,83,273,1,3
SEA 37-1563,KI,59,29,323,23,111,0,0
SEA 37-1565,KI,97,28,331,45,172,0,2
SEA 37-1564,KI,114,68,396,44,227,0,1
SEA 36-3669,KI,72,36,349,47,157,0,2
SEA 37-1566,KI,62,62,327,50,176,2,0
SEA 37-1568,KI,91,48,434,40,179,0,0
SEA 43-2083,KI,106,36,422,73,215,0,0
SEA 46-2252,KI,67,48,261,57,172,0,0
SEA 46-2253,KI,147,79,521,95,322,0,1
SEA 46-2251,KI,138,92,555,122,352,0,0
SEA 32-2206,KI,138,54,412,74,266,0,0
SEA 46-2316,KI,104,52,411,83,239,0,0
SEA 32-2204,KI,98,65,339,67,230,0,0
SEA 46-2314,KI,106,57,337,54,217,0,0
SEA 32-2202,KI,109,56,436,84,250,0,1
SEA 32-2203,KI,172,112,758,134,422,0,4
SEA 32-2200,KI,115,68,385,80,263,0,0
SEA 32-2201,KI,137,91,463,87,315,0,0
SEA 46-2619,KI,116,83,539,79,279,0,1
SEA 43-2545,KI,196,58,699,120,375,0,1
SEA 32-2208,KI,91,56,350,77,224,0,0
SEA 32-2209,KI,163,110,599,128,402,0,1
SEA 36-2592,KI,106,38,352,58,205,0,3
SEA 36-2593,KI,75,40,289,59,174,0,0
SEA 34-1438,KI,75,66,328,68,209,0,0
SEA 34-1439,KI,78,63,369,77,220,1,1
SEA 34-1432,KI,73,70,331,73,218,0,2
SEA 34-1433,KI,76,65,319,67,208,0,0
SEA 34-1430,KI,88,46,322,56,190,0,0
SEA 34-1431,KI,75,67,308,60,203,0,1
SEA 34-1436,KI,60,45,362,51,156,0,0
SEA 34-1437,KI,93,56,498,104,254,0,1
SEA 34-1434,KI,68,51,271,63,183,0,1
SEA 34-1435,KI,57,54,299,67,178,0,0
SEA 36-2509,KI,113,62,403,85,260,0,0
SEA 36-2508,KI,116,100,427,77,293,0,0
SEA 46-2352,KI,82,52,338,46,181,0,1
SEA 46-1955,KI,129,70,558,90,289,0,0
SEA 11-1600,KI,137,41,550,77,257,0,2
SEA 46-2228,KI,94,60,486,77,234,0,3
SEA 46-2221,KI,115,79,513,104,298,0,0
SEA 43-1280,KI,141,83,669,113,337,0,0
SEA 43-1784,KI,136,75,500,96,308,0,1
SEA 36-3267,KI,85,64,548,69,219,0,1
SEA 37-1886,KI,175,57,523,61,293,0,0
SEA 37-1884,KI,232,45,643,107,385,0,1
SEA 37-1885,KI,139,21,398,63,223,0,0
SEA 37-1882,KI,117,38,395,38,193,0,0
SEA 37-1883,KI,102,43,423,58,204,0,1
SEA 37-1880,KI,165,52,514,57,276,0,2
SEA 37-1881,KI,107,36,396,45,188,0,0
SEA 43-1780,KI,81,60,350,67,208,0,0
SEA 43-1781,KI,98,30,326,35,164,0,1
SEA 46-2292,KI,147,69,505,72,288,0,0
SEA 36-1386,KI,83,62,315,68,213,0,0
SEA 36-1387,KI,127,79,462,82,289,0,1
SEA 36-1384,KI,113,59,309,55,228,0,1
SEA 36-1385,KI,69,43,243,63,175,0,0
SEA 36-1382,KI,111,53,374,69,233,0,0
SEA 36-1388,KI,114,47,337,59,220,0,0
SEA 36-1389,KI,77,36,259,50,163,0,0
SEA 43-1274,KI,93,62,302,60,216,0,1
SEA 43-2006,KI,72,34,298,63,169,0,0
SEA 43-2007,KI,65,35,256,64,164,0,0
SEA 43-2000,KI,142,67,550,85,294,0,0
SEA 43-2001,KI,191,104,648,137,433,0,1
SEA 43-2002,KI,188,85,587,117,391,0,1
SEA 46-2293,KI,137,77,441,78,292,0,0
SEA 46-1957,KI,98,131,553,125,354,0,0
SEA 37-2861,KI,113,52,391,78,243,0,0
SEA 43-2009,KI,160,86,487,82,329,0,1
SEA 37-1635,KI,87,54,524,55,199,0,3
SEA 37-1589,KI,122,39,290,55,217,0,1
SEA 37-1588,KI,99,26,244,34,159,0,0
SEA 46-1314,KI,81,52,330,77,210,0,0
SEA 37-1634,KI,95,49,473,46,191,0,1
SEA 37-1583,KI,213,76,700,91,382,0,2
SEA 37-1582,KI,146,79,715,65,291,0,1
SEA 37-1580,KI,97,34,333,28,160,1,0
SEA 37-1587,KI,104,42,311,49,195,0,0
SEA 37-1586,KI,159,40,373,50,251,0,2
SEA 36-3566,KI,107,92,579,108,307,0,0
SEA 36-1299,KI,116,63,425,79,260,0,2
SEA 43-1347,KI,217,100,726,117,435,0,1
SEA 43-1344,KI,144,60,452,88,292,0,0
SEA 37-1636,KI,129,51,586,37,217,0,0
SEA 43-1342,KI,107,55,366,75,237,0,0
SEA 43-1343,KI,111,42,355,62,215,0,0
SEA 43-1341,KI,163,79,499,109,351,0,0
SEA 46-2290,KI,92,42,289,61,195,0,0
SEA 46-2272,KI,88,60,367,99,247,0,0
SEA 43-1348,KI,162,54,555,100,317,0,1
SEA 37-1630,KI,79,40,309,50,169,0,0
SEA 46-1284,KI,64,33,278,43,140,0,0
SEA 46-1285,KI,77,49,303,56,182,0,0
SEA 43-1975,KI,25,12,439,26,63,0,0
SEA 37-1633,KI,72,45,329,46,163,0,0
SEA 46-1282,KI,174,91,656,132,399,0,2
SEA 43-1976,KI,30,24,242,38,94,0,2
SEA 37-1632,KI,79,44,292,49,173,0,1
SEA 43-3320,KI,102,73,515,66,241,0,0
SEA 36-1661,KI,65,56,277,72,193,0,0
SEA 43-2014,KI,128,44,352,88,260,0,0
SEA 36-1663,KI,66,61,275,77,205,0,1
SEA 36-1709,KI,66,40,359,48,154,0,0
SEA 36-1665,KI,134,89,515,132,356,0,1
SEA 36-1664,KI,78,58,326,82,218,0,0
SEA 46-1963,KI,47,47,278,58,152,0,0
SEA 36-1666,KI,134,117,572,109,360,0,0
SEA 36-1702,KI,150,94,606,126,372,0,2
SEA 36-1668,KI,99,70,443,72,244,0,3
SEA 36-1700,KI,87,48,383,72,208,0,1
SEA 36-1701,KI,120,48,331,62,231,0,1
SEA 46-1969,KI,54,53,278,62,169,0,0
SEA 11-1641,KI,101,34,539,46,183,0,2
SEA 36-1704,KI,93,81,640,76,251,0,1
SEA 46-2094,KI,92,28,283,58,178,0,0
SEA 46-2095,KI,99,32,279,55,187,0,1
SEA 36-3319,KI,128,109,867,127,365,0,1
SEA 36-3318,KI,189,104,680,135,428,0,0
SEA 46-2090,KI,115,72,494,75,262,0,0
SEA 46-2091,KI,121,63,451,80,265,0,1
SEA 46-2092,KI,104,50,311,71,225,0,0
SEA 46-2093,KI,181,58,462,78,317,0,0
SEA 34-1411,KI,67,58,307,72,197,0,0
SEA 46-2099,KI,121,63,437,107,293,0,2
SEA 43-2853,KI,117,37,440,52,206,0,0
SEA 43-2852,KI,114,44,501,66,226,0,2
SEA 36-1689,KI,129,79,484,105,313,0,0
SEA 36-1688,KI,66,54,273,59,179,0,0
SEA 43-2113,KI,69,27,393,42,140,0,2
SEA 36-1683,KI,71,63,305,71,205,0,0
SEA 36-1682,KI,60,56,309,73,190,0,1
SEA 34-1409,KI,94,84,422,92,270,0,0
SEA 34-1408,KI,184,155,708,141,481,0,1
SEA 36-1687,KI,131,69,644,108,309,0,1
SEA 36-1686,KI,139,94,768,118,352,0,1
SEA 36-1685,KI,100,59,418,61,220,0,0
SEA 36-1684,KI,70,49,338,54,173,0,0
SEA 43-1333,KI,107,47,340,75,229,0,0
SEA 43-1332,KI,137,42,385,88,267,0,0
SEA 43-1331,KI,106,51,366,67,224,0,0
SEA 37-1647,KI,166,82,669,100,349,1,0
SEA 43-1335,KI,186,78,637,111,377,1,1
SEA 43-1334,KI,127,66,446,67,262,0,2
SEA 36-1768,KI,81,52,331,68,201,0,0
SEA 43-1339,KI,79,40,298,67,187,0,1
SEA 43-1338,KI,178,49,449,75,302,0,0
SEA 43-1861,KI,259,67,750,106,432,0,0
SEA 46-2297,KI,84,29,283,55,169,0,1
SEA 46-2261,KI,66,44,256,65,175,0,0
SEA 36-2172,KI,99,47,319,67,214,0,1
SEA 37-1643,KI,131,45,682,52,228,0,0
SEA 34-1476,KI,66,45,273,58,170,0,1
SEA 34-1477,KI,77,56,307,67,200,0,0
SEA 34-1474,KI,98,59,402,70,227,0,0
SEA 34-1475,KI,63,49,311,64,176,0,0
SEA 34-1472,KI,89,40,239,41,171,0,1
SEA 34-1473,KI,94,35,319,51,180,0,0
SEA 34-1470,KI,141,100,677,110,352,0,1
SEA 34-1471,KI,121,82,492,102,305,0,0
SEA 43-3424,KI,126,30,407,62,219,0,1
SEA 36-2149,KI,99,64,367,98,261,0,0
SEA 36-2148,KI,110,38,359,81,229,0,0
SEA 34-1478,KI,50,76,253,37,163,0,0
SEA 34-1479,KI,89,49,313,61,200,0,1
SEA 34-1259,KI,91,52,328,62,205,0,0
SEA 43-2050,KI,103,60,442,56,222,0,3
SEA 37-1567,KI,95,34,332,27,156,0,0
SEA 37-1648,KI,160,82,695,85,327,0,0
SEA 37-3617,KI,119,47,553,66,235,0,3
SEA 46-2295,KI,133,74,481,103,310,0,0
SEA 34-1498,KI,157,88,668,83,330,0,2
SEA 34-1499,KI,114,88,483,86,289,0,1
SEA 34-1258,KI,89,70,341,66,225,0,0
SEA 46-2257,KI,228,113,799,166,509,0,2
SEA 34-1490,KI,103,68,437,63,235,0,1
SEA 34-1493,KI,134,96,722,88,320,0,2
SEA 34-1494,KI,124,67,536,70,265,0,4
SEA 34-1496,KI,183,94,826,111,389,0,1
SEA 34-1497,KI,148,102,728,83,336,0,3
SEA 46-2267,KI,88,79,518,74,241,0,0
SEA 37-1920,KI,183,69,574,87,339,0,0
SEA 46-2264,KI,243,100,768,143,487,0,1
SEA 37-1925,KI,90,23,319,39,153,0,1
SEA 37-1927,KI,119,41,409,56,216,0,0
SEA 46-2260,KI,250,121,722,139,511,0,1
SEA 46-2340,KI,168,98,680,115,381,0,0
SEA 11-1942,KI,162,43,526,64,271,0,2
SEA 11-1941,KI,124,42,431,58,224,0,0
SEA 37-1841,KI,232,66,813,96,396,0,2
SEA 11-1947,KI,101,56,453,47,204,0,0
SEA 46-2345,KI,80,52,294,63,196,0,1
SEA 11-1945,KI,202,65,703,74,341,0,0
SEA 46-2268,KI,75,65,330,65,205,0,0
SEA 43-1999,KI,135,52,439,83,270,0,0
SEA 43-1851,KI,239,65,694,108,413,0,1
SEA 43-1856,KI,190,59,579,70,322,0,3
SEA 37-1621,KI,86,25,342,40,151,0,0
SEA 43-1855,KI,185,23,619,127,337,0,2
SEA 43-1993,KI,75,42,238,30,147,0,0
SEA 43-1992,KI,97,136,652,176,410,0,1
SEA 43-1858,KI,110,31,335,62,203,0,0
SEA 43-1859,KI,164,38,553,83,286,0,1
SEA 43-1997,KI,86,57,295,49,194,0,2
SEA 43-1996,KI,87,38,298,67,193,0,1
SEA 43-1995,KI,78,36,244,49,163,0,0
SEA 43-1857,KI,141,34,528,74,251,0,2
SEA 46-2317,KI,100,92,433,75,269,0,2
SEA 43-3685,KI,62,49,258,47,158,0,0
SEA 46-2346,KI,100,36,364,56,193,0,1
SEA 43-2052,KI,65,31,445,47,143,0,0
SEA 46-2127,KI,140,67,494,71,278,0,0
SEA 43-1991,KI,181,130,839,175,487,0,1
SEA 43-1990,KI,84,85,458,91,260,0,0
SEA 43-2064,KI,70,33,370,44,148,0,1
SEA 46-2310,KI,127,78,386,70,277,0,2
SEA 46-2286,KI,117,71,437,91,279,0,0
SEA 36-3689,KI,81,22,398,62,166,0,1
SEA 43-1378,KI,123,39,308,56,219,0,1
SEA 46-2305,KI,96,78,364,79,253,0,0
SEA 36-3686,KI,107,68,501,78,254,0,1
SEA 46-2280,KI,166,98,645,131,396,0,1
SEA 43-2543,KI,100,19,313,33,153,0,1
SEA 46-2369,KI,99,83,419,80,262,0,0
SEA 46-2328,KI,58,39,299,49,147,0,1
SEA 43-2040,KI,124,24,476,65,214,0,1
SEA 46-2282,KI,177,120,653,132,429,0,0
SEA 46-2319,KI,125,101,506,97,323,0,0
SEA 46-2098,KI,122,76,436,87,285,0,0
SEA 46-2318,KI,95,49,277,43,188,0,1
SEA 36-1746,KI,95,57,313,51,203,0,0
SEA 36-1747,KI,79,61,296,54,195,0,1
SEA 36-1744,KI,82,54,393,92,228,0,0
SEA 46-2325,KI,99,80,405,63,242,0,0
SEA 36-1742,KI,80,49,296,55,185,0,1
SEA 36-1743,KI,82,62,391,62,206,0,0
SEA 36-1740,KI,81,54,323,73,208,0,0
SEA 36-1741,KI,78,59,325,70,207,0,0
SEA 43-2075,KI,71,36,458,56,163,0,0
SEA 43-2074,KI,146,72,564,97,316,0,1
SEA 43-2076,KI,63,31,403,42,137,0,1
SEA 43-2071,KI,129,60,371,71,260,0,0
SEA 36-2590,KI,116,41,364,55,213,0,1
SEA 36-1748,KI,80,37,261,52,169,0,0
SEA 36-1749,KI,157,97,681,114,370,0,2
SEA 46-2274,KI,72,27,256,68,167,0,0
SEA 46-2349,KI,104,50,382,65,220,1,0
SEA 43-2110,KI,96,34,452,56,186,0,0
SEA 34-1520,KI,81,61,314,48,190,0,0
SEA 34-1521,KI,69,46,266,65,181,0,1
SEA 34-1522,KI,63,58,261,50,171,0,0
SEA 34-1523,KI,69,53,296,71,193,0,0
SEA 34-1524,KI,82,50,291,67,199,0,0
SEA 34-1526,KI,64,38,248,53,156,0,1
SEA 34-1527,KI,160,112,684,77,351,0,2
SEA 43-1377,KI,97,54,330,56,207,0,0
SEA 34-1529,KI,50,35,266,47,132,0,0
SEA 43-1375,KI,116,50,327,54,222,0,2
SEA 43-1374,KI,96,36,295,73,205,0,0
SEA 32-3568,KI,156,109,849,117,383,1,0
SEA 43-1372,KI,114,30,335,80,224,0,0
SEA 43-1278,KI,144,61,588,101,308,0,2
SEA 43-1279,KI,201,76,684,129,406,0,0
SEA 43-2862,KI,137,103,736,120,360,0,0
SEA 36-2518,KI,114,54,425,77,246,0,1
SEA 43-1887,KI,199,63,648,102,365,0,1
SEA 36-2512,KI,163,76,505,89,331,0,3
SEA 36-2513,KI,119,69,434,113,301,0,0
SEA 36-2510,KI,92,63,352,66,221,0,0
SEA 36-2118,KI,136,66,383,47,250,0,1
SEA 36-2517,KI,180,95,613,106,382,0,1
SEA 36-2514,KI,78,52,298,63,193,0,0
SEA 36-2515,KI,93,57,361,83,233,0,0
SEA 37-1619,KI,131,55,449,69,256,0,1
SEA 37-1618,KI,108,31,389,49,188,0,0
SEA 37-1613,KI,108,34,292,58,200,0,0
SEA 37-1612,KI,93,46,288,52,191,0,0
SEA 37-1611,KI,110,31,289,50,191,0,0
SEA 37-1610,KI,133,28,331,45,206,0,0
SEA 37-1617,KI,127,31,323,43,201,0,0
SEA 37-1616,KI,125,43,351,38,207,0,1
SEA 37-1615,KI,124,30,343,49,205,0,2
SEA 37-1614,KI,84,35,260,36,155,0,0
SEA 36-1324,KI,225,97,779,153,477,0,2
SEA 36-1732,KI,113,70,449,95,278,0,0
SEA 36-1731,KI,93,60,404,77,230,0,0
SEA 36-1730,KI,94,59,385,69,222,0,0
SEA 36-1737,KI,70,53,416,69,193,0,1
SEA 36-1736,KI,86,47,341,75,209,0,1
SEA 36-1735,KI,65,50,252,45,160,0,0
SEA 36-1734,KI,123,61,497,102,286,0,0
SEA 46-2128,KI,123,47,542,77,247,0,0
SEA 36-1739,KI,81,63,309,63,207,0,0
SEA 36-1738,KI,88,41,295,61,190,0,0
SEA 11-1639,KI,117,33,551,43,193,0,0
SEA 36-1329,KI,112,50,410,92,254,0,0
SEA 43-3665,KI,78,54,379,52,184,0,0
SEA 36-1812,KI,92,72,469,86,251,0,1
SEA 36-1813,KI,79,37,330,58,174,0,0
SEA 11-1550,KI,121,59,563,41,222,0,1
SEA 46-2299,KI,125,41,393,62,229,0,1
SEA 11-1552,KI,69,36,379,59,166,0,2
SEA 36-1815,KI,123,87,453,63,273,0,0
SEA 43-2928,KI,157,67,639,115,339,0,0
SEA 37-1576,KI,102,52,435,32,186,0,0
SEA 37-1574,KI,85,45,417,48,179,0,1
SEA 37-1575,KI,57,25,377,42,124,0,0
SEA 37-1572,KI,95,34,307,50,180,0,1
SEA 36-3679,KI,54,34,314,49,137,0,0
SEA 37-1570,KI,143,75,659,86,304,0,0
