Row Label,County,Michael J. Trickey,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
RNT 11-0985,KI,93,325,71,167,0,3
RNT 11-0984,KI,86,279,53,140,0,1
RNT 11-0986,KI,204,719,140,349,0,5
RNT 11-0981,KI,250,794,145,399,0,4
RNT 11-0980,KI,61,333,28,90,0,1
AUB 47-2573,KI,258,679,125,391,0,8
KEN 33-0578,KI,133,501,72,207,0,2
KEN 33-0576,KI,100,394,62,165,0,3
KEN 33-0577,KI,108,371,61,170,0,1
KEN 33-0575,KI,107,413,46,153,0,0
BERRYDALE,KI,128,505,146,277,0,3
LOUIE,KI,136,512,99,236,0,1
M-V 05-3600,KI,147,616,123,270,0,0
M-V 05-3601,KI,144,496,92,239,0,3
BEL 41-0733,KI,164,718,151,315,0,0
GOLDFINCH,KI,88,281,76,165,0,1
ENM 31-0409,KI,100,379,96,196,0,0
LAKE RETREAT,KI,168,654,173,347,0,6
CLOVER,KI,169,594,125,299,0,5
SEA 37-1898,KI,78,285,80,158,0,0
RNT 11-1125,KI,161,661,105,268,0,2
HERON,KI,136,424,83,222,0,3
COV 47-3597,KI,74,293,66,150,0,10
RNT 33-2472,KI,161,587,87,252,0,4
CHINOOK,KI,188,671,167,357,0,2
SEA 34-1476,KI,81,273,89,170,0,0
AUB 31-3299,KI,73,248,81,155,0,1
SEA 34-1474,KI,107,402,120,227,0,0
BROKEN HILL,KI,157,639,111,268,0,0
SEA 11-1600,KI,136,550,120,257,0,1
SEA 43-1787,KI,148,564,127,277,0,2
SEA 11-1602,KI,142,598,137,288,0,9
SEA 34-1475,KI,86,311,87,176,0,3
SEA 34-1543,KI,114,327,104,218,0,0
SEA 34-1540,KI,80,333,94,176,0,2
SEA 34-1541,KI,97,380,137,235,0,1
SEA 34-1472,KI,88,239,83,171,0,0
SALISH,KI,238,674,177,418,0,3
SEA 43-1788,KI,360,807,219,580,0,1
SEA 34-1473,KI,105,319,75,180,0,0
ALG 30-0014,KI,166,486,61,229,0,2
KIR 01-0019,KI,253,752,178,433,0,2
SEA 37-3666,KI,89,422,37,128,0,2
SEA 34-1470,KI,196,677,151,352,0,5
ALG 30-0013,KI,101,467,49,153,0,3
CALHOUN,KI,161,574,69,236,0,6
RED 48-3475,KI,125,356,83,210,0,2
COLVOS,KI,83,250,67,153,0,3
RNT 11-0502,KI,207,703,135,346,0,4
LFP 46-1075,KI,118,366,99,217,0,0
SEA 32-2206,KI,138,412,125,266,1,2
SEA 46-2316,KI,121,411,117,239,0,1
SEA 32-2204,KI,115,339,109,230,0,6
SEA 46-2314,KI,121,337,95,217,0,1
SEA 32-2202,KI,126,436,121,250,0,3
COV 47-3581,KI,104,385,75,180,0,1
SEA 32-2200,KI,134,385,129,263,0,0
SEA 32-2201,KI,174,463,141,315,0,0
BEL 48-0207,KI,102,327,83,186,0,1
BEL 48-0201,KI,172,512,120,293,0,1
SEA 32-2208,KI,103,350,120,224,0,1
SEA 32-2209,KI,204,599,196,402,0,2
SEA 34-1438,KI,119,328,90,209,0,0
SEA 34-1439,KI,103,369,113,220,1,3
SEA 34-1432,KI,108,331,109,218,0,1
SEA 34-1433,KI,101,319,105,208,0,2
KEN 47-3323,KI,129,459,88,218,0,1
SEA 34-1431,KI,108,308,94,203,0,1
SEA 34-1436,KI,75,362,81,156,0,0
SEA 34-1437,KI,112,498,139,254,0,3
SEA 34-1434,KI,96,271,86,183,0,1
SEA 34-1435,KI,72,299,106,178,0,0
KEN 47-2403,KI,105,466,62,171,0,4
SAM 41-3638,KI,187,717,154,346,0,5
SAM 45-2564,KI,222,749,194,418,0,2
FAIRMONT,KI,103,394,109,216,0,4
CHALLENGER,KI,101,293,84,185,0,0
BEL 48-0149,KI,126,416,107,234,0,1
BEL 48-0142,KI,91,299,67,159,0,1
BEL 48-0143,KI,88,291,62,152,0,2
BEL 48-0140,KI,146,425,86,234,0,2
BEL 48-0146,KI,97,298,76,173,0,0
BEL 48-0147,KI,111,444,94,207,0,2
BEL 48-0144,KI,92,320,75,169,0,2
BEL 48-0145,KI,72,274,62,137,0,3
SEA 46-2228,KI,116,486,112,234,0,6
SEA 46-2221,KI,145,513,153,298,0,0
DES 30-1227,KI,213,635,160,378,0,5
SHL 32-2753,KI,117,465,63,184,0,4
DANIEL,KI,175,574,139,323,0,9
ISS 05-2806,KI,124,399,119,243,0,0
SAM 45-3412,KI,233,738,171,406,0,2
JAY,KI,139,492,141,280,0,0
SHL 32-1210,KI,161,535,118,284,0,5
SEA 37-1944,KI,181,754,143,326,0,2
SEA 36-1386,KI,97,315,113,213,0,3
SEA 36-1387,KI,149,462,139,289,0,1
SEA 36-1384,KI,117,309,104,228,0,7
SEA 36-1385,KI,68,243,105,175,0,2
AUB 31-0082,KI,126,403,73,203,0,4
AUB 31-0083,KI,133,487,95,229,0,1
AUB 31-0080,KI,251,830,155,414,0,8
AUB 31-0081,KI,135,457,63,199,0,1
SEA 36-1388,KI,95,337,125,220,0,0
SEA 36-1389,KI,80,259,82,163,0,1
TUK 11-3393,KI,83,347,35,119,0,1
HONEY,KI,32,102,25,57,0,0
KEN 33-3332,KI,234,863,200,437,0,3
KEN 47-0798,KI,225,742,169,394,0,0
SET 33-3069,KI,90,353,78,169,0,1
SET 33-3068,KI,123,464,105,228,0,0
SKY 39-1091,KI,38,130,36,74,0,0
SET 33-3066,KI,105,491,72,179,0,2
KEN 33-3445,KI,112,375,73,188,0,3
SET 33-3064,KI,110,468,56,167,0,1
SET 33-3063,KI,108,330,63,173,0,2
SET 33-3062,KI,99,316,56,155,0,0
SET 33-3061,KI,97,340,67,166,0,2
SEA 37-1630,KI,79,309,89,169,0,1
KEN 33-2426,KI,176,550,121,298,0,1
SEA 43-1976,KI,59,242,35,94,0,0
SHL 32-1106,KI,168,585,129,299,0,2
BEL 41-2554,KI,178,645,165,343,0,0
SEA 43-3320,KI,131,515,109,241,0,1
SHL 32-1101,KI,81,301,76,157,0,0
SEA 37-1622,KI,126,578,100,226,0,0
BUR 33-0805,KI,185,591,82,270,0,3
SEA 36-1709,KI,85,359,67,154,0,2
COOPER,KI,147,473,128,278,0,3
SEA 36-1702,KI,171,606,198,372,0,3
SEA 36-1703,KI,174,530,165,340,0,1
SEA 36-1700,KI,119,383,88,208,0,1
DOLPHIN,KI,96,275,85,183,0,2
SEA 36-1704,KI,139,640,108,251,0,4
SEA 46-2094,KI,87,283,91,178,0,0
SEA 46-2095,KI,77,279,109,187,0,1
SEA 46-2096,KI,79,230,83,162,0,0
SEA 46-2097,KI,112,400,145,257,0,0
SEA 46-2090,KI,148,494,114,262,0,0
SEA 46-2091,KI,131,451,133,265,0,1
SEA 46-2092,KI,115,311,110,225,0,0
SEA 36-2750,KI,109,458,84,198,0,5
SEA 34-1497,KI,193,728,138,336,0,5
SEA 46-2098,KI,142,436,141,285,0,2
DOLLOFF,KI,124,412,96,223,0,3
LOIS,KI,124,566,107,237,0,6
SHL 32-0538,KI,120,425,97,219,0,2
SEA 46-2263,KI,187,599,207,396,0,2
BEL 48-3166,KI,176,561,101,278,0,1
SHL 32-0530,KI,101,282,76,179,0,2
BEL 48-3498,KI,82,239,71,153,0,0
AUB 31-0069,KI,101,314,58,159,0,0
SEA 36-2147,KI,161,489,174,338,0,3
SEA 36-2146,KI,93,338,105,199,0,1
AUB 31-0062,KI,217,660,113,332,0,2
AUB 31-0063,KI,86,279,43,130,0,1
AUB 31-0064,KI,90,408,35,125,0,0
AUB 31-0065,KI,80,288,45,125,0,0
COV 47-3244,KI,134,466,65,204,0,5
SEA 46-2345,KI,88,294,108,196,0,0
ALDERWOOD,KI,158,440,122,284,0,4
RED 45-2643,KI,142,433,107,254,0,5
BEL 41-3291,KI,81,292,77,159,0,1
SEA 37-1920,KI,186,574,152,339,0,1
SEA 37-1925,KI,77,319,73,153,0,3
SEA 37-1927,KI,102,409,111,216,0,3
RNT 11-2816,KI,172,578,122,297,0,3
SEA 43-1999,KI,137,439,133,270,0,0
SEA 43-1993,KI,93,238,53,147,0,1
SEA 43-1992,KI,185,652,222,410,0,3
SEA 43-1991,KI,266,839,219,487,0,2
SEA 43-1990,KI,144,458,115,260,0,1
SEA 43-1997,KI,98,295,95,194,0,1
SEA 43-1996,KI,96,298,96,193,0,1
SEA 43-1995,KI,86,244,76,163,0,1
SEA 43-1994,KI,120,295,77,197,0,0
RNT 11-3224,KI,127,457,83,214,0,4
BUR 34-0025,KI,202,734,147,352,0,3
RNT 11-3223,KI,70,294,43,114,0,1
RNT 11-3222,KI,166,581,126,295,0,3
MARCEL,KI,107,371,98,207,0,2
RNT 11-2607,KI,116,631,79,196,0,1
SAM 45-3388,KI,226,698,162,389,0,1
SAM 45-3389,KI,289,762,171,460,0,0
SEA 43-3685,KI,82,258,74,158,0,2
DES 33-1078,KI,86,354,64,150,0,0
SAM 45-3386,KI,227,784,170,398,0,1
SAM 45-3387,KI,135,402,107,244,0,2
LAKERIDGE,KI,220,751,188,411,0,3
BEL 41-3583,KI,224,675,162,386,0,0
BEL 41-0129,KI,91,316,56,148,0,1
BEL 41-0128,KI,159,494,136,295,0,0
MCDONALD,KI,146,525,135,285,0,4
BEL 41-0124,KI,174,505,133,308,0,1
BEL 41-0123,KI,195,748,124,323,0,4
BEL 41-0122,KI,133,391,80,213,0,0
BEL 41-0121,KI,133,501,95,231,0,3
BEL 41-0120,KI,82,248,75,157,0,0
SNQ 05-3151,KI,157,627,139,297,0,1
RNT 11-3359,KI,134,487,51,188,0,3
RNT 11-0992,KI,79,295,48,127,0,0
RNT 11-0990,KI,130,448,69,199,0,0
RNT 11-0996,KI,144,562,109,257,0,4
RNT 11-0997,KI,197,875,127,328,0,4
RNT 11-3643,KI,107,363,70,180,0,3
RNT 11-0998,KI,98,363,72,171,0,1
WAXWING,KI,88,295,88,178,0,2
KEN 33-0583,KI,117,371,85,203,0,1
KEN 33-0582,KI,211,843,144,359,0,4
KEN 33-0581,KI,212,684,97,311,0,2
KEN 33-0587,KI,116,470,89,209,0,4
KEN 33-0586,KI,151,437,105,256,0,0
KEN 33-0585,KI,133,569,88,224,0,3
KEN 33-0588,KI,90,317,66,157,0,1
HUCKLEBERRY,KI,125,420,102,227,0,0
SEA 43-3595,KI,173,535,145,322,0,4
MINK ROAD,KI,131,424,126,260,0,3
RED 45-3282,KI,236,707,186,425,0,3
RED 45-3281,KI,187,633,122,312,0,3
LFP 46-0397,KI,111,397,92,204,0,1
BUR 33-0251,KI,89,386,83,174,0,2
SHL 32-0844,KI,151,431,124,276,0,1
SEA 43-1379,KI,85,263,100,187,0,2
SEA 43-1378,KI,98,308,120,219,0,1
SEA 43-1377,KI,109,330,97,207,0,1
SEA 43-1376,KI,160,541,150,312,0,2
SEA 43-1375,KI,98,327,119,222,0,5
SEA 43-1374,KI,89,295,116,205,0,0
SEA 43-1373,KI,120,335,117,243,0,6
SEA 43-1372,KI,96,335,127,224,0,1
SEA 43-1371,KI,84,288,81,166,0,1
SEA 43-1370,KI,109,332,125,237,0,3
LFP 46-0400,KI,167,519,145,315,0,3
ISS 05-3464,KI,197,829,178,376,0,1
HUTCHINSON,KI,214,678,212,427,0,1
BEL 41-1052,KI,139,462,118,257,0,0
SAWYER,KI,202,594,175,382,0,5
SAM 41-3607,KI,130,498,127,259,0,2
SEA 11-1639,KI,104,551,88,193,0,1
SEA 43-3665,KI,110,379,72,184,0,2
KEN 47-2939,KI,77,314,42,121,0,2
NOVELTY,KI,158,605,176,336,0,2
BUR 34-1047,KI,201,744,151,355,0,3
BEL 41-2970,KI,194,714,184,384,0,6
SEA 43-1368,KI,76,292,107,184,0,1
MAY VALLEY,KI,132,492,111,246,0,3
BEL 48-0212,KI,224,620,77,303,0,2
BEL 48-0213,KI,123,395,48,175,0,4
SEA 46-2306,KI,89,307,105,195,0,1
SEA 46-2127,KI,156,494,121,278,0,1
BEL 48-0216,KI,90,256,50,140,0,0
BEL 48-0217,KI,119,404,65,184,0,0
BEL 48-0214,KI,79,274,51,130,0,0
SEA 46-2303,KI,125,422,158,284,0,1
BEL 48-0218,KI,200,546,137,338,0,1
SEA 46-2308,KI,107,377,123,230,0,0
SEA 46-2309,KI,95,300,88,184,0,1
GRASS LAKE,KI,148,374,85,235,0,2
SEA 34-1449,KI,94,367,118,213,0,1
RNT 11-0456,KI,192,635,94,291,0,5
SEA 34-1446,KI,103,398,132,237,0,2
SEA 34-1444,KI,195,595,166,365,0,4
SEA 34-1443,KI,145,380,121,266,0,0
SEA 11-1256,KI,147,627,93,242,0,2
SEA 34-1441,KI,75,264,78,156,0,3
SEA 34-1440,KI,64,242,85,149,0,0
SEA 43-1367,KI,119,375,131,253,0,3
SEA 43-2088,KI,197,694,163,361,0,1
SEA 43-2089,KI,35,341,30,65,0,0
SHADOW LAKE,KI,169,610,160,334,0,5
SEA 43-2084,KI,236,668,205,445,0,4
SEA 43-2081,KI,25,385,10,35,0,0
SEA 43-1361,KI,114,417,121,238,0,3
KEN 47-2599,KI,216,748,127,345,0,2
BEL 48-0138,KI,101,393,77,179,0,1
BEL 48-0136,KI,68,274,42,113,0,3
BEL 48-0135,KI,72,256,54,127,0,1
BEL 48-0134,KI,99,324,44,143,0,0
BEL 48-0133,KI,80,307,62,143,0,1
BEL 48-0132,KI,64,249,68,134,0,2
AUB 31-3405,KI,200,662,122,322,0,0
SEA 46-2231,KI,184,619,178,366,0,4
SEA 46-2234,KI,85,274,95,182,0,2
SEA 46-2236,KI,102,350,116,218,0,0
SEA 46-2796,KI,114,456,109,229,0,6
SQUAK MOUNTAIN,KI,67,188,48,115,0,0
DES 33-3131,KI,68,266,48,119,0,3
SNQ 05-3558,KI,125,487,110,236,0,1
SEA 46-2153,KI,113,492,113,231,0,5
SEA 46-2152,KI,79,378,111,192,0,2
LAKELAND,KI,139,527,105,248,0,4
AUB 47-0328,KI,253,684,141,397,0,3
KEN 47-1034,KI,217,745,139,356,0,0
FAIRGLEN,KI,147,442,111,258,0,0
GENEVA,KI,119,408,96,218,0,3
KEN 11-3403,KI,161,549,101,264,0,2
SET 33-3075,KI,61,289,54,116,0,1
SET 33-3076,KI,187,623,119,310,0,4
SET 33-3070,KI,93,340,78,173,0,2
AUB 30-0046,KI,110,351,58,169,0,1
SEA 36-1288,KI,138,391,126,265,0,1
SEA 36-1287,KI,228,733,249,481,0,4
SEA 36-1286,KI,120,439,132,254,0,2
ENM 31-0411,KI,253,765,154,410,0,3
SHL 32-0444,KI,147,438,112,260,0,1
SEA 37-1652,KI,62,287,93,157,0,2
SEA 37-1651,KI,169,736,83,256,0,4
SEA 37-1650,KI,77,260,97,175,0,1
SEA 36-1775,KI,176,711,145,327,0,6
SEA 36-1774,KI,177,494,168,347,0,2
BUR 33-0818,KI,185,753,133,319,0,1
SEA 36-1772,KI,142,534,140,284,0,2
SEA 36-1771,KI,135,487,113,248,0,0
SEA 36-1770,KI,82,234,76,159,0,1
SERENIDAD,KI,195,746,121,317,0,1
ISS 41-3533,KI,147,507,107,254,0,0
AUB 47-0072,KI,162,525,126,289,0,1
AUB 47-0073,KI,166,687,75,244,0,3
AUB 47-0074,KI,201,569,93,294,0,0
GROUSEMONT,KI,207,593,188,396,0,1
REGAL,KI,198,788,122,321,0,1
RED 45-2410,KI,287,822,242,533,0,4
SAM 45-2620,KI,169,491,131,305,0,5
KMR 46-2444,KI,134,418,101,237,0,2
SEA 43-3262,KI,85,306,91,177,0,1
M-I 41-2808,KI,103,263,80,188,0,5
M-I 41-2809,KI,86,240,64,152,0,2
RED 45-2659,KI,55,154,34,89,0,0
AUB 31-0054,KI,148,527,62,214,0,4
AUB 31-0051,KI,123,530,43,166,0,0
AUB 31-0050,KI,118,421,67,188,0,3
M-I 41-0790,KI,72,246,73,147,0,2
KRAIN,KI,175,565,196,372,0,1
SEA 43-1783,KI,126,455,116,243,0,1
SEA 43-3570,KI,236,1056,189,429,0,4
SEA 46-2300,KI,156,490,169,327,0,2
SEA 36-3605,KI,128,535,115,249,0,6
SEA 37-1937,KI,100,293,112,212,0,0
SEA 11-3491,KI,0,0,0,0,0,0
SEA 37-1935,KI,87,291,117,204,0,0
SEA 37-1932,KI,90,416,126,218,0,2
SEA 37-1930,KI,198,738,192,391,0,1
SEA 37-1938,KI,104,394,141,247,0,2
KIR 45-0925,KI,112,312,54,167,0,1
SEA 37-1915,KI,127,384,129,260,0,4
SEA 43-1982,KI,138,501,127,266,0,1
SEA 43-1983,KI,174,497,136,313,0,3
TUK 11-3614,KI,18,56,10,28,0,0
SEA 43-1986,KI,86,278,77,163,0,0
LFP 46-0092,KI,200,646,140,341,0,1
MATTHEW,KI,110,461,132,243,0,1
SEA 43-3692,KI,0,0,0,0,0,0
SEA 43-3690,KI,9,38,7,17,0,1
ASPEN GLEN,KI,127,396,102,232,0,3
BUR 33-0009,KI,89,277,30,119,0,0
BEL 41-0131,KI,103,417,72,178,0,3
SEA 43-1863,KI,118,475,134,255,0,3
BEL 41-3621,KI,162,525,127,291,0,2
BUR 33-1067,KI,251,866,170,427,0,6
BEL 41-3330,KI,73,309,72,146,0,1
TUK 11-2752,KI,129,490,117,249,0,3
BAKER,KI,190,599,150,347,0,7
SNQ 05-3513,KI,253,896,209,463,0,1
TUK 11-2751,KI,66,273,70,136,0,0
KEN 33-0590,KI,224,755,139,372,0,9
KEN 33-0591,KI,90,274,50,140,0,0
KEN 33-0592,KI,50,208,31,81,0,0
KEN 33-0593,KI,94,231,45,140,0,1
KEN 33-0594,KI,91,366,96,189,0,2
KEN 33-0595,KI,94,488,45,139,0,0
KEN 33-0596,KI,159,550,129,289,0,1
KEN 33-0597,KI,142,688,88,239,1,8
KEN 33-0598,KI,124,473,74,201,0,3
ISS 05-3504,KI,129,610,138,267,0,0
ISS 05-3503,KI,106,504,130,240,0,4
ANGELO,KI,121,425,110,232,0,1
SEA 46-2056,KI,116,330,110,228,0,2
BUR 34-1116,KI,119,387,70,192,0,3
SEA 46-2057,KI,155,443,155,310,0,0
BEL 41-0220,KI,167,420,91,262,0,4
SHL 32-0875,KI,166,557,145,315,0,4
FED 30-3085,KI,147,416,107,257,0,3
LFP 46-0655,KI,251,679,171,426,0,4
LFP 46-0654,KI,175,471,128,307,0,4
LFP 46-0653,KI,148,412,135,285,0,2
LFP 46-0652,KI,95,230,60,156,0,1
LFP 46-0650,KI,109,354,109,221,0,3
KEN 47-3189,KI,147,732,58,206,0,1
SEA 43-1369,KI,75,285,89,165,0,1
SEA 43-1364,KI,151,535,168,321,0,2
NEW 41-3241,KI,206,699,163,373,0,4
SEA 43-1366,KI,90,287,95,186,0,1
LITTLE SOOS,KI,167,463,99,268,0,2
SEA 43-1360,KI,217,622,159,379,0,3
KEN 47-3180,KI,122,541,65,187,0,0
SEA 43-1362,KI,165,660,179,351,0,7
RNT 11-1109,KI,101,484,76,180,0,3
SEA 46-2330,KI,128,420,104,232,0,0
TOLT,KI,102,317,85,188,0,1
NATHAN,KI,151,507,144,297,0,2
DUV 45-2959,KI,144,514,120,267,0,3
SNQ 05-1097,KI,93,402,83,177,0,1
SEA 11-1624,KI,111,577,96,208,0,1
MABEL,KI,117,331,92,212,0,3
BUR 34-1058,KI,167,493,144,315,0,4
BUR 34-1059,KI,194,614,123,321,0,4
BUR 34-1057,KI,220,660,202,423,0,1
BOT 01-2495,KI,175,580,126,304,0,3
SEA 46-2339,KI,86,330,79,171,0,6
FED 30-3080,KI,109,499,59,172,0,4
LFP 46-1056,KI,178,536,152,332,0,2
FED 30-3087,KI,155,508,99,259,0,5
FED 30-3086,KI,171,526,108,279,0,0
FED 30-3088,KI,168,538,90,263,0,5
SEA 46-2333,KI,103,371,114,221,0,4
SEA 46-2332,KI,78,248,87,165,0,0
SEA 46-2335,KI,163,609,103,268,0,2
SEA 46-2334,KI,176,573,164,343,0,3
SEA 46-2337,KI,111,347,71,185,0,3
SEA 46-2336,KI,178,707,168,350,0,4
KIR 45-3640,KI,91,311,59,152,0,2
KIR 45-3646,KI,63,276,37,101,0,1
SEA 34-1458,KI,124,376,122,246,0,0
SEA 34-1459,KI,94,272,79,175,0,2
SEA 34-1454,KI,81,306,97,180,0,2
SEA 34-1455,KI,240,956,184,428,0,4
SEA 34-1456,KI,136,428,112,248,0,0
SEA 34-1457,KI,206,687,179,385,0,0
SEA 34-1450,KI,99,301,88,188,0,1
SEA 34-1451,KI,104,330,74,178,0,0
SEA 34-1452,KI,85,275,85,170,0,0
SEA 34-1453,KI,95,264,77,174,0,2
SHL 32-0296,KI,115,377,83,201,0,3
SAM 41-3654,KI,172,475,113,287,0,2
COV 47-2982,KI,154,553,96,251,0,1
SEA 32-2216,KI,93,338,109,203,0,1
KEN 47-2585,KI,257,819,173,431,0,1
BEL 48-0125,KI,120,405,79,201,0,2
BEL 48-0126,KI,105,354,92,198,0,1
BEL 48-0127,KI,111,393,49,161,0,1
RNT 11-2581,KI,162,668,153,322,0,7
FED 30-3395,KI,88,272,51,143,0,4
RAVENSDALE,KI,137,497,113,252,0,2
BUR 34-0900,KI,117,391,77,194,0,0
SEA 37-3647,KI,86,447,58,146,0,2
KEN 47-1151,KI,133,398,95,229,0,1
SEA 32-2537,KI,112,396,100,213,0,1
SEA 32-2539,KI,238,788,204,447,0,5
BEL 48-0694,KI,180,556,96,279,0,3
SEA 46-2142,KI,202,674,151,357,0,4
SEA 46-2143,KI,92,285,69,163,0,2
SEA 46-2145,KI,158,497,139,297,0,0
MERGANSER,KI,206,627,144,351,0,1
DIAMOND,KI,66,227,54,120,0,0
M-V 05-0528,KI,174,344,91,266,0,1
CAR 05-3290,KI,164,515,144,309,0,1
SHL 32-1038,KI,90,254,45,136,0,1
AUB 30-0053,KI,123,437,60,185,0,2
SEA 43-1334,KI,124,446,133,262,0,5
SNO-VALLEY,KI,217,760,187,408,0,4
JEFFERSON,KI,229,829,170,404,0,5
SAM 41-0307,KI,138,525,152,291,0,1
SEA 34-3682,KI,90,386,101,192,0,1
