Row Label,County,Suzan DelBene,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Pedro Celis
KIR 45-3397,KI,84,314,2,130,0,0,44
KIR 45-2917,KI,154,603,12,254,0,1,87
KIR 45-2916,KI,106,321,4,175,0,0,65
KIR 45-2912,KI,101,419,6,165,0,0,58
KIR 45-2911,KI,104,309,6,139,0,0,29
ALPINE,KI,166,564,24,324,0,0,134
RED 45-3584,KI,157,449,9,259,0,2,91
KIR 48-2657,KI,120,385,7,202,0,3,72
RED 45-2638,KI,151,442,12,235,0,1,71
KMR 46-0695,KI,197,532,10,299,0,2,90
KIR 48-2919,KI,129,412,11,207,0,0,67
RED 48-3313,KI,254,667,15,384,0,2,113
CAMAS,KI,253,719,14,442,0,0,175
RED 48-2636,KI,165,451,15,256,0,0,76
RED 48-2634,KI,138,389,7,231,0,0,86
BOT 01-3398,KI,204,656,22,350,0,0,124
RED 48-2632,KI,75,225,10,130,0,0,45
DUV 45-0389,KI,251,817,10,414,0,0,153
RED 48-2630,KI,173,394,7,257,0,0,77
CLEVELAND,KI,99,344,7,212,0,0,106
HAPPY VALLEY,KI,50,141,1,82,0,0,31
SALAL,KI,106,359,6,225,0,0,113
KMR 46-2764,KI,116,269,2,155,0,0,37
KIR 45-3198,KI,117,492,10,182,0,0,55
KIR 45-3199,KI,150,416,16,241,0,2,73
RED 48-3147,KI,130,439,4,175,0,0,41
ADAIR,KI,390,928,9,756,0,0,357
RED 48-2790,KI,188,592,18,323,0,0,117
SKY 39-1091,KI,45,130,3,74,0,3,23
GROUSEMONT,KI,204,593,8,396,0,0,184
RED 48-0942,KI,170,402,7,258,0,1,80
BOT 01-3420,KI,113,399,6,205,0,0,86
KMR 46-1095,KI,245,785,19,421,0,0,157
RED 48-0940,KI,154,399,10,258,0,2,92
RED 45-2410,KI,340,822,19,533,0,1,173
ALDERWOOD,KI,159,440,10,284,0,0,115
KMR 46-0036,KI,252,649,13,383,0,0,118
BOT 01-1207,KI,177,553,9,282,0,1,95
HOLLYWOOD,KI,188,538,15,359,0,0,156
RED 45-2492,KI,133,356,8,214,0,1,72
KIR 45-3612,KI,75,211,0,116,0,0,41
RED 48-3548,KI,91,292,6,145,0,0,48
KMR 46-2444,KI,170,418,2,237,0,0,65
HPT 48-0533,KI,77,334,4,204,0,0,123
CAR 05-0290,KI,170,512,9,276,0,0,97
KIR 48-2913,KI,195,700,9,337,0,0,133
WOD 45-0926,KI,232,859,11,370,0,0,127
WELCOME LAKE,KI,276,735,11,578,0,0,291
SILVER SPURS,KI,9,18,0,10,0,0,1
BROOKSIDE,KI,191,548,5,345,0,0,149
KIR 45-2679,KI,215,614,21,379,0,1,142
SNO PASS,KI,75,208,7,131,0,1,48
RING HILL,KI,267,757,19,488,0,0,202
BRONSON,KI,280,785,12,499,0,0,207
KIR 48-2915,KI,157,411,10,240,0,3,70
RED 48-0937,KI,88,223,6,125,0,0,31
RED 48-3134,KI,114,351,10,181,0,0,57
KIR 48-2598,KI,206,548,16,327,0,0,105
RED 45-2659,KI,47,154,1,89,0,0,41
KIR 45-2560,KI,183,705,5,308,0,0,120
KMR 46-1181,KI,101,295,8,169,0,0,60
KIR 45-3109,KI,160,469,5,230,0,0,65
KIR 45-2910,KI,161,421,3,248,0,0,84
LORA,KI,184,607,19,343,0,0,140
KIR 45-3450,KI,81,251,9,125,0,0,35
KIR 45-0442,KI,163,557,12,286,0,0,111
KIR 45-0610,KI,167,552,7,322,0,1,147
KIR 45-0616,KI,199,557,11,297,0,1,86
KIR 48-0639,KI,139,387,7,218,0,1,71
RED 48-2789,KI,94,438,12,145,0,0,39
KIR 45-0618,KI,178,454,12,315,0,1,124
KIR 45-0619,KI,128,296,4,190,0,1,57
SWAN LAKE,KI,218,684,12,378,0,0,148
MARCEL,KI,102,371,11,207,0,0,94
WOD 45-2734,KI,161,583,4,328,0,0,163
KIR 45-2931,KI,125,409,7,191,0,1,58
KIR 45-2933,KI,110,350,7,167,0,0,50
KIR 45-2932,KI,176,472,16,266,0,2,72
KIR 45-2423,KI,243,726,17,453,0,0,193
KIR 45-2934,KI,128,368,7,196,0,0,61
KIR 01-0870,KI,201,632,19,340,0,0,120
RED 48-3415,KI,102,327,5,160,0,0,53
KMR 46-0340,KI,164,443,11,306,0,0,131
VINCENT,KI,104,411,10,210,0,0,96
KMR 46-1147,KI,232,764,14,368,0,0,122
KIR 01-3678,KI,107,349,9,193,0,0,77
TWINBERRY,KI,303,656,10,547,0,0,234
RED 48-0938,KI,75,288,3,106,0,0,28
KMR 46-1171,KI,186,588,11,281,0,0,84
WOD 45-3270,KI,152,612,9,298,0,0,137
WINTERGREEN,KI,79,279,5,161,0,0,77
PATTERSON,KI,242,861,21,505,0,1,241
BOT 01-3661,KI,148,528,4,245,0,1,92
STEVENS,KI,72,197,5,124,0,1,46
KIR 01-2488,KI,277,786,24,473,0,0,172
RED 48-0952,KI,96,311,5,160,0,0,59
KIR 45-2924,KI,209,718,9,322,0,2,102
KIR 45-0925,KI,96,312,6,167,0,0,65
KIR 45-3200,KI,130,455,9,209,0,0,70
KIR 45-3640,KI,81,311,3,152,0,0,68
BOT 01-0868,KI,175,650,12,292,0,0,105
REINTREE,KI,202,565,16,353,0,0,135
BOT 01-1224,KI,235,748,18,414,0,1,160
SPRINKLE,KI,41,107,1,66,0,1,23
RED 45-2580,KI,145,384,5,262,0,0,112
KIR 01-2918,KI,198,667,15,321,0,1,107
RIDGE,KI,235,669,10,393,0,4,144
BEAR CREEK,KI,152,452,5,275,0,1,117
KIR 48-2863,KI,141,417,10,233,0,0,82
RED 48-0944,KI,136,375,7,217,0,0,74
NOVELTY,KI,201,605,9,336,0,2,124
KMR 46-0573,KI,260,726,8,361,0,3,90
BOT 01-0257,KI,246,718,9,417,0,1,161
BOT 01-0256,KI,249,670,9,417,0,0,159
BOT 01-0255,KI,227,750,18,428,0,0,183
BOT 01-0254,KI,211,561,10,311,0,0,90
BOT 01-0253,KI,131,400,12,229,0,1,85
BOT 01-0252,KI,172,514,10,308,0,0,126
KIR 45-2471,KI,267,720,7,453,0,0,179
KMR 46-2754,KI,113,344,17,211,0,0,81
RED 48-2967,KI,286,821,10,373,0,0,77
AVONDALE,KI,90,293,8,169,0,0,71
BOT 01-3321,KI,174,430,16,293,0,1,102
KMR 46-2462,KI,112,258,0,164,0,2,50
STILLWATER,KI,149,523,14,292,0,0,129
BOT 01-0259,KI,154,430,13,245,0,1,77
BOT 01-0258,KI,274,817,24,440,0,0,142
SHANGRI-LA,KI,97,394,6,233,0,0,130
ASPEN GLEN,KI,106,396,12,232,0,0,114
KIR 45-2730,KI,198,686,11,298,0,0,89
MINK ROAD,KI,143,424,11,260,0,2,104
RED 48-2448,KI,188,544,9,316,0,0,119
RED 48-2966,KI,127,526,4,179,0,0,48
BROOKTRAILS,KI,192,564,20,347,0,1,134
RED 45-3281,KI,199,633,11,312,0,1,101
PORT,KI,4,17,0,7,0,0,3
MED 48-0750,KI,199,661,12,389,0,0,178
BOT 45-3620,KI,26,149,3,63,0,0,34
SNO-VALLEY,KI,212,760,12,408,0,1,183
AMES LAKE,KI,243,810,21,445,0,2,179
QUAIL,KI,49,235,7,131,0,1,74
SALISH,KI,231,674,10,418,0,1,176
SNQ 05-3645,KI,0,0,0,0,0,0,0
MED 48-0752,KI,156,527,4,311,0,0,151
RED 48-2633,KI,254,626,11,375,0,0,110
HOLIDAY LAKE,KI,77,299,5,193,0,0,111
RED 48-0941,KI,133,331,7,205,0,0,65
UNION HILL,KI,206,628,14,374,0,1,153
RED 45-0936,KI,169,476,9,275,0,1,96
WOD 45-1205,KI,176,507,3,340,0,0,161
RED 48-3208,KI,102,415,7,156,0,0,47
BOT 01-2865,KI,112,356,10,205,0,1,82
KIR 01-0356,KI,332,816,20,516,0,0,164
WOD 45-1225,KI,142,478,12,279,0,0,125
RED 45-2643,KI,160,433,11,254,0,0,83
EASTRIDGE,KI,256,818,18,474,0,2,198
RED 48-3475,KI,129,356,4,210,0,1,76
WOD 45-2597,KI,226,647,10,350,0,2,112
KMR 46-2765,KI,236,715,9,363,0,0,118
KIR 01-2595,KI,170,495,11,239,0,2,56
KMR 46-0677,KI,180,552,15,274,0,0,79
BRIDLE TRAILS,KI,0,0,0,0,0,0,0
COOPER,KI,148,473,17,278,0,1,112
KIR 45-2722,KI,178,626,15,296,0,0,103
HORSESHOE,KI,151,490,7,289,0,2,129
KIR 48-2914,KI,256,723,18,399,0,0,125
CHERRY VALLEY,KI,132,514,8,304,0,0,164
KIR 01-2923,KI,203,642,16,311,0,1,91
RED 48-2635,KI,136,387,13,224,0,0,75
BOT 01-3195,KI,156,510,6,250,0,0,88
CHURCHILL,KI,157,425,8,262,0,0,97
MICHAEL,KI,201,582,11,353,0,0,141
RED 48-2968,KI,206,817,11,298,0,0,81
RED 48-3316,KI,103,344,8,154,0,1,42
KMR 46-3148,KI,205,671,10,320,0,3,102
ALDER SPRINGS,KI,163,550,13,349,0,0,173
KIR 01-0403,KI,203,537,10,275,0,1,61
CORWIN,KI,282,817,22,498,0,2,192
BOT 01-2473,KI,185,481,2,256,0,0,69
KMR 46-3592,KI,125,396,6,190,0,0,59
RED 48-2449,KI,179,518,13,290,0,0,98
RED 45-3282,KI,250,707,15,425,0,0,160
WOD 45-0676,KI,189,502,9,304,0,0,106
KMR 46-0473,KI,166,438,11,253,0,1,75
KIR 48-3196,KI,156,428,8,233,0,0,69
KIR 48-0642,KI,151,430,18,253,0,0,84
KIR 48-0643,KI,75,314,3,141,0,0,63
WOD 45-3193,KI,110,462,6,209,0,2,91
KIR 48-0641,KI,135,370,9,221,0,0,77
KIR 48-0646,KI,189,511,8,305,0,0,108
KIR 48-0644,KI,226,716,10,393,0,1,156
KIR 48-0645,KI,66,230,7,127,0,0,54
