Row Label,County,Elizabeth D. Stephenson,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
MIL 30-3146,KI,195,659,162,361,0,4
GLENDALE,KI,165,764,122,289,0,2
BUR 34-0298,KI,195,668,125,322,0,2
BUR 34-1192,KI,204,591,188,397,0,5
NPK 33-0857,KI,263,684,219,483,0,1
NPK 33-0854,KI,155,436,145,302,0,2
NPK 33-0855,KI,115,390,115,231,0,1
NPK 33-0852,KI,166,442,126,296,0,4
FED 30-3015,KI,129,398,112,241,0,0
FED 30-3599,KI,104,420,107,213,0,2
NPK 33-0851,KI,164,525,171,338,0,3
SET 33-3074,KI,146,456,113,260,0,1
FED 30-3596,KI,101,332,76,178,0,1
NPK 33-0849,KI,148,380,104,254,0,2
SET 33-3070,KI,90,340,81,173,0,2
FED 30-3031,KI,180,542,91,273,0,2
AVALON,KI,102,372,89,191,0,0
FED 30-3045,KI,150,637,102,253,0,1
CONNAUGHT,KI,187,615,147,337,0,3
SET 33-3073,KI,106,285,63,171,0,2
FED 30-3235,KI,97,400,75,172,0,0
REGAL,KI,191,788,129,321,0,1
TUK 11-2955,KI,169,653,103,274,0,2
BUR 34-1032,KI,152,511,108,263,0,3
BUR 34-1136,KI,75,218,61,137,0,1
SET 33-3060,KI,84,373,48,134,0,2
GLASGOW,KI,141,601,111,255,0,3
LISABEULA,KI,127,467,180,309,0,2
MERLIN,KI,109,411,56,170,0,5
DES 33-2637,KI,137,499,82,221,0,2
TUK 11-3614,KI,15,56,13,28,0,0
BUR 33-0957,KI,95,323,45,141,0,1
BUR 34-0913,KI,150,599,73,225,0,2
BUR 33-0818,KI,175,753,142,319,0,2
NPK 33-2644,KI,116,287,87,204,0,1
NPK 33-2474,KI,138,454,178,316,0,0
FED 30-3040,KI,96,432,48,146,0,2
SPIDER LAKE,KI,215,755,166,387,0,6
BUR 34-0281,KI,0,0,0,0,0,0
SERENIDAD,KI,184,746,133,317,0,0
TUK 11-2752,KI,130,490,117,249,0,2
FED 30-3043,KI,158,631,100,261,0,3
FED 30-2988,KI,203,629,122,332,0,7
FED 30-3042,KI,99,251,66,166,0,1
TUK 11-3128,KI,166,717,121,288,0,1
TUK 11-3233,KI,103,457,73,178,0,2
BUR 34-0033,KI,173,682,133,309,0,3
JUTLAND,KI,20,85,20,40,0,0
BUR 34-1082,KI,107,307,108,215,0,0
CROSS,KI,147,511,181,328,0,0
FED 30-3582,KI,54,255,41,95,0,0
DES 33-0297,KI,75,240,46,121,0,0
JEFFERSON,KI,223,829,178,404,0,3
FED 30-3236,KI,213,746,135,351,0,3
BUR 34-0848,KI,142,421,117,261,0,2
DEVILLE,KI,146,558,116,263,0,1
FED 30-3023,KI,134,412,119,258,0,5
FED 30-3010,KI,115,335,78,197,0,4
DES 33-2626,KI,162,331,107,272,0,3
DES 33-2627,KI,148,347,80,229,0,1
DES 33-2625,KI,125,434,106,231,0,0
GRANDVIEW,KI,4,16,4,8,0,0
DES 33-2623,KI,122,333,102,225,0,1
FED 30-3035,KI,85,265,43,128,0,0
CAMELOT,KI,124,479,86,211,0,1
SET 33-3068,KI,116,464,112,228,0,0
FED 30-3234,KI,99,382,64,163,0,0
CARPENTER,KI,92,434,150,242,0,0
FED 30-3078,KI,128,402,88,218,0,2
FED 30-3079,KI,163,508,96,260,0,1
FED 30-2999,KI,87,392,50,137,0,0
DES 33-0911,KI,134,515,89,224,0,1
FED 30-2994,KI,67,225,50,118,0,1
FED 30-2995,KI,60,243,60,122,0,2
FED 30-2996,KI,128,510,89,218,0,1
FED 30-2990,KI,154,589,82,239,0,3
FED 30-2991,KI,121,360,66,187,0,0
FED 30-2992,KI,97,356,76,174,0,1
FED 30-2993,KI,207,677,128,340,0,5
SET 33-3057,KI,140,607,124,267,0,3
THOMAS,KI,135,442,110,249,0,4
SET 33-3107,KI,156,680,120,281,0,5
BUR 34-0025,KI,193,734,155,352,0,4
BUR 33-0562,KI,126,403,64,194,0,4
BUR 34-0381,KI,125,486,115,243,0,3
SEAVIEW,KI,117,393,102,221,0,2
DES 33-2394,KI,178,407,92,271,0,1
DES 33-2395,KI,104,263,58,162,0,0
SET 33-3059,KI,126,683,75,205,0,4
DES 33-1078,KI,90,354,60,150,0,0
DES 33-0361,KI,110,386,90,201,0,1
DES 33-0360,KI,203,582,170,373,0,0
DES 33-0363,KI,88,350,64,154,0,2
BUR 34-1150,KI,121,365,128,249,0,0
DES 33-0682,KI,154,444,87,241,0,0
DES 33-0364,KI,117,441,78,196,0,1
DES 33-0367,KI,132,411,99,234,0,3
DES 33-0366,KI,194,593,148,343,0,1
EVERGREEN,KI,164,716,96,261,0,1
FED 30-3096,KI,139,550,108,249,0,2
MARIAN,KI,215,776,105,323,0,3
DES 33-2820,KI,102,393,62,164,0,0
FED 30-3289,KI,227,819,139,368,0,2
GLENN,KI,60,255,65,126,0,1
FRAGER,KI,1,2,0,1,0,0
FED 30-3049,KI,127,430,41,168,0,0
FED 30-3048,KI,122,634,64,187,0,1
KILLARNEY,KI,132,466,129,264,0,3
FED 30-3020,KI,118,436,105,223,0,0
BUR 33-0476,KI,207,764,167,378,0,4
FED 30-3044,KI,228,657,97,326,0,1
FED 30-3047,KI,154,492,78,236,0,4
FED 30-3046,KI,113,397,75,188,0,0
FED 30-3041,KI,91,326,65,158,0,2
CYPRESS,KI,0,0,0,0,0,0
CADDIS,KI,110,366,97,211,0,4
DES 33-2416,KI,153,484,87,242,0,2
BUR 33-0094,KI,130,450,99,229,0,0
TUK 11-2453,KI,103,510,76,180,0,1
SET 33-3104,KI,134,542,111,247,0,2
NPK 33-2645,KI,133,335,83,219,0,3
HERON,KI,133,424,87,222,0,2
SET 33-3100,KI,195,847,91,291,0,5
BUR 34-0560,KI,122,474,98,223,0,3
SET 33-3102,KI,176,670,114,293,0,3
SYLVAN,KI,216,744,119,336,0,1
BUR 34-1064,KI,190,589,166,358,0,2
SET 33-3075,KI,62,289,53,116,0,1
GUENEVERE,KI,85,342,61,149,0,3
FED 30-3305,KI,64,402,37,102,0,1
NPK 33-2646,KI,180,587,161,341,0,0
TAHLEQUAH,KI,160,550,188,349,0,1
FED 30-3110,KI,106,351,87,194,0,1
DES 33-0272,KI,138,414,100,239,0,1
BUR 33-0009,KI,82,277,37,119,0,0
FED 30-3026,KI,124,399,68,195,0,3
BUR 34-0710,KI,99,357,72,175,0,4
SUNNYWOOD,KI,155,629,132,287,0,0
BUR 34-0824,KI,160,577,109,272,0,3
BRITTANY,KI,177,592,142,321,0,2
BUR 33-0251,KI,90,386,82,174,0,2
FED 30-3052,KI,154,494,89,243,0,0
FED 30-3053,KI,137,472,80,218,0,1
FED 30-3050,KI,52,222,46,98,0,0
FED 30-3051,KI,94,400,58,152,0,0
FED 30-3056,KI,91,323,75,166,0,0
BUR 33-1067,KI,256,866,166,427,0,5
FED 30-3054,KI,100,386,68,168,0,0
BINGAMAN,KI,208,565,102,313,0,3
FED 30-3077,KI,116,339,84,202,0,2
DILWORTH,KI,118,438,159,277,0,0
DES 33-0864,KI,104,317,100,204,0,0
JOVITA,KI,127,454,101,232,0,4
SET 33-1031,KI,222,925,171,398,0,5
FED 30-3395,KI,85,272,55,143,0,3
QUARTERMASTER,KI,96,342,130,229,0,3
FED 30-3021,KI,160,566,88,249,0,1
PORTAGE,KI,128,396,138,270,0,4
DES 33-2672,KI,139,577,91,231,0,1
DOCKTON,KI,211,696,234,446,0,1
COLVOS,KI,78,250,75,153,0,0
DES 33-0437,KI,84,271,71,155,0,0
DES 33-0668,KI,68,273,55,123,0,0
WYNONA,KI,120,462,90,211,0,1
ANGELO,KI,120,425,111,232,0,1
WHITE CENTER,KI,207,788,85,297,0,5
BUR 34-0485,KI,158,583,142,302,0,2
FED 30-3080,KI,111,499,59,172,1,1
MAURY,KI,141,413,150,292,0,1
TUK 11-3127,KI,65,280,42,109,0,2
BUR 34-0489,KI,150,445,175,327,0,2
FED 30-3027,KI,176,654,110,288,0,2
DES 33-2674,KI,142,552,107,250,0,1
FED 30-3025,KI,156,506,148,307,0,3
FED 30-3024,KI,120,349,99,222,0,3
DES 33-2671,KI,294,834,193,488,0,1
FED 30-3022,KI,78,216,54,132,0,0
DES 33-2673,KI,102,366,65,167,0,0
BUR 34-0311,KI,175,464,93,268,0,0
MCKINLEY,KI,66,351,49,118,0,3
BUR 34-0402,KI,132,390,107,241,0,2
LAKELAND,KI,139,527,106,248,0,3
FED 30-3029,KI,89,309,27,117,0,1
FED 30-3028,KI,154,510,96,250,0,0
