Row Label,County,Ketu Shah,Registered Voters,Sarah Hayne,Times Blank Voted,Times Counted,Times Over Voted,Write-in
MARYMOOR,KI,0,0,0,0,0,0,0
HILL,KI,110,493,102,100,312,0,0
LYNX,KI,75,531,126,72,276,0,3
RED 48-3548,KI,59,292,54,32,145,0,0
RED 48-2642,KI,52,263,40,25,117,0,0
RED 48-2641,KI,163,645,116,117,396,0,0
RANCH,KI,79,444,85,69,233,0,0
RED 45-3547,KI,138,711,130,118,388,0,2
KIR 45-1019,KI,122,767,142,100,364,0,0
N-B 05-3296,KI,98,682,153,136,392,0,5
SAM 45-2693,KI,150,796,165,98,414,0,1
KIR 45-3668,KI,84,428,70,52,206,0,0
NEW 41-3227,KI,82,467,95,74,254,0,3
KIR 45-2760,KI,137,618,142,107,386,0,0
KIR 45-2761,KI,100,601,130,110,342,0,2
M-I 41-0755,KI,81,265,39,52,172,0,0
RED 48-0942,KI,99,402,74,84,258,0,1
M-I 41-0758,KI,88,284,43,44,175,0,0
BEL 48-3166,KI,115,561,92,71,278,0,0
BEL 48-3498,KI,55,239,59,39,153,0,0
RAGING RIVER,KI,87,505,94,84,268,0,3
HI-VALLEY,KI,214,829,184,142,542,0,2
RED 48-2636,KI,120,451,59,77,256,0,0
SILVER SPURS,KI,5,18,3,2,10,0,0
RED 48-2634,KI,103,389,60,68,231,0,0
RED 48-2635,KI,95,387,67,62,224,0,0
RED 48-2632,KI,45,225,34,51,130,0,0
RED 48-2633,KI,130,626,146,99,375,0,0
RED 48-2630,KI,121,394,62,74,257,0,0
BEL 41-0011,KI,36,346,50,31,117,0,0
BEL 41-0017,KI,89,594,110,70,270,0,1
RED 48-2467,KI,78,398,82,55,215,0,0
RED 48-2466,KI,161,749,156,142,460,0,1
STEED,KI,177,759,177,144,501,0,3
HAAS,KI,58,303,66,75,199,0,0
RED 45-2659,KI,21,154,38,30,89,0,0
BEL 41-0408,KI,57,212,41,38,136,0,0
ALDERWOOD,KI,110,440,83,87,284,0,4
RED 45-2643,KI,94,433,92,66,254,0,2
BEL 41-2936,KI,112,485,76,74,264,0,2
BEL 41-3291,KI,71,292,42,46,159,0,0
BEL 41-2935,KI,128,526,54,82,264,0,0
HPT 48-0533,KI,72,334,62,70,204,0,0
YPT 48-1234,KI,119,411,52,79,250,0,0
SAM 41-2491,KI,122,707,127,117,367,0,1
BOWOOD,KI,109,625,139,91,339,0,0
SHEFFIELD,KI,106,447,79,100,288,0,3
BEL 41-2447,KI,119,527,95,88,303,0,1
RED 45-2492,KI,77,356,76,60,214,0,1
KIR 45-0622,KI,99,390,59,56,214,0,0
TRILLIUM,KI,163,799,162,151,476,0,0
LORA,KI,91,607,148,103,343,0,1
KIR 45-0610,KI,132,552,117,70,322,0,3
KIR 45-0616,KI,97,557,77,123,297,0,0
KIR 45-0618,KI,122,454,84,109,315,0,0
ISS 41-2692,KI,84,382,62,68,215,0,1
MARCEL,KI,54,371,83,69,207,0,1
SAM 41-3214,KI,85,435,78,77,241,0,1
SAM 41-3215,KI,142,814,124,82,348,0,0
SAM 45-3388,KI,141,698,125,121,389,0,2
SAM 45-3389,KI,186,762,163,110,460,0,1
SAM 41-3607,KI,79,498,100,77,259,0,3
KIR 01-0870,KI,129,632,121,88,340,0,2
SAM 45-3386,KI,145,784,122,131,398,0,0
SAM 45-3387,KI,83,402,97,64,244,0,0
DUTHIE HILL,KI,61,356,81,65,208,0,1
BEL 48-0171,KI,80,396,99,54,234,0,1
BEL 48-0170,KI,52,225,43,30,128,0,3
BROOKSHIRE,KI,74,430,59,74,207,0,0
BEL 41-0129,KI,59,316,62,27,148,0,0
BEL 41-0128,KI,127,494,84,84,295,0,0
BEL 41-0124,KI,145,505,79,83,308,0,1
BEL 41-3225,KI,116,539,54,75,245,0,0
BEL 41-0122,KI,82,391,69,62,213,0,0
BEL 41-0121,KI,85,501,88,55,231,0,3
BEL 41-0120,KI,78,248,35,43,157,0,1
SNQ 05-3151,KI,96,627,118,81,297,0,2
BEAR CREEK,KI,104,452,81,90,275,0,0
WAXWING,KI,64,295,53,61,178,0,0
BOT 01-0257,KI,161,718,159,95,417,0,2
BOT 01-0256,KI,157,670,165,94,417,0,1
BOT 01-0255,KI,137,750,158,133,428,0,0
BOT 01-0254,KI,100,561,111,98,311,0,2
BOT 01-0253,KI,67,400,99,63,229,0,0
BOT 01-0252,KI,95,514,113,97,308,0,3
DUV 45-3642,KI,71,443,110,66,249,0,2
BOT 01-0259,KI,79,430,92,72,245,0,2
BOT 01-0258,KI,147,817,176,117,440,0,0
SNQ 05-3512,KI,130,823,210,131,472,0,1
SAM 45-3505,KI,126,573,112,91,329,0,0
BEL 41-3226,KI,106,531,86,85,278,0,1
ISS 05-3697,KI,0,0,0,0,0,0,0
MINK ROAD,KI,81,424,98,79,260,0,2
SAM 41-2940,KI,45,243,45,45,136,1,0
BEL 41-0333,KI,44,222,29,27,100,0,0
RED 45-3281,KI,140,633,105,65,312,0,2
TOLT,KI,43,317,87,58,188,0,0
BEL 41-2714,KI,144,711,125,103,372,0,0
BEL 41-2719,KI,112,520,100,77,289,0,0
BEL 48-2430,KI,120,486,101,68,290,0,1
BEL 48-2432,KI,88,403,71,65,225,0,1
KIR 45-0619,KI,88,296,50,51,190,0,1
BEL 48-2434,KI,131,394,55,72,259,1,0
SNO-VALLEY,KI,121,760,157,128,408,0,2
SNQ 05-3633,KI,40,404,66,59,166,0,1
CHURCHILL,KI,99,425,88,75,262,0,0
ISS 05-3464,KI,129,829,135,112,376,0,0
REINTREE,KI,140,565,111,102,353,0,0
HUTCHINSON,KI,135,678,168,124,427,0,0
KLAHANIE,KI,85,468,89,90,264,0,0
BEL 41-1052,KI,105,462,94,58,257,0,0
NEW 41-1115,KI,149,633,98,92,340,0,1
M-I 41-0781,KI,87,216,29,24,140,0,0
M-I 41-0780,KI,121,389,45,60,226,0,0
M-I 41-0782,KI,161,503,65,59,285,0,0
M-I 41-0785,KI,117,380,55,71,243,0,0
M-I 41-0784,KI,142,411,51,53,246,0,0
M-I 41-0787,KI,87,333,48,47,182,0,0
M-I 41-0786,KI,93,255,40,33,166,0,0
M-I 41-0789,KI,212,607,84,95,391,0,0
COLLEEN,KI,127,488,92,83,304,0,2
SAM 41-2469,KI,115,529,83,90,288,0,0
SAM 45-2961,KI,132,531,100,85,318,0,1
OVERDALE,KI,6,12,2,1,9,0,0
NOVELTY,KI,97,605,128,111,336,0,0
M-I 41-0769,KI,174,544,70,89,333,0,0
M-I 41-0768,KI,92,307,42,36,170,0,0
BEL 41-2970,KI,152,714,114,115,384,0,3
ISS 05-3206,KI,151,758,148,120,419,0,0
M-I 41-0763,KI,104,303,42,54,200,0,0
M-I 41-0762,KI,79,256,31,38,148,0,0
M-I 41-0761,KI,107,335,46,53,208,0,2
M-I 41-0767,KI,72,260,39,30,141,0,0
M-I 41-0766,KI,118,322,36,42,197,1,0
M-I 41-0765,KI,218,645,109,114,441,0,0
BEL 48-0212,KI,121,620,142,39,303,0,1
BEL 48-0213,KI,57,395,86,31,175,0,1
BEL 48-0216,KI,56,256,48,36,140,0,0
BEL 48-0217,KI,59,404,68,57,184,0,0
BEL 48-0214,KI,41,274,64,25,130,0,0
BEL 48-0218,KI,142,546,122,74,338,0,0
BEL 41-3278,KI,65,290,57,50,172,0,0
WOLF,KI,84,690,129,95,308,0,0
NEW 41-0878,KI,128,630,112,88,328,0,0
RED 48-0949,KI,93,433,85,55,234,0,1
KIR 01-2457,KI,140,709,145,91,376,0,0
ISS 05-3649,KI,52,404,85,51,188,0,0
RED 48-0940,KI,95,399,74,89,258,0,0
RED 48-0941,KI,82,331,64,59,205,0,0
RED 48-0947,KI,83,360,61,71,215,0,0
KIR 01-2595,KI,74,495,103,60,239,0,2
HORSESHOE,KI,84,490,111,91,289,0,3
RED 48-2629,KI,95,648,115,84,295,0,1
BEL 41-3583,KI,171,675,99,116,386,0,0
RED 45-2638,KI,78,442,83,73,235,1,0
BEL 48-0138,KI,50,393,89,40,179,0,0
BEL 48-0136,KI,33,274,53,27,113,0,0
BEL 48-0135,KI,42,256,54,30,127,0,1
BEL 48-0134,KI,49,324,54,39,143,0,1
BEL 48-0133,KI,59,307,48,35,143,0,1
BEL 48-0132,KI,48,249,46,40,134,0,0
NAPOLEON,KI,113,505,115,95,324,0,1
BEL 41-0475,KI,58,262,49,42,149,0,0
BEL 41-3658,KI,37,305,36,42,115,0,0
BEL 41-2906,KI,108,474,90,66,264,0,0
BEL 41-0472,KI,123,522,98,82,303,0,0
SAM 45-2450,KI,107,548,106,111,325,0,1
MIDDLE FORK,KI,48,383,105,60,214,0,1
BEL 41-3657,KI,82,353,57,50,189,0,0
MIRRORMONT,KI,90,446,86,66,243,0,1
KIR 48-0628,KI,131,664,112,112,356,0,1
KIR 48-0629,KI,130,587,141,73,344,0,0
COTTAGE LAKE,KI,73,452,102,51,228,1,1
KIR 45-3397,KI,45,314,51,34,130,0,0
M-I 41-2465,KI,93,330,57,58,208,0,0
N-B 05-3407,KI,97,628,146,138,381,0,0
N-B 05-3406,KI,30,309,69,35,136,0,2
BEL 48-0178,KI,33,406,55,46,134,0,0
KIR 45-0623,KI,90,378,61,78,229,0,0
BEL 41-0123,KI,118,748,130,75,323,0,0
KIR 45-0620,KI,132,552,100,107,340,0,1
KIR 45-0627,KI,146,628,91,135,376,0,4
KIR 45-0624,KI,177,793,171,152,501,0,1
DUV 45-3218,KI,151,840,177,125,454,0,1
SNQ 05-3558,KI,66,487,97,72,236,0,1
DUV 45-3219,KI,103,548,103,91,298,0,1
BEL 48-0177,KI,107,408,63,66,236,0,0
BEL 41-2621,KI,113,528,72,66,251,0,0
PORT,KI,2,17,3,2,7,0,0
EAGLE,KI,0,3,0,0,0,0,0
KIR 48-2657,KI,76,385,73,48,202,0,5
MEADOWBROOK,KI,56,300,75,39,173,0,3
KIR 48-2921,KI,88,418,85,57,231,0,1
KIR 48-2920,KI,64,381,45,80,189,0,0
KIR 01-2759,KI,109,695,153,97,359,0,0
BEL 41-0175,KI,158,815,150,104,415,0,3
BEL 41-0176,KI,107,593,113,70,292,0,2
BEL 41-0179,KI,64,338,56,28,148,0,0
BEL 41-3371,KI,126,677,83,86,296,0,1
BEL 41-3370,KI,159,812,107,109,377,0,2
WOD 45-2597,KI,125,647,125,97,350,0,3
ELSOM,KI,123,586,129,101,353,0,0
FOX,KI,92,434,66,89,247,0,0
LAKE ALICE,KI,73,519,118,103,295,0,1
ALPINE,KI,86,564,100,138,324,0,0
SAM 41-0909,KI,164,831,147,134,445,0,0
BEL 41-0658,KI,105,403,56,59,220,0,0
BEL 41-0305,KI,83,484,79,55,218,0,1
ISS 05-3572,KI,85,855,128,117,331,0,1
ISS 41-3533,KI,94,507,88,72,254,0,0
RED 48-3313,KI,148,667,135,100,384,0,1
RED 48-3316,KI,43,344,59,51,154,0,1
RED 48-2790,KI,129,592,101,91,323,0,2
GROUSEMONT,KI,151,593,133,112,396,0,0
BEL 48-3675,KI,43,330,50,48,141,0,0
BEL 48-3674,KI,66,436,67,52,185,0,0
BOT 01-3420,KI,66,399,95,42,205,0,2
RED 45-2410,KI,209,822,140,183,533,0,1
KIR 45-2916,KI,63,321,70,42,175,0,0
SAM 45-0536,KI,149,758,138,155,444,0,2
KIR 45-3612,KI,46,211,52,17,116,0,1
BEA 41-0099,KI,59,240,48,44,151,0,0
FALL CITY,KI,59,520,111,103,275,0,2
WOD 45-0926,KI,129,859,147,92,370,0,2
SNQ 05-3667,KI,58,451,81,84,224,0,1
M-I 41-2808,KI,96,263,45,45,188,0,2
BRONSON,KI,193,785,160,146,499,0,0
KIR 45-2912,KI,61,419,67,36,165,0,1
BEL 41-1026,KI,114,652,131,78,323,0,0
KIR 45-2911,KI,41,309,52,46,139,0,0
KIR 45-2910,KI,97,421,73,78,248,0,0
KIR 45-0442,KI,102,557,113,71,286,0,0
KIR 48-0639,KI,82,387,60,76,218,0,0
SWAN LAKE,KI,120,684,137,121,378,0,0
KIR 45-2931,KI,66,409,73,48,191,0,4
KIR 45-2933,KI,47,350,75,44,167,0,1
KIR 45-2932,KI,98,472,100,68,266,0,0
NEW 41-3529,KI,86,569,82,81,249,0,0
KIR 45-2934,KI,71,368,65,59,196,0,1
RED 48-3415,KI,59,327,54,47,160,0,0
BEL 41-2945,KI,146,548,75,74,296,0,1
BEL 41-2943,KI,199,828,104,130,434,0,1
TWINBERRY,KI,256,656,173,118,547,0,0
SAM 41-3508,KI,123,685,114,100,337,0,0
SAM 45-3213,KI,109,558,106,76,295,0,4
STEVENS,KI,15,197,66,38,124,0,5
BEL 48-0223,KI,133,435,70,82,286,0,1
KIR 01-2488,KI,199,786,144,130,473,0,0
BEL 48-0221,KI,100,617,114,90,304,0,0
BEL 48-0227,KI,131,662,107,86,326,0,2
BEL 48-0226,KI,90,315,55,42,187,0,0
BEL 48-0225,KI,120,464,74,70,264,0,0
BEL 48-0224,KI,173,636,99,85,358,0,1
KIR 45-0925,KI,63,312,64,40,167,0,0
KIR 48-2598,KI,155,548,79,93,327,0,0
BEL 48-3292,KI,100,401,76,67,244,0,1
MATTHEW,KI,67,461,87,89,243,0,0
NEW 41-0840,KI,106,684,111,119,337,0,1
BOT 01-1224,KI,152,748,157,102,414,0,3
VINCENT,KI,61,411,88,61,210,0,0
BEL 41-0505,KI,96,279,57,44,197,0,0
ASPEN GLEN,KI,90,396,60,81,232,0,1
BEL 48-0162,KI,47,252,55,37,139,0,0
BEL 48-0163,KI,73,365,59,66,198,0,0
BEL 48-0164,KI,74,299,61,27,163,0,1
BEL 48-0165,KI,88,384,87,74,250,0,1
BEL 48-0166,KI,84,380,68,60,212,0,0
BEL 48-0167,KI,68,271,50,40,158,0,0
BEL 48-0168,KI,46,255,51,35,134,0,2
BEL 48-0169,KI,77,361,68,49,195,0,1
BEL 41-0131,KI,63,417,61,54,178,0,0
STILLWATER,KI,91,523,114,85,292,0,2
BEL 41-3621,KI,130,525,93,68,291,0,0
SAM 41-3506,KI,82,455,76,76,234,0,0
BEL 41-3330,KI,59,309,40,46,146,0,1
SAM 41-3507,KI,122,708,110,82,314,0,0
BOT 01-2495,KI,128,580,103,72,304,0,1
SNQ 05-3513,KI,119,896,168,175,463,0,1
ISS 05-3691,KI,61,314,67,44,172,0,0
SAM 41-2937,KI,96,452,79,74,249,0,0
ISS 05-3504,KI,83,610,77,107,267,0,0
ISS 05-3503,KI,81,504,71,85,240,0,3
SNO PASS,KI,45,208,47,39,131,0,0
RED 48-2968,KI,102,817,103,91,298,0,2
NEW 41-2811,KI,85,381,90,52,228,0,1
RED 48-2969,KI,99,443,66,85,253,0,3
KIR 01-0403,KI,108,537,92,75,275,0,0
BEL 41-0220,KI,112,420,94,55,262,0,1
RED 45-3282,KI,180,707,127,117,425,0,1
BEL 41-0180,KI,80,325,54,39,173,0,0
MED 48-0749,KI,125,485,64,95,285,0,1
NEW 41-3241,KI,134,699,135,103,373,0,1
CAR 05-3290,KI,83,515,111,115,309,0,0
M-I 41-0770,KI,100,277,31,42,173,0,0
SQUAK MOUNTAIN,KI,45,188,38,32,115,0,0
WEBSTER,KI,99,430,100,82,282,0,1
ISS 05-0543,KI,88,622,136,88,314,0,2
ISS 05-0547,KI,61,327,71,59,191,0,0
ISS 05-0546,KI,46,220,43,32,121,0,0
ISS 05-0545,KI,56,316,60,53,172,0,3
ISS 05-0544,KI,79,647,133,82,295,0,1
DUV 45-2959,KI,75,514,108,84,267,0,0
SNQ 05-1097,KI,49,402,62,66,177,0,0
ISS 05-0548,KI,124,772,135,137,398,0,2
MOUNT SI,KI,41,274,66,58,166,0,1
M-I 41-0796,KI,103,561,88,74,268,0,3
M-I 41-0797,KI,94,373,52,53,199,0,0
M-I 41-0794,KI,144,399,49,64,257,0,0
M-I 41-0795,KI,195,508,55,69,319,0,0
M-I 41-0792,KI,103,297,26,57,186,0,0
M-I 41-0793,KI,178,596,85,103,366,0,0
MABEL,KI,86,331,73,53,212,0,0
M-I 41-0791,KI,112,259,23,21,156,0,0
KIR 45-2489,KI,104,559,111,79,295,0,1
M-I 41-0777,KI,169,492,56,66,291,0,0
KIR 48-3439,KI,136,531,89,99,324,0,0
SAM 45-3216,KI,160,710,125,75,362,0,2
SAM 45-3217,KI,161,641,163,99,424,0,1
KIR 01-0421,KI,183,724,139,145,468,0,1
THRUSH,KI,48,275,59,37,144,0,0
LAKE LEOTA,KI,123,562,96,94,313,0,0
GRIZZLY,KI,103,653,128,122,353,0,0
LAKE JOY,KI,149,845,180,146,478,0,3
BEL 48-2715,KI,140,471,73,85,298,0,0
BEL 48-2716,KI,78,593,92,59,230,0,1
M-I 41-0778,KI,116,320,34,65,215,0,0
M-I 41-0779,KI,191,497,76,64,331,0,0
BACUS,KI,99,443,106,64,271,0,2
BEL 48-3143,KI,85,377,54,63,202,0,0
M-I 41-0771,KI,73,258,44,32,149,0,0
M-I 41-0773,KI,84,315,55,41,180,0,0
M-I 41-0774,KI,162,453,60,66,288,0,0
M-I 41-0775,KI,184,491,45,84,313,0,0
M-I 41-0776,KI,117,331,46,50,213,0,0
BEL 48-3144,KI,116,481,90,67,274,0,1
BEL 41-3140,KI,71,286,66,35,172,0,0
KIR 45-3646,KI,28,276,44,28,101,0,1
KIR 01-2561,KI,100,649,146,93,340,0,1
NEW 41-0248,KI,57,380,74,47,180,0,2
SI VIEW,KI,75,433,103,81,259,0,0
MERLOT,KI,124,527,125,100,349,0,0
ROSE,KI,87,409,110,82,280,0,1
KIR 48-3337,KI,178,809,145,139,463,0,1
