Row Label,County,Michael Finkle,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
HOLLYWOOD,KI,178,538,181,359,0,0
BEL 41-3593,KI,104,534,77,182,0,1
CAR 05-0290,KI,124,512,151,276,0,1
M-I 41-0759,KI,105,379,105,211,0,1
BEL 48-0188,KI,114,472,128,244,0,2
BEL 48-0189,KI,112,523,119,232,0,1
BEL 48-0186,KI,63,277,99,165,0,3
BROOKSIDE,KI,163,548,182,345,0,0
RING HILL,KI,239,757,246,488,0,3
ISS 41-2733,KI,244,843,214,462,0,4
KIR 45-3109,KI,135,469,95,230,0,0
BEL 41-3608,KI,193,714,156,349,0,0
KIR 45-3450,KI,60,251,65,125,0,0
SAM 41-2690,KI,136,526,135,271,0,0
RIDGE,KI,240,669,149,393,0,4
KINGLET,KI,118,532,108,227,0,1
SAM 45-3454,KI,72,233,44,116,0,0
KIR 01-3678,KI,101,349,91,193,0,1
WOD 45-3270,KI,163,612,134,298,0,1
ISS 05-3527,KI,151,587,96,249,0,2
BOT 01-3661,KI,142,528,102,245,0,1
BEL 41-1235,KI,91,334,89,180,0,0
N-B 05-0859,KI,145,487,146,291,0,0
BEL 41-0733,KI,158,718,157,315,0,0
GOLDFINCH,KI,86,281,79,165,0,0
KIR 45-3200,KI,118,455,90,209,0,1
BOT 01-0868,KI,173,650,119,292,0,0
SPRINKLE,KI,33,107,33,66,0,0
KIR 01-2918,KI,173,667,147,321,0,1
HUNTER,KI,220,811,166,389,0,3
RED 48-0948,KI,68,246,54,124,0,2
SNQ 05-3409,KI,231,787,167,399,0,1
SAM 41-1130,KI,148,651,135,283,0,0
RED 48-2967,KI,219,821,153,373,0,1
WEEKS,KI,193,713,195,390,0,2
SNQ 05-3645,KI,0,0,0,0,0,0
BROOKTRAILS,KI,173,564,172,347,0,2
N-B 05-3611,KI,173,664,140,316,0,3
KIR 48-3401,KI,176,632,164,342,0,2
COUGAR MTN,KI,7,8,1,8,0,0
BEL 48-0160,KI,72,268,55,130,0,3
QUAIL,KI,67,235,61,131,0,3
SALISH,KI,223,674,195,418,0,0
MED 48-0752,KI,137,527,173,311,0,1
KIR 01-0019,KI,245,752,188,433,0,0
SAM 41-2813,KI,166,567,170,337,0,1
WOD 45-1205,KI,171,507,168,340,0,1
BOT 01-2865,KI,113,356,92,205,0,0
RED 45-3584,KI,141,449,118,259,0,0
RED 48-3475,KI,116,356,93,210,0,1
RED 48-0944,KI,118,375,96,217,0,3
BRIDLE TRAILS,KI,0,0,0,0,0,0
KIR 45-2722,KI,173,626,122,296,0,1
RED 48-0945,KI,140,453,105,245,0,0
YPT 48-1233,KI,126,401,100,226,0,0
BEL 48-0207,KI,104,327,81,186,0,1
ALDER SPRINGS,KI,172,550,175,349,0,2
BEL 48-0201,KI,160,512,132,293,0,1
M-I 41-2809,KI,78,240,74,152,0,0
SAM 41-0100,KI,209,667,152,362,0,1
SAM 41-3638,KI,178,717,164,346,0,4
KIR 01-2767,KI,186,573,172,359,0,1
KIR 01-2762,KI,172,618,134,308,0,2
KIR 01-2768,KI,200,624,181,383,0,2
SAM 45-2564,KI,218,749,197,418,0,3
CHALLENGER,KI,98,293,87,185,0,0
BEL 48-0149,KI,120,416,113,234,0,1
RED 48-0951,KI,107,379,116,223,0,0
RED 48-0950,KI,109,444,105,214,0,0
RED 48-0953,KI,235,758,183,418,0,0
RED 48-0952,KI,90,311,70,160,0,0
BEL 48-0142,KI,85,299,74,159,0,0
BEL 48-0143,KI,81,291,70,152,0,1
BEL 48-0140,KI,146,425,86,234,0,2
BEL 48-0146,KI,98,298,74,173,0,1
BEL 48-0147,KI,105,444,100,207,0,2
BEL 48-0144,KI,92,320,76,169,0,1
BEL 48-0145,KI,70,274,66,137,0,1
BEL 41-0116,KI,48,290,62,111,0,1
BEL 41-0117,KI,71,263,69,140,0,0
BEL 41-0114,KI,120,459,172,292,0,0
BEL 41-0112,KI,193,712,164,358,0,1
BEL 41-0113,KI,67,255,90,158,0,1
BEL 41-0110,KI,148,571,108,257,0,1
BEL 41-0111,KI,179,544,150,330,0,1
BEL 41-3312,KI,245,796,243,489,0,1
BEL 41-0119,KI,99,295,98,197,0,0
WELCOME LAKE,KI,334,735,240,578,0,4
ISS 05-2806,KI,124,399,119,243,0,0
KIR 48-0638,KI,130,551,150,281,0,1
KIR 48-0636,KI,130,449,118,248,0,0
BEL 41-2484,KI,109,404,90,199,0,0
KIR 48-0633,KI,151,468,133,285,0,1
SAM 45-3412,KI,222,738,183,406,0,1
ISS 41-2401,KI,161,657,180,342,0,1
JAY,KI,132,492,147,280,0,1
BOT 01-0262,KI,194,779,165,367,0,8
ISS 41-2409,KI,503,1074,325,829,0,1
BOT 01-0260,KI,265,769,216,482,0,1
BOT 01-0261,KI,202,634,173,378,0,3
KIR 45-2917,KI,130,603,120,254,0,4
ELSIE,KI,233,726,157,393,0,3
BARCLAY,KI,96,295,66,162,0,0
C-H 48-0323,KI,146,440,112,258,0,0
C-H 48-0322,KI,84,252,75,159,0,0
C-H 48-0321,KI,110,356,105,216,0,1
KIR 01-0422,KI,161,612,145,309,0,3
C-H 48-0326,KI,83,268,78,161,0,0
C-H 48-0325,KI,124,446,151,276,0,1
C-H 48-0324,KI,122,434,141,265,0,2
BEL 41-0203,KI,219,688,190,410,0,1
BEL 41-0206,KI,197,729,144,344,0,3
BEL 41-0205,KI,94,288,76,171,0,1
DIPPER,KI,183,675,161,346,0,2
BOT 01-3271,KI,125,431,103,229,0,1
DUV 45-0389,KI,221,817,191,414,0,2
NEW 41-3261,KI,161,503,101,267,0,5
BEL 41-2386,KI,98,279,71,169,0,0
SKY 39-1091,KI,35,130,39,74,0,0
TWO RIVERS,KI,236,779,227,465,0,2
WOD 45-2769,KI,219,748,224,444,0,1
SALAL,KI,104,359,121,225,0,0
MEANDER,KI,183,581,156,340,0,1
BEL 48-1049,KI,118,344,97,215,0,0
BOT 01-2677,KI,102,344,102,204,0,0
BOT 01-2676,KI,211,825,176,391,0,4
PRESTON,KI,209,661,171,383,0,3
ISS 05-3552,KI,147,742,159,308,0,2
MARYMOOR,KI,0,0,0,0,0,0
HILL,KI,152,493,160,312,0,0
LYNX,KI,145,531,126,276,0,5
RED 48-3548,KI,94,292,51,145,0,0
RED 48-2642,KI,74,263,43,117,0,0
RED 48-2641,KI,222,645,174,396,0,0
RANCH,KI,132,444,101,233,0,0
RED 45-3547,KI,201,711,186,388,0,1
KIR 45-1019,KI,208,767,154,364,0,2
N-B 05-3296,KI,185,682,201,392,0,6
SAM 45-2693,KI,237,796,173,414,0,4
KIR 45-3668,KI,124,428,80,206,0,2
NEW 41-3227,KI,137,467,115,254,0,2
KIR 45-2760,KI,209,618,175,386,0,2
KIR 45-2761,KI,180,601,161,342,0,1
M-I 41-0755,KI,68,265,103,172,0,1
RED 48-0942,KI,132,402,125,258,0,1
M-I 41-0758,KI,96,284,79,175,0,0
BEL 48-3166,KI,164,561,113,278,0,1
BEL 48-3498,KI,83,239,70,153,0,0
RAGING RIVER,KI,129,505,134,268,0,5
HI-VALLEY,KI,285,829,253,542,0,4
RED 48-2636,KI,149,451,106,256,0,1
SILVER SPURS,KI,7,18,3,10,0,0
RED 48-2634,KI,124,389,107,231,0,0
RED 48-2635,KI,119,387,104,224,0,1
RED 48-2632,KI,64,225,66,130,0,0
RED 48-2633,KI,215,626,160,375,0,0
RED 48-2630,KI,133,394,122,257,0,2
BEL 41-0011,KI,57,346,59,117,0,1
BEL 41-0017,KI,146,594,123,270,0,1
RED 48-2467,KI,113,398,102,215,0,0
RED 48-2466,KI,242,749,214,460,0,4
STEED,KI,276,759,223,501,0,2
HAAS,KI,83,303,114,199,0,2
RED 45-2659,KI,48,154,41,89,0,0
BEL 41-0408,KI,71,212,64,136,0,1
ALDERWOOD,KI,151,440,129,284,0,4
RED 45-2643,KI,135,433,114,254,0,5
BEL 41-2936,KI,139,485,124,264,0,1
BEL 41-3291,KI,75,292,84,159,0,0
BEL 41-2935,KI,140,526,124,264,0,0
HPT 48-0533,KI,103,334,101,204,0,0
YPT 48-1234,KI,115,411,135,250,0,0
SAM 41-2491,KI,203,707,162,367,0,2
BOWOOD,KI,191,625,145,339,0,3
SHEFFIELD,KI,145,447,140,288,0,3
BEL 41-2447,KI,158,527,143,303,0,2
RED 45-2492,KI,121,356,92,214,0,1
KIR 45-0622,KI,120,390,93,214,0,1
TRILLIUM,KI,239,799,237,476,0,0
LORA,KI,153,607,187,343,0,3
KIR 45-0610,KI,172,552,146,322,0,4
KIR 45-0616,KI,126,557,168,297,0,3
KIR 45-0618,KI,146,454,169,315,0,0
ISS 41-2692,KI,102,382,110,215,0,3
MARCEL,KI,98,371,108,207,0,1
SAM 41-3214,KI,113,435,127,241,0,1
SAM 41-3215,KI,199,814,149,348,0,0
SAM 45-3388,KI,211,698,177,389,0,1
SAM 45-3389,KI,284,762,174,460,0,2
SAM 41-3607,KI,127,498,129,259,0,3
KIR 01-0870,KI,185,632,154,340,0,1
SAM 45-3386,KI,214,784,183,398,0,1
SAM 45-3387,KI,138,402,106,244,0,0
DUTHIE HILL,KI,101,356,105,208,0,2
BEL 48-0171,KI,117,396,113,234,0,4
BEL 48-0170,KI,73,225,53,128,0,2
BROOKSHIRE,KI,106,430,100,207,0,1
BEL 41-0129,KI,92,316,55,148,0,1
BEL 41-0128,KI,160,494,135,295,0,0
BEL 41-0124,KI,164,505,143,308,0,1
BEL 41-3225,KI,131,539,112,245,0,2
BEL 41-0122,KI,119,391,94,213,0,0
BEL 41-0121,KI,121,501,106,231,0,4
BEL 41-0120,KI,75,248,82,157,0,0
SNQ 05-3151,KI,151,627,144,297,0,2
BEAR CREEK,KI,127,452,145,275,0,3
WAXWING,KI,86,295,92,178,0,0
BOT 01-0257,KI,220,718,193,417,0,4
BOT 01-0256,KI,238,670,179,417,0,0
BOT 01-0255,KI,211,750,214,428,0,3
BOT 01-0254,KI,166,561,142,311,0,3
BOT 01-0253,KI,112,400,116,229,0,1
BOT 01-0252,KI,153,514,152,308,0,3
DUV 45-3642,KI,129,443,116,249,0,4
BOT 01-0259,KI,124,430,119,245,0,2
BOT 01-0258,KI,238,817,200,440,0,2
SNQ 05-3512,KI,238,823,231,472,0,3
SAM 45-3505,KI,189,573,140,329,0,0
BEL 41-3226,KI,154,531,123,278,0,1
ISS 05-3697,KI,0,0,0,0,0,0
MINK ROAD,KI,125,424,134,260,0,1
SAM 41-2940,KI,60,243,75,136,0,1
BEL 41-0333,KI,56,222,43,100,0,1
RED 45-3281,KI,188,633,122,312,0,2
TOLT,KI,97,317,91,188,0,0
BEL 41-2714,KI,199,711,171,372,0,2
BEL 41-2719,KI,157,520,131,289,0,1
BEL 48-2430,KI,167,486,119,290,0,4
BEL 48-2432,KI,115,403,106,225,0,4
KIR 45-0619,KI,96,296,90,190,0,4
BEL 48-2434,KI,111,394,148,259,0,0
SNO-VALLEY,KI,216,760,191,408,0,1
SNQ 05-3633,KI,83,404,82,166,0,1
CHURCHILL,KI,116,425,145,262,0,1
ISS 05-3464,KI,187,829,187,376,0,2
REINTREE,KI,160,565,193,353,0,0
HUTCHINSON,KI,208,678,219,427,0,0
KLAHANIE,KI,119,468,143,264,0,2
BEL 41-1052,KI,141,462,116,257,0,0
NEW 41-1115,KI,194,633,144,340,0,2
M-I 41-0781,KI,67,216,71,140,0,2
M-I 41-0780,KI,103,389,123,226,0,0
M-I 41-0782,KI,136,503,148,285,0,1
M-I 41-0785,KI,117,380,126,243,0,0
M-I 41-0784,KI,130,411,116,246,0,0
M-I 41-0787,KI,75,333,106,182,0,1
M-I 41-0786,KI,94,255,72,166,0,0
M-I 41-0789,KI,193,607,198,391,0,0
COLLEEN,KI,150,488,150,304,0,4
SAM 41-2469,KI,141,529,147,288,0,0
SAM 45-2961,KI,171,531,146,318,0,1
OVERDALE,KI,7,12,2,9,0,0
NOVELTY,KI,153,605,182,336,0,1
M-I 41-0769,KI,154,544,178,333,0,1
M-I 41-0768,KI,90,307,80,170,0,0
BEL 41-2970,KI,182,714,196,384,0,6
ISS 05-3206,KI,228,758,189,419,0,2
M-I 41-0763,KI,80,303,120,200,0,0
M-I 41-0762,KI,70,256,77,148,0,1
M-I 41-0761,KI,105,335,101,208,0,2
M-I 41-0767,KI,71,260,70,141,0,0
M-I 41-0766,KI,104,322,92,197,1,0
M-I 41-0765,KI,254,645,187,441,0,0
BEL 48-0212,KI,217,620,84,303,0,2
BEL 48-0213,KI,120,395,52,175,0,3
BEL 48-0216,KI,85,256,55,140,0,0
BEL 48-0217,KI,110,404,74,184,0,0
BEL 48-0214,KI,74,274,56,130,0,0
BEL 48-0218,KI,195,546,142,338,0,1
BEL 41-3278,KI,85,290,86,172,0,1
WOLF,KI,159,690,143,308,0,6
NEW 41-0878,KI,177,630,151,328,0,0
RED 48-0949,KI,123,433,110,234,0,1
KIR 01-2457,KI,218,709,158,376,0,0
ISS 05-3649,KI,109,404,79,188,0,0
RED 48-0940,KI,136,399,122,258,0,0
RED 48-0941,KI,97,331,107,205,0,1
RED 48-0947,KI,107,360,107,215,0,1
KIR 01-2595,KI,143,495,94,239,0,2
HORSESHOE,KI,137,490,149,289,0,3
RED 48-2629,KI,156,648,137,295,0,2
BEL 41-3583,KI,208,675,178,386,0,0
RED 45-2638,KI,139,442,94,235,0,2
BEL 48-0138,KI,95,393,83,179,0,1
BEL 48-0136,KI,71,274,40,113,0,2
BEL 48-0135,KI,64,256,61,127,0,2
BEL 48-0134,KI,90,324,52,143,0,1
BEL 48-0133,KI,77,307,65,143,0,1
BEL 48-0132,KI,62,249,72,134,0,0
NAPOLEON,KI,166,505,157,324,0,1
BEL 41-0475,KI,85,262,64,149,0,0
BEL 41-3658,KI,63,305,51,115,0,1
BEL 41-2906,KI,141,474,123,264,0,0
BEL 41-0472,KI,158,522,145,303,0,0
SAM 45-2450,KI,176,548,148,325,0,1
MIDDLE FORK,KI,116,383,97,214,0,1
BEL 41-3657,KI,104,353,84,189,0,1
MIRRORMONT,KI,131,446,112,243,0,0
KIR 48-0628,KI,188,664,166,356,0,2
KIR 48-0629,KI,201,587,143,344,0,0
COTTAGE LAKE,KI,128,452,98,228,0,2
KIR 45-3397,KI,79,314,50,130,0,1
M-I 41-2465,KI,92,330,114,208,0,2
N-B 05-3407,KI,189,628,192,381,0,0
N-B 05-3406,KI,80,309,55,136,0,1
BEL 48-0178,KI,74,406,59,134,0,1
KIR 45-0623,KI,117,378,111,229,0,1
BEL 41-0123,KI,197,748,123,323,0,3
KIR 45-0620,KI,172,552,167,340,0,1
KIR 45-0627,KI,181,628,194,376,0,1
KIR 45-0624,KI,256,793,240,501,0,5
DUV 45-3218,KI,254,840,200,454,0,0
SNQ 05-3558,KI,123,487,112,236,0,1
DUV 45-3219,KI,147,548,149,298,0,2
BEL 48-0177,KI,133,408,100,236,0,3
BEL 41-2621,KI,130,528,120,251,0,1
PORT,KI,3,17,4,7,0,0
EAGLE,KI,0,3,0,0,0,0
KIR 48-2657,KI,115,385,80,202,0,7
MEADOWBROOK,KI,79,300,90,173,0,4
KIR 48-2921,KI,119,418,110,231,0,2
KIR 48-2920,KI,87,381,102,189,0,0
KIR 01-2759,KI,202,695,157,359,0,0
BEL 41-0175,KI,224,815,186,415,0,5
BEL 41-0176,KI,171,593,119,292,0,2
BEL 41-0179,KI,94,338,54,148,0,0
BEL 41-3371,KI,171,677,123,296,0,2
BEL 41-3370,KI,189,812,183,377,0,5
WOD 45-2597,KI,193,647,154,350,0,3
ELSOM,KI,175,586,176,353,0,2
FOX,KI,127,434,120,247,0,0
LAKE ALICE,KI,138,519,154,295,0,3
ALPINE,KI,136,564,187,324,0,1
SAM 41-0909,KI,243,831,200,445,0,2
BEL 41-0658,KI,109,403,111,220,0,0
BEL 41-0305,KI,115,484,101,218,1,1
ISS 05-3572,KI,166,855,163,331,0,2
ISS 41-3533,KI,145,507,109,254,0,0
RED 48-3313,KI,234,667,149,384,0,1
RED 48-3316,KI,89,344,64,154,0,1
RED 48-2790,KI,175,592,146,323,0,2
GROUSEMONT,KI,205,593,190,396,0,1
BEL 48-3675,KI,70,330,71,141,0,0
BEL 48-3674,KI,105,436,80,185,0,0
BOT 01-3420,KI,128,399,75,205,0,2
RED 45-2410,KI,271,822,260,533,0,2
KIR 45-2916,KI,91,321,83,175,0,1
SAM 45-0536,KI,217,758,225,444,0,2
KIR 45-3612,KI,78,211,37,116,0,1
BEA 41-0099,KI,71,240,80,151,0,0
FALL CITY,KI,124,520,148,275,0,3
WOD 45-0926,KI,222,859,145,370,0,3
SNQ 05-3667,KI,112,451,108,224,0,4
M-I 41-2808,KI,105,263,81,188,0,2
BRONSON,KI,245,785,251,499,0,3
KIR 45-2912,KI,106,419,57,165,0,2
BEL 41-1026,KI,191,652,129,323,0,3
KIR 45-2911,KI,63,309,75,139,0,1
KIR 45-2910,KI,135,421,113,248,0,0
KIR 45-0442,KI,154,557,132,286,0,0
KIR 48-0639,KI,116,387,102,218,0,0
SWAN LAKE,KI,187,684,189,378,1,1
KIR 45-2931,KI,113,409,75,191,0,3
KIR 45-2933,KI,90,350,77,167,0,0
KIR 45-2932,KI,160,472,106,266,0,0
NEW 41-3529,KI,137,569,110,249,0,2
KIR 45-2934,KI,95,368,98,196,0,3
RED 48-3415,KI,85,327,75,160,0,0
BEL 41-2945,KI,163,548,133,296,0,0
BEL 41-2943,KI,239,828,195,434,0,0
TWINBERRY,KI,316,656,231,547,0,0
SAM 41-3508,KI,191,685,145,337,0,1
SAM 45-3213,KI,161,558,133,295,0,1
STEVENS,KI,65,197,57,124,0,2
BEL 48-0223,KI,149,435,137,286,0,0
KIR 01-2488,KI,245,786,228,473,0,0
BEL 48-0221,KI,161,617,141,304,0,2
BEL 48-0227,KI,180,662,144,326,0,2
BEL 48-0226,KI,110,315,76,187,0,1
BEL 48-0225,KI,137,464,126,264,0,1
BEL 48-0224,KI,195,636,162,358,0,1
KIR 45-0925,KI,108,312,58,167,0,1
KIR 48-2598,KI,172,548,154,327,0,1
BEL 48-3292,KI,127,401,116,244,0,1
MATTHEW,KI,105,461,137,243,0,1
NEW 41-0840,KI,158,684,178,337,0,1
BOT 01-1224,KI,250,748,160,414,0,4
VINCENT,KI,101,411,109,210,0,0
BEL 41-0505,KI,106,279,91,197,0,0
ASPEN GLEN,KI,115,396,115,232,0,2
BEL 48-0162,KI,85,252,54,139,0,0
BEL 48-0163,KI,95,365,102,198,0,1
BEL 48-0164,KI,99,299,63,163,0,1
BEL 48-0165,KI,133,384,115,250,0,2
BEL 48-0166,KI,119,380,93,212,0,0
BEL 48-0167,KI,85,271,73,158,0,0
BEL 48-0168,KI,75,255,57,134,0,2
BEL 48-0169,KI,104,361,90,195,0,1
BEL 41-0131,KI,105,417,72,178,0,1
STILLWATER,KI,153,523,137,292,0,2
BEL 41-3621,KI,160,525,131,291,0,0
SAM 41-3506,KI,125,455,109,234,0,0
BEL 41-3330,KI,68,309,77,146,0,1
SAM 41-3507,KI,198,708,114,314,0,2
BOT 01-2495,KI,174,580,127,304,0,3
SNQ 05-3513,KI,242,896,219,463,0,2
ISS 05-3691,KI,96,314,74,172,0,2
SAM 41-2937,KI,143,452,105,249,0,1
ISS 05-3504,KI,118,610,149,267,0,0
ISS 05-3503,KI,105,504,132,240,0,3
SNO PASS,KI,64,208,67,131,0,0
RED 48-2968,KI,169,817,129,298,0,0
NEW 41-2811,KI,140,381,86,228,0,2
RED 48-2969,KI,131,443,117,253,0,5
KIR 01-0403,KI,155,537,119,275,0,1
BEL 41-0220,KI,159,420,101,262,0,2
RED 45-3282,KI,229,707,192,425,0,4
BEL 41-0180,KI,95,325,78,173,0,0
MED 48-0749,KI,124,485,160,285,0,1
NEW 41-3241,KI,199,699,173,373,0,1
CAR 05-3290,KI,165,515,142,309,0,2
M-I 41-0770,KI,84,277,89,173,0,0
SQUAK MOUNTAIN,KI,64,188,51,115,0,0
WEBSTER,KI,159,430,121,282,0,2
ISS 05-0543,KI,170,622,142,314,0,2
ISS 05-0547,KI,93,327,98,191,0,0
ISS 05-0546,KI,73,220,48,121,0,0
ISS 05-0545,KI,95,316,74,172,0,3
ISS 05-0544,KI,167,647,125,295,0,3
DUV 45-2959,KI,146,514,121,267,0,0
SNQ 05-1097,KI,92,402,84,177,0,1
ISS 05-0548,KI,197,772,199,398,0,2
MOUNT SI,KI,63,274,102,166,0,1
M-I 41-0796,KI,149,561,116,268,0,3
M-I 41-0797,KI,116,373,83,199,0,0
M-I 41-0794,KI,140,399,117,257,0,0
M-I 41-0795,KI,175,508,144,319,0,0
M-I 41-0792,KI,83,297,103,186,0,0
M-I 41-0793,KI,174,596,192,366,0,0
MABEL,KI,110,331,100,212,0,2
M-I 41-0791,KI,98,259,58,156,0,0
KIR 45-2489,KI,166,559,126,295,0,3
M-I 41-0777,KI,145,492,146,291,0,0
KIR 48-3439,KI,169,531,152,324,0,3
SAM 45-3216,KI,220,710,136,362,0,6
SAM 45-3217,KI,235,641,187,424,0,2
KIR 01-0421,KI,238,724,228,468,0,2
THRUSH,KI,75,275,69,144,0,0
LAKE LEOTA,KI,166,562,146,313,0,1
GRIZZLY,KI,155,653,195,353,0,3
LAKE JOY,KI,227,845,249,478,0,2
BEL 48-2715,KI,141,471,155,298,0,2
BEL 48-2716,KI,130,593,97,230,0,3
M-I 41-0778,KI,97,320,117,215,0,1
M-I 41-0779,KI,143,497,185,331,0,3
BACUS,KI,142,443,129,271,0,0
BEL 48-3143,KI,100,377,100,202,0,2
M-I 41-0771,KI,74,258,75,149,0,0
M-I 41-0773,KI,79,315,99,180,0,2
M-I 41-0774,KI,140,453,148,288,0,0
M-I 41-0775,KI,143,491,170,313,0,0
M-I 41-0776,KI,106,331,103,213,0,4
BEL 48-3144,KI,163,481,108,274,0,3
BEL 41-3140,KI,97,286,74,172,0,1
KIR 45-3646,KI,62,276,38,101,0,1
KIR 01-2561,KI,197,649,140,340,0,3
NEW 41-0248,KI,105,380,72,180,0,3
SI VIEW,KI,131,433,127,259,0,1
MERLOT,KI,172,527,176,349,0,1
ROSE,KI,134,409,145,280,0,1
KIR 48-3337,KI,230,809,232,463,0,1
KIR 45-1040,KI,233,783,198,433,0,2
DUV 45-3502,KI,121,398,120,243,0,2
RED 48-0939,KI,135,457,117,255,0,3
ISS 05-3651,KI,91,396,79,170,0,0
RED 48-0937,KI,64,223,57,125,0,4
DIANE,KI,0,0,0,0,0,0
RED 48-0935,KI,152,591,134,291,0,5
DOUGLAS,KI,160,568,174,337,0,3
SNQ 05-3514,KI,178,648,178,358,0,2
KIR 45-2962,KI,119,453,88,208,0,1
BEL 48-0125,KI,112,405,88,201,0,1
BEL 41-0460,KI,167,506,121,289,0,1
BEL 48-0127,KI,103,393,57,161,0,1
DUV 45-3481,KI,245,692,154,400,0,1
SAM 45-2620,KI,163,491,139,305,0,3
SAM 45-2963,KI,235,774,207,448,0,6
SAM 45-2726,KI,137,479,141,278,0,0
KIR 48-0615,KI,166,542,137,307,0,4
KIR 48-0614,KI,207,751,176,384,0,1
ISS 41-1208,KI,199,649,169,369,0,1
SAM 45-2684,KI,97,304,71,169,0,1
M-I 41-3655,KI,138,457,120,258,0,0
KIR 45-0630,KI,142,518,111,259,0,6
KIR 45-0631,KI,151,585,155,308,0,2
KIR 45-0632,KI,156,475,116,273,0,1
BEL 41-3680,KI,111,413,127,239,0,1
MICHAEL,KI,194,582,157,353,0,2
BEL 41-3684,KI,45,240,76,122,0,1
BEL 48-0694,KI,173,556,105,279,0,1
WOD 45-3530,KI,214,692,149,364,0,1
BEL 48-0198,KI,208,846,167,375,0,0
KIR 48-2919,KI,111,412,95,207,0,1
BEL 48-0191,KI,70,300,76,146,0,0
BEL 48-0190,KI,94,443,98,192,0,0
BEL 48-0193,KI,107,407,97,205,0,1
BEL 48-0192,KI,101,364,106,207,0,0
CAMAS,KI,207,719,226,442,0,9
BEL 48-0194,KI,92,287,67,159,0,0
BEL 48-0196,KI,94,302,80,174,0,0
BOT 01-3398,KI,173,656,177,350,0,0
CLEVELAND,KI,92,344,118,212,0,2
HAPPY VALLEY,KI,40,141,42,82,0,0
RED 48-3147,KI,95,439,80,175,0,0
BEL 41-0815,KI,79,405,75,155,0,1
SNQ 05-3560,KI,134,502,126,263,0,3
ADAIR,KI,430,928,325,756,0,1
M-I 41-0790,KI,72,246,73,147,1,1
