Row Label,County,Steve Bergquist,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in,Sarah Sanoy-Wright
KELLY,KI,101,375,25,189,0,0,63
TUK 11-2453,KI,122,510,20,180,0,1,37
LYNN,KI,130,433,29,214,0,0,55
PTARMIGAN,KI,112,344,15,195,1,1,66
SEA 11-1641,KI,143,539,12,183,0,0,28
SPRING LAKE,KI,180,745,55,431,0,0,196
RNT 11-3575,KI,181,600,26,318,0,0,111
TUK 11-1165,KI,225,752,33,340,0,1,81
TUK 11-1166,KI,112,443,14,165,0,1,38
TUK 11-1167,KI,2,6,0,4,0,0,2
TUK 11-2951,KI,164,601,14,236,0,1,57
TUK 11-2952,KI,83,294,8,126,0,0,35
FAIRGLEN,KI,145,442,27,258,0,0,86
WANDA,KI,110,417,12,205,0,0,83
RNT 11-3590,KI,189,710,18,327,0,0,120
KEN 11-3403,KI,142,549,32,264,0,0,90
RNT 11-1015,KI,128,443,20,194,0,0,46
CARRIAGE LANE,KI,186,621,22,314,0,1,105
RNT 11-1012,KI,157,589,12,242,0,0,73
RNT 11-1011,KI,245,881,37,391,1,1,107
RNT 11-2845,KI,154,548,15,221,0,1,51
RNT 11-3287,KI,188,705,35,338,0,1,114
RNT 11-3563,KI,147,625,42,277,0,0,88
LEAH,KI,164,661,25,319,0,1,129
RNT 11-3683,KI,58,320,15,128,0,2,53
RNT 11-3564,KI,150,491,32,246,0,0,64
FAIRWEATHER,KI,101,269,11,164,0,0,52
TUK 11-2752,KI,161,490,24,249,0,0,64
TUK 11-2751,KI,71,273,8,136,0,0,57
RNT 11-3162,KI,67,209,5,106,0,1,33
FAIRWOOD,KI,88,267,11,176,0,0,77
ARIA,KI,123,428,20,239,0,0,96
RNT 11-3588,KI,82,481,11,120,0,0,27
RNT 11-3619,KI,139,472,17,225,0,0,69
RNT 11-2583,KI,188,838,41,368,0,0,139
RNT 11-2582,KI,203,795,25,270,0,0,42
RNT 11-2581,KI,212,668,33,322,0,5,72
RNT 11-0719,KI,75,243,12,134,0,1,46
GRANDVIEW,KI,3,16,0,8,0,0,5
ELIZABETH,KI,136,601,27,273,0,1,109
RNT 11-0804,KI,208,842,26,342,0,0,108
SEA 11-1942,KI,217,526,27,271,0,3,24
SEA 11-1941,KI,178,431,26,224,0,0,20
RNT 11-2816,KI,156,578,30,297,0,0,111
SEA 11-1947,KI,167,453,14,204,0,0,23
SEA 11-1945,KI,257,703,44,341,0,0,40
KEN 11-0893,KI,106,580,20,209,0,0,83
FAIRMONT GLEN,KI,148,497,22,277,0,3,104
RNT 11-0988,KI,109,437,12,172,0,0,51
RNT 11-3223,KI,68,294,13,114,0,0,33
RNT 11-3222,KI,156,581,33,295,0,0,106
RNT 11-0985,KI,90,325,13,167,0,1,63
RNT 11-0984,KI,81,279,11,140,0,0,48
RNT 11-0986,KI,216,719,26,349,0,0,107
RNT 11-0981,KI,246,794,24,399,0,1,128
RNT 11-0980,KI,63,333,4,90,0,0,23
RNT 11-0983,KI,138,525,25,215,0,1,51
RNT 11-2607,KI,118,631,25,196,0,0,53
BLACK RIVER,KI,49,320,6,77,0,1,21
TUK 11-3128,KI,187,717,25,288,0,1,75
TUK 11-3127,KI,70,280,5,109,0,0,34
RNT 11-2475,KI,176,654,25,292,0,1,90
TIMBER,KI,196,664,37,358,0,0,125
SEA 11-3491,KI,0,0,0,0,0,0,0
SEA 11-1928,KI,121,298,7,145,0,1,16
SUNSET,KI,53,230,15,121,0,0,53
MORGAN,KI,158,631,31,305,0,1,115
SEA 11-1597,KI,315,909,44,410,0,0,51
RNT 11-3359,KI,112,487,10,188,0,0,66
TUK 11-3614,KI,20,56,4,28,0,0,4
RNT 11-0992,KI,76,295,11,127,0,0,40
RNT 11-0990,KI,132,448,12,199,0,0,55
RNT 11-3404,KI,127,556,30,232,0,0,75
RNT 11-0996,KI,136,562,21,257,0,1,99
RNT 11-0997,KI,205,875,32,328,0,0,91
RNT 11-3224,KI,140,457,9,214,0,0,65
RNT 11-3643,KI,90,363,22,180,0,0,68
RNT 11-1125,KI,153,661,23,268,0,0,92
RNT 11-0998,KI,117,363,9,171,0,0,45
RNT 11-2854,KI,130,583,23,225,0,2,70
MERRIHILL,KI,180,687,23,324,0,0,121
FAIRVILLE,KI,160,575,26,298,0,0,112
KEN 11-3331,KI,96,456,8,166,1,1,60
RNT 11-0738,KI,88,444,17,141,0,0,36
RNT 11-0539,KI,114,475,15,178,0,0,49
SEA 11-1600,KI,176,550,43,257,0,1,37
RNT 11-0031,KI,195,660,24,298,0,0,79
SEA 11-1602,KI,238,598,13,288,0,2,35
BRIGID,KI,87,320,20,168,0,0,61
RNT 11-2844,KI,231,845,29,354,0,1,93
BRIAR,KI,159,521,26,283,0,0,98
TUK 11-3233,KI,120,457,10,178,0,0,48
RNT 11-0502,KI,195,703,32,346,0,1,118
JUTLAND,KI,33,85,3,40,0,0,4
CARRIAGE,KI,128,399,16,230,0,0,86
RNT 11-0404,KI,166,598,21,281,0,0,94
SEA 11-1639,KI,139,551,17,193,0,0,37
