Row Label,County,Jamie Pedersen,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 43-2039,KI,147,328,52,199,0,0
SEA 43-2038,KI,279,560,75,355,0,1
SEA 43-2850,KI,139,359,42,182,0,1
SEA 43-1975,KI,41,439,19,63,0,3
SEA 43-1976,KI,65,242,28,94,0,1
SEA 43-2033,KI,207,438,67,276,0,2
SEA 43-2035,KI,222,668,74,301,0,5
SEA 43-2034,KI,196,424,53,253,0,4
SEA 43-2037,KI,215,551,57,274,0,2
SEA 43-3497,KI,152,532,63,218,0,3
SEA 43-1378,KI,158,308,59,219,0,2
SEA 43-2549,KI,261,718,71,339,0,7
SEA 43-1870,KI,233,466,40,273,0,0
SEA 43-2544,KI,354,887,174,537,0,9
SEA 43-2547,KI,161,461,40,204,0,3
SEA 43-2546,KI,139,324,34,176,0,3
SEA 43-1874,KI,266,608,72,343,0,5
SEA 43-2543,KI,123,313,27,153,0,3
SEA 43-2542,KI,119,275,25,146,0,2
SEA 43-2853,KI,154,440,51,206,0,1
SEA 43-2852,KI,173,501,52,226,0,1
SEA 43-1406,KI,190,398,70,264,0,4
SEA 43-2110,KI,130,452,53,186,0,3
SEA 43-1333,KI,170,340,58,229,0,1
SEA 43-1332,KI,181,385,83,267,0,3
SEA 43-1331,KI,161,366,61,224,0,2
SEA 43-1330,KI,175,404,59,238,0,4
SEA 43-1278,KI,237,588,67,308,0,4
SEA 43-1335,KI,274,637,98,377,0,5
SEA 43-1334,KI,184,446,74,262,0,4
SEA 43-2026,KI,181,356,57,239,0,1
SEA 43-2027,KI,165,292,35,202,0,2
SEA 43-1339,KI,130,298,52,187,1,4
SEA 43-1338,KI,223,449,78,302,0,1
SEA 43-2023,KI,157,388,65,224,0,2
SEA 43-2020,KI,184,374,63,249,0,2
SEA 43-2021,KI,400,797,100,506,0,6
SEA 43-2109,KI,141,478,60,212,0,11
SEA 43-2011,KI,141,278,44,189,0,4
SEA 43-2105,KI,264,628,96,361,0,1
SEA 43-2104,KI,209,379,51,260,0,0
SEA 43-1819,KI,199,457,101,303,0,3
SEA 43-2550,KI,125,342,31,157,0,1
SEA 43-2541,KI,90,268,24,115,0,1
SEA 43-1849,KI,112,323,47,161,0,2
SEA 43-1845,KI,227,575,48,277,0,2
SEA 43-3424,KI,168,407,46,219,0,5
SEA 43-1847,KI,170,484,54,227,0,3
SEA 43-1846,KI,122,345,35,158,0,1
SEA 43-1843,KI,186,551,64,251,0,1
SEA 43-1842,KI,202,521,77,282,0,3
SEA 43-2028,KI,224,423,55,280,0,1
SEA 43-2029,KI,371,706,111,488,0,6
SEA 43-2024,KI,150,336,50,201,0,1
SEA 43-2113,KI,107,393,28,140,0,5
SEA 43-2059,KI,195,424,56,252,0,1
SEA 43-2025,KI,274,556,82,360,0,4
SEA 43-3262,KI,129,306,48,177,0,0
SEA 43-2115,KI,97,527,33,134,0,4
SEA 43-2052,KI,108,445,32,143,0,3
SEA 43-2050,KI,167,442,50,222,0,5
SEA 43-2055,KI,79,322,31,113,0,3
SEA 43-1999,KI,207,439,60,270,0,3
SEA 43-1851,KI,313,694,99,413,0,1
SEA 43-1856,KI,249,579,67,322,0,6
SEA 43-1857,KI,190,528,59,251,0,2
SEA 43-1855,KI,249,619,84,337,0,4
SEA 43-1993,KI,121,238,24,147,0,2
SEA 43-1992,KI,212,652,189,410,0,9
SEA 43-1858,KI,145,335,51,203,0,7
SEA 43-1859,KI,217,553,66,286,0,3
SEA 43-1997,KI,133,295,59,194,0,2
SEA 43-1996,KI,142,298,44,193,0,7
SEA 43-1995,KI,123,244,37,163,0,3
SEA 43-1994,KI,163,295,34,197,0,0
SEA 43-3685,KI,121,258,34,158,0,3
SEA 43-2239,KI,285,566,103,389,0,1
SEA 43-2238,KI,404,813,128,539,0,7
SEA 43-2237,KI,261,568,86,352,0,5
SEA 43-1991,KI,342,839,135,487,0,10
SEA 43-2048,KI,155,376,56,214,0,3
SEA 43-2049,KI,148,453,54,208,0,6
SEA 43-1990,KI,180,458,78,260,0,2
SEA 43-2040,KI,160,476,51,214,0,3
SEA 43-2043,KI,139,292,52,193,0,2
SEA 43-2044,KI,134,350,51,186,0,1
SEA 43-2045,KI,146,315,41,189,0,2
SEA 43-2047,KI,275,662,123,403,0,5
SEA 43-1826,KI,271,567,78,354,0,5
SEA 43-1821,KI,108,233,36,144,0,0
SEA 43-1982,KI,194,501,67,266,0,5
SEA 43-1983,KI,238,497,71,313,0,4
SEA 43-1986,KI,126,278,35,163,0,2
SEA 43-1263,KI,178,350,51,230,0,1
SEA 43-1262,KI,217,468,87,308,0,4
SEA 43-1265,KI,107,256,40,148,0,1
SEA 43-1264,KI,188,361,58,248,0,2
SEA 43-1267,KI,198,386,62,264,0,4
SEA 43-1266,KI,153,351,59,213,0,1
SEA 43-1269,KI,176,357,54,234,0,4
SEA 43-1268,KI,183,352,69,254,0,2
SEA 43-1779,KI,109,377,38,147,0,0
SEA 43-3692,KI,0,0,0,0,0,0
SEA 43-3690,KI,10,38,6,17,0,1
SEA 43-2987,KI,62,673,34,97,0,1
SEA 43-2084,KI,352,668,90,445,0,3
SEA 43-2088,KI,270,694,91,361,0,0
SEA 43-1776,KI,254,673,112,375,0,9
SEA 43-3320,KI,172,515,64,241,0,5
SEA 43-2089,KI,42,341,21,65,0,2
SEA 43-3595,KI,243,535,76,322,0,3
SEA 43-1380,KI,128,301,51,183,0,4
SEA 43-2075,KI,100,458,59,163,0,4
SEA 43-2074,KI,219,564,93,316,0,4
SEA 43-2076,KI,104,403,28,137,0,5
SEA 43-2071,KI,201,371,56,260,0,3
SEA 43-1835,KI,307,688,106,417,0,4
SEA 43-1784,KI,236,500,69,308,0,3
SEA 43-1783,KI,168,455,72,243,0,3
SEA 43-1780,KI,150,350,57,208,0,1
SEA 43-1781,KI,127,326,37,164,0,0
SEA 43-1788,KI,464,807,115,580,0,1
SEA 43-1277,KI,209,541,64,282,0,9
SEA 43-1274,KI,157,302,53,216,0,6
SEA 43-1275,KI,142,275,55,200,0,3
SEA 43-1272,KI,222,437,63,285,0,0
SEA 43-1379,KI,136,263,49,187,0,2
SEA 43-1271,KI,180,473,71,260,0,9
SEA 43-1377,KI,158,330,47,207,0,2
SEA 43-1376,KI,233,541,76,312,0,3
SEA 43-1375,KI,156,327,61,222,0,5
SEA 43-1374,KI,149,295,54,205,0,2
SEA 43-1373,KI,185,335,52,243,0,6
SEA 43-1372,KI,170,335,54,224,0,0
SEA 43-1371,KI,124,288,42,166,0,0
SEA 43-1279,KI,287,684,113,406,0,6
SEA 43-1887,KI,279,648,81,365,0,5
SEA 43-1889,KI,224,483,61,288,0,3
SEA 43-1888,KI,287,633,82,373,0,4
SEA 43-2061,KI,155,476,48,207,0,4
SEA 43-2064,KI,101,370,45,148,0,2
SEA 43-2065,KI,116,547,57,179,0,6
SEA 43-2068,KI,145,425,45,191,0,1
SEA 43-2069,KI,289,652,102,399,0,8
SEA 43-2928,KI,241,639,94,339,0,4
SEA 43-2862,KI,267,736,87,360,0,6
SEA 43-3628,KI,220,536,68,290,0,2
SEA 43-3665,KI,130,379,51,184,0,3
