Row Label,County,Debra L. Stephens,John (Zamboni) Scannell
Berry Valley,TH,170,62
Freedom,TH,262,81
Morris,TH,212,86
Lacey 07,TH,166,42
Lacey 04,TH,86,39
Lacey 05,TH,140,31
Lacey 02,TH,135,45
Lacey 03,TH,178,54
Deschutes,TH,199,106
Olympia 50,TH,182,29
Tumwater 28,TH,297,75
Tumwater 29,TH,0,0
Friendly Grove,TH,117,48
Olympia 51,TH,47,14
Fair Oaks,TH,155,53
Woodard Creek,TH,187,63
Pines,TH,133,73
Scott Lake North,TH,102,30
Mushroom Corner,TH,197,65
Tumwater 14,TH,105,24
Yelm 2,TH,172,80
Deerbrush,TH,216,76
Henness,TH,319,133
Lacey 09,TH,100,21
Kinwood,TH,182,50
Rainier 02,TH,116,55
Summit Lake,TH,164,80
Lacey 19,TH,128,46
Lacey 18,TH,231,58
Lacey 11,TH,200,48
Simmons 4,TH,13,2
Lacey 13,TH,93,25
Lacey 01,TH,80,19
Lacey 15,TH,168,63
Gull Harbor,TH,159,32
Lacey 17,TH,170,68
Simmons 2,TH,4,2
Spurgeon Creek,TH,98,28
Black River,TH,297,120
Forest,TH,313,69
Olympia 24,TH,210,47
Meadows,TH,173,59
Pattison,TH,229,72
Olympia 54,TH,149,31
Olympia 55,TH,116,30
Olympia 56,TH,196,41
Olympia 57,TH,88,45
Tykle Cove,TH,231,54
Mcallister Creek,TH,178,48
Olympia 52,TH,128,18
Mcintosh,TH,360,128
Tenino 02,TH,123,59
Olympia 39,TH,218,44
Steamboat Island,TH,177,50
Olympia 20,TH,117,27
Lacey 08,TH,128,35
Lacey 41,TH,197,48
Beach Crest,TH,173,50
Ames,TH,189,63
Jones Beach,TH,127,27
Pleasant Glade,TH,144,30
Lacey 35,TH,74,22
Evergreen Shores,TH,182,55
Hewitt Lake,TH,270,74
Tumwater 08,TH,223,79
Olympia 60,TH,131,29
Tumwater 06,TH,363,80
Tumwater 07,TH,159,50
Tumwater 04,TH,122,50
Tumwater 05,TH,140,68
Tumwater 02,TH,199,47
Tumwater 03,TH,227,62
Roosevelt,TH,261,95
Tumwater 01,TH,145,50
University North,TH,81,35
Olympia 49,TH,236,49
Olympia 48,TH,254,80
Bush Prairie,TH,46,26
Summerset,TH,349,105
Olympia 42,TH,155,25
Olympia 41,TH,234,51
Olympia 40,TH,185,26
Olympia 47,TH,236,65
Olympia 46,TH,197,49
Olympia 45,TH,114,40
Olympia 44,TH,99,33
Holmes,TH,204,38
Cooper Point,TH,243,51
Ruth Prairie,TH,82,42
Hawks Ridge,TH,81,31
Weir Prairie,TH,183,89
Wilderness,TH,299,84
Lacey 32,TH,215,59
Camelot,TH,153,34
University South,TH,116,49
Simmons 9(*),TH,0,0
Gallagher Cove,TH,350,83
Total,TH,50546,15364
College,TH,31,12
Bigelow,TH,194,55
Lacey 37,TH,53,24
Olympia 08,TH,223,39
Beaver Creek,TH,364,134
Oyster Bay,TH,245,69
Eaton Creek,TH,142,37
Lacey 28,TH,134,42
Olympia 25,TH,166,44
Four Corners,TH,298,124
South Bay,TH,248,84
Lacey 24,TH,280,80
Indian Summer,TH,272,57
Longmire,TH,112,70
Tumwater 24,TH,152,45
Olympia 59,TH,193,43
Clear Lake,TH,301,125
Airport,TH,12,10
Thompson,TH,121,58
Bucoda,TH,78,47
Glen Terra,TH,63,24
Frye Cove,TH,251,71
Cougar Mountain,TH,53,19
Mckinley,TH,68,35
Olympia 37,TH,148,32
Gibson Valley,TH,23,16
Olympia 35,TH,423,55
Black Lake,TH,279,70
Scheller,TH,87,51
Olympia 30,TH,204,34
Olympia 31,TH,183,39
Sunwood Lakes,TH,323,106
Lydia Hawk,TH,334,113
Lacey 23,TH,89,26
Olympia 32,TH,292,56
Michigan Hill,TH,98,63
Tumwater 09,TH,149,32
Yelm 4,TH,211,76
Lacey 48,TH,147,32
Zangle,TH,211,64
Simmons 3(*),TH,0,0
Fish Trap,TH,186,45
East Olympia,TH,188,68
Munn Lake,TH,117,49
Sunset Beach,TH,294,48
Olympia 27,TH,93,30
Lacey 43,TH,241,55
Lacey 40,TH,231,83
Fristoe,TH,118,72
Lacey 46,TH,480,103
Lacey 47,TH,378,50
Lacey 44,TH,69,41
Hicks,TH,34,7
Salmon Creek,TH,108,63
Lacey 49,TH,128,31
Wards,TH,111,19
South Union,TH,271,101
Boston Harbor,TH,282,54
Olympia 29,TH,273,46
Olympia 28,TH,240,41
Trails End,TH,391,115
Hartwood,TH,399,93
Waddell Creek,TH,159,63
Fleetwood,TH,257,97
Olympia 26,TH,191,62
Olympia 21,TH,326,60
Bald Hills,TH,59,34
Olympia 23,TH,252,62
Violet Prairie,TH,196,124
Lacey 20,TH,82,26
Hawk Acres,TH,143,36
Tumwater 27,TH,230,51
Lacey 21,TH,101,27
Lakeside,TH,109,47
Lacey 22,TH,119,44
Olympia 36,TH,84,21
Glenwood,TH,78,27
Chambers,TH,334,98
Nisqually,TH,152,68
