Row Label,County,David E. Meyer,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
AUB 47-2723,KI,151,346,82,234,0,1
AUB 47-0671,KI,181,785,147,329,0,1
RNT 11-0988,KI,110,437,60,172,0,2
RNT 11-0985,KI,92,325,73,167,0,2
RNT 11-0984,KI,79,279,61,140,0,0
RNT 11-0986,KI,201,719,143,349,0,5
AUB 47-2478,KI,194,490,134,328,0,0
RNT 11-0980,KI,56,333,32,90,0,2
AUB 47-2573,KI,246,679,141,391,0,4
KEN 33-3670,KI,78,288,42,120,0,0
GREEN RIVER,KI,129,482,129,261,0,3
KEN 33-0578,KI,132,501,74,207,0,1
KEN 33-0576,KI,97,394,66,165,0,2
KEN 33-0577,KI,106,371,63,170,0,1
KEN 33-0575,KI,107,413,45,153,0,1
BERRYDALE,KI,129,505,147,277,0,1
AUB 47-3413,KI,194,758,128,323,0,1
LOUIE,KI,133,512,103,236,0,0
PIPELINE,KI,45,153,35,82,0,2
M-V 05-3601,KI,150,496,87,239,0,2
MORGAN,KI,154,631,149,305,0,2
KEN 47-0842,KI,206,796,161,368,0,1
ENM 31-0409,KI,95,379,101,196,0,0
LAKE RETREAT,KI,161,654,180,347,0,6
CLOVER,KI,167,594,127,299,0,5
RNT 11-1125,KI,152,661,113,268,0,3
MERRIHILL,KI,191,687,126,324,0,7
RNT 33-2472,KI,149,587,99,252,0,4
HUSKY,KI,161,650,177,340,0,2
CHINOOK,KI,177,671,177,357,0,3
RNT 11-2739,KI,83,274,54,140,0,3
AUB 31-3299,KI,67,248,87,155,0,1
SHADOW LAKE,KI,175,610,155,334,0,4
KEN 33-1055,KI,75,424,46,123,0,2
BROKEN HILL,KI,150,639,118,268,0,0
LAKE DESIRE,KI,175,605,147,323,0,1
NAILA,KI,211,798,201,416,0,4
KEN 47-0601,KI,203,733,86,291,0,2
KEN 47-0600,KI,26,131,20,46,0,0
ALG 30-0014,KI,161,486,66,229,0,2
KEN 47-0439,KI,166,585,141,309,0,2
M-V 05-3461,KI,188,779,159,352,0,5
COV 47-3517,KI,78,263,90,168,0,0
CALHOUN,KI,155,574,78,236,0,3
RNT 11-2844,KI,201,845,151,354,0,2
RNT 11-2845,KI,153,548,68,221,0,0
SHAMROCK,KI,181,693,144,332,0,7
KEN 47-0026,KI,117,357,52,169,0,0
ROWAN,KI,99,356,92,195,0,4
ANGEL CITY,KI,162,745,132,299,0,5
ENM 31-3248,KI,242,732,198,442,0,2
ENM 31-3247,KI,176,682,146,323,0,1
ENM 31-3246,KI,63,264,60,127,0,4
RNT 11-0502,KI,205,703,140,346,0,1
KEN 47-0028,KI,147,533,126,275,0,2
AUB 30-0067,KI,106,430,57,164,0,1
EARLINGTON,KI,88,357,59,150,0,3
KEN 47-3483,KI,172,606,111,285,0,2
KEN 05-3375,KI,0,0,0,0,0,0
KEN 47-3323,KI,127,459,90,218,0,1
WOODSIDE,KI,136,580,119,259,0,4
COV 47-1153,KI,181,626,100,284,0,3
ROYAL,KI,83,320,80,163,0,0
RNT 41-0989,KI,135,693,132,270,0,3
AUB 47-3187,KI,95,432,105,201,0,1
KEN 33-0603,KI,197,649,150,347,0,0
KELLY,KI,109,375,80,189,0,0
KEN 47-0238,KI,203,723,141,349,0,5
B-D 05-2413,KI,134,466,148,284,0,2
KEN 11-0918,KI,163,605,92,257,0,2
CUMBERLAND,KI,105,345,85,195,0,5
LAKE YOUNGS,KI,197,669,186,390,0,7
COV 47-3244,KI,132,466,68,204,0,4
ARTHUR,KI,255,863,252,510,0,3
DANIEL,KI,167,574,149,323,0,7
RNT 11-3555,KI,120,477,99,219,0,0
CANDLEWOOD,KI,60,412,59,120,0,1
AUB 47-3591,KI,128,445,77,206,0,1
KEN 11-3663,KI,138,387,86,225,0,1
RNT 11-3588,KI,74,481,44,120,1,1
AUB 47-3455,KI,122,439,105,229,0,2
AUB 47-3324,KI,219,577,140,360,0,1
AUB 31-0082,KI,115,403,84,203,0,4
AUB 31-0083,KI,129,487,99,229,0,1
AUB 31-0080,KI,240,830,169,414,0,5
AUB 31-0081,KI,121,457,77,199,0,1
FALCON,KI,134,456,151,288,0,3
RNT 11-0978,KI,136,506,87,223,0,0
RNT 11-0979,KI,60,284,40,100,0,0
RNT 11-0975,KI,196,861,139,339,0,4
M-V 05-3482,KI,246,870,194,441,0,1
RNT 11-0970,KI,54,246,54,108,0,0
RNT 11-0971,KI,150,579,140,291,0,1
RNT 11-0973,KI,151,542,92,245,0,2
HONEY,KI,31,102,26,57,0,0
KEN 33-3332,KI,222,863,211,437,0,4
KEN 47-0798,KI,220,742,174,394,0,0
BRIGID,KI,103,320,64,168,0,1
KEN 33-3445,KI,112,375,75,188,0,1
KEN 33-2426,KI,165,550,133,298,0,0
B-D 05-2407,KI,236,838,211,447,0,0
LYNN,KI,125,433,88,214,0,1
ALG 30-0013,KI,100,467,50,153,0,3
RUSS,KI,3,24,8,11,0,0
RNT 11-1015,KI,97,443,96,194,0,1
RNT 11-1011,KI,214,881,170,391,0,7
KEN 47-3275,KI,172,854,116,288,0,0
LOIS,KI,125,566,107,237,0,5
LUND,KI,210,740,197,409,0,2
RIVERSIDE,KI,98,396,121,220,0,1
LEAH,KI,167,661,150,319,0,2
AUB 31-0069,KI,100,314,59,159,0,0
WABASH,KI,98,320,91,189,0,0
AUB 31-0062,KI,204,660,125,332,0,3
AUB 31-0063,KI,86,279,43,130,0,1
AUB 31-0064,KI,84,408,41,125,0,0
AUB 31-0065,KI,77,288,47,125,0,1
KEN 47-2403,KI,101,466,67,171,0,3
B-D 05-3463,KI,0,0,0,0,0,0
CAMPBELL HILL,KI,143,642,104,250,0,3
RNT 11-2815,KI,130,677,82,215,0,3
WYNOCHE,KI,134,397,123,257,0,0
RNT 11-2816,KI,157,578,135,297,0,5
KEN 47-2477,KI,196,535,164,361,0,1
RNT 37-0991,KI,141,619,106,250,0,3
MILWAUKEE,KI,8,50,16,24,0,0
RNT 11-2475,KI,161,654,131,292,0,0
HAM LAKE,KI,139,467,126,267,0,2
KEN 47-2708,KI,122,485,103,226,0,1
BRYAN,KI,85,351,102,188,0,1
ALG 30-3141,KI,144,523,78,222,0,0
HUCKLEBERRY,KI,116,420,111,227,0,0
RNT 11-3223,KI,69,294,44,114,0,1
RNT 11-3222,KI,161,581,131,295,0,3
COV 47-1203,KI,241,885,179,421,0,1
KEN 47-2704,KI,270,773,158,430,0,2
RNT 11-1002,KI,74,332,67,142,0,1
KEN 33-2567,KI,98,369,88,187,0,1
KEN 47-2490,KI,206,673,124,331,0,1
KEN 33-2569,KI,239,856,150,390,0,1
MORTON,KI,217,723,204,425,0,4
LAKERIDGE,KI,212,751,196,411,0,3
ENM 31-3492,KI,83,333,78,164,0,3
RNT 41-0995,KI,201,740,140,346,0,5
RNT 41-0994,KI,155,488,95,250,0,0
RNT 41-0993,KI,163,703,158,321,0,0
MCDONALD,KI,147,525,136,285,0,2
RNT 37-1000,KI,75,532,66,142,0,1
RNT 11-3359,KI,130,487,56,188,0,2
RNT 37-0999,KI,194,760,147,343,0,2
RNT 11-0992,KI,80,295,47,127,0,0
RNT 11-0990,KI,128,448,70,199,0,1
RNT 11-0996,KI,143,562,114,257,0,0
RNT 11-0997,KI,189,875,134,328,0,5
KEN 47-0753,KI,158,622,89,249,0,2
KEN 47-2709,KI,244,839,161,407,0,2
RNT 11-3643,KI,100,363,78,180,0,2
RNT 11-0998,KI,97,363,74,171,0,0
LINCOLN,KI,79,312,88,168,0,1
KEN 33-0583,KI,110,371,92,203,0,1
KEN 33-3644,KI,136,486,76,213,0,1
KEN 33-0581,KI,207,684,103,311,0,1
KEN 33-0587,KI,116,470,92,209,0,1
KEN 33-0586,KI,147,437,109,256,0,0
KEN 33-0585,KI,138,569,83,224,0,3
KEN 33-0588,KI,86,317,70,157,0,1
KEN 47-1076,KI,179,668,122,301,0,0
KEN 33-3362,KI,101,365,73,174,0,0
KEN 47-1170,KI,104,412,76,180,0,0
RNT 11-3224,KI,114,457,96,214,0,4
MCDIVITT,KI,16,57,16,32,0,0
RNT 11-2607,KI,108,631,87,196,0,1
KEN 33-2864,KI,147,463,95,243,0,1
SAWYER,KI,192,594,190,382,0,0
CARRIAGE,KI,123,399,105,230,0,2
KEN 47-3652,KI,143,463,75,219,0,1
BLACK RIVER,KI,50,320,24,77,0,3
KEN 47-2836,KI,145,531,113,259,0,1
KEN 47-2834,KI,160,564,93,255,0,2
KEN 47-2939,KI,75,314,44,121,0,2
KEN 05-3462,KI,0,0,0,0,0,0
KEN 47-3344,KI,190,473,108,298,0,0
MAY VALLEY,KI,122,492,122,246,0,2
BITTERROOT,KI,135,483,122,262,0,5
ARIA,KI,130,428,108,239,0,1
GRASS LAKE,KI,137,374,97,235,0,1
RNT 11-0456,KI,178,635,109,291,0,4
COV 47-2586,KI,143,588,100,243,0,0
COV 47-1127,KI,169,606,134,303,0,0
PAC 30-2856,KI,147,686,81,230,0,2
KEN 47-0246,KI,145,479,116,261,0,0
KEN 47-2599,KI,209,748,134,345,0,2
RED MILL,KI,117,418,98,217,0,2
AUB 31-3405,KI,197,662,124,322,0,1
FAIRMONT,KI,98,394,114,216,0,4
M-V 05-1218,KI,224,674,153,378,0,1
RNT 11-3604,KI,133,591,101,234,0,0
RNT 11-3609,KI,91,461,80,173,0,2
LAKE MORTON,KI,81,232,68,151,0,2
M-V 05-3536,KI,140,572,134,275,0,1
SWEENEY,KI,161,575,178,341,0,2
AUB 47-0328,KI,238,684,155,397,0,4
RUDDELL,KI,117,397,95,214,0,2
KEN 47-1034,KI,211,745,145,356,0,0
FAIRGLEN,KI,138,442,120,258,0,0
AUB 31-0047,KI,159,574,102,264,0,3
KEN 47-0662,KI,214,659,183,399,0,2
KEN 11-3403,KI,158,549,106,264,0,0
AUB 47-2551,KI,223,824,107,332,0,2
CARRIAGE LANE,KI,165,621,147,314,0,2
AUB 30-0046,KI,108,351,60,169,0,1
AUB 47-3538,KI,199,719,166,366,0,1
AUB 47-3539,KI,125,436,118,245,0,2
RNT 11-3287,KI,161,705,175,338,0,2
WHITE RIVER,KI,156,597,181,337,0,0
HANSEN,KI,162,505,145,308,0,1
CEDAR RIVER,KI,117,481,138,259,0,4
RNT 11-3162,KI,62,209,41,106,0,3
AUB 47-0072,KI,154,525,135,289,0,0
AUB 47-0073,KI,158,687,81,244,0,5
COALFIELD,KI,210,713,183,396,0,3
AUB 47-0074,KI,195,569,98,294,0,1
KEN 47-3300,KI,134,527,118,254,0,2
CORNELL,KI,164,557,152,316,0,0
BRYN MAWR,KI,105,365,96,201,0,0
KEN 33-3172,KI,107,571,31,142,0,4
M-V 05-2614,KI,245,831,174,422,0,3
KEN 33-3174,KI,196,652,118,315,0,1
VEAZIE,KI,192,619,162,356,0,2
AUB 31-0058,KI,95,290,76,172,0,1
FREEDOM,KI,192,726,184,378,0,2
AUB 31-0054,KI,145,527,64,214,0,5
AUB 31-0051,KI,115,530,50,166,0,1
AUB 31-0050,KI,110,421,74,188,0,4
FAIRMONT GLEN,KI,151,497,120,277,0,6
WALLACE,KI,105,454,88,194,0,1
KRAIN,KI,163,565,208,372,0,1
BRIAR,KI,159,521,120,283,0,4
M-V 05-3367,KI,200,763,154,358,0,4
M-V 05-3366,KI,109,446,62,172,0,1
COV 47-2711,KI,148,536,107,255,0,0
MUCKLESHOOT,KI,33,395,21,54,0,0
M-V 05-3369,KI,240,680,141,383,0,2
M-V 05-3368,KI,173,748,175,350,0,2
KEN 33-0582,KI,211,843,146,359,0,2
HOLM LAKE,KI,216,710,199,415,0,0
COV 47-2390,KI,129,505,73,204,0,2
KEN 47-2568,KI,239,866,161,403,0,3
RNT 11-3563,KI,136,625,140,277,0,1
KEN 47-0910,KI,173,765,130,309,0,6
AUB 47-3276,KI,155,610,87,247,0,5
KEN 33-2570,KI,154,582,105,265,1,5
MCCOY,KI,160,646,203,368,0,5
COV 47-3581,KI,100,385,80,180,0,0
KEN 11-3331,KI,99,456,66,166,0,1
RNT 11-0738,KI,75,444,65,141,0,1
ENM 05-3414,KI,0,0,0,0,0,0
STACY,KI,37,173,52,89,0,0
AUB 47-2700,KI,50,212,19,73,1,3
AUB 47-2701,KI,87,486,57,146,0,2
VALENCIA,KI,135,501,121,258,0,2
KEN 47-3352,KI,0,0,0,0,0,0
KEN 33-3553,KI,121,557,73,194,0,0
KEN 33-0590,KI,220,755,145,372,0,7
KEN 33-0591,KI,88,274,52,140,0,0
KEN 33-0592,KI,49,208,32,81,0,0
KEN 33-0593,KI,89,231,49,140,0,2
KEN 33-0594,KI,88,366,99,189,0,2
KEN 33-0595,KI,86,488,53,139,0,0
KEN 33-0596,KI,155,550,134,289,0,0
KEN 33-0597,KI,138,688,97,239,0,4
KEN 33-0598,KI,126,473,73,201,0,2
KEN 33-0453,KI,203,815,158,364,0,3
AUB 47-3456,KI,187,795,115,305,0,3
PINE,KI,30,139,45,76,0,1
KEN 47-1102,KI,201,759,181,382,0,0
DORRE DON,KI,220,793,256,477,0,1
KEN 47-3189,KI,141,732,64,206,0,1
KEN 47-3184,KI,236,776,146,384,0,2
LITTLE SOOS,KI,164,463,103,268,0,1
KEN 47-3180,KI,115,541,72,187,0,0
RNT 11-1109,KI,97,484,79,180,0,4
RNT 11-0354,KI,143,491,82,227,0,2
CEDAR PARK,KI,72,245,44,118,0,2
RENHILL,KI,114,406,88,204,0,2
EASTWOOD,KI,160,487,119,281,0,2
GREEN VALLEY,KI,108,370,115,223,0,0
NATHAN,KI,149,507,145,297,0,3
M-V 05-0697,KI,205,673,180,385,0,0
MORRIS,KI,178,736,177,359,0,4
KEN 47-3136,KI,69,293,48,119,0,2
M-V 05-3322,KI,104,382,84,189,0,1
FAIRHAVEN,KI,208,808,229,439,0,2
M-V 05-3242,KI,138,588,122,262,0,2
AUB 47-0041,KI,194,735,105,303,0,4
KELSEY,KI,119,439,90,209,0,0
AUB 47-0045,KI,228,674,121,351,0,2
M-V 05-3245,KI,170,636,192,367,0,5
SELLECK,KI,213,784,206,420,0,1
AUB 30-3477,KI,40,203,25,65,0,0
AUB 30-3476,KI,58,264,28,86,0,0
GRIFFITH,KI,167,576,121,288,0,0
RNT 33-1204,KI,292,851,169,461,0,0
KEN 47-0482,KI,172,671,128,301,0,1
RNT 33-3535,KI,183,697,98,282,0,1
COV 47-2982,KI,143,553,107,251,0,1
TAHOMA,KI,148,571,163,313,0,2
KEN 47-2585,KI,240,819,191,431,0,0
RAVENSDALE,KI,133,497,117,252,0,2
AUB 47-2839,KI,237,692,191,430,0,2
KEN 33-0270,KI,51,271,35,87,0,1
RNT 11-3575,KI,173,600,142,318,0,3
PLAINS,KI,231,742,196,430,0,3
KEN 47-2485,KI,181,616,104,288,0,3
SIERRA,KI,202,690,167,373,0,4
KEN 47-1151,KI,130,398,99,229,0,0
RNT 11-3619,KI,116,472,107,225,0,2
MERGANSER,KI,190,627,160,351,0,1
DIAMOND,KI,65,227,55,120,0,0
RNT 37-3154,KI,177,770,131,311,0,3
TANNER,KI,162,695,180,343,0,1
RNT 11-3683,KI,75,320,52,128,0,1
M-V 05-0528,KI,170,344,95,266,0,1
FAIRWOOD,KI,97,267,79,176,0,0
KEN 47-3579,KI,54,273,46,100,0,0
AUB 30-0053,KI,118,437,64,185,0,3
KEN 33-2443,KI,57,303,25,82,0,0
IDA,KI,81,260,63,146,0,2
B-D 05-3310,KI,150,492,121,273,0,2
KEN 33-2699,KI,105,401,89,198,0,4
ELIZABETH,KI,150,601,122,273,0,1
RNT 37-3650,KI,88,474,114,204,0,2
COV 47-3365,KI,85,286,79,164,0,0
ENM 31-0413,KI,175,655,188,363,0,0
ENM 31-0411,KI,248,765,161,410,0,1
ENM 31-0410,KI,164,644,129,297,0,4
ENM 31-0417,KI,77,249,65,143,0,1
ENM 31-0416,KI,207,695,191,402,0,4
ENM 31-0415,KI,65,259,76,142,0,1
ENM 31-0419,KI,120,480,107,231,0,4
ENM 31-0418,KI,186,565,135,322,0,1
FOUR LAKES,KI,187,733,214,403,0,2
RNT 11-0031,KI,171,660,127,298,0,0
RNT 11-0404,KI,168,598,110,281,0,3
COV 47-0566,KI,176,724,128,308,0,4
RNT 41-1017,KI,107,370,76,183,0,0
RNT 41-1010,KI,106,416,113,219,0,0
AUB 31-3335,KI,201,732,149,351,0,1
RNT 41-1018,KI,237,868,223,464,0,4
AUB 31-0042,KI,140,509,99,240,0,1
SUNSET,KI,52,230,69,121,0,0
FRANKLIN,KI,32,160,31,63,0,0
KEN 47-3676,KI,39,127,25,64,0,0
AUB 31-0048,KI,43,210,35,78,0,0
AUB 31-0049,KI,122,450,66,195,0,7
KEN 47-3408,KI,95,374,46,141,0,0
M-V 05-3373,KI,178,662,175,360,0,7
KEN 47-3402,KI,172,669,145,322,0,5
M-V 05-3272,KI,247,878,184,436,0,5
COV 47-0313,KI,140,428,101,241,0,0
LANGSTON,KI,146,587,107,254,0,1
FAIRVILLE,KI,157,575,139,298,0,2
RNT 11-0539,KI,120,475,57,178,0,1
KEN 47-3493,KI,155,554,114,269,0,0
COV 47-3279,KI,199,713,141,342,0,2
FOREST,KI,174,572,139,313,0,0
KENTLAKE,KI,172,647,115,290,0,3
RNT 11-2854,KI,135,583,87,225,0,3
AUB 47-3260,KI,275,886,208,485,0,2
RNT 11-0981,KI,244,794,151,399,0,4
OSCEOLA,KI,179,557,154,336,0,3
COV 47-1145,KI,174,696,141,318,0,3
NEUWAUKUM,KI,100,356,97,199,0,2
KEN 47-0229,KI,185,695,110,296,0,1
RNT 11-0983,KI,126,525,88,215,0,1
HOBART,KI,193,621,178,374,0,3
MADISON,KI,79,305,78,157,0,0
COV 47-3597,KI,79,293,67,150,0,4
M-V 05-2857,KI,194,703,197,394,0,3
AUB 47-1066,KI,111,370,97,211,0,3
RNT 11-3404,KI,121,556,111,232,0,0
BRINN,KI,247,848,262,513,0,4
